transaction_id,customer_type,amount,is_new_device,hour_of_day,country_mismatch,confirmed_fraud,flagged_anomalous
63,normal,16.13,0,9,0,0,0
64,normal,28.47,0,21,0,0,0
65,normal,59.72,0,13,0,0,0
66,normal,77.36,0,19,0,0,0
67,normal,46.6,0,7,0,0,0
68,normal,35.71,0,5,0,0,0
69,frequent_traveler,20.44,0,0,1,0,0
70,normal,53.41,0,17,0,0,0
71,normal,91.97,0,11,0,0,0
72,normal,74.19,0,19,0,0,0
73,normal,62.63,0,7,0,0,0
74,normal,38.73,0,21,0,0,0
75,normal,87.88,0,10,0,0,0
76,normal,88.84,0,19,0,0,0
77,normal,30.67,0,16,0,0,0
78,frequent_traveler,30.03,0,8,0,0,0
79,normal,67.6,0,22,0,0,0
80,normal,25.23,0,15,0,0,0
81,normal,69.82,0,18,0,0,0
82,bulk_purchaser,207.63,0,8,0,0,0
83,bulk_purchaser,153.81,0,15,0,0,0
84,normal,89.38,0,8,0,0,0
85,normal,29.07,0,13,0,0,0
86,normal,44.95,0,16,0,0,0
87,normal,46.38,0,11,0,0,0
88,normal,35.04,0,7,0,0,0
89,normal,77.44,0,16,0,0,0
90,normal,26.42,0,8,0,0,0
91,normal,29.54,0,8,0,0,0
92,normal,52.54,0,12,0,0,0
93,normal,27.77,0,7,0,0,0
94,normal,66.55,1,16,0,0,0
95,normal,90.81,0,19,0,0,0
96,normal,25.55,0,7,0,0,0
97,normal,60.35,0,17,0,0,0
98,frequent_traveler,33.24,1,4,0,0,0
99,normal,39.51,0,13,0,0,0
100,normal,136.81,0,18,0,1,0
101,normal,59.15,0,13,0,0,0
102,normal,48.4,0,2,0,0,0
103,normal,55.24,0,11,0,0,0
104,frequent_traveler,70.36,1,18,0,0,0
105,normal,37.64,0,19,0,0,0
106,normal,42.04,0,21,0,0,0
107,normal,42.87,0,20,0,0,0
108,normal,57.54,0,16,0,0,0
109,bulk_purchaser,390.9,0,13,0,0,0
110,normal,93.44,0,12,0,0,0
111,normal,231.08,1,8,0,0,0
112,normal,121.41,0,11,0,0,0
113,normal,33.53,0,12,0,0,0
114,frequent_traveler,43.96,1,8,1,0,0
115,normal,28.8,0,17,0,0,0
116,normal,24.18,0,3,0,0,0
117,normal,28.4,0,17,1,0,0
118,normal,50.07,0,21,0,0,0
119,normal,55.26,0,21,0,0,0
120,normal,29.0,0,18,0,0,0
121,normal,44.78,0,19,0,0,0
122,normal,110.37,0,19,0,0,0
123,normal,23.47,0,15,0,0,0
124,normal,56.42,0,13,0,0,0
125,normal,25.47,0,16,0,0,0
126,normal,33.1,0,17,0,0,0
127,normal,81.82,0,13,0,0,0
128,normal,99.42,0,16,0,0,0
129,normal,45.81,0,8,0,0,0
130,normal,90.81,0,13,0,0,0
131,frequent_traveler,21.85,0,17,1,0,0
132,normal,72.37,0,7,0,0,0
133,normal,16.49,0,20,0,0,0
134,normal,53.75,0,7,0,0,0
135,bulk_purchaser,277.01,0,16,0,0,0
136,frequent_traveler,51.83,1,0,1,0,0
137,normal,83.84,0,20,1,0,0
138,normal,42.95,0,15,0,0,0
139,normal,77.08,0,17,0,0,0
140,normal,65.07,0,15,0,0,0
141,normal,60.24,0,19,0,0,0
142,normal,22.6,0,9,0,0,0
143,normal,95.99,0,22,0,0,0
144,normal,42.52,0,8,0,0,0
145,normal,108.18,0,3,0,0,0
146,normal,109.12,1,3,1,1,0
147,normal,49.4,0,22,0,0,0
148,normal,61.41,0,15,0,0,0
149,normal,60.96,0,7,0,0,0
150,normal,42.23,0,16,0,0,0
151,normal,23.4,0,15,0,0,0
152,normal,68.32,1,7,0,0,0
153,normal,42.71,1,20,0,0,0
154,normal,112.43,0,22,0,0,0
155,normal,72.71,0,14,0,0,0
156,normal,30.13,0,8,0,0,0
157,normal,89.37,1,9,0,0,0
158,normal,111.0,0,18,0,0,0
159,normal,93.2,0,18,0,0,0
160,normal,44.22,0,12,1,0,0
161,normal,21.46,0,16,0,0,0
162,normal,65.0,0,8,0,0,0
163,normal,72.58,0,12,0,0,0
164,normal,49.32,0,8,0,0,0
165,normal,32.54,0,18,0,0,0
166,normal,57.78,0,14,0,0,0
167,normal,31.02,0,14,0,0,0
168,bulk_purchaser,466.34,0,16,0,0,0
169,normal,42.6,0,22,0,0,0
170,normal,27.82,0,11,0,0,0
171,normal,66.42,0,18,0,0,0
172,normal,46.7,0,22,0,0,0
173,normal,76.24,1,11,0,0,0
174,normal,60.27,0,22,0,0,0
175,normal,42.24,0,7,0,0,0
176,normal,232.96,1,4,1,1,1
177,frequent_traveler,43.63,0,9,1,0,0
178,normal,39.66,0,11,0,0,0
179,normal,67.47,0,16,0,0,0
180,normal,108.69,0,21,0,0,0
181,normal,23.86,0,17,0,0,0
182,normal,123.93,0,10,0,0,0
183,normal,42.95,0,21,0,0,0
184,normal,108.4,0,11,0,0,0
185,frequent_traveler,52.83,0,20,0,0,0
186,normal,26.91,0,12,0,0,0
187,normal,75.34,0,14,0,0,0
188,normal,31.16,0,17,0,0,0
189,normal,55.31,0,10,0,0,0
190,normal,54.92,0,15,0,0,0
191,normal,64.75,0,19,0,0,0
192,normal,86.79,0,18,0,0,0
193,normal,76.8,0,19,0,0,0
194,normal,32.8,0,14,0,0,0
195,normal,55.81,0,18,0,0,0
196,normal,19.43,0,5,0,0,0
197,normal,67.9,0,12,0,0,0
198,frequent_traveler,56.53,1,14,0,0,0
199,normal,132.6,0,12,0,0,0
200,frequent_traveler,71.83,1,0,0,0,0
201,normal,69.49,0,21,0,0,0
202,normal,46.35,0,12,0,0,0
203,normal,31.91,0,11,0,0,0
204,normal,45.93,0,20,0,0,0
205,normal,91.54,0,20,0,0,0
206,frequent_traveler,71.26,1,11,0,0,0
207,normal,115.04,0,22,0,0,0
208,normal,65.8,0,9,0,0,0
209,normal,78.91,0,12,1,0,0
210,normal,59.18,0,22,0,0,0
211,normal,61.48,0,19,0,0,0
212,normal,73.15,0,22,0,0,0
213,normal,35.58,0,19,0,0,0
214,frequent_traveler,80.18,0,14,1,0,0
215,normal,38.05,0,19,0,0,0
216,normal,51.45,0,22,0,0,0
217,normal,26.41,0,17,0,0,0
218,normal,42.78,0,13,0,0,0
219,bulk_purchaser,243.93,0,8,0,0,0
220,normal,102.38,0,11,0,0,0
221,bulk_purchaser,184.37,0,16,0,0,0
222,normal,64.03,0,18,0,0,0
223,normal,62.11,0,19,0,0,0
224,normal,26.94,0,15,0,0,0
225,normal,50.95,0,14,0,0,0
226,normal,45.47,0,18,0,0,0
227,normal,53.1,0,19,0,0,0
228,normal,88.31,0,19,0,0,0
229,normal,46.49,0,1,0,0,0
230,frequent_traveler,44.92,0,18,0,0,0
231,normal,26.44,0,17,0,0,0
232,normal,49.84,0,18,0,0,0
233,normal,178.38,0,22,0,0,0
234,normal,98.72,0,14,0,0,0
235,bulk_purchaser,232.65,0,17,0,0,0
236,normal,31.56,0,15,0,0,0
237,normal,39.77,0,11,0,0,0
238,normal,42.76,0,19,0,0,0
239,normal,56.87,0,18,0,0,0
240,normal,43.51,0,11,0,0,0
241,normal,208.74,0,10,0,0,0
242,normal,122.2,0,14,0,0,0
243,normal,48.28,0,11,0,0,0
244,normal,70.05,0,12,0,0,0
245,normal,86.54,0,12,0,0,0
246,normal,64.3,0,0,0,0,0
247,normal,40.58,0,10,0,0,0
248,normal,199.97,0,14,0,0,0
249,frequent_traveler,74.24,0,20,0,0,0
250,frequent_traveler,94.25,0,20,1,0,0
251,normal,56.39,0,8,0,0,0
252,frequent_traveler,137.17,0,5,1,0,0
253,frequent_traveler,42.22,1,2,1,0,0
254,normal,115.37,0,21,0,0,0
255,normal,62.42,0,8,0,0,0
256,normal,46.49,0,13,0,0,0
257,normal,28.21,0,10,0,0,0
258,normal,66.76,0,3,0,0,0
259,normal,67.89,0,16,0,0,0
260,normal,39.83,0,22,0,0,0
261,normal,100.42,0,9,0,0,0
262,frequent_traveler,37.45,0,5,0,0,0
263,normal,64.63,1,17,0,0,0
264,normal,60.55,0,17,0,0,0
265,frequent_traveler,26.75,1,10,1,0,0
266,frequent_traveler,62.58,0,1,1,0,0
267,bulk_purchaser,167.97,0,15,0,0,0
268,normal,53.94,0,12,0,0,0
269,normal,25.1,0,8,0,0,0
270,normal,65.33,0,15,0,0,0
271,normal,26.42,0,12,0,0,0
272,normal,30.7,0,19,0,0,0
273,normal,64.51,0,22,0,0,0
274,normal,37.11,0,15,0,0,0
275,normal,68.16,0,1,0,0,0
276,normal,48.05,0,13,0,0,0
277,normal,56.91,0,15,0,0,0
278,bulk_purchaser,229.49,0,20,0,0,0
279,normal,87.07,0,11,0,0,0
280,normal,96.52,0,13,0,0,0
281,normal,34.51,0,21,1,0,0
282,bulk_purchaser,334.45,0,17,0,0,0
283,normal,49.83,0,14,0,0,0
284,normal,52.71,0,14,0,0,0
285,normal,27.33,0,17,0,0,0
286,normal,76.49,0,7,0,0,0
287,normal,129.14,0,19,0,0,0
288,normal,76.58,0,17,0,0,0
289,normal,107.8,1,20,0,0,0
290,normal,50.62,0,16,0,0,0
291,normal,57.42,0,16,0,0,0
292,normal,23.91,0,16,0,0,0
293,frequent_traveler,86.72,1,21,0,0,0
294,frequent_traveler,45.22,1,5,0,0,0
295,bulk_purchaser,355.73,0,17,0,0,0
296,normal,60.89,0,10,0,0,0
297,normal,37.1,0,21,0,0,0
298,normal,96.73,0,22,0,0,0
299,normal,24.21,0,12,0,0,0
300,normal,35.93,0,21,1,0,0
301,normal,45.08,0,11,0,0,0
302,normal,53.2,0,18,0,0,0
303,normal,104.98,0,12,0,0,0
304,normal,27.86,0,22,0,0,0
305,normal,57.07,0,20,0,0,0
306,normal,39.51,0,14,0,0,0
307,normal,66.27,0,8,0,0,0
308,normal,58.9,0,9,0,0,0
309,normal,74.59,0,21,0,0,0
310,normal,87.74,0,7,0,0,0
311,normal,96.73,0,18,0,0,0
312,normal,63.6,0,19,0,0,0
313,normal,63.79,0,16,0,0,0
314,frequent_traveler,67.87,1,13,1,0,0
315,normal,108.04,0,18,1,0,0
316,normal,35.6,0,13,0,0,0
317,normal,70.13,1,15,0,0,0
318,normal,218.67,0,21,0,0,0
319,normal,42.55,0,4,0,0,0
320,normal,24.2,1,19,0,0,0
321,normal,68.16,0,7,0,0,0
322,normal,159.1,0,4,0,0,0
323,normal,24.89,0,10,0,0,0
324,normal,78.17,1,1,0,0,0
325,normal,79.92,0,16,0,0,0
326,frequent_traveler,34.47,0,19,0,0,0
327,normal,38.59,0,21,0,0,0
328,normal,31.87,0,12,0,0,0
329,normal,36.65,0,13,0,0,0
330,normal,68.73,0,12,0,0,0
331,normal,52.3,0,21,0,0,0
332,normal,92.17,0,20,0,0,0
333,normal,62.2,0,4,0,0,0
334,normal,114.68,1,22,0,0,0
335,normal,48.75,0,20,0,0,0
336,normal,65.19,0,19,0,0,0
337,normal,93.17,1,22,0,0,0
338,bulk_purchaser,265.03,0,22,0,0,0
339,normal,85.76,0,18,0,0,0
340,normal,60.38,1,16,0,0,0
341,normal,107.86,1,10,0,0,0
342,normal,24.89,0,18,0,0,0
343,frequent_traveler,43.3,0,18,1,0,0
344,normal,51.81,0,21,0,0,0
345,bulk_purchaser,370.06,0,16,0,0,0
346,normal,53.98,0,12,0,0,0
347,frequent_traveler,115.43,1,14,1,0,0
348,normal,39.95,0,7,0,0,0
349,normal,43.06,0,13,0,0,0
350,normal,295.45,1,20,1,1,1
351,normal,46.42,0,19,0,0,0
352,normal,24.46,0,15,0,0,0
353,normal,43.46,0,20,0,0,0
354,normal,184.52,0,4,0,0,0
355,normal,27.42,0,8,0,0,0
356,normal,37.17,0,13,0,0,0
357,normal,77.68,0,17,0,0,0
358,normal,36.77,0,16,0,0,0
359,normal,141.48,0,18,0,0,0
360,normal,32.05,0,12,1,0,0
361,normal,71.04,0,20,0,0,0
362,normal,44.75,0,9,0,0,0
363,normal,38.83,0,14,0,0,0
364,normal,36.12,0,4,0,0,0
365,normal,108.53,0,21,0,0,0
366,normal,59.48,0,17,0,0,0
367,normal,26.34,0,0,0,0,0
368,normal,83.73,0,3,0,0,0
369,normal,29.32,0,11,0,0,0
370,normal,58.91,0,14,0,0,0
371,bulk_purchaser,76.23,0,21,0,0,0
372,normal,117.65,0,12,0,0,0
373,normal,75.24,0,21,0,0,0
374,normal,38.93,0,20,0,0,0
375,normal,39.49,0,2,0,0,0
376,normal,141.73,0,12,0,0,0
377,normal,150.44,0,11,0,0,0
378,normal,81.72,0,21,0,0,0
379,normal,71.06,0,0,0,0,0
380,normal,38.02,0,7,0,0,0
381,frequent_traveler,60.64,0,21,0,0,0
382,normal,76.99,0,13,0,0,0
383,normal,15.35,0,15,1,0,0
384,normal,160.1,0,15,1,1,0
385,frequent_traveler,19.84,1,5,0,0,0
386,normal,20.05,0,16,0,0,0
387,normal,114.54,1,1,1,1,0
388,normal,87.61,0,10,0,0,0
389,normal,46.01,0,18,0,0,0
390,normal,55.58,0,9,1,0,0
391,normal,69.5,0,11,0,0,0
392,normal,41.57,0,10,0,0,0
393,normal,36.83,0,21,0,0,0
394,normal,57.24,0,18,0,0,0
395,frequent_traveler,72.15,1,5,1,0,0
396,normal,29.49,0,13,0,0,0
397,normal,34.77,0,8,0,0,0
398,normal,64.29,0,1,0,0,0
399,frequent_traveler,85.09,1,5,1,0,0
400,normal,55.97,0,22,0,0,0
401,normal,52.11,0,2,0,0,0
402,normal,67.81,0,22,0,0,0
403,normal,39.09,0,17,0,0,0
404,normal,35.28,0,18,0,0,0
405,normal,105.49,0,22,0,0,0
406,normal,88.94,0,21,0,0,0
407,normal,48.79,0,22,0,0,0
408,bulk_purchaser,209.14,0,22,0,0,0
409,normal,80.51,0,12,1,0,0
410,normal,51.64,0,10,0,0,0
411,normal,44.33,0,7,0,0,0
412,frequent_traveler,80.85,0,2,0,0,0
413,normal,42.5,0,9,0,0,0
414,normal,35.32,0,18,0,0,0
415,normal,40.22,0,17,0,0,0
416,normal,27.2,0,13,0,0,0
417,normal,50.99,1,8,0,0,0
418,normal,47.34,0,18,0,0,0
419,frequent_traveler,69.92,1,5,0,0,0
420,normal,55.39,1,21,0,0,0
421,normal,61.05,0,22,0,0,0
422,normal,53.88,0,13,0,0,0
423,normal,45.93,0,16,0,0,0
424,normal,51.32,0,11,0,0,0
425,normal,55.99,0,19,0,0,0
426,bulk_purchaser,178.55,0,11,0,0,0
427,normal,149.94,0,17,0,0,0
428,normal,65.21,0,16,0,0,0
429,normal,49.47,0,8,0,0,0
430,normal,68.67,0,7,0,0,0
431,normal,100.75,0,14,0,0,0
432,normal,35.24,0,16,0,0,0
433,normal,49.88,0,11,0,0,0
434,normal,36.41,0,13,0,0,0
435,normal,62.41,0,9,0,0,0
436,frequent_traveler,42.43,0,5,1,0,0
437,normal,84.47,0,21,0,0,0
438,normal,30.1,0,19,0,0,0
439,normal,90.35,0,13,0,0,0
440,normal,98.74,0,21,0,0,0
441,bulk_purchaser,218.1,0,16,1,0,0
442,normal,46.71,0,4,0,0,0
443,frequent_traveler,64.23,1,2,1,0,0
444,normal,185.79,0,10,0,0,0
445,bulk_purchaser,152.47,0,21,0,0,0
446,normal,19.86,0,16,0,0,0
447,bulk_purchaser,142.88,0,11,0,0,0
448,normal,86.84,0,18,0,0,0
449,normal,51.58,1,17,0,0,0
450,normal,44.03,0,20,0,0,0
451,normal,28.85,0,17,0,0,0
452,normal,49.13,0,9,0,0,0
453,normal,61.44,0,12,0,0,0
454,normal,23.02,0,17,0,0,0
455,normal,85.0,0,7,0,0,0
456,normal,112.85,0,20,0,0,0
457,normal,47.48,0,22,1,0,0
458,frequent_traveler,21.7,1,5,1,0,0
459,normal,193.9,0,22,0,0,0
460,normal,65.69,0,12,0,0,0
461,bulk_purchaser,273.89,0,9,0,0,0
462,frequent_traveler,61.45,0,0,1,0,0
463,bulk_purchaser,142.49,0,9,0,0,0
464,normal,18.35,0,21,0,0,0
465,normal,38.19,0,8,0,0,0
466,normal,95.51,0,8,0,0,0
467,normal,68.16,0,21,0,0,0
468,normal,49.78,0,16,0,0,0
469,normal,20.55,0,7,0,0,0
470,normal,60.99,0,8,1,0,0
471,bulk_purchaser,118.51,0,11,0,0,0
472,normal,44.01,0,11,0,0,0
473,normal,95.12,0,7,0,0,0
474,normal,77.73,0,20,0,0,0
475,normal,34.61,0,16,0,0,0
476,normal,18.95,0,1,0,0,0
477,normal,52.86,0,2,0,0,0
478,normal,38.08,0,7,0,0,0
479,normal,69.84,0,18,0,0,0
480,normal,60.25,0,14,0,0,0
481,normal,103.33,0,10,0,0,0
482,normal,40.81,0,19,0,0,0
483,normal,30.07,0,9,0,0,0
484,normal,71.32,0,11,0,0,0
485,normal,26.95,0,15,0,0,0
486,normal,29.47,0,9,0,0,0
487,normal,63.29,0,4,0,0,0
488,normal,84.13,0,20,0,0,0
489,normal,48.49,0,20,0,0,0
490,normal,31.84,0,18,0,0,0
491,frequent_traveler,22.53,1,3,0,0,0
492,normal,14.54,0,8,0,0,0
493,normal,56.77,0,12,0,0,0
494,bulk_purchaser,129.37,0,4,0,0,0
495,normal,21.34,0,19,0,0,0
496,frequent_traveler,40.83,1,1,0,0,0
497,normal,25.57,0,12,1,0,0
498,normal,61.39,0,13,0,0,0
499,normal,19.58,0,21,0,0,0
500,normal,83.44,0,2,0,0,0
501,normal,41.3,0,20,0,0,0
502,normal,43.2,0,14,0,0,0
503,normal,54.35,1,18,0,0,0
504,normal,23.93,0,12,0,0,0
505,bulk_purchaser,202.74,0,20,0,0,0
506,frequent_traveler,39.07,1,1,0,0,0
507,normal,34.22,0,8,0,0,0
508,normal,63.74,1,9,0,0,0
509,frequent_traveler,37.66,0,12,0,0,0
510,normal,104.85,0,18,0,0,0
511,bulk_purchaser,174.76,1,15,1,1,1
512,normal,60.61,1,20,0,0,0
513,normal,51.38,0,17,0,0,0
514,normal,68.98,0,2,0,0,0
515,normal,66.32,0,7,0,0,0
516,normal,27.48,0,11,0,0,0
517,normal,69.41,0,20,0,0,0
518,normal,50.15,0,18,0,0,0
519,normal,83.09,0,18,0,0,0
520,frequent_traveler,38.55,1,19,1,0,0
521,normal,92.77,0,22,0,0,0
522,bulk_purchaser,326.5,0,10,0,0,0
523,normal,40.57,0,21,0,0,0
524,normal,36.61,0,3,0,0,0
525,normal,78.62,0,11,0,0,0
526,frequent_traveler,68.16,1,16,1,0,0
527,normal,45.58,0,14,0,0,0
528,frequent_traveler,110.27,0,5,1,0,0
529,normal,72.45,0,10,0,0,0
530,normal,71.06,0,18,0,0,0
531,normal,50.96,0,15,0,0,0
532,normal,36.44,0,12,0,0,0
533,normal,33.31,0,7,0,0,0
534,bulk_purchaser,51.68,0,18,0,0,0
535,normal,47.62,0,17,0,0,0
536,normal,56.0,0,9,0,0,0
537,normal,18.58,0,13,0,0,0
538,bulk_purchaser,237.03,0,18,0,0,0
539,normal,49.41,0,11,0,0,0
540,normal,29.23,0,11,0,0,0
541,normal,22.01,0,17,0,0,0
542,normal,32.13,0,19,0,0,0
543,normal,124.59,0,22,0,0,0
544,normal,87.2,0,21,0,0,0
545,normal,39.32,0,19,0,0,0
546,normal,79.61,0,1,0,0,0
547,frequent_traveler,131.33,0,11,1,0,0
548,normal,15.7,0,14,0,0,0
549,normal,104.4,0,8,0,0,0
550,normal,25.25,0,15,0,0,0
551,bulk_purchaser,279.38,0,8,0,0,0
552,normal,66.5,0,20,0,0,0
553,normal,43.44,0,22,0,0,0
554,frequent_traveler,92.81,0,17,0,0,0
555,normal,50.26,0,13,0,0,0
556,normal,52.58,1,5,0,0,0
557,normal,42.92,1,8,0,0,0
558,frequent_traveler,16.11,1,1,1,0,0
559,normal,54.83,1,19,0,0,0
560,normal,48.42,0,4,0,0,0
561,normal,25.35,1,18,0,0,0
562,bulk_purchaser,236.65,0,10,0,0,0
563,bulk_purchaser,130.97,0,21,0,0,0
564,normal,73.39,0,10,0,0,0
565,frequent_traveler,112.49,1,11,0,0,0
566,bulk_purchaser,357.55,0,20,0,0,0
567,normal,80.96,0,17,0,0,0
568,normal,51.51,0,12,0,0,0
569,normal,125.93,0,13,0,0,0
570,normal,59.47,0,7,0,0,0
571,normal,11.84,0,11,0,0,0
572,normal,33.58,0,22,0,0,0
573,normal,60.22,0,12,0,0,0
574,normal,78.3,0,22,0,0,0
575,normal,56.63,0,17,0,0,0
576,normal,77.22,0,8,0,0,0
577,normal,90.77,0,0,0,0,0
578,bulk_purchaser,66.14,1,21,0,0,0
579,normal,43.06,0,18,0,0,0
580,bulk_purchaser,163.29,0,14,0,0,0
581,normal,25.25,0,18,0,0,0
582,normal,21.99,0,9,1,0,0
583,normal,78.82,0,7,0,0,0
584,normal,54.02,0,21,0,0,0
585,normal,66.16,0,13,0,0,0
586,normal,36.73,0,20,0,0,0
587,normal,72.7,0,20,0,0,0
588,normal,25.95,1,22,0,0,0
589,normal,44.9,0,10,0,0,0
590,normal,15.68,0,7,0,0,0
591,normal,68.22,0,13,0,0,0
592,normal,53.61,0,8,0,0,0
593,normal,50.1,0,15,0,0,0
594,normal,50.05,0,7,0,0,0
595,normal,55.4,0,22,0,0,0
596,normal,71.45,0,20,0,0,0
597,normal,62.93,0,15,0,0,0
598,normal,77.8,0,16,0,0,0
599,normal,46.19,0,21,0,0,0
600,normal,33.63,0,3,0,0,0
601,bulk_purchaser,131.8,1,14,0,0,0
602,normal,73.17,0,10,0,0,0
603,normal,17.36,0,9,1,0,0
604,normal,79.04,0,19,0,0,0
605,normal,54.53,0,19,0,0,0
606,normal,22.64,0,17,0,0,0
607,normal,55.58,0,12,0,0,0
608,normal,65.86,0,4,0,0,0
609,normal,88.59,0,9,0,0,0
610,normal,117.32,0,11,0,0,0
611,normal,42.71,0,14,0,0,0
612,normal,20.14,0,9,0,0,0
613,normal,79.02,0,3,0,0,0
614,normal,79.93,0,14,0,0,0
615,normal,80.55,1,4,0,0,0
616,normal,26.0,0,18,0,0,0
617,normal,92.05,0,19,0,0,0
618,frequent_traveler,59.41,0,5,1,0,0
619,normal,32.66,0,16,0,0,0
620,normal,59.46,0,12,0,0,0
621,normal,87.47,0,10,0,0,0
622,normal,20.89,0,9,0,0,0
623,normal,213.11,0,7,0,0,0
624,normal,108.55,0,18,0,0,0
625,normal,148.21,0,8,0,0,0
626,normal,89.43,0,8,0,0,0
627,normal,37.4,0,19,0,0,0
628,normal,88.04,0,20,0,0,0
629,normal,32.21,0,9,0,0,0
630,normal,168.66,0,19,1,0,0
631,frequent_traveler,60.14,1,3,1,0,0
632,normal,63.29,0,14,0,0,0
633,normal,25.01,0,16,0,0,0
634,normal,76.34,0,20,0,0,0
635,normal,85.22,0,9,0,0,0
636,bulk_purchaser,150.83,0,15,0,0,0
637,bulk_purchaser,156.07,0,19,0,0,0
638,normal,23.69,0,16,0,0,0
639,normal,38.6,0,18,0,0,0
640,normal,34.73,0,15,0,0,0
641,normal,49.63,0,4,0,0,0
642,normal,49.39,0,21,0,0,0
643,normal,82.68,0,12,0,0,0
644,normal,97.08,0,11,0,0,0
645,normal,49.02,0,15,0,0,0
646,normal,26.52,0,11,0,0,0
647,frequent_traveler,82.93,0,22,0,0,0
648,normal,114.0,0,17,0,0,0
649,normal,53.94,0,7,0,0,0
650,normal,70.95,0,8,0,0,0
651,normal,33.58,0,15,0,0,0
652,normal,105.23,0,14,0,0,0
653,normal,90.57,0,22,0,0,0
654,normal,33.57,0,19,0,0,0
655,normal,49.71,0,9,1,0,0
656,bulk_purchaser,122.85,0,7,0,0,0
657,normal,53.59,0,21,0,0,0
658,normal,59.96,0,5,0,0,0
659,normal,88.41,0,12,0,0,0
660,normal,57.4,0,17,0,0,0
661,normal,57.15,0,10,0,0,0
662,normal,188.99,0,2,0,1,0
663,normal,40.95,0,9,0,0,0
664,normal,47.46,0,17,0,0,0
665,normal,41.15,0,10,0,0,0
666,normal,75.79,1,10,0,0,0
667,normal,57.92,1,18,0,0,0
668,normal,23.19,0,19,0,0,0
669,normal,47.26,0,14,1,0,0
670,normal,63.3,0,21,0,0,0
671,normal,54.86,1,19,0,0,0
672,bulk_purchaser,129.72,0,11,0,0,0
673,normal,31.32,0,10,0,0,0
674,frequent_traveler,38.99,1,14,0,0,0
675,frequent_traveler,42.55,0,4,1,0,0
676,normal,60.09,0,14,0,0,0
677,normal,41.59,0,9,0,0,0
678,normal,27.68,0,11,0,0,0
679,normal,51.81,0,20,0,0,0
680,bulk_purchaser,304.88,0,8,0,0,0
681,normal,42.79,1,18,0,0,0
682,normal,102.64,0,10,0,0,0
683,normal,104.95,0,15,0,0,0
684,normal,32.38,0,20,0,0,0
685,frequent_traveler,67.05,1,1,0,0,0
686,normal,44.72,0,14,0,0,0
687,normal,32.48,0,22,0,0,0
688,normal,49.67,0,11,0,0,0
689,normal,42.96,1,22,0,0,0
690,normal,20.41,0,15,0,0,0
691,normal,76.88,0,22,0,0,0
692,normal,58.31,0,20,0,0,0
693,normal,46.02,0,7,0,0,0
694,normal,55.65,0,19,0,0,0
695,normal,75.91,0,13,0,0,0
696,normal,55.2,0,13,0,0,0
697,normal,43.64,0,19,0,0,0
698,normal,63.56,0,9,0,0,0
699,normal,23.29,0,18,0,0,0
700,normal,89.73,0,21,0,0,0
701,frequent_traveler,44.31,1,16,0,0,0
