account_id,plan_tier,api_calls_per_month,seat_count,feature_count,feature_request_count,upgraded_next_quarter,cluster
349,free,166.0,2.0,3.0,1,0,2
350,free,550.0,1.0,5.0,2,0,2
351,free,830.0,1.0,2.0,2,0,2
352,pro,7899.0,11.0,10.0,0,0,0
353,enterprise,49104.0,47.0,17.0,1,0,1
354,free,0.0,3.0,3.0,2,0,2
355,free,292.0,1.0,1.0,3,0,2
356,free,595.0,1.0,4.0,4,0,2
357,free,763.0,2.0,2.0,2,0,2
358,pro,8893.0,8.0,8.0,5,0,0
359,pro,6865.0,6.0,7.0,2,0,0
360,pro,9164.0,12.0,7.0,3,0,0
361,free,49.0,7.0,4.0,2,0,2
362,enterprise,60963.0,40.0,18.0,0,0,1
363,pro,9830.0,8.0,11.0,1,0,0
364,free,503.0,2.0,2.0,1,0,2
365,free,984.0,1.0,2.0,2,0,2
366,free,508.0,2.0,2.0,1,0,2
367,free,458.0,1.0,4.0,5,0,2
368,free,724.0,4.0,2.0,1,0,2
369,free,559.0,2.0,3.0,2,0,2
370,free,268.0,1.0,2.0,1,0,2
371,pro,8025.0,7.0,12.0,2,0,0
372,free,963.0,6.0,6.0,1,0,2
373,free,362.0,1.0,4.0,2,0,2
374,free,423.0,1.0,2.0,2,0,2
375,enterprise,65428.0,47.0,18.0,1,0,1
376,free,570.0,1.0,1.0,1,0,2
377,free,572.0,1.0,1.0,1,0,2
378,free,841.0,1.0,4.0,4,0,2
379,free,367.0,1.0,4.0,3,0,2
380,pro,8118.0,11.0,9.0,2,0,0
381,free,896.0,2.0,4.0,1,0,2
382,pro,6838.0,10.0,10.0,8,1,0
383,free,634.0,1.0,2.0,4,1,2
384,free,874.0,2.0,5.0,4,0,2
385,free,371.0,5.0,1.0,2,0,2
386,free,201.0,1.0,5.0,1,0,2
387,pro,8505.0,12.0,10.0,0,0,0
388,pro,9153.0,9.0,6.0,4,0,0
389,free,609.0,3.0,1.0,1,0,2
390,free,667.0,8.0,4.0,3,0,2
391,free,776.0,1.0,7.0,3,0,0
392,free,184.0,1.0,3.0,3,0,2
393,free,420.0,6.0,5.0,0,0,2
394,free,373.0,1.0,1.0,0,0,2
395,pro,9294.0,6.0,10.0,3,0,0
396,enterprise,43297.0,45.0,18.0,4,0,1
397,free,583.0,1.0,3.0,2,0,2
398,free,398.0,3.0,5.0,0,0,2
399,pro,6558.0,10.0,8.0,1,0,0
400,pro,9829.0,3.0,9.0,6,0,0
401,pro,7624.0,7.0,9.0,2,0,0
402,pro,5833.0,9.0,12.0,4,0,0
403,free,1129.0,1.0,3.0,3,0,2
404,pro,7135.0,6.0,11.0,1,0,0
405,free,864.0,3.0,5.0,3,1,2
406,pro,7997.0,10.0,8.0,0,0,0
407,free,0.0,3.0,3.0,5,0,2
408,enterprise,63375.0,48.0,17.0,5,0,1
409,pro,6501.0,6.0,9.0,5,0,0
410,free,48.0,3.0,2.0,3,1,2
411,free,686.0,2.0,2.0,1,0,2
412,enterprise,55712.0,47.0,15.0,1,0,1
413,free,436.0,2.0,3.0,2,0,2
414,free,506.0,1.0,1.0,1,0,2
415,free,807.0,1.0,1.0,5,0,2
416,free,576.0,2.0,2.0,2,0,2
417,pro,7065.0,7.0,11.0,1,0,0
418,free,411.0,5.0,2.0,2,0,2
419,free,562.0,1.0,3.0,0,0,2
420,free,315.0,4.0,4.0,2,0,2
421,free,395.0,1.0,4.0,4,1,2
422,free,753.0,2.0,3.0,4,1,2
423,free,505.0,1.0,2.0,1,0,2
424,free,615.0,1.0,1.0,1,0,2
425,free,616.0,1.0,1.0,2,0,2
426,free,621.0,7.0,4.0,1,0,2
427,pro,8964.0,7.0,6.0,2,0,0
428,free,427.0,1.0,3.0,1,0,2
429,free,351.0,1.0,2.0,2,0,2
430,free,828.0,1.0,4.0,4,0,2
431,free,380.0,1.0,1.0,0,0,2
432,pro,5721.0,10.0,6.0,3,0,0
433,pro,8437.0,12.0,10.0,1,0,0
434,pro,8480.0,7.0,10.0,5,0,0
435,free,241.0,1.0,3.0,3,0,2
436,free,885.0,1.0,4.0,2,0,2
437,free,689.0,2.0,1.0,2,0,2
438,free,482.0,5.0,4.0,0,0,2
439,enterprise,43443.0,44.0,16.0,4,0,1
440,pro,8410.0,7.0,8.0,1,0,0
441,free,368.0,3.0,3.0,1,0,2
442,pro,8287.0,8.0,7.0,2,0,0
443,enterprise,61673.0,47.0,18.0,4,0,1
444,enterprise,41491.0,41.0,17.0,0,0,1
445,pro,8286.0,7.0,10.0,2,0,0
446,free,471.0,1.0,3.0,2,0,2
447,pro,7707.0,8.0,6.0,4,0,0
448,free,842.0,2.0,3.0,1,0,2
449,free,669.0,6.0,2.0,3,0,2
450,pro,7952.0,10.0,10.0,1,0,0
451,free,275.0,3.0,4.0,1,0,2
452,pro,9548.0,8.0,10.0,4,0,0
453,free,433.0,3.0,1.0,0,0,2
454,pro,6120.0,9.0,9.0,4,0,0
455,free,445.0,5.0,2.0,1,0,2
456,free,41.0,1.0,2.0,1,0,2
457,pro,10923.0,4.0,10.0,2,0,0
458,pro,8548.0,6.0,8.0,3,0,0
459,free,564.0,1.0,2.0,2,0,2
460,free,167.0,1.0,1.0,4,1,2
461,pro,7525.0,13.0,7.0,1,0,0
462,free,198.0,3.0,2.0,3,0,2
463,pro,8040.0,6.0,8.0,1,0,0
464,free,732.0,1.0,5.0,4,0,2
465,free,0.0,1.0,4.0,2,0,2
466,free,709.0,3.0,3.0,2,1,2
467,free,519.0,4.0,2.0,3,0,2
468,free,284.0,1.0,1.0,5,0,2
469,pro,6903.0,10.0,9.0,1,0,0
470,free,302.0,1.0,2.0,5,0,2
471,enterprise,61405.0,43.0,17.0,2,0,1
472,free,541.0,1.0,1.0,6,0,2
473,free,584.0,1.0,1.0,2,0,2
474,pro,9012.0,6.0,9.0,2,0,0
475,pro,8100.0,8.0,6.0,2,0,0
476,free,219.0,5.0,1.0,2,0,2
477,enterprise,69936.0,46.0,14.0,1,0,1
478,pro,8658.0,7.0,7.0,1,0,0
479,enterprise,72330.0,43.0,14.0,3,0,1
480,pro,6799.0,11.0,8.0,1,0,0
481,pro,7678.0,9.0,6.0,3,1,0
482,enterprise,72640.0,49.0,18.0,2,0,1
483,enterprise,55451.0,42.0,19.0,1,0,1
484,enterprise,55472.0,44.0,19.0,4,0,1
485,enterprise,55757.0,45.0,18.0,5,0,1
486,pro,8906.0,11.0,12.0,2,0,0
487,free,275.0,6.0,4.0,3,1,2
488,pro,7455.0,9.0,8.0,2,0,0
489,free,426.0,3.0,3.0,2,0,2
490,pro,6385.0,4.0,10.0,1,0,0
491,free,823.0,1.0,5.0,2,0,2
492,free,0.0,4.0,3.0,2,0,2
493,free,297.0,1.0,3.0,4,0,2
494,pro,8941.0,11.0,6.0,0,0,0
495,pro,8830.0,7.0,10.0,1,0,0
496,free,361.0,1.0,6.0,1,0,2
497,pro,8270.0,7.0,9.0,1,0,0
498,pro,9194.0,6.0,7.0,2,1,0
499,free,647.0,1.0,5.0,0,0,2
500,pro,6469.0,13.0,10.0,0,0,0
501,free,250.0,1.0,2.0,1,0,2
502,enterprise,57428.0,40.0,20.0,1,0,1
503,free,497.0,3.0,4.0,2,0,2
504,pro,9911.0,11.0,10.0,2,0,0
505,free,851.0,2.0,5.0,1,0,2
506,free,546.0,1.0,2.0,3,1,2
507,enterprise,51053.0,42.0,19.0,1,0,1
508,free,556.0,4.0,5.0,2,0,2
509,free,381.0,4.0,4.0,2,0,2
510,free,0.0,2.0,5.0,1,0,2
511,free,507.0,2.0,2.0,3,0,2
512,free,515.0,1.0,5.0,1,0,2
513,pro,7801.0,6.0,10.0,5,0,0
514,free,259.0,1.0,3.0,1,0,2
515,free,854.0,1.0,4.0,3,0,2
516,free,1084.0,1.0,5.0,4,0,2
517,free,829.0,6.0,2.0,2,0,2
518,free,631.0,1.0,1.0,1,0,2
519,enterprise,67716.0,41.0,20.0,3,0,1
520,free,0.0,4.0,3.0,1,0,2
521,pro,9621.0,6.0,8.0,2,0,0
522,pro,8707.0,8.0,10.0,3,0,0
523,pro,7783.0,7.0,9.0,2,0,0
524,free,772.0,4.0,4.0,2,0,2
525,pro,5155.0,10.0,10.0,3,1,0
526,free,774.0,1.0,4.0,1,0,2
527,free,0.0,1.0,3.0,1,0,2
528,pro,7051.0,10.0,9.0,3,0,0
529,enterprise,58370.0,48.0,18.0,3,0,1
530,free,774.0,1.0,5.0,2,0,2
531,free,729.0,1.0,2.0,4,1,2
532,enterprise,67653.0,43.0,17.0,0,0,1
533,pro,7960.0,8.0,11.0,1,1,0
534,free,507.0,1.0,2.0,1,0,2
535,pro,9751.0,4.0,10.0,6,0,0
536,free,229.0,4.0,1.0,1,0,2
537,pro,6157.0,8.0,10.0,2,0,0
538,pro,6779.0,11.0,9.0,3,0,0
539,free,468.0,1.0,2.0,4,0,2
540,free,1003.0,5.0,3.0,1,0,2
541,enterprise,90594.0,42.0,18.0,0,0,1
542,pro,8021.0,10.0,8.0,5,0,0
543,pro,6567.0,6.0,8.0,2,0,0
544,free,273.0,4.0,3.0,2,0,2
545,pro,5743.0,8.0,10.0,2,0,0
546,pro,9026.0,13.0,8.0,4,0,0
547,free,583.0,1.0,5.0,6,0,2
548,free,685.0,1.0,3.0,4,0,2
549,pro,5760.0,4.0,9.0,1,0,0
550,free,623.0,1.0,1.0,5,0,2
551,free,532.0,1.0,2.0,3,0,2
552,free,230.0,1.0,4.0,1,0,2
553,free,709.0,6.0,2.0,1,0,2
554,pro,9436.0,3.0,8.0,3,0,0
555,free,781.0,1.0,2.0,2,0,2
556,pro,6914.0,8.0,8.0,2,0,0
557,pro,7888.0,11.0,7.0,2,0,0
558,pro,8113.0,11.0,8.0,2,0,0
559,free,695.0,4.0,1.0,0,0,2
560,free,533.0,4.0,6.0,1,0,2
561,pro,9324.0,7.0,8.0,4,0,0
562,free,232.0,1.0,2.0,2,0,2
563,pro,7117.0,7.0,5.0,5,1,2
564,free,741.0,1.0,1.0,6,0,2
565,free,213.0,1.0,4.0,2,0,2
566,free,615.0,1.0,2.0,2,1,2
567,pro,9926.0,8.0,9.0,1,0,0
568,free,580.0,1.0,3.0,1,0,2
569,free,555.0,2.0,1.0,0,0,2
570,free,384.0,1.0,1.0,2,0,2
571,pro,6361.0,4.0,8.0,4,0,0
572,free,633.0,7.0,3.0,1,0,2
573,free,411.0,1.0,4.0,5,0,2
574,free,832.0,1.0,3.0,2,0,2
575,enterprise,65565.0,45.0,17.0,3,0,1
576,free,791.0,1.0,5.0,1,0,2
577,pro,7046.0,5.0,11.0,1,0,0
578,free,144.0,7.0,1.0,2,0,2
579,pro,7650.0,7.0,8.0,3,0,0
580,free,879.0,2.0,2.0,0,0,2
581,pro,7420.0,7.0,10.0,4,0,0
582,free,1042.0,1.0,1.0,2,0,2
583,free,446.0,1.0,3.0,3,0,2
584,free,814.0,5.0,5.0,0,0,2
585,pro,8230.0,3.0,10.0,0,0,0
586,pro,9217.0,9.0,10.0,0,0,0
587,free,758.0,4.0,1.0,1,0,2
588,pro,7229.0,6.0,8.0,1,0,0
589,free,314.0,1.0,1.0,2,0,2
590,pro,8377.0,4.0,8.0,3,0,0
591,pro,6971.0,9.0,9.0,1,0,0
592,pro,9195.0,2.0,9.0,2,0,0
593,free,522.0,6.0,4.0,0,0,2
594,free,1092.0,1.0,2.0,4,0,2
595,pro,7714.0,10.0,10.0,5,0,0
596,pro,7418.0,11.0,9.0,2,0,0
597,free,318.0,1.0,1.0,3,0,2
598,free,718.0,3.0,3.0,2,0,2
599,free,473.0,1.0,3.0,3,0,2
600,free,593.0,1.0,3.0,3,0,2
601,pro,10051.0,8.0,8.0,0,0,0
