account_id,account_status,session_length_min,actions_per_session,exports_count,onboarding_completion_pct,retained_90d,cluster
297,paid,24.5,14.9,6,31.0,0,0
298,trial,13.2,6.6,0,27.8,0,2
299,paid,25.0,16.6,5,53.3,0,0
300,expired_trial,3.2,0.0,0,91.0,0,1
301,expired_trial,0.0,2.6,1,100.0,1,1
302,trial,10.7,8.6,2,64.5,1,2
303,trial,8.0,9.1,1,60.4,1,2
304,paid,26.9,15.9,10,65.6,0,0
305,paid,23.7,18.9,4,55.5,1,0
306,trial,12.6,6.7,0,50.3,0,2
307,paid,28.7,19.0,10,50.1,0,0
308,expired_trial,3.0,4.5,0,52.2,0,1
309,trial,15.5,7.4,2,44.8,1,2
310,trial,9.6,8.4,0,87.6,1,2
311,expired_trial,3.4,3.8,0,42.3,0,1
312,trial,10.6,5.9,3,61.4,0,2
313,paid,27.6,14.7,5,62.4,0,0
314,trial,10.9,7.9,1,55.2,0,2
315,trial,9.5,7.2,0,58.0,0,2
316,paid,23.8,17.6,7,27.8,0,0
317,paid,24.8,15.8,6,58.5,0,0
318,paid,28.0,17.3,7,27.7,0,0
319,trial,11.3,4.2,1,47.6,0,2
320,expired_trial,2.6,4.7,0,74.5,0,1
321,trial,9.7,7.8,0,79.5,0,2
322,paid,27.6,17.9,3,69.9,0,0
323,trial,12.0,8.2,2,91.3,0,2
324,trial,9.8,7.3,1,57.0,0,2
325,paid,29.1,17.4,4,39.0,0,0
326,paid,28.7,17.5,4,55.7,0,0
327,paid,24.6,16.7,1,71.2,1,0
328,paid,25.8,18.1,6,58.3,0,0
329,trial,10.6,7.1,3,88.7,1,2
330,paid,25.4,17.2,9,20.6,0,0
331,paid,25.8,16.7,8,39.8,0,0
332,trial,16.1,7.2,0,24.5,0,2
333,paid,28.2,17.5,7,76.2,0,0
334,expired_trial,0.9,3.0,1,32.2,0,1
335,paid,23.8,16.0,6,36.5,0,0
336,paid,26.3,17.9,3,52.4,1,0
337,paid,21.3,14.4,8,94.3,1,0
338,trial,13.4,7.3,1,78.6,0,2
339,trial,11.6,5.2,1,63.2,1,2
340,paid,25.5,16.9,3,73.4,0,0
341,trial,15.9,8.9,4,86.8,1,2
342,paid,23.5,19.5,7,38.0,0,0
343,paid,26.5,18.9,3,89.0,1,0
344,trial,13.1,5.9,4,57.3,0,2
345,trial,9.8,8.5,2,85.6,0,2
346,paid,24.2,16.2,4,100.0,1,0
347,trial,10.4,4.9,2,26.7,0,2
348,trial,10.0,8.3,0,45.1,1,2
349,expired_trial,1.0,0.2,0,56.1,1,1
350,trial,8.4,7.3,1,27.7,0,2
351,paid,31.0,16.0,1,62.5,0,0
352,trial,11.3,8.1,3,16.2,0,2
353,paid,27.6,15.9,9,58.4,0,0
354,trial,10.5,5.8,0,69.2,0,2
355,trial,12.3,10.0,1,67.6,0,2
356,expired_trial,2.7,3.4,0,75.3,0,1
357,expired_trial,1.9,1.6,0,80.0,1,1
358,trial,8.4,4.5,1,38.6,0,2
359,paid,26.6,16.0,7,38.0,1,0
360,paid,27.5,15.2,9,20.0,0,0
361,paid,27.9,19.9,10,53.8,1,0
362,paid,22.3,18.3,3,31.3,0,0
363,paid,26.1,16.2,4,53.2,0,0
364,paid,27.2,17.8,6,73.0,0,0
365,expired_trial,2.6,3.9,0,51.5,0,1
366,trial,11.4,6.0,0,64.8,0,2
367,trial,13.0,8.7,1,60.7,0,2
368,paid,27.5,19.2,3,55.1,0,0
369,trial,13.4,8.3,1,54.3,1,2
370,paid,25.0,18.9,7,87.2,1,0
371,trial,12.6,8.2,2,58.5,0,2
372,paid,25.1,16.8,4,59.3,0,0
373,paid,26.4,16.8,3,49.1,0,0
374,trial,10.1,6.2,0,34.9,0,2
375,paid,30.0,15.1,6,78.7,1,0
376,trial,8.5,7.1,1,41.0,0,2
377,trial,11.5,5.4,1,64.0,1,2
378,paid,28.9,19.7,6,56.8,0,0
379,trial,11.3,6.3,2,54.1,1,2
380,expired_trial,1.4,1.4,0,62.5,1,1
381,expired_trial,1.3,3.2,0,46.0,0,1
382,trial,11.5,8.9,0,35.1,0,2
383,paid,26.7,18.4,7,26.5,0,0
384,trial,10.9,7.0,1,58.0,0,2
385,expired_trial,3.0,2.1,0,72.5,0,1
386,trial,8.5,9.0,2,60.2,0,2
387,paid,24.3,15.4,5,61.2,1,0
388,paid,27.8,15.6,9,10.0,0,0
389,paid,25.9,18.4,14,73.3,1,0
390,trial,10.5,6.1,0,50.4,0,2
391,trial,12.6,9.2,2,53.0,0,2
392,expired_trial,2.6,1.1,0,24.5,0,1
393,trial,9.6,9.1,2,81.8,1,2
394,paid,26.8,18.0,7,31.1,0,0
395,trial,11.3,7.5,0,69.1,0,2
396,trial,11.5,8.1,1,48.0,0,2
397,paid,26.2,16.6,7,54.0,0,0
398,expired_trial,1.6,0.0,0,50.3,0,1
399,trial,10.2,6.7,1,29.1,0,2
400,expired_trial,0.6,2.2,0,56.9,0,1
401,paid,26.1,16.7,7,36.2,0,0
402,paid,25.9,16.6,6,62.7,0,0
403,paid,24.7,18.3,7,22.4,0,0
404,paid,22.5,16.6,6,38.3,0,0
405,paid,26.9,19.7,8,63.5,0,0
406,paid,25.1,20.1,6,28.5,0,0
407,paid,25.2,18.4,8,29.3,0,0
408,trial,12.2,7.0,1,37.6,0,2
409,trial,9.7,8.6,1,39.8,0,2
410,trial,12.0,5.3,4,46.7,1,2
411,trial,11.1,7.6,1,38.4,0,2
412,paid,26.3,17.9,6,79.4,0,0
413,expired_trial,2.0,2.2,0,60.3,0,1
414,expired_trial,1.6,1.0,0,42.3,0,1
415,paid,26.7,18.3,8,52.0,0,0
416,trial,8.8,7.0,2,26.1,0,2
417,paid,29.3,17.9,8,49.8,0,0
418,trial,10.9,10.2,1,93.6,1,2
419,paid,24.1,19.3,7,38.5,0,0
420,trial,10.8,7.4,0,70.0,0,2
421,paid,27.3,16.7,7,76.3,0,0
422,trial,8.4,6.2,0,31.4,0,2
423,expired_trial,0.7,1.6,0,58.9,0,1
424,trial,11.0,10.2,4,45.8,0,2
425,trial,6.2,8.8,2,69.4,1,2
426,trial,12.0,8.7,1,91.3,0,2
427,paid,25.9,17.1,3,66.2,0,0
428,paid,24.6,19.5,2,25.2,0,0
429,expired_trial,0.5,0.6,0,28.4,0,1
430,trial,9.4,7.2,0,81.5,0,2
431,paid,26.0,17.0,4,34.2,1,0
432,trial,11.3,7.0,2,51.5,0,2
433,trial,10.8,8.0,2,52.6,0,2
434,paid,27.0,20.7,2,86.8,1,0
435,paid,27.1,14.4,11,61.9,0,0
436,paid,24.9,16.2,7,64.9,1,0
437,trial,13.8,8.1,2,48.1,0,2
438,trial,12.3,3.4,0,64.7,0,2
439,paid,26.8,15.5,2,58.3,0,0
440,paid,27.4,16.6,5,51.0,0,0
441,paid,26.1,16.3,4,32.0,0,0
442,trial,10.4,7.3,2,29.8,0,2
443,trial,9.2,9.5,2,60.9,0,2
444,trial,11.9,6.9,1,43.1,0,2
445,paid,27.4,17.8,6,39.7,0,0
446,paid,24.3,15.4,7,3.9,0,0
447,paid,26.1,18.8,8,98.1,0,0
448,paid,28.8,16.6,3,31.9,0,0
449,trial,12.4,5.9,1,66.3,0,2
450,paid,25.4,18.1,4,39.6,0,0
451,trial,14.4,4.4,1,63.3,0,2
452,paid,25.2,17.0,8,48.0,0,0
453,trial,11.1,8.6,0,34.0,0,2
454,expired_trial,3.7,0.7,0,80.7,0,1
455,expired_trial,1.4,1.5,0,74.0,1,1
456,expired_trial,1.9,2.2,0,40.6,0,1
457,trial,10.4,5.1,1,33.2,0,2
458,expired_trial,1.1,2.5,1,47.4,0,1
459,trial,10.8,5.0,0,70.6,0,2
460,paid,26.5,15.7,11,47.0,0,0
461,trial,12.5,6.0,3,55.0,0,2
462,paid,23.0,16.1,8,77.4,1,0
463,trial,9.6,7.9,1,16.5,0,2
464,paid,24.7,18.7,11,87.0,0,0
465,expired_trial,4.9,1.1,0,18.9,0,1
466,paid,24.7,18.0,6,70.9,0,0
467,paid,24.8,16.5,9,51.7,0,0
468,trial,12.5,7.2,2,46.9,0,2
469,trial,10.3,6.8,2,73.6,0,2
470,trial,10.4,8.5,2,52.9,0,2
471,paid,25.2,19.8,5,46.9,0,0
472,expired_trial,4.6,3.7,0,26.8,0,1
473,expired_trial,1.3,0.9,0,70.1,0,1
474,trial,12.1,8.1,0,53.5,0,2
475,paid,24.1,15.9,9,33.0,0,0
476,trial,8.0,8.0,1,94.2,0,2
477,paid,26.0,19.2,5,67.8,0,0
478,paid,25.5,15.2,8,60.1,0,0
479,trial,11.6,6.5,2,100.0,0,2
480,paid,29.6,14.6,7,19.7,0,0
481,paid,24.0,18.3,11,43.5,0,0
482,paid,24.2,17.0,10,70.7,1,0
483,trial,11.8,7.6,0,65.3,0,2
484,paid,25.6,16.2,10,26.2,0,0
485,paid,26.5,18.1,7,29.7,0,0
486,trial,10.9,6.0,1,62.6,0,2
487,paid,27.9,15.9,4,55.6,0,0
488,trial,7.5,4.6,2,65.6,0,2
489,paid,27.5,16.7,5,23.4,0,0
490,trial,9.9,5.6,1,48.0,0,2
491,trial,12.4,8.0,3,71.3,0,2
492,paid,26.6,17.5,9,67.4,1,0
493,trial,15.2,5.4,0,38.5,0,2
494,paid,23.8,17.8,4,61.5,0,0
495,paid,25.2,16.3,10,64.1,0,0
496,paid,24.4,16.6,3,44.6,0,0
497,trial,12.5,9.7,2,56.4,0,2
498,trial,12.9,9.1,3,100.0,1,2
499,trial,12.9,6.3,1,41.7,0,2
500,paid,23.2,18.6,5,61.4,0,0
501,paid,26.6,17.3,5,72.9,0,0
502,trial,10.8,5.9,0,32.4,0,2
503,paid,27.1,17.6,3,33.5,0,0
504,paid,24.8,18.1,12,86.1,0,0
505,paid,25.3,17.3,5,63.1,0,0
506,trial,9.0,8.0,1,61.8,0,2
507,trial,10.5,7.7,3,81.5,1,2
508,trial,9.8,7.7,4,25.6,0,2
509,expired_trial,5.1,1.6,0,53.4,0,1
510,expired_trial,0.9,2.4,0,68.6,1,1
511,trial,12.3,8.1,2,70.3,1,2
512,paid,26.4,18.5,6,57.7,0,0
513,trial,13.5,9.8,0,79.7,1,2
514,expired_trial,2.1,2.7,0,36.1,0,1
515,paid,25.7,19.6,8,78.3,0,0
516,paid,26.1,17.0,5,51.5,0,0
517,expired_trial,2.6,1.1,0,39.2,0,1
518,paid,27.3,17.7,7,61.4,0,0
519,paid,26.8,17.0,12,64.8,0,0
520,trial,12.1,6.6,1,12.2,0,2
521,trial,9.6,4.8,1,33.4,0,2
522,paid,27.3,15.6,16,51.7,0,0
523,trial,9.8,5.9,0,63.2,1,2
524,expired_trial,0.0,0.1,1,60.3,0,1
525,expired_trial,4.3,2.7,1,36.8,1,1
526,trial,10.2,3.4,0,81.9,0,2
527,trial,13.3,8.6,0,66.0,1,2
528,paid,22.9,17.2,6,47.7,0,0
529,paid,27.5,17.2,5,60.1,0,0
530,trial,12.4,6.9,0,37.4,0,2
531,trial,11.0,7.4,3,50.5,0,2
532,expired_trial,5.1,1.4,0,74.8,0,1
533,trial,9.9,6.1,0,96.6,1,2
534,trial,10.9,7.1,0,88.6,0,2
535,trial,14.9,7.4,0,26.2,0,2
536,paid,23.9,18.1,10,100.0,0,0
537,paid,24.9,19.1,6,70.4,0,0
538,trial,9.6,8.7,2,15.5,0,2
539,paid,26.1,17.4,6,28.1,0,0
540,paid,24.9,16.6,10,68.7,0,0
541,paid,25.0,15.3,4,82.4,0,0
542,trial,10.4,8.4,1,46.9,0,2
543,trial,13.4,8.5,0,54.5,0,2
544,paid,24.9,15.7,10,73.0,1,0
545,trial,9.7,5.5,3,83.1,0,2
546,paid,25.9,16.8,6,39.7,0,0
547,paid,25.7,18.2,7,80.7,0,0
548,trial,9.8,7.6,0,89.8,0,2
549,trial,11.1,7.0,4,51.6,0,2
550,trial,14.0,6.1,1,34.3,0,2
551,trial,10.0,5.2,0,53.7,0,2
552,expired_trial,0.0,1.7,0,37.6,0,1
553,paid,25.7,17.4,8,0.0,0,0
554,paid,27.7,16.7,4,68.5,0,0
555,trial,10.4,6.6,0,57.2,0,2
556,paid,26.4,13.9,15,75.2,0,0
557,expired_trial,4.5,0.0,0,77.3,0,1
558,trial,12.0,5.6,2,44.8,0,2
559,paid,24.5,16.3,6,97.1,1,0
560,trial,9.0,7.0,0,29.5,0,2
561,trial,12.2,8.7,2,81.1,0,2
562,trial,10.8,4.4,2,27.1,0,2
563,paid,23.0,16.4,6,27.9,0,0
564,paid,25.2,16.4,10,50.1,0,0
565,paid,27.0,17.8,3,37.5,0,0
566,paid,26.0,17.5,8,72.7,0,0
567,expired_trial,0.0,0.0,0,60.3,0,1
568,trial,13.1,6.5,1,78.7,0,2
569,expired_trial,2.3,2.1,0,39.7,0,1
570,trial,10.2,6.4,2,48.0,0,2
571,expired_trial,0.2,1.3,1,52.1,0,1
572,paid,26.5,16.9,10,54.6,0,0
573,expired_trial,2.6,0.7,0,76.2,0,1
574,paid,27.4,17.5,11,81.1,1,0
575,paid,26.2,18.9,7,66.4,0,0
576,paid,28.0,16.1,10,22.4,0,0
577,trial,10.5,7.5,3,33.8,0,2
578,trial,8.2,9.5,2,72.8,0,2
579,trial,11.3,6.9,3,47.1,0,2
580,trial,11.4,6.5,3,70.3,0,2
581,paid,24.9,16.8,5,70.9,0,0
582,trial,10.5,9.0,1,47.8,0,2
583,trial,11.3,9.3,2,64.6,1,2
584,expired_trial,3.0,0.8,0,94.7,0,1
585,paid,27.2,15.5,9,71.1,0,0
586,trial,11.3,6.1,2,79.5,0,2
587,paid,21.5,17.1,7,23.4,0,0
588,paid,28.9,16.1,10,100.0,1,0
589,expired_trial,0.9,1.1,0,77.7,0,1
590,paid,26.9,18.6,7,23.9,0,0
591,expired_trial,0.0,1.5,0,46.7,0,1
592,paid,29.7,17.6,4,67.8,0,0
