user_id,signup_month,plan_tier,region,engagement_score,got_campaign,retained_90d
239,2025-11,basic,NA,79.5,1,1
240,2025-07,plus,APAC,63.3,1,1
241,2025-07,basic,APAC,34.2,0,0
242,2026-04,basic,EU,80.8,1,1
243,2025-09,basic,APAC,46.6,0,0
244,2025-07,premium,APAC,62.6,0,0
245,2026-05,basic,NA,64.5,0,1
246,2025-11,premium,NA,81.9,1,1
247,2025-08,basic,NA,47.5,0,0
248,2025-09,basic,NA,74.0,1,1
249,2025-08,premium,EU,26.6,1,1
250,2026-06,plus,NA,70.7,0,1
251,2026-04,basic,NA,53.8,0,1
252,2026-02,plus,NA,48.8,0,0
253,2026-03,basic,APAC,33.7,0,0
254,2025-07,basic,NA,75.8,1,0
255,2025-12,basic,EU,52.1,1,1
256,2026-03,basic,NA,49.5,1,0
257,2026-04,basic,EU,42.8,0,0
258,2026-05,basic,NA,7.2,0,0
259,2026-04,premium,EU,69.5,1,1
260,2026-03,basic,NA,22.1,0,0
261,2025-09,basic,EU,71.9,1,1
262,2026-01,basic,EU,67.3,1,1
263,2026-01,premium,APAC,49.5,0,0
264,2025-10,basic,NA,19.3,0,0
265,2026-02,basic,NA,16.8,0,0
266,2026-02,premium,APAC,47.7,0,1
267,2026-04,basic,NA,45.2,0,1
268,2025-07,basic,EU,12.0,0,0
269,2025-09,plus,NA,43.1,0,0
270,2025-09,basic,EU,14.5,0,0
271,2025-09,basic,NA,29.0,0,1
272,2026-06,plus,APAC,48.8,0,0
273,2025-10,premium,NA,12.8,0,0
274,2026-03,premium,EU,22.8,0,0
275,2026-05,plus,NA,34.8,1,0
276,2025-08,basic,NA,53.7,0,1
277,2026-04,plus,NA,41.7,0,1
278,2026-03,premium,EU,19.5,0,1
279,2026-06,plus,NA,41.9,0,0
280,2026-05,basic,EU,50.4,1,1
281,2025-10,premium,APAC,24.8,0,0
282,2026-03,premium,NA,43.1,0,0
283,2025-09,basic,EU,80.5,1,0
284,2026-02,plus,APAC,22.3,0,0
285,2026-06,premium,EU,62.7,0,0
286,2025-12,basic,EU,85.3,1,1
287,2026-06,premium,APAC,24.7,0,0
288,2026-02,basic,APAC,23.7,0,0
289,2026-05,basic,NA,67.6,1,1
290,2026-05,premium,EU,26.6,0,0
291,2025-07,premium,EU,21.2,0,0
292,2025-10,basic,NA,25.9,0,0
293,2025-07,premium,NA,74.2,1,1
294,2026-04,plus,EU,19.1,0,1
295,2026-03,premium,NA,13.5,0,0
296,2026-02,basic,EU,38.0,0,0
297,2025-08,premium,EU,76.6,0,1
298,2025-08,plus,APAC,51.7,0,0
299,2026-05,plus,NA,48.4,0,1
300,2025-09,basic,NA,82.5,1,1
301,2026-01,basic,EU,30.0,0,0
302,2026-05,basic,NA,52.7,0,0
303,2025-10,basic,APAC,23.4,0,0
304,2025-10,premium,EU,45.8,0,1
305,2025-09,plus,NA,60.8,1,0
306,2025-11,plus,NA,45.9,0,0
307,2026-02,basic,EU,48.2,0,0
308,2025-10,plus,NA,25.5,1,0
309,2025-09,basic,NA,21.5,0,0
310,2026-01,plus,NA,22.0,0,0
311,2025-07,basic,EU,80.2,1,1
312,2025-07,basic,EU,32.3,0,0
313,2026-02,basic,NA,30.6,0,0
314,2025-12,basic,EU,61.8,0,0
315,2026-06,plus,EU,32.0,0,0
316,2025-12,plus,APAC,32.8,0,0
317,2025-10,basic,NA,36.6,0,0
318,2026-04,plus,NA,45.4,0,0
319,2025-08,premium,APAC,59.9,1,1
320,2025-09,plus,NA,24.1,0,0
321,2026-04,plus,APAC,80.4,1,1
322,2025-11,basic,EU,52.5,0,1
323,2025-12,plus,NA,31.4,0,1
324,2026-01,basic,NA,76.6,1,1
325,2026-02,basic,NA,67.6,1,0
326,2026-04,basic,EU,66.1,0,1
327,2026-01,basic,NA,92.2,1,1
328,2026-03,basic,APAC,67.7,1,1
329,2026-04,basic,EU,50.3,0,0
330,2025-07,plus,EU,64.6,1,1
331,2026-01,basic,EU,70.4,0,1
332,2025-11,basic,APAC,9.3,0,0
333,2025-11,basic,APAC,10.1,0,0
334,2025-09,basic,APAC,20.5,0,0
335,2026-03,basic,APAC,61.1,1,0
336,2025-08,plus,NA,33.2,1,0
337,2025-08,basic,NA,13.1,0,0
338,2025-10,basic,NA,31.0,1,0
339,2026-06,plus,APAC,47.3,1,1
340,2026-01,basic,APAC,59.5,0,0
341,2025-11,premium,NA,26.8,0,0
342,2026-04,basic,NA,51.6,0,0
343,2025-07,basic,EU,50.2,0,0
344,2026-05,basic,EU,82.1,1,1
345,2025-11,premium,EU,46.7,0,0
346,2025-11,basic,APAC,96.9,1,1
347,2026-05,basic,EU,38.7,0,0
348,2025-09,basic,EU,36.5,0,0
349,2025-09,premium,EU,59.0,0,1
350,2026-01,plus,EU,72.4,1,1
351,2025-09,basic,EU,20.9,0,0
352,2026-02,plus,EU,25.5,0,1
353,2026-02,plus,APAC,46.4,0,1
354,2026-01,basic,APAC,57.8,0,0
355,2025-12,basic,EU,17.5,0,0
356,2026-04,basic,NA,47.0,0,1
357,2026-04,basic,APAC,77.7,1,1
358,2025-11,plus,EU,47.2,0,0
359,2025-09,premium,NA,55.7,1,0
360,2025-10,plus,EU,93.2,1,1
361,2025-08,basic,NA,55.6,1,1
362,2026-01,basic,APAC,60.9,0,0
363,2026-05,basic,NA,74.4,0,1
364,2026-02,plus,NA,58.3,1,1
365,2026-04,plus,EU,39.6,0,0
366,2025-11,plus,NA,61.6,1,1
367,2026-06,premium,EU,50.4,0,0
368,2025-10,basic,NA,48.1,0,0
369,2026-01,plus,NA,63.5,1,1
370,2026-06,premium,NA,7.4,0,0
371,2025-07,basic,NA,47.6,0,1
372,2026-03,plus,EU,52.4,0,0
373,2025-12,basic,EU,46.6,0,0
374,2026-02,basic,APAC,40.4,0,0
375,2026-04,basic,NA,40.1,0,1
376,2025-10,basic,NA,27.3,0,0
377,2026-06,plus,NA,52.3,1,1
378,2026-06,basic,NA,37.4,0,1
379,2026-01,basic,NA,8.2,0,0
380,2026-01,plus,EU,66.3,0,1
381,2026-03,basic,NA,63.0,0,0
382,2025-10,basic,NA,48.8,0,0
383,2025-11,plus,EU,35.5,0,1
384,2025-11,premium,NA,54.3,1,0
385,2025-08,basic,NA,45.0,0,0
386,2025-11,premium,NA,23.6,0,0
387,2026-06,premium,APAC,35.0,1,0
388,2025-07,basic,NA,22.6,0,0
389,2026-05,premium,NA,38.3,1,0
390,2025-11,plus,NA,30.4,0,0
391,2025-10,plus,EU,74.5,1,1
392,2025-10,basic,NA,39.3,0,0
393,2025-09,plus,NA,12.2,0,0
394,2025-12,basic,EU,51.6,1,1
395,2025-10,plus,EU,60.4,1,0
396,2026-01,basic,EU,65.6,0,1
397,2026-04,plus,NA,26.1,0,0
398,2025-11,premium,APAC,47.2,1,0
399,2026-05,basic,NA,13.8,0,0
400,2025-07,basic,NA,9.0,0,0
401,2025-08,basic,NA,52.9,0,0
402,2026-06,basic,EU,37.3,0,0
403,2026-05,premium,NA,81.9,1,1
404,2025-08,plus,EU,28.4,0,0
405,2025-12,plus,NA,45.8,0,0
406,2025-11,plus,NA,52.2,0,0
407,2025-08,plus,APAC,27.9,1,0
408,2026-03,basic,NA,46.6,0,0
409,2025-12,basic,NA,32.4,0,0
410,2026-05,basic,APAC,62.4,1,1
411,2025-11,plus,EU,43.8,0,0
412,2026-02,premium,APAC,26.9,1,0
413,2026-05,basic,NA,33.3,0,0
414,2025-09,basic,NA,26.8,0,0
415,2025-11,plus,NA,26.3,1,0
416,2026-02,plus,NA,42.7,1,0
417,2026-03,plus,EU,39.4,1,0
418,2025-11,basic,NA,26.5,1,0
419,2025-07,plus,NA,57.1,0,0
420,2026-03,plus,NA,43.5,1,0
421,2026-03,basic,NA,35.2,0,0
422,2025-11,plus,NA,35.5,1,1
423,2026-04,basic,NA,28.0,0,0
424,2025-08,premium,NA,72.4,1,1
425,2026-01,premium,NA,79.9,1,1
426,2026-01,plus,EU,66.9,0,1
427,2025-08,basic,EU,82.9,1,1
428,2025-07,premium,EU,39.1,1,0
429,2026-06,basic,NA,57.7,1,1
430,2026-02,basic,NA,7.2,0,0
431,2026-05,basic,APAC,53.7,1,1
432,2025-10,basic,NA,44.2,0,1
433,2026-01,premium,APAC,10.8,0,0
434,2026-05,basic,NA,38.0,1,0
435,2025-12,plus,EU,83.5,1,1
436,2026-01,plus,EU,25.0,0,0
437,2026-05,plus,NA,67.6,1,1
438,2025-07,basic,NA,25.0,0,0
439,2026-01,basic,APAC,73.1,1,1
440,2026-02,premium,EU,46.3,1,0
441,2026-05,basic,EU,29.3,0,0
442,2026-04,basic,APAC,81.6,0,1
443,2025-09,plus,NA,24.0,0,0
444,2025-07,plus,EU,45.0,0,1
445,2025-09,plus,APAC,64.0,0,1
446,2026-03,basic,APAC,14.3,0,0
447,2025-09,basic,NA,8.8,0,0
448,2026-04,basic,APAC,47.8,0,0
449,2026-06,plus,NA,39.4,0,0
450,2026-03,premium,EU,29.1,0,0
451,2025-08,plus,EU,72.6,0,1
452,2025-12,plus,NA,79.4,0,1
453,2025-10,plus,NA,50.6,0,0
454,2026-02,plus,NA,62.4,0,1
455,2025-12,basic,NA,46.3,0,0
456,2025-12,plus,NA,58.1,1,1
457,2026-02,plus,NA,38.0,0,0
458,2025-11,basic,EU,48.9,1,0
459,2026-06,plus,EU,26.3,0,0
460,2025-07,basic,EU,51.4,1,0
461,2026-03,basic,EU,16.4,1,0
462,2025-12,plus,NA,37.4,0,0
463,2026-03,plus,APAC,19.3,0,0
464,2026-04,basic,NA,32.2,1,0
465,2026-05,plus,NA,57.2,0,1
466,2025-07,basic,NA,50.9,1,1
467,2025-11,plus,APAC,53.9,1,1
468,2025-07,basic,NA,4.6,0,0
469,2025-11,plus,NA,7.0,0,0
470,2025-09,premium,APAC,40.8,0,0
471,2026-02,basic,EU,38.6,0,0
472,2025-10,plus,EU,71.5,1,1
473,2025-12,plus,NA,26.6,0,0
474,2026-01,plus,NA,14.1,0,0
475,2025-07,premium,NA,61.6,0,0
476,2026-04,basic,NA,39.2,0,0
477,2025-12,basic,APAC,96.1,1,1
478,2025-07,plus,NA,81.9,1,1
479,2025-08,basic,NA,43.7,0,0
480,2026-04,plus,NA,35.9,1,0
481,2026-06,plus,EU,61.8,1,0
482,2026-03,plus,NA,41.7,0,0
483,2025-10,basic,NA,32.8,0,0
484,2025-12,basic,NA,83.9,1,0
485,2025-10,premium,APAC,20.2,0,0
486,2025-09,basic,EU,68.2,1,1
487,2026-05,plus,EU,48.4,0,0
488,2025-08,plus,EU,28.5,0,0
489,2025-12,basic,APAC,34.7,0,0
490,2025-08,plus,NA,52.8,0,0
491,2025-12,basic,EU,61.2,1,0
492,2025-10,premium,NA,57.6,0,1
493,2025-11,plus,APAC,39.7,0,0
494,2026-01,basic,EU,36.5,0,0
495,2025-10,plus,EU,50.9,1,0
496,2025-11,plus,NA,14.0,0,1
497,2025-10,basic,NA,52.9,0,0
498,2026-01,basic,EU,18.2,1,0
499,2026-03,basic,NA,27.6,0,0
500,2026-05,plus,EU,77.8,0,1
501,2026-06,basic,NA,30.7,0,0
502,2025-08,plus,APAC,40.5,0,1
503,2026-03,basic,NA,25.1,0,0
504,2026-05,premium,EU,29.4,0,0
505,2025-08,plus,APAC,68.9,1,0
506,2025-09,basic,EU,42.1,0,0
507,2025-08,plus,NA,26.5,0,0
508,2025-12,basic,EU,54.8,0,1
509,2026-04,basic,NA,66.8,1,1
510,2026-03,basic,NA,19.6,0,0
511,2026-03,plus,EU,41.7,1,0
512,2026-03,premium,APAC,78.1,1,1
513,2026-04,basic,EU,43.7,0,1
514,2026-04,basic,APAC,14.8,0,0
515,2025-12,plus,APAC,25.5,0,0
516,2026-03,premium,NA,57.8,0,1
517,2025-07,plus,NA,9.2,0,0
518,2025-07,basic,NA,82.2,1,1
519,2025-12,premium,NA,70.0,1,0
520,2025-12,basic,NA,61.1,1,1
521,2026-04,basic,NA,28.9,0,0
522,2025-11,basic,EU,43.9,0,0
523,2025-10,basic,EU,53.5,0,0
524,2026-06,plus,NA,33.9,0,0
525,2026-03,plus,NA,76.1,1,1
526,2026-06,plus,EU,36.9,0,0
527,2026-02,premium,EU,50.5,0,0
528,2025-10,basic,EU,38.7,0,0
529,2025-10,plus,NA,28.5,0,0
530,2026-03,plus,EU,68.0,1,0
531,2025-08,basic,NA,51.1,0,0
532,2025-09,basic,APAC,25.3,0,0
533,2026-04,plus,APAC,50.2,0,0
534,2026-03,basic,NA,85.0,1,1
535,2026-02,premium,NA,30.5,0,1
536,2025-10,plus,NA,56.7,1,0
537,2025-07,basic,NA,42.0,0,0
538,2026-03,basic,EU,63.0,1,0
539,2025-10,plus,NA,54.6,0,0
540,2025-07,basic,NA,43.1,1,0
541,2026-01,plus,NA,32.9,1,0
542,2026-03,basic,EU,42.4,0,0
543,2025-11,premium,NA,91.3,1,1
544,2025-12,basic,NA,19.2,0,0
545,2025-12,plus,NA,71.6,1,1
546,2026-03,premium,NA,49.1,1,0
547,2026-05,plus,NA,48.1,0,1
548,2025-08,plus,EU,30.3,0,0
549,2025-09,premium,APAC,26.9,0,0
550,2026-05,premium,NA,38.3,1,0
551,2025-11,plus,NA,26.9,0,0
552,2026-02,plus,NA,29.8,0,0
553,2025-07,basic,NA,64.1,0,1
554,2025-11,premium,APAC,21.2,0,0
555,2026-02,premium,EU,73.4,1,1
556,2025-11,plus,NA,26.5,0,0
557,2025-10,plus,NA,15.2,0,0
558,2025-10,plus,NA,13.9,0,0
559,2026-03,basic,NA,15.4,0,0
560,2026-02,basic,EU,17.4,0,0
561,2025-10,plus,EU,54.8,1,0
562,2025-07,basic,NA,92.6,1,1
563,2025-10,basic,NA,38.5,1,0
564,2026-03,premium,APAC,83.6,1,1
565,2026-04,basic,EU,41.0,0,0
566,2026-04,premium,NA,68.2,1,0
567,2026-06,plus,EU,19.7,0,0
568,2025-10,premium,APAC,54.0,0,0
569,2026-03,basic,NA,40.9,0,0
570,2025-08,basic,EU,34.3,0,0
571,2026-05,plus,APAC,30.3,0,0
572,2026-06,basic,NA,41.4,1,0
573,2025-12,plus,APAC,25.9,0,0
574,2026-02,plus,NA,51.4,0,0
575,2025-10,basic,NA,57.1,0,1
576,2026-03,premium,EU,16.0,0,0
577,2025-09,basic,NA,34.6,0,0
578,2026-02,basic,NA,27.3,0,0
579,2025-12,plus,EU,61.8,1,0
580,2025-09,basic,EU,55.9,0,1
581,2026-04,plus,NA,66.1,1,0
582,2026-04,plus,APAC,91.4,1,1
583,2025-07,basic,NA,59.3,1,1
584,2025-12,basic,NA,56.7,1,0
585,2026-02,basic,EU,63.7,1,0
586,2025-10,basic,EU,29.8,0,0
587,2025-10,basic,NA,71.7,0,1
588,2026-02,basic,NA,62.8,1,0
589,2025-11,plus,APAC,44.8,0,0
590,2026-05,premium,NA,46.8,1,0
591,2026-03,basic,EU,51.1,1,1
592,2026-04,plus,EU,66.7,1,1
593,2026-05,basic,APAC,80.8,1,0
594,2026-03,basic,EU,88.7,1,1
595,2026-01,basic,NA,23.0,0,0
596,2025-10,plus,EU,45.5,0,0
597,2025-10,basic,EU,31.0,0,0
598,2025-10,premium,EU,23.7,0,1
599,2025-07,plus,NA,9.7,0,0
600,2026-04,plus,APAC,7.4,0,0
601,2026-06,plus,EU,22.3,1,0
602,2026-04,basic,APAC,5.0,0,0
603,2025-10,plus,APAC,21.2,0,0
604,2026-05,basic,NA,70.7,1,0
605,2026-02,basic,EU,27.3,0,0
606,2026-06,basic,EU,15.8,0,0
607,2026-04,basic,EU,61.4,0,0
608,2025-11,plus,NA,62.7,1,1
609,2026-01,basic,NA,64.5,1,1
610,2026-02,basic,EU,59.1,1,0
611,2025-11,premium,NA,86.6,1,0
612,2026-01,basic,APAC,21.8,0,0
613,2026-03,basic,EU,36.6,0,0
614,2025-10,basic,NA,61.8,1,1
615,2025-09,basic,NA,64.4,0,0
616,2026-01,plus,NA,5.8,1,0
617,2026-04,premium,NA,66.5,1,1
618,2026-06,plus,NA,39.6,1,1
619,2026-05,basic,EU,61.0,1,1
620,2026-06,premium,EU,45.4,0,0
621,2025-10,plus,APAC,62.4,1,0
622,2026-01,premium,EU,26.1,0,0
623,2025-10,basic,EU,42.4,0,0
624,2025-09,plus,NA,53.5,1,0
625,2025-07,basic,APAC,29.1,0,1
626,2026-05,basic,NA,45.1,1,0
627,2025-11,premium,EU,56.0,1,1
628,2026-05,plus,EU,19.0,0,0
629,2025-10,plus,NA,27.9,0,1
630,2026-01,basic,EU,57.7,1,1
631,2025-11,basic,APAC,55.1,0,1
632,2025-12,premium,EU,10.3,0,0
633,2026-02,basic,NA,38.7,0,0
634,2025-09,basic,NA,15.1,0,0
635,2025-12,basic,NA,53.4,1,0
636,2025-10,plus,NA,10.4,0,0
637,2026-06,basic,APAC,36.7,1,0
638,2025-07,basic,NA,23.8,0,0
639,2026-05,plus,NA,20.9,0,0
640,2025-12,plus,NA,41.7,0,0
641,2026-06,plus,NA,40.6,1,0
642,2025-08,basic,NA,13.6,0,0
643,2025-11,basic,NA,53.7,1,1
644,2026-01,basic,NA,39.8,1,0
645,2025-10,basic,APAC,27.2,0,1
646,2025-09,basic,NA,68.5,1,1
647,2025-07,premium,NA,33.8,0,1
648,2026-05,premium,EU,61.8,0,1
649,2026-02,basic,NA,29.1,1,0
650,2025-08,plus,APAC,12.6,0,0
651,2026-05,basic,EU,47.2,1,0
652,2025-12,basic,EU,36.1,1,0
653,2026-06,plus,NA,27.7,0,0
654,2025-08,basic,NA,23.0,0,1
655,2025-10,basic,APAC,59.7,0,0
656,2026-01,basic,NA,27.7,0,1
657,2026-03,plus,NA,49.0,0,1
