user_id,plan,engagement_score,workflows_first_month,workflows_total,tenure_months,churned
62,free,63.0,5,78,12,0
63,pro,47.4,5,15,3,1
64,free,74.4,9,164,21,0
65,team,49.1,11,27,5,1
66,team,55.7,5,22,3,1
67,free,72.8,8,133,18,0
68,team,71.9,6,127,16,0
69,free,54.3,5,88,14,0
70,free,41.3,9,14,1,1
71,free,20.9,3,5,2,1
72,team,25.9,5,15,3,1
73,free,57.6,11,14,1,1
74,pro,78.6,8,132,13,0
75,team,30.8,9,15,1,1
76,pro,73.9,10,210,26,0
77,free,41.4,8,69,13,0
78,free,46.7,3,77,15,0
79,pro,88.9,9,259,27,0
80,free,45.9,6,28,4,1
81,team,42.5,4,7,2,1
82,pro,62.2,12,23,2,1
83,free,32.1,3,3,1,1
84,free,22.8,2,7,1,1
85,pro,23.1,6,11,2,1
86,pro,44.3,7,72,15,0
87,free,74.0,7,25,2,1
88,pro,45.4,9,14,1,1
89,free,71.7,15,131,14,0
90,pro,49.6,9,13,1,1
91,pro,31.7,1,7,2,1
92,pro,77.2,8,185,21,0
93,free,40.8,7,12,1,1
94,free,67.7,6,146,18,0
95,pro,54.3,11,33,4,1
96,pro,34.5,4,7,2,1
97,free,70.7,9,13,1,1
98,pro,10.9,0,1,2,1
99,team,30.4,1,4,1,1
100,team,65.3,9,135,19,0
101,free,40.9,5,14,3,1
102,free,43.4,5,62,13,0
103,free,28.2,4,7,2,1
104,team,63.9,4,78,11,0
105,pro,48.1,10,14,1,1
106,pro,83.9,10,178,22,0
107,free,52.8,3,9,1,1
108,pro,61.9,8,37,3,1
109,free,29.2,2,5,2,1
110,free,52.8,10,14,1,1
111,pro,15.4,2,23,9,0
112,free,44.2,5,11,1,1
113,pro,27.7,2,19,10,0
114,free,43.8,1,9,1,1
115,pro,68.8,7,34,3,1
116,free,64.6,11,49,5,1
117,free,50.0,3,58,11,0
118,pro,50.5,7,95,18,0
119,pro,37.5,8,15,1,1
120,free,27.5,1,9,2,1
121,free,71.4,11,156,20,0
122,team,89.0,8,191,20,0
123,free,34.0,2,15,2,1
124,free,62.1,7,168,29,0
125,pro,14.0,1,6,6,0
126,free,32.9,6,38,10,0
127,free,21.7,1,4,1,1
128,free,41.8,5,65,13,0
129,pro,32.7,7,14,2,1
130,pro,35.6,2,5,1,1
131,team,61.4,5,34,5,1
132,free,31.3,4,43,13,0
133,pro,72.9,13,121,15,0
134,pro,32.7,6,15,2,1
135,free,49.6,7,19,3,1
136,free,40.6,8,24,3,1
137,free,13.3,1,4,2,1
138,free,47.9,6,9,1,1
139,team,53.9,12,89,14,0
140,pro,55.5,8,14,2,1
141,pro,64.8,5,81,12,0
142,pro,51.3,9,14,1,1
143,free,64.6,9,15,1,1
144,free,37.7,10,17,2,1
145,team,67.6,8,84,10,0
146,free,63.4,4,71,13,0
147,team,16.6,0,5,3,1
148,pro,36.4,2,15,3,1
149,free,39.2,3,6,1,1
150,pro,27.0,4,10,3,1
151,team,42.6,10,31,4,1
152,pro,41.2,5,31,4,1
153,pro,20.0,0,3,4,1
154,free,71.1,5,154,18,0
155,pro,15.0,2,3,1,1
156,free,65.4,8,161,21,0
157,free,55.6,6,99,19,0
158,free,19.5,4,7,1,1
159,free,45.5,2,12,2,1
160,pro,39.2,7,18,2,1
161,pro,33.8,4,15,2,1
162,free,77.4,8,50,4,1
163,pro,61.5,7,116,17,0
164,free,58.6,6,12,1,1
165,free,48.0,6,13,2,1
166,free,44.1,1,60,13,0
167,free,76.3,14,177,20,0
168,free,23.6,0,6,1,1
169,team,68.0,5,78,12,0
170,team,69.2,6,126,15,0
171,free,29.4,5,8,2,1
172,free,56.7,7,18,2,1
173,free,67.9,9,30,5,1
174,free,72.0,5,91,14,0
175,pro,38.7,5,54,9,1
176,free,40.4,3,6,2,1
177,pro,41.4,5,22,5,1
178,pro,50.5,5,40,8,0
179,pro,45.6,7,68,13,0
180,free,18.3,5,5,1,1
181,free,93.9,15,235,23,0
182,free,67.5,5,13,1,1
183,team,39.4,6,13,2,1
184,free,27.5,4,7,2,1
185,free,31.5,3,19,4,1
186,pro,18.1,2,4,1,1
187,team,35.9,2,48,11,0
188,pro,51.1,5,79,16,0
189,pro,22.1,1,3,1,1
190,pro,31.8,7,12,1,1
191,pro,32.0,4,7,1,1
192,team,18.0,4,10,1,1
193,pro,41.4,6,11,1,1
194,free,13.0,1,2,1,1
195,free,46.3,2,6,1,1
196,pro,11.1,0,1,1,1
197,team,61.6,5,82,15,0
198,pro,59.1,7,105,16,0
199,team,71.2,8,157,21,0
200,pro,36.5,8,12,2,1
201,pro,35.2,2,5,1,1
202,pro,64.4,8,102,14,0
203,pro,30.5,2,5,1,1
204,pro,43.8,6,21,3,1
205,pro,38.1,8,16,3,1
206,free,66.2,3,121,19,0
207,pro,48.8,5,105,17,0
208,pro,75.8,13,116,15,0
209,free,56.8,4,118,18,0
210,pro,56.2,3,90,15,0
211,team,44.7,1,16,3,1
212,pro,63.1,5,21,2,1
213,free,64.7,7,17,1,1
214,team,15.2,2,4,2,1
215,free,44.0,6,19,3,1
216,pro,25.1,4,6,2,1
217,pro,44.4,8,11,1,1
218,free,75.5,6,158,20,0
219,free,76.4,5,118,13,0
220,free,25.5,2,5,2,1
221,free,48.4,5,90,17,0
222,free,12.5,4,5,1,1
223,pro,9.8,0,4,9,0
224,pro,45.5,9,16,2,1
225,pro,51.5,4,9,2,1
226,pro,48.9,4,81,17,0
227,free,34.0,7,19,3,1
228,pro,68.8,6,176,26,0
229,pro,76.2,9,173,17,0
230,free,22.0,2,3,1,1
231,team,51.6,8,41,7,0
232,pro,28.7,2,6,1,1
233,free,29.6,5,14,2,1
234,free,34.7,2,6,1,1
235,team,10.8,2,3,1,1
236,pro,34.1,5,73,15,0
237,team,48.6,12,28,4,1
238,free,47.2,8,17,2,1
239,free,47.2,9,15,1,1
240,pro,32.3,3,18,4,1
241,team,20.2,1,6,2,1
242,free,49.2,4,47,7,0
243,free,57.4,7,80,15,0
244,free,40.8,8,12,1,1
245,pro,49.6,9,24,2,1
246,pro,32.4,4,13,2,1
247,free,34.0,3,36,8,0
248,free,5.7,2,2,1,1
249,pro,70.9,10,35,4,1
250,free,43.3,4,10,1,1
251,pro,66.0,6,99,14,0
252,pro,49.2,6,59,13,0
253,pro,53.9,4,75,17,0
254,pro,29.1,2,6,1,1
255,free,35.2,3,50,14,0
256,free,54.1,3,110,20,0
257,pro,49.4,5,55,13,0
258,pro,26.2,5,9,1,1
259,free,14.0,1,3,1,1
260,pro,64.6,8,120,17,0
261,team,26.9,2,9,3,1
262,free,37.3,5,23,6,1
263,team,28.6,7,8,1,1
264,free,45.4,7,14,1,1
265,pro,22.9,5,15,3,1
266,free,68.7,8,32,3,1
267,free,44.6,2,16,3,1
268,free,30.8,6,19,3,1
269,pro,28.6,3,11,2,1
270,free,32.8,5,12,2,1
271,pro,38.3,5,51,10,0
272,free,24.4,0,3,2,1
273,pro,47.3,8,9,1,1
274,free,26.7,2,2,1,1
275,free,41.4,3,13,2,1
276,pro,61.8,6,110,17,0
277,free,33.6,3,10,2,1
278,free,79.0,13,168,24,0
279,pro,38.1,7,23,3,1
280,free,40.7,5,15,2,1
281,free,60.6,13,109,14,0
282,free,51.7,10,52,9,0
283,free,68.3,11,155,22,0
284,pro,43.6,5,14,1,1
285,free,45.2,10,75,15,0
286,team,65.0,12,194,24,0
287,free,71.1,10,16,1,1
288,free,34.5,1,13,3,1
289,team,89.6,11,287,27,0
290,pro,72.5,11,102,13,0
291,team,10.6,2,4,2,1
292,pro,39.9,6,16,2,1
293,free,28.9,1,3,2,1
294,pro,54.2,3,139,24,0
295,free,75.8,4,24,2,1
296,free,75.4,13,119,12,0
297,pro,44.7,5,16,3,1
298,free,39.3,3,14,3,1
299,free,91.7,9,227,22,0
300,free,62.2,10,14,1,1
301,pro,8.7,1,4,1,1
302,team,29.1,7,71,18,0
303,free,55.4,5,67,13,0
304,team,41.6,4,31,6,1
305,pro,38.7,3,8,2,1
306,pro,15.1,2,9,3,1
307,free,22.2,3,15,7,0
308,free,46.4,5,83,19,0
309,pro,61.4,13,160,24,0
310,free,41.8,5,25,4,1
311,team,17.1,3,3,1,1
312,free,85.9,11,192,20,0
313,free,53.7,8,11,1,1
314,free,58.5,6,106,13,0
315,pro,75.8,11,147,19,0
316,free,52.3,17,129,20,0
317,pro,54.1,8,18,2,1
318,free,47.5,5,67,14,0
319,pro,70.0,8,193,26,0
320,pro,50.1,8,22,4,1
321,free,25.6,2,5,2,1
322,free,68.4,5,104,15,0
323,free,22.1,1,5,2,1
324,free,37.3,3,6,2,1
325,pro,38.1,2,4,1,1
326,pro,64.6,10,113,17,0
327,free,64.5,12,122,15,0
328,free,31.8,3,10,2,1
329,team,76.4,14,149,20,0
330,pro,28.7,4,8,1,1
331,pro,20.4,4,5,1,1
332,free,44.1,2,6,2,1
333,free,43.8,4,93,19,0
334,free,82.0,16,210,22,0
335,team,25.1,4,7,1,1
336,team,49.4,6,27,4,1
337,free,76.8,13,258,28,0
338,pro,76.9,3,146,18,0
339,pro,43.3,5,38,6,1
340,pro,35.1,3,18,5,1
341,free,50.1,5,40,8,0
342,pro,41.0,7,22,2,1
343,free,53.0,10,11,1,1
344,pro,38.5,3,51,11,0
345,free,70.3,10,133,18,0
346,free,78.8,8,122,16,0
347,free,19.9,4,27,8,0
348,team,14.8,2,3,2,1
349,pro,25.1,1,11,3,1
350,free,33.6,6,9,1,1
351,pro,80.7,8,145,15,0
352,free,25.4,4,7,2,1
353,free,15.2,3,3,3,1
354,free,78.9,11,20,1,1
355,pro,36.6,3,31,7,0
356,free,49.1,4,66,13,0
357,pro,38.1,5,58,12,0
358,free,27.9,5,6,1,1
359,free,42.1,5,10,1,1
360,pro,25.3,0,4,1,1
361,free,54.1,7,21,2,1
362,team,19.8,4,4,1,1
363,pro,81.0,16,192,22,0
364,pro,68.5,8,107,13,0
365,free,77.7,13,158,19,0
366,free,24.4,3,7,1,1
367,team,42.8,6,23,5,1
368,team,18.5,1,1,1,1
369,pro,29.5,3,5,1,1
370,pro,26.4,2,2,1,1
371,free,45.1,5,15,3,1
372,pro,54.8,10,101,15,0
373,free,13.9,3,6,2,1
374,free,31.5,2,4,1,1
375,free,48.5,2,73,14,0
376,pro,87.8,12,238,25,0
377,team,81.4,9,197,23,0
378,free,54.7,1,24,3,1
379,free,65.4,5,114,15,0
380,pro,15.4,0,2,1,1
381,free,78.0,16,35,3,1
382,pro,39.2,5,14,2,1
383,free,41.5,4,8,1,1
384,free,66.0,12,108,13,0
385,pro,35.8,6,8,1,1
386,free,13.9,0,2,1,1
387,free,23.8,4,7,2,1
388,free,44.1,5,14,3,1
389,free,53.7,8,40,5,1
390,free,36.7,9,14,1,1
391,team,44.1,8,77,15,0
392,pro,61.1,9,28,4,1
393,pro,37.1,8,15,1,1
394,pro,46.0,1,86,18,0
395,free,50.3,3,11,1,1
396,free,61.4,4,70,11,0
397,team,39.3,8,15,1,1
398,free,35.3,5,9,2,1
399,pro,18.2,0,1,1,1
400,pro,89.1,11,144,14,0
401,free,21.8,3,5,1,1
402,free,15.4,5,5,1,1
403,free,30.9,2,43,11,0
404,free,29.9,6,8,1,1
405,pro,32.7,1,32,7,0
406,free,33.9,9,59,13,0
407,team,23.0,4,7,1,1
408,free,58.5,9,92,15,0
409,pro,52.2,6,10,1,1
410,free,64.0,5,85,12,0
411,pro,8.1,1,3,3,1
412,free,40.0,5,9,1,1
413,free,50.9,5,13,2,1
414,free,27.7,6,14,2,1
415,pro,58.4,4,33,5,1
416,pro,49.6,7,23,4,1
417,free,59.7,6,18,3,1
418,free,38.5,5,13,2,1
419,pro,82.3,8,188,20,0
420,free,50.5,11,86,15,0
421,pro,16.9,2,3,2,1
422,pro,25.7,3,4,1,1
423,pro,64.7,3,38,6,1
424,free,62.9,9,22,2,1
425,team,51.8,6,17,3,1
426,free,55.7,3,10,1,1
427,free,72.3,6,114,15,0
428,free,47.2,2,8,2,1
429,pro,48.5,7,79,18,0
430,team,50.5,7,24,3,1
431,free,55.5,3,19,3,1
432,free,38.7,2,16,3,1
433,free,18.8,3,7,1,1
434,pro,11.1,2,5,3,1
435,free,49.9,5,90,19,0
436,free,57.4,7,80,13,0
437,free,28.2,8,23,7,0
438,free,52.5,8,77,12,0
439,pro,73.6,13,115,14,0
440,team,16.5,2,3,1,1
441,free,65.5,9,117,16,0
442,team,25.1,1,2,1,1
443,free,69.7,12,117,15,0
444,free,60.7,5,26,3,1
445,free,11.0,1,6,1,1
446,pro,34.3,1,4,1,1
447,pro,28.6,4,17,5,1
448,pro,10.1,1,3,2,1
449,pro,74.0,13,142,18,0
450,pro,39.6,4,87,20,0
451,free,30.4,6,19,5,1
452,pro,14.1,3,8,3,1
453,pro,25.4,4,15,3,1
454,pro,55.1,4,20,2,1
455,free,41.1,5,16,3,1
456,free,70.1,10,94,12,0
457,free,42.7,5,12,1,1
458,pro,39.1,4,41,14,0
459,pro,41.1,4,10,2,1
460,free,73.3,7,65,6,1
461,free,47.7,7,34,4,1
462,free,45.7,4,17,3,1
463,free,30.1,4,5,1,1
464,pro,45.1,5,10,2,1
465,free,46.3,4,18,3,1
466,free,95.7,14,312,29,0
467,free,33.6,2,39,12,0
468,pro,83.5,10,212,24,0
469,pro,55.9,6,20,2,1
470,free,66.5,12,159,22,0
471,free,49.3,2,10,2,1
472,pro,54.2,10,78,11,0
473,pro,42.3,8,15,2,1
474,pro,57.3,6,80,14,0
475,free,14.3,1,1,1,1
476,free,60.1,5,95,12,0
477,free,63.1,5,18,2,1
478,team,40.6,1,6,1,1
479,free,52.9,5,9,1,1
480,free,47.3,3,13,4,1
481,free,80.7,6,191,24,0
482,free,19.2,1,1,1,1
483,free,47.2,9,22,2,1
484,free,31.2,8,20,3,1
485,free,37.4,6,13,1,1
486,free,51.3,7,70,13,0
487,free,62.3,6,42,5,1
488,free,42.4,6,14,2,1
489,pro,53.9,4,124,20,0
490,pro,33.4,5,10,1,1
491,team,49.0,11,63,11,0
492,free,46.3,6,69,13,0
493,free,40.6,8,21,3,1
494,free,50.6,5,13,1,1
495,free,49.6,8,34,6,1
496,free,8.7,0,1,1,1
497,free,39.2,6,9,1,1
498,pro,23.4,4,23,10,0
499,pro,26.6,7,9,1,1
500,free,57.3,4,92,14,0
501,free,57.0,7,131,20,0
502,free,23.0,5,9,2,1
503,pro,33.8,0,5,1,1
504,free,58.1,9,18,2,1
505,team,51.3,6,8,1,1
506,free,71.8,11,25,2,1
507,pro,80.9,8,193,20,0
508,pro,71.7,9,150,19,0
509,pro,34.1,4,10,1,1
510,free,94.8,20,270,29,0
511,free,50.9,5,16,2,1
512,pro,52.8,7,23,3,1
513,free,59.4,8,101,17,0
514,free,80.2,12,173,21,0
515,free,70.9,4,160,22,0
516,free,29.4,2,11,2,1
517,free,29.5,1,2,1,1
518,free,71.5,2,28,4,1
519,pro,33.1,5,22,4,1
520,pro,25.2,3,9,1,1
521,pro,64.2,8,24,3,1
522,pro,51.5,6,77,12,0
523,pro,9.3,1,4,1,1
524,free,52.5,5,79,13,0
525,free,35.9,2,5,1,1
526,free,25.9,3,10,2,1
527,pro,59.0,7,82,13,0
528,team,70.7,9,42,4,1
529,pro,17.2,1,14,6,0
530,pro,54.4,5,109,19,0
531,free,60.2,13,22,3,1
532,pro,59.1,7,90,14,0
533,free,55.6,5,12,1,1
534,pro,59.3,11,85,14,0
535,pro,48.1,9,25,3,1
536,team,50.4,2,30,4,1
537,free,10.6,0,1,2,1
538,pro,84.4,9,200,22,0
539,pro,63.5,7,97,15,0
540,pro,22.2,2,8,1,1
541,pro,45.1,11,80,16,0
542,pro,68.7,7,103,13,0
543,pro,89.8,12,231,27,0
544,free,5.8,1,2,1,1
545,pro,74.3,12,139,18,0
546,team,46.6,5,48,7,0
547,free,51.0,5,13,1,1
548,pro,50.5,6,27,5,1
549,pro,45.5,8,50,10,0
550,pro,79.7,8,110,13,0
551,free,49.7,5,27,5,1
552,free,65.1,5,10,1,1
553,pro,39.3,3,6,1,1
554,pro,31.0,2,27,7,0
555,pro,46.7,6,19,3,1
556,free,30.3,4,11,2,1
557,free,87.1,14,159,18,0
558,team,72.5,5,49,5,1
559,free,30.3,6,11,2,1
560,free,32.1,4,13,2,1
561,team,52.9,6,105,18,0
562,free,17.7,2,6,1,1
563,pro,8.1,2,5,3,1
564,pro,35.6,7,12,1,1
565,pro,28.5,5,11,2,1
566,free,22.1,1,6,4,1
567,free,48.5,6,35,5,1
568,free,71.2,12,207,26,0
569,team,57.6,8,105,18,0
570,pro,15.8,1,2,1,1
571,free,72.8,3,142,19,0
572,free,61.6,12,37,5,1
573,free,25.8,5,13,2,1
574,pro,32.7,1,24,7,0
575,pro,85.0,7,40,4,1
576,pro,43.3,7,15,2,1
577,free,18.0,3,7,3,1
578,pro,49.7,5,9,1,1
579,free,85.1,10,196,21,0
580,team,10.6,0,1,1,1
581,team,55.2,4,8,1,1
582,free,66.5,8,146,20,0
583,free,60.7,8,15,1,1
584,free,28.3,6,8,1,1
585,free,64.0,12,110,14,0
586,free,26.0,2,5,2,1
587,free,22.3,2,4,1,1
588,free,35.4,1,6,1,1
589,free,75.6,11,155,18,0
590,free,13.8,0,4,1,1
591,free,29.8,6,11,2,1
592,free,57.0,8,73,16,0
593,free,20.8,2,2,1,1
594,team,71.5,11,150,18,0
595,pro,5.4,0,0,1,1
596,pro,81.8,9,46,5,1
597,pro,49.5,5,29,5,1
598,pro,3.5,0,1,3,1
599,free,18.3,2,3,1,1
600,pro,65.6,10,103,15,0
601,free,8.1,0,1,1,1
602,free,61.8,5,136,21,0
603,free,45.8,8,18,2,1
604,free,44.8,5,37,8,0
605,free,37.0,1,7,2,1
606,free,62.0,8,28,4,1
607,pro,59.2,8,35,4,1
608,pro,23.8,1,4,2,1
609,pro,29.8,2,48,13,0
610,pro,87.8,7,180,20,0
611,pro,60.7,10,19,3,1
612,pro,55.3,8,17,2,1
613,team,47.9,5,92,18,0
614,pro,78.9,14,185,21,0
615,free,63.2,6,107,20,0
616,free,46.7,4,8,1,1
617,free,25.7,0,3,1,1
618,free,30.1,1,5,2,1
619,pro,68.2,9,59,10,0
620,free,55.2,1,48,11,0
621,pro,58.2,6,80,13,0
622,free,22.0,1,6,1,1
623,free,41.2,8,61,13,0
624,pro,22.5,4,9,2,1
625,pro,18.7,0,3,1,1
626,free,31.2,3,29,9,0
627,free,31.4,1,4,1,1
628,pro,32.8,4,40,13,0
629,team,56.0,5,31,4,1
630,free,25.2,3,9,3,1
631,pro,62.6,8,104,15,0
632,pro,56.7,6,76,12,0
633,free,63.4,2,5,1,1
634,pro,32.1,3,14,3,1
635,free,56.6,6,40,5,1
636,free,80.8,5,148,18,0
637,team,90.8,9,240,25,0
638,team,28.2,4,7,2,1
639,free,21.7,1,38,12,0
640,free,36.4,4,6,1,1
641,free,33.9,4,5,1,1
642,free,38.1,5,9,1,1
643,free,87.8,6,153,16,0
644,pro,37.6,3,9,1,1
645,free,7.5,0,0,1,1
646,free,26.5,4,7,1,1
647,free,7.8,3,3,1,1
648,team,63.8,8,120,19,0
649,free,29.2,3,9,2,1
650,free,37.5,2,7,1,1
651,team,35.8,4,7,1,1
652,pro,36.8,6,9,1,1
653,pro,48.0,4,91,15,0
654,free,69.1,9,136,19,0
655,free,43.4,3,11,1,1
656,pro,61.0,15,125,19,0
657,pro,32.3,2,7,2,1
658,free,45.7,3,9,1,1
659,pro,12.1,1,1,1,1
660,free,47.6,5,86,12,0
661,free,58.4,10,18,2,1
662,free,16.5,2,10,3,1
663,free,14.8,2,8,2,1
664,pro,46.1,4,25,3,1
665,free,54.4,10,13,1,1
666,pro,43.8,4,67,13,0
667,free,40.1,4,74,19,0
668,team,6.0,1,1,1,1
669,free,54.8,7,72,14,0
670,free,60.9,4,17,2,1
671,pro,56.0,5,119,20,0
672,team,65.9,9,18,1,1
673,free,87.4,10,207,24,0
674,free,9.0,1,1,1,1
675,free,75.6,11,108,13,0
676,pro,54.1,4,69,14,0
677,pro,74.2,9,104,12,0
678,pro,70.7,15,139,17,0
679,free,17.3,0,2,1,1
680,free,47.9,7,91,17,0
681,pro,69.2,5,148,24,0
682,team,87.8,11,204,22,0
683,free,58.9,6,9,1,1
684,free,72.8,4,160,21,0
685,free,31.9,3,5,1,1
686,team,18.3,0,3,1,1
687,team,79.9,9,48,4,1
688,free,7.4,2,4,1,1
689,team,32.8,2,28,7,0
690,pro,38.4,4,6,1,1
691,free,31.0,2,9,2,1
692,free,47.8,5,73,13,0
693,team,34.9,6,13,2,1
694,free,46.7,2,49,10,0
695,free,35.7,3,7,1,1
696,free,41.1,6,17,3,1
697,team,59.6,6,37,4,1
698,team,46.5,8,15,2,1
699,team,77.3,7,34,3,1
700,team,26.0,3,23,12,0
701,team,63.5,11,76,10,0
702,pro,28.5,4,7,1,1
703,free,52.9,3,92,18,0
704,free,39.6,1,46,12,0
705,team,72.0,11,188,25,0
706,free,85.0,18,175,20,0
707,free,44.0,1,3,1,1
708,free,25.7,3,4,2,1
709,free,43.3,7,18,2,1
710,pro,70.4,9,180,25,0
711,free,19.8,2,3,1,1
712,free,35.9,6,34,6,1
713,free,38.5,7,10,1,1
714,pro,16.5,5,11,2,1
715,pro,8.4,1,2,1,1
716,free,60.4,8,89,14,0
717,pro,43.7,5,7,1,1
718,pro,42.2,4,13,3,1
719,free,20.9,1,3,1,1
720,pro,69.4,9,73,10,0
721,free,95.1,10,174,17,0
722,pro,39.8,7,73,16,0
723,pro,41.5,4,12,3,1
724,free,45.8,13,28,3,1
725,pro,75.5,7,83,11,0
726,pro,54.3,8,124,22,0
727,free,35.2,5,69,14,0
728,pro,26.7,1,33,11,0
729,free,22.2,2,4,2,1
730,free,62.9,14,92,14,0
731,free,26.9,3,6,2,1
732,pro,60.0,7,24,4,1
733,free,49.0,5,128,21,0
734,team,56.4,5,98,16,0
735,free,11.0,1,3,1,1
736,pro,78.8,12,104,11,0
737,free,57.0,11,91,15,0
738,free,48.6,5,12,1,1
739,pro,73.6,14,176,21,0
740,team,33.2,3,25,6,0
741,pro,60.6,8,15,1,1
742,free,56.2,7,73,12,0
743,pro,92.9,8,207,21,0
744,pro,63.6,6,150,22,0
745,pro,31.9,2,10,4,1
746,pro,35.0,8,12,1,1
747,pro,42.0,8,27,4,1
748,free,66.9,12,21,2,1
749,free,31.6,7,12,1,1
750,pro,31.2,5,8,2,1
751,free,2.6,0,0,2,1
752,free,27.4,1,8,2,1
753,free,42.3,3,12,3,1
754,free,70.1,8,139,19,0
755,free,55.1,5,18,2,1
756,free,48.0,8,72,15,0
757,free,83.5,8,200,21,0
758,team,46.9,5,9,1,1
759,free,12.0,1,2,1,1
760,free,24.3,5,24,6,1
761,free,51.3,8,45,8,0
762,free,63.9,10,104,13,0
763,free,32.3,4,4,1,1
764,pro,58.1,2,113,19,0
765,free,83.5,6,209,24,0
766,team,44.8,4,12,2,1
767,pro,62.0,6,128,21,0
768,pro,29.1,1,5,2,1
769,pro,57.3,4,71,11,0
770,free,48.4,4,19,3,1
771,pro,65.0,5,77,14,0
772,free,37.3,3,7,1,1
773,free,79.9,13,212,24,0
774,free,86.6,20,165,18,0
775,free,24.3,3,4,1,1
776,team,30.2,3,5,1,1
777,free,53.6,7,90,15,0
778,free,60.0,6,93,15,0
779,free,48.4,7,168,28,0
780,free,28.3,3,46,11,0
781,free,64.9,7,18,1,1
782,pro,60.2,9,117,17,0
783,free,78.5,11,29,2,1
784,team,40.0,1,17,4,1
785,free,65.6,12,96,12,0
786,pro,89.7,11,164,18,0
787,team,59.6,6,107,14,0
788,free,82.8,11,175,22,0
789,free,29.7,2,7,3,1
790,team,41.2,9,18,2,1
791,free,40.2,7,10,1,1
792,pro,69.8,11,139,18,0
793,free,59.0,8,82,12,0
794,pro,69.7,10,188,24,0
795,free,38.5,5,20,3,1
796,free,57.2,6,13,1,1
797,pro,75.6,7,52,5,1
798,pro,89.8,16,295,31,0
799,pro,16.6,1,2,1,1
800,team,69.4,8,115,16,0
801,free,52.9,5,9,1,1
802,free,61.1,5,108,15,0
803,pro,9.8,1,2,1,1
804,free,11.2,3,6,3,1
805,pro,39.4,3,14,3,1
806,free,55.9,7,17,2,1
807,pro,45.7,9,30,5,1
808,pro,84.8,7,161,19,0
809,pro,16.9,5,6,1,1
810,free,92.7,14,174,17,0
811,free,32.2,3,14,2,1
812,free,19.3,5,8,2,1
813,free,63.6,10,32,4,1
814,free,22.0,2,2,1,1
815,pro,56.3,8,22,2,1
816,pro,9.5,1,4,2,1
817,team,23.1,3,6,1,1
818,team,37.1,4,9,2,1
819,free,56.3,8,31,4,1
820,free,76.5,14,165,20,0
821,pro,35.9,2,4,1,1
822,free,46.7,7,30,4,1
823,free,52.8,4,93,15,0
824,pro,89.4,12,226,23,0
825,free,12.9,4,5,2,1
826,free,46.4,5,8,1,1
827,free,65.7,10,156,22,0
828,pro,15.8,0,0,2,1
829,pro,75.6,7,131,16,0
830,pro,23.4,4,8,3,1
831,pro,94.4,12,189,20,0
832,free,66.0,12,80,11,0
833,free,77.3,8,130,16,0
834,free,29.8,1,37,6,0
835,pro,38.8,7,15,2,1
836,pro,38.0,2,7,2,1
837,team,26.9,6,13,3,1
838,free,30.9,3,49,13,0
839,free,39.0,9,63,13,0
840,free,47.1,7,82,12,0
841,free,17.0,3,10,2,1
842,team,26.0,0,4,1,1
843,free,17.5,1,12,9,0
844,free,69.4,5,127,16,0
845,pro,49.9,7,17,2,1
846,free,41.9,10,18,2,1
847,pro,15.0,0,4,2,1
848,free,29.6,4,10,1,1
849,free,52.1,7,76,15,0
850,free,12.6,2,8,6,1
851,free,15.5,2,8,4,1
