user_id,days_since_signup,page_views,purchase_count,email_opens,retained_90d,pc1_score
80,158,440.0,2,3,0,-433.59
81,152,138.0,1,10,1,-735.6
82,48,241.0,2,8,1,-632.7
83,282,1165.0,4,6,1,291.53
84,304,333.0,2,7,0,-540.45
85,284,381.0,0,11,0,-492.47
86,183,304.0,5,3,1,-569.57
87,338,2206.0,2,7,0,1332.58
88,204,3893.0,0,7,0,3019.45
89,216,419.0,2,6,0,-454.54
90,186,2073.0,2,10,0,1199.43
91,193,390.0,4,7,1,-483.56
92,14,4522.0,4,7,1,3648.27
93,314,226.0,1,4,0,-647.44
94,188,2741.0,4,8,1,1867.44
95,46,257.0,0,6,0,-616.7
96,36,608.0,4,1,0,-265.71
97,338,449.0,0,4,0,-424.42
98,23,157.0,0,3,0,-716.72
99,283,1574.0,1,10,0,700.53
100,303,206.0,3,8,1,-667.45
101,209,127.0,2,3,0,-746.54
102,52,132.0,4,7,1,-741.69
103,171,251.0,6,9,1,-622.58
104,264,1130.0,0,7,0,256.51
105,13,310.0,3,7,1,-563.73
106,161,259.0,1,4,0,-614.59
107,175,987.0,2,3,0,113.42
108,184,452.0,3,5,0,-421.57
109,284,770.0,3,9,1,-103.47
110,186,1392.0,1,6,0,518.44
111,94,2126.0,0,7,0,1252.35
112,62,80.0,1,8,0,-793.68
113,205,332.0,3,6,0,-541.55
114,24,573.0,1,4,1,-300.72
115,16,368.0,1,3,1,-505.73
116,233,285.0,1,10,0,-588.52
117,186,976.0,1,9,0,102.44
118,38,208.0,0,4,1,-665.71
119,20,1126.0,4,8,1,252.28
120,24,268.0,2,7,0,-605.72
121,173,337.0,1,7,0,-536.58
122,17,511.0,2,13,0,-362.73
123,102,145.0,4,6,0,-728.65
124,221,1352.0,0,10,0,478.47
125,41,331.0,3,6,1,-542.7
126,346,674.0,1,7,0,-199.41
127,76,309.0,2,5,0,-564.67
128,198,36.0,2,9,0,-837.55
129,350,564.0,3,4,0,-309.41
130,6,374.0,3,8,1,-499.74
131,302,862.0,3,5,1,-11.45
132,212,296.0,3,8,0,-577.54
133,114,131.0,1,2,0,-742.63
134,175,141.0,0,5,0,-732.57
135,66,326.0,3,5,1,-547.68
136,251,625.0,1,7,1,-248.5
137,298,141.0,3,6,0,-732.46
138,44,609.0,2,8,0,-264.7
139,33,125.0,2,2,0,-748.71
140,247,984.0,4,11,1,110.49
141,167,426.0,2,5,0,-447.58
142,341,1462.0,0,5,0,588.58
143,208,762.0,2,5,0,-111.54
144,80,997.0,1,9,0,123.33
145,324,337.0,2,4,0,-536.43
146,348,1388.0,3,6,0,514.59
147,197,459.0,0,4,0,-414.55
148,221,244.0,3,6,1,-629.53
149,271,123.0,3,9,1,-750.48
150,309,3863.0,1,9,0,2989.55
151,297,2370.0,3,7,0,1496.54
152,76,337.0,2,5,0,-536.67
153,139,121.0,0,3,0,-752.61
154,142,157.0,2,9,0,-716.61
155,254,289.0,4,4,1,-584.5
156,319,259.0,2,5,0,-614.44
157,330,183.0,0,8,1,-690.43
158,304,541.0,3,4,0,-332.45
159,318,6000.0,1,10,0,5126.56
160,215,350.0,2,4,0,-523.54
161,196,6000.0,1,10,0,5126.44
162,270,682.0,0,3,0,-191.48
163,220,1478.0,3,4,0,604.47
164,208,143.0,4,4,1,-730.54
165,92,2244.0,2,3,0,1370.34
166,163,1413.0,0,8,0,539.41
167,206,138.0,1,9,0,-735.55
168,113,223.0,3,14,1,-650.63
169,242,1566.0,2,10,1,692.49
170,182,6000.0,0,8,1,5126.43
171,193,328.0,1,8,0,-545.56
172,189,489.0,1,5,1,-384.56
173,298,1295.0,0,11,0,421.54
174,177,284.0,1,5,0,-589.57
175,335,1244.0,1,10,0,370.58
176,4,372.0,4,8,1,-501.74
177,165,158.0,4,3,0,-715.58
178,358,402.0,0,10,0,-471.4
179,357,402.0,0,2,0,-471.4
180,362,353.0,4,9,0,-520.39
181,189,475.0,1,4,0,-398.56
182,260,2012.0,2,5,0,1138.51
183,273,1238.0,1,8,0,364.52
184,68,123.0,1,3,0,-750.68
185,72,696.0,4,4,1,-177.67
186,320,255.0,2,3,0,-618.44
187,94,943.0,0,6,0,69.35
188,92,305.0,4,9,1,-568.65
189,172,817.0,4,8,1,-56.58
190,14,625.0,0,6,0,-248.73
191,16,151.0,1,10,1,-722.73
192,68,201.0,3,7,0,-672.68
193,100,425.0,1,10,0,-448.65
194,288,1245.0,2,6,1,371.53
195,55,161.0,4,3,1,-712.69
196,318,2012.0,4,10,0,1138.56
197,106,670.0,1,6,0,-203.64
198,352,2284.0,2,6,0,1410.59
199,300,368.0,0,10,0,-505.45
200,294,1640.0,2,10,0,766.54
201,171,208.0,1,7,0,-665.58
202,112,351.0,3,8,1,-522.64
203,107,1204.0,4,4,0,330.36
204,203,152.0,2,4,0,-721.55
205,318,395.0,1,3,0,-478.44
206,256,2526.0,1,7,0,1652.5
207,211,811.0,3,3,0,-62.54
208,21,460.0,4,4,0,-413.72
209,254,186.0,0,12,0,-687.5
210,32,420.0,3,6,1,-453.71
211,50,684.0,4,6,0,-189.7
212,261,253.0,1,6,0,-620.49
213,191,156.0,3,7,0,-717.56
214,125,848.0,1,3,0,-25.62
215,253,1256.0,0,4,0,382.5
216,34,599.0,2,3,0,-274.71
217,272,135.0,0,3,0,-738.48
218,184,404.0,4,4,1,-469.57
219,198,375.0,2,5,0,-498.55
220,34,302.0,1,5,1,-571.71
221,91,194.0,0,10,0,-679.66
222,246,1534.0,1,5,0,660.49
223,99,1711.0,4,4,1,837.35
224,31,2621.0,3,15,0,1747.29
225,104,119.0,1,10,0,-754.64
226,357,361.0,1,4,0,-512.4
227,81,238.0,3,5,1,-635.67
228,301,343.0,3,3,0,-530.45
229,138,151.0,3,8,0,-722.61
230,75,158.0,2,3,0,-715.67
231,139,692.0,1,6,0,-181.61
232,56,4127.0,0,6,0,3253.31
233,92,347.0,2,8,0,-526.65
234,260,507.0,3,10,0,-366.49
235,166,2432.0,2,7,0,1558.42
236,86,289.0,4,8,0,-584.66
237,213,2142.0,2,3,0,1268.46
238,317,6000.0,4,7,0,5126.56
239,292,715.0,2,2,1,-158.46
240,275,1004.0,0,6,0,130.52
241,285,976.0,1,6,0,102.53
242,294,204.0,0,5,0,-669.46
243,239,192.0,2,9,0,-681.51
244,140,1795.0,2,3,0,921.39
245,341,301.0,2,2,0,-572.41
246,296,276.0,0,6,0,-597.46
247,187,87.0,4,6,1,-786.56
248,336,563.0,1,9,0,-310.42
249,160,271.0,1,7,1,-602.59
250,320,260.0,3,6,0,-613.44
251,136,643.0,3,6,0,-230.61
252,105,512.0,1,6,1,-361.64
253,70,135.0,3,7,0,-738.68
254,72,4985.0,3,4,1,4111.32
255,252,223.0,1,6,0,-650.5
256,37,284.0,2,4,0,-589.71
257,136,197.0,1,5,0,-676.61
258,80,2365.0,0,10,0,1491.33
259,241,1187.0,5,3,1,313.49
260,222,4386.0,2,7,1,3512.47
261,302,2551.0,3,3,0,1677.55
262,113,114.0,1,6,0,-759.63
263,113,488.0,3,8,1,-385.63
264,174,2108.0,0,8,0,1234.42
265,169,138.0,3,2,0,-735.58
266,328,40.0,0,5,0,-833.43
267,162,608.0,5,8,1,-265.59
268,214,208.0,1,6,0,-665.54
269,339,148.0,1,8,1,-725.42
270,156,390.0,5,10,1,-483.59
271,145,126.0,1,4,0,-747.6
272,35,2367.0,2,3,0,1493.29
273,293,126.0,3,10,1,-747.46
274,235,730.0,1,4,0,-143.52
275,291,581.0,1,1,0,-292.46
276,156,217.0,3,2,0,-656.59
277,138,483.0,2,4,0,-390.61
278,54,761.0,2,3,0,-112.69
279,317,176.0,4,9,1,-697.44
280,222,188.0,2,8,0,-685.53
281,205,381.0,4,2,1,-492.55
282,222,287.0,2,8,0,-586.53
283,360,217.0,2,3,0,-656.4
284,342,776.0,1,8,0,-97.41
285,188,3187.0,1,4,0,2313.44
286,9,1595.0,2,7,0,721.26
287,256,1519.0,1,5,0,645.5
288,50,248.0,3,6,0,-625.7
289,52,380.0,4,6,1,-493.69
290,120,971.0,2,8,0,97.37
291,162,2228.0,4,4,0,1354.41
292,60,2675.0,1,6,0,1801.31
293,103,610.0,1,10,0,-263.64
294,32,457.0,2,5,0,-416.71
295,298,575.0,2,8,1,-298.46
296,30,270.0,1,0,0,-603.71
297,86,579.0,2,4,0,-294.66
298,210,426.0,3,5,0,-447.54
299,220,222.0,2,3,0,-651.53
300,184,601.0,5,8,1,-272.57
301,200,101.0,1,8,0,-772.55
302,40,548.0,2,8,0,-325.71
303,285,1565.0,3,7,0,691.53
304,73,318.0,1,9,0,-555.67
305,342,4024.0,2,1,0,3150.58
306,69,288.0,0,7,0,-585.68
307,254,1071.0,2,5,0,197.5
308,181,15.0,0,3,0,-858.57
309,8,327.0,3,4,0,-546.74
310,186,37.0,1,13,0,-836.56
311,111,92.0,1,4,1,-781.64
312,249,251.0,4,6,0,-622.5
313,364,2196.0,1,3,0,1322.61
314,249,411.0,2,4,0,-462.5
315,25,546.0,1,11,0,-327.72
316,329,280.0,1,2,0,-593.43
317,142,1122.0,0,4,0,248.39
318,144,1381.0,1,5,0,507.39
319,107,289.0,2,6,0,-584.64
320,53,1003.0,5,7,1,129.31
321,66,1294.0,3,3,1,420.32
322,242,2251.0,2,3,0,1377.49
323,44,89.0,1,4,0,-784.7
324,361,3211.0,1,2,0,2337.6
325,91,480.0,2,4,0,-393.66
326,95,528.0,2,9,0,-345.65
327,131,332.0,3,8,1,-541.62
328,229,145.0,1,4,0,-728.52
329,175,488.0,4,10,0,-385.58
330,109,1152.0,4,5,1,278.36
331,3,2693.0,0,4,0,1819.26
332,127,2210.0,1,7,1,1336.38
333,80,395.0,3,7,1,-478.67
334,150,1655.0,2,4,1,781.4
335,103,120.0,1,8,1,-753.64
336,61,150.0,2,8,0,-723.68
337,86,304.0,1,9,0,-569.66
338,102,372.0,0,10,0,-501.65
339,140,629.0,2,5,0,-244.61
340,225,2788.0,3,11,1,1914.47
341,108,478.0,1,5,0,-395.64
342,274,265.0,0,4,0,-608.48
343,228,495.0,2,3,0,-378.52
344,250,752.0,4,5,0,-121.5
345,360,557.0,2,4,0,-316.4
346,334,432.0,1,8,0,-441.42
347,210,175.0,2,3,0,-698.54
348,187,1717.0,2,8,1,843.44
349,194,30.0,2,8,0,-843.56
350,256,162.0,0,1,0,-711.5
351,323,695.0,0,7,0,-178.43
352,89,3628.0,2,4,0,2754.34
353,350,1569.0,5,3,0,695.59
354,14,264.0,1,5,1,-609.73
355,196,123.0,3,6,0,-750.55
356,226,456.0,2,6,0,-417.53
357,188,984.0,2,11,1,110.44
358,8,440.0,3,5,1,-433.74
359,356,420.0,1,8,0,-453.4
360,48,708.0,2,7,0,-165.7
361,52,420.0,2,5,0,-453.69
362,45,235.0,3,8,0,-638.7
363,26,553.0,2,4,0,-320.72
364,146,68.0,3,5,1,-805.6
365,247,322.0,1,4,0,-551.51
366,58,599.0,2,6,1,-274.69
367,200,759.0,1,10,0,-114.55
368,348,819.0,1,7,0,-54.41
369,364,296.0,0,9,1,-577.39
370,208,4045.0,1,4,0,3171.46
371,316,278.0,3,0,0,-595.44
372,219,1466.0,2,9,0,592.47
373,352,592.0,5,11,1,-281.4
374,333,2164.0,0,4,0,1290.58
375,185,729.0,3,5,0,-144.57
376,281,239.0,1,3,0,-634.47
377,266,789.0,3,3,0,-84.49
378,357,1166.0,2,7,0,292.6
379,325,522.0,3,5,0,-351.43
380,177,76.0,2,7,0,-797.57
381,130,384.0,3,6,0,-489.62
382,319,1628.0,2,3,0,754.56
383,209,2244.0,2,6,0,1370.46
384,354,161.0,1,2,0,-712.4
385,155,68.0,3,2,0,-805.59
386,227,194.0,0,4,0,-679.52
387,97,4786.0,2,4,1,3912.35
388,350,2271.0,3,7,0,1397.59
389,351,262.0,0,8,0,-611.41
390,285,93.0,0,2,0,-780.47
391,56,928.0,0,1,0,54.31
392,51,1053.0,1,7,1,179.31
393,79,47.0,3,8,1,-826.67
394,301,99.0,1,9,0,-774.45
395,317,203.0,1,5,0,-670.44
396,340,527.0,0,7,0,-346.42
397,260,1390.0,0,3,0,516.51
398,267,486.0,3,9,0,-387.49
399,108,66.0,7,10,1,-807.64
400,111,129.0,2,3,0,-744.64
401,87,1349.0,3,9,1,475.34
402,135,2967.0,1,7,0,2093.39
403,210,703.0,2,3,1,-170.54
404,184,258.0,2,5,1,-615.57
405,282,353.0,3,9,1,-520.47
406,104,116.0,3,11,1,-757.64
407,203,1352.0,2,5,0,478.45
408,99,173.0,2,3,0,-700.65
409,105,1362.0,1,4,0,488.36
410,331,849.0,0,7,0,-24.42
411,65,343.0,0,8,0,-530.68
412,253,92.0,3,2,0,-781.5
413,267,460.0,5,10,1,-413.49
414,4,579.0,1,9,1,-294.74
415,349,634.0,5,4,0,-239.41
416,132,388.0,2,5,0,-485.62
417,20,337.0,2,4,0,-536.72
418,179,6000.0,3,8,0,5126.43
419,217,941.0,0,11,0,67.47
420,265,648.0,2,8,1,-225.49
421,288,774.0,2,6,0,-99.47
422,82,542.0,1,2,0,-331.66
423,218,107.0,0,5,0,-766.53
424,286,536.0,1,2,0,-337.47
425,42,1074.0,0,6,0,200.3
426,45,1831.0,2,3,0,957.3
427,5,529.0,2,11,0,-344.74
428,240,364.0,5,3,1,-509.51
429,310,101.0,0,7,0,-772.44
430,80,316.0,1,7,0,-557.67
431,124,597.0,2,6,1,-276.62
432,180,362.0,1,10,0,-511.57
433,84,6000.0,6,6,1,5126.33
434,79,2187.0,1,11,0,1313.33
435,286,510.0,1,3,0,-363.47
436,263,177.0,6,11,1,-696.49
437,67,971.0,2,8,0,97.32
438,59,238.0,1,8,0,-635.69
439,149,731.0,3,3,0,-142.6
440,73,811.0,0,5,0,-62.67
441,111,1156.0,1,10,0,282.36
442,19,76.0,0,4,0,-797.72
443,39,846.0,2,5,1,-27.71
444,327,845.0,2,2,0,-28.43
445,352,519.0,1,6,0,-354.4
446,213,169.0,5,8,0,-704.54
447,35,1473.0,2,6,0,599.29
448,74,220.0,2,10,0,-653.67
449,292,159.0,2,7,0,-714.46
450,270,1293.0,4,9,0,419.52
451,327,91.0,1,4,0,-782.43
452,119,294.0,0,10,0,-579.63
453,298,874.0,1,5,0,0.54
454,112,251.0,4,6,1,-622.64
455,223,1974.0,3,3,1,1100.47
456,309,315.0,3,3,0,-558.45
457,75,3138.0,1,4,0,2264.33
458,253,105.0,1,9,0,-768.5
459,96,265.0,4,6,0,-608.65
460,11,1722.0,2,3,0,848.27
461,104,1460.0,1,4,0,586.36
462,56,724.0,0,7,0,-149.69
463,342,668.0,2,8,1,-205.41
464,293,742.0,2,7,0,-131.46
465,363,1624.0,2,5,0,750.61
466,199,520.0,1,4,1,-353.55
467,92,2904.0,2,8,0,2030.34
468,322,512.0,1,6,1,-361.43
469,336,1137.0,0,4,0,263.58
470,79,181.0,2,5,1,-692.67
471,346,273.0,2,7,1,-600.41
472,105,443.0,3,3,1,-430.64
473,182,490.0,6,9,1,-383.57
474,6,984.0,1,6,0,110.26
475,184,65.0,2,5,0,-808.57
476,99,262.0,1,8,0,-611.65
477,320,60.0,1,8,0,-813.44
478,51,1579.0,1,9,0,705.3
479,327,793.0,1,9,0,-80.43
480,275,5183.0,4,4,0,4309.52
481,60,235.0,2,5,0,-638.69
482,247,427.0,2,4,0,-446.51
483,59,678.0,0,7,0,-195.69
484,32,2435.0,1,7,0,1561.29
485,353,227.0,4,4,0,-646.4
486,346,1193.0,2,4,0,319.59
487,218,477.0,1,4,0,-396.53
488,167,558.0,2,4,1,-315.58
489,253,197.0,0,1,0,-676.5
490,355,522.0,6,10,1,-351.4
491,191,2941.0,1,4,1,2067.44
492,85,487.0,4,10,1,-386.66
493,196,344.0,2,8,0,-529.55
494,362,979.0,1,8,0,105.6
495,356,4003.0,3,4,0,3129.6
496,241,95.0,3,11,0,-778.51
497,84,163.0,0,9,0,-710.66
498,339,331.0,2,6,0,-542.42
499,273,2019.0,2,8,0,1145.52
500,271,1024.0,1,7,1,150.52
501,132,420.0,2,4,0,-453.62
502,289,1471.0,0,6,0,597.53
503,364,379.0,2,6,1,-494.39
504,41,837.0,4,11,1,-36.7
505,181,2543.0,3,5,0,1669.43
506,240,97.0,1,8,1,-776.51
507,117,174.0,2,4,0,-699.63
508,75,321.0,3,15,1,-552.67
509,347,203.0,0,6,0,-670.41
510,97,1671.0,1,3,0,797.35
511,163,938.0,3,7,0,64.41
512,212,838.0,2,10,0,-35.54
513,286,1136.0,2,5,0,262.53
514,305,2029.0,2,6,1,1155.55
515,301,313.0,3,9,0,-560.45
516,353,336.0,3,7,0,-537.4
517,165,485.0,2,3,0,-388.58
518,135,448.0,2,9,0,-425.61
519,62,126.0,4,6,1,-747.68
520,128,1050.0,1,5,0,176.38
521,68,126.0,1,7,0,-747.68
522,43,1463.0,3,6,0,589.3
523,210,344.0,3,2,0,-529.54
524,121,174.0,2,10,0,-699.63
525,317,87.0,0,7,0,-786.44
526,223,3926.0,1,5,0,3052.47
527,205,2165.0,3,5,0,1291.45
528,184,912.0,6,3,1,38.43
529,310,986.0,2,0,0,112.56
530,236,701.0,4,8,1,-172.52
531,252,254.0,0,5,0,-619.5
532,294,464.0,1,7,0,-409.46
533,188,306.0,2,6,0,-567.56
534,242,163.0,2,8,0,-710.51
535,328,847.0,2,9,0,-26.43
536,90,440.0,2,11,1,-433.66
537,146,36.0,3,5,1,-837.6
538,169,168.0,2,7,0,-705.58
539,332,177.0,4,7,1,-696.42
540,350,162.0,3,8,1,-711.41
541,205,714.0,3,7,0,-159.55
542,207,582.0,0,4,0,-291.54
543,110,589.0,1,5,0,-284.64
544,169,3748.0,2,7,1,2874.42
545,226,914.0,0,3,0,40.47
546,161,358.0,2,3,0,-515.59
547,300,5376.0,2,6,1,4502.54
548,287,1051.0,4,6,1,177.53
549,337,325.0,3,9,0,-548.42
550,65,113.0,0,5,0,-760.68
551,32,129.0,3,5,1,-744.71
552,261,144.0,4,6,1,-729.49
553,56,252.0,4,5,1,-621.69
554,126,558.0,2,4,0,-315.62
555,177,31.0,4,3,0,-842.57
556,329,485.0,2,3,0,-388.43
557,259,314.0,3,9,0,-559.49
558,212,627.0,5,5,0,-246.54
559,317,600.0,0,2,0,-273.44
560,102,3232.0,2,3,1,2358.35
561,84,304.0,1,6,0,-569.66
562,136,335.0,1,4,1,-538.61
563,230,310.0,2,5,0,-563.52
564,197,1379.0,0,9,0,505.45
565,71,877.0,0,6,0,3.32
566,59,132.0,4,7,1,-741.69
567,259,1778.0,2,5,0,904.51
568,188,2242.0,1,6,1,1368.44
569,49,145.0,1,12,0,-728.7
570,228,3863.0,0,4,0,2989.47
571,312,1439.0,4,6,0,565.56
572,359,26.0,2,9,1,-847.4
573,251,698.0,1,7,0,-175.5
574,185,38.0,3,2,1,-835.56
575,356,381.0,3,9,0,-492.4
576,315,242.0,4,4,1,-631.44
577,3,589.0,2,4,0,-284.74
578,310,2916.0,1,4,0,2042.55
579,346,214.0,2,5,1,-659.41
580,66,97.0,3,9,1,-776.68
581,132,1441.0,0,9,0,567.38
582,307,1141.0,0,5,0,267.55
583,290,65.0,1,3,0,-808.46
584,339,503.0,2,5,0,-370.42
585,160,124.0,2,7,0,-749.59
586,144,1049.0,0,7,0,175.39
587,93,6000.0,2,4,1,5126.34
588,14,136.0,3,8,1,-737.73
589,5,48.0,0,4,0,-825.74
590,181,2485.0,5,6,1,1611.43
591,235,834.0,3,4,0,-39.52
592,138,752.0,1,5,0,-121.61
593,65,259.0,3,3,0,-614.68
594,301,38.0,4,9,0,-835.45
595,116,931.0,2,5,0,57.37
596,186,580.0,3,8,0,-293.56
597,23,209.0,0,9,0,-664.72
598,45,360.0,1,7,1,-513.7
599,160,208.0,2,8,0,-665.59
600,229,341.0,3,5,0,-532.52
601,356,78.0,3,12,1,-795.4
602,348,655.0,4,3,1,-218.41
603,96,225.0,1,5,1,-648.65
604,297,165.0,4,8,1,-708.46
605,100,121.0,3,6,1,-752.65
606,22,617.0,1,6,1,-256.72
607,35,110.0,3,5,0,-763.71
608,54,5072.0,3,4,1,4198.31
609,233,1485.0,6,4,1,611.48
610,175,246.0,1,10,0,-627.58
611,112,367.0,1,5,1,-506.64
612,266,607.0,2,6,0,-266.49
613,268,501.0,3,5,0,-372.49
614,193,216.0,2,7,0,-657.56
615,20,1691.0,1,8,0,817.28
616,132,310.0,2,11,1,-563.62
617,298,1065.0,0,5,0,191.54
618,9,642.0,1,0,0,-231.73
619,59,80.0,2,9,1,-793.69
620,210,1116.0,0,12,0,242.46
621,229,829.0,1,4,0,-44.52
622,134,72.0,1,6,1,-801.61
623,260,322.0,3,5,0,-551.49
624,317,170.0,1,6,0,-703.44
625,56,282.0,4,6,1,-591.69
626,5,333.0,4,3,1,-540.74
627,69,544.0,2,5,0,-329.68
628,45,320.0,2,9,0,-553.7
629,210,331.0,0,6,0,-542.54
630,65,291.0,3,8,0,-582.68
631,200,180.0,0,4,0,-693.55
632,44,73.0,3,4,0,-800.7
633,63,2973.0,2,4,1,2099.32
634,256,237.0,3,11,0,-636.5
635,272,37.0,0,6,0,-836.48
636,309,256.0,0,4,0,-617.45
637,51,268.0,2,6,0,-605.69
638,74,552.0,2,6,0,-321.67
639,215,956.0,5,6,1,82.46
640,159,724.0,2,11,0,-149.59
641,13,447.0,2,4,0,-426.73
642,338,2984.0,1,8,0,2110.58
643,132,77.0,3,7,0,-796.62
644,262,658.0,1,6,1,-215.49
645,237,1408.0,4,5,1,534.48
646,313,795.0,2,9,1,-78.44
647,107,1359.0,2,6,0,485.36
648,296,1532.0,3,4,0,658.54
649,358,373.0,2,4,1,-500.4
650,311,6000.0,2,5,0,5126.55
651,314,207.0,2,10,0,-666.44
652,138,294.0,2,2,0,-579.61
653,337,359.0,3,5,0,-514.42
654,290,141.0,2,4,0,-732.46
655,214,2411.0,2,7,0,1537.46
656,315,94.0,3,9,0,-779.44
657,52,93.0,3,5,1,-780.69
658,315,66.0,3,7,1,-807.44
659,223,227.0,2,11,0,-646.53
660,98,527.0,5,10,1,-346.65
661,67,493.0,0,13,0,-380.68
662,130,111.0,1,4,1,-762.62
663,204,448.0,1,2,0,-425.55
664,43,1572.0,3,10,0,698.3
665,97,215.0,2,6,0,-658.65
666,276,598.0,2,3,0,-275.48
667,287,795.0,1,10,1,-78.47
668,50,431.0,0,7,0,-442.7
669,24,68.0,2,10,1,-805.72
670,274,1277.0,3,8,0,403.52
671,159,102.0,2,1,1,-771.59
672,91,462.0,1,5,0,-411.66
673,280,82.0,7,5,1,-791.47
674,162,189.0,2,7,0,-684.59
675,346,1101.0,3,7,1,227.59
676,176,101.0,3,1,0,-772.57
677,149,200.0,2,6,0,-673.6
678,130,832.0,0,3,0,-41.62
679,171,185.0,2,5,0,-688.58
680,35,555.0,0,2,0,-318.71
681,271,800.0,4,9,0,-73.48
682,304,914.0,0,7,0,40.55
683,276,699.0,2,9,0,-174.48
684,79,291.0,3,6,1,-582.67
685,350,192.0,3,8,0,-681.41
686,53,2401.0,0,8,0,1527.31
687,40,600.0,0,5,0,-273.7
688,160,44.0,1,5,0,-829.59
689,268,1168.0,3,8,1,294.51
690,204,139.0,2,4,0,-734.55
691,334,171.0,3,7,0,-702.42
692,99,598.0,1,8,0,-275.65
693,246,1082.0,0,7,0,208.49
694,217,1105.0,3,7,1,231.47
695,263,764.0,1,7,1,-109.49
696,149,695.0,3,6,0,-178.6
697,321,1185.0,0,8,0,311.57
698,240,668.0,2,7,0,-205.51
699,319,1858.0,1,7,0,984.56
700,242,230.0,4,5,1,-643.51
701,33,1200.0,3,7,1,326.29
702,113,389.0,3,4,0,-484.63
703,316,123.0,2,4,0,-750.44
704,48,672.0,1,6,0,-201.7
705,194,127.0,1,5,1,-746.56
706,202,173.0,3,8,0,-700.55
707,296,393.0,1,6,0,-480.46
708,98,204.0,6,10,1,-669.65
709,159,68.0,1,6,0,-805.59
710,95,148.0,0,8,0,-725.65
711,339,6000.0,1,4,0,5126.58
712,233,274.0,2,3,0,-599.52
713,183,278.0,1,2,0,-595.57
714,214,255.0,4,5,0,-618.54
715,279,2670.0,2,5,0,1796.52
716,17,1316.0,2,6,0,442.27
717,242,489.0,2,7,0,-384.51
718,23,804.0,5,3,1,-69.72
719,25,150.0,4,10,1,-723.72
720,256,1234.0,3,8,1,360.5
721,291,1187.0,1,8,0,313.54
722,310,381.0,2,6,0,-492.44
723,213,747.0,0,4,0,-126.54
724,362,528.0,7,4,0,-345.39
725,307,975.0,0,6,0,101.55
726,42,1499.0,3,6,0,625.3
727,110,282.0,2,8,1,-591.64
728,223,119.0,2,7,0,-754.53
729,57,1094.0,0,6,0,220.31
