customer_id,engagement_score,value_score,cluster_run1,cluster_run2
169,26.2,320.39,0,2
170,56.3,169.68,0,0
171,78.8,672.85,3,3
172,56.9,734.04,3,3
173,100.0,647.67,3,3
174,38.5,487.6,2,2
175,29.0,299.96,0,2
176,73.4,676.25,3,3
177,83.7,603.96,3,3
178,38.9,107.08,0,0
179,55.9,150.03,0,0
180,66.6,828.02,3,3
181,98.9,617.13,3,3
182,26.1,305.26,0,2
183,100.0,799.27,3,3
184,54.4,265.82,0,0
185,5.0,350.08,2,2
186,64.9,535.24,1,1
187,62.8,735.88,3,3
188,77.2,689.94,3,3
189,45.8,183.62,0,0
190,64.7,10.0,0,0
191,34.7,336.16,2,2
192,65.0,386.04,1,1
193,31.7,337.22,2,2
194,43.1,310.82,0,0
195,79.9,169.51,1,0
196,89.6,604.83,3,3
197,27.0,172.84,0,0
198,95.5,671.14,3,3
199,25.3,516.53,2,2
200,65.2,682.84,3,3
201,62.9,798.0,3,3
202,86.6,657.71,3,3
203,32.6,341.42,2,2
204,61.1,547.09,1,1
205,59.2,632.54,3,3
206,55.0,294.25,0,0
207,100.0,490.6,1,1
208,65.1,512.31,1,1
209,68.6,667.31,3,3
210,50.5,110.56,0,0
211,24.3,184.62,0,0
212,98.6,587.04,1,3
213,29.7,580.29,2,2
214,63.0,693.77,3,3
215,75.6,567.2,1,1
216,45.7,302.02,0,0
217,93.0,656.66,3,3
218,31.0,148.48,0,0
219,20.9,498.17,2,2
220,74.4,507.16,1,1
221,91.2,537.12,1,1
222,100.0,743.21,3,3
223,96.1,691.71,3,3
224,16.8,193.88,0,0
225,33.9,295.74,0,2
226,84.0,648.46,3,3
227,35.1,334.59,2,2
228,19.5,46.89,0,0
229,41.4,455.47,2,2
230,85.5,540.48,1,1
231,98.8,801.23,3,3
232,35.4,201.97,0,0
233,24.4,142.58,0,0
234,100.0,506.06,1,1
235,81.1,598.11,3,3
236,29.4,533.36,2,2
237,86.8,447.9,1,1
238,82.5,875.77,3,3
239,74.0,692.09,3,3
240,100.0,615.82,3,3
241,32.9,305.21,0,2
242,62.9,664.61,3,3
243,19.6,343.95,2,2
244,85.0,705.11,3,3
245,10.3,237.66,0,2
246,74.8,736.77,3,3
247,67.3,560.14,1,1
248,19.8,411.08,2,2
249,43.4,257.62,0,0
250,22.7,197.28,0,0
251,61.9,577.0,1,1
252,70.3,503.57,1,1
253,57.2,306.95,0,0
254,100.0,519.91,1,1
255,71.7,396.3,1,1
256,68.0,572.21,1,1
257,50.9,40.77,0,0
258,94.0,446.9,1,1
259,72.7,645.21,3,3
260,27.8,261.78,0,2
261,87.3,672.65,3,3
262,43.2,712.91,3,3
263,69.5,550.4,1,1
264,12.3,191.73,0,2
265,60.4,101.65,0,0
266,40.8,486.41,2,2
267,97.0,611.96,3,3
268,22.3,284.51,0,2
269,79.1,521.18,1,1
270,29.5,253.16,0,0
271,28.7,357.49,2,2
272,47.4,128.93,0,0
273,92.7,533.69,1,1
274,12.4,347.16,2,2
275,83.6,457.09,1,1
276,92.1,771.74,3,3
277,26.5,479.44,2,2
278,34.4,232.09,0,0
279,74.1,632.13,3,3
280,49.6,396.82,2,2
281,67.5,634.54,3,3
282,95.2,341.64,1,1
283,65.9,605.81,3,3
284,51.3,199.94,0,0
285,33.5,386.24,2,2
286,90.8,631.07,3,3
287,70.7,496.94,1,1
288,100.0,675.0,3,3
289,56.6,390.94,2,1
290,92.7,544.7,1,1
291,41.4,501.21,2,2
292,89.4,585.46,1,3
293,57.8,442.02,2,1
294,81.7,1066.05,3,3
295,30.1,399.21,2,2
296,30.4,333.02,2,2
297,60.9,386.47,2,1
298,46.7,261.57,0,0
299,9.3,175.5,0,2
300,55.3,570.14,2,1
301,36.4,200.15,0,0
302,24.2,518.25,2,2
303,53.6,447.88,2,1
304,83.1,544.15,1,1
305,26.6,249.06,0,2
306,81.0,525.49,1,1
307,49.0,219.08,0,0
308,63.2,386.33,1,1
309,84.7,480.29,1,1
310,37.8,163.4,0,0
311,70.1,491.37,1,1
312,39.4,203.46,0,0
313,53.7,570.24,2,1
314,100.0,455.29,1,1
315,49.7,256.78,0,0
316,21.8,203.96,0,0
317,67.3,480.03,1,1
318,31.8,198.41,0,0
319,88.1,635.41,3,3
320,36.6,491.3,2,2
321,100.0,580.69,1,3
322,46.4,516.59,2,2
323,56.6,392.96,2,1
324,73.4,510.56,1,1
325,100.0,402.49,1,1
326,35.4,174.46,0,0
327,54.9,331.39,2,0
328,48.5,460.41,2,2
329,32.5,565.73,2,2
330,92.9,664.99,3,3
331,53.8,848.52,3,3
332,55.4,483.85,2,1
333,44.0,147.57,0,0
334,88.0,584.04,1,3
335,67.9,732.82,3,3
336,51.5,625.15,2,3
337,91.0,493.06,1,1
338,56.7,106.24,0,0
339,37.6,41.5,0,0
340,98.1,703.78,3,3
341,51.9,348.38,2,0
342,99.2,566.99,1,3
343,31.8,382.93,2,2
344,90.1,643.91,3,3
345,45.2,309.74,0,0
346,69.0,76.64,0,0
347,81.9,585.01,1,3
348,38.4,399.14,2,2
349,14.5,501.87,2,2
350,36.3,141.67,0,0
351,47.8,10.0,0,0
352,59.6,576.92,3,1
353,45.7,200.47,0,0
354,75.8,770.24,3,3
355,35.5,437.61,2,2
356,40.4,207.99,0,0
357,72.2,390.27,1,1
358,70.2,676.38,3,3
359,78.4,570.45,1,1
360,82.5,580.71,1,1
361,84.8,599.59,3,3
362,33.9,291.11,0,2
363,100.0,624.35,3,3
364,79.0,561.79,1,1
365,81.8,656.1,3,3
366,74.8,10.0,0,0
367,49.0,287.27,0,0
368,75.2,858.0,3,3
369,62.9,645.65,3,3
370,52.5,628.41,3,3
371,37.6,377.99,2,2
372,60.1,323.4,2,0
373,74.6,574.95,1,1
374,88.4,542.53,1,1
375,24.2,164.65,0,0
376,83.2,330.05,1,1
377,68.4,562.25,1,1
378,100.0,665.14,3,3
379,66.2,583.36,3,1
380,73.0,704.48,3,3
381,65.1,342.35,1,1
382,59.1,305.83,0,0
383,84.1,566.19,1,1
384,49.6,759.98,3,3
385,80.7,464.93,1,1
386,19.8,407.6,2,2
387,48.4,249.54,0,0
388,65.0,785.35,3,3
389,95.9,660.48,3,3
390,38.8,409.37,2,2
391,82.1,530.01,1,1
392,65.1,484.89,1,1
393,18.9,203.33,0,0
394,61.5,68.25,0,0
395,23.7,233.79,0,2
396,61.2,295.04,0,0
397,35.3,433.33,2,2
398,74.4,358.63,1,1
399,60.1,212.76,0,0
400,66.2,297.82,1,0
401,100.0,577.37,1,3
402,28.7,111.68,0,0
403,81.3,779.79,3,3
404,100.0,814.22,3,3
405,32.3,369.82,2,2
406,65.0,325.09,1,1
407,3.0,262.6,0,2
408,54.6,369.72,2,0
409,51.8,433.31,2,2
410,97.8,583.89,1,3
411,32.4,394.26,2,2
412,67.4,728.65,3,3
413,85.0,431.78,1,1
414,71.2,537.26,1,1
415,79.3,517.67,1,1
416,45.8,439.74,2,2
417,59.0,157.06,0,0
418,52.1,738.57,3,3
419,59.3,471.6,2,1
420,35.4,437.35,2,2
421,64.4,182.79,0,0
422,17.2,682.53,2,2
423,85.0,442.34,1,1
424,83.1,889.88,3,3
425,65.2,337.98,1,1
426,71.7,848.05,3,3
427,16.4,378.05,2,2
428,52.0,408.08,2,2
429,65.2,420.52,1,1
430,44.3,694.46,2,3
431,91.5,679.48,3,3
432,42.0,492.49,2,2
433,32.4,199.59,0,0
434,84.9,574.69,1,1
435,86.9,617.12,3,3
436,54.0,320.01,2,0
437,38.5,282.04,0,0
438,44.0,312.97,0,0
439,70.3,617.68,3,3
440,11.2,393.22,2,2
441,40.1,292.41,0,0
442,87.6,526.66,1,1
443,27.2,92.68,0,0
444,82.7,601.42,3,3
445,34.5,490.23,2,2
446,9.5,471.27,2,2
447,23.4,344.99,2,2
448,55.0,541.28,2,1
449,61.8,591.11,3,1
450,45.0,410.51,2,2
451,86.7,776.71,3,3
452,84.5,796.48,3,3
453,44.0,292.49,0,0
454,94.6,311.01,1,1
455,33.4,404.01,2,2
456,31.3,218.74,0,0
457,100.0,722.19,3,3
458,80.7,547.4,1,1
459,51.2,328.52,2,0
460,86.8,491.82,1,1
461,59.3,556.13,1,1
462,73.9,430.04,1,1
463,38.5,10.0,0,0
464,22.5,241.17,0,2
465,40.2,358.46,2,2
466,34.8,374.86,2,2
467,28.5,353.76,2,2
468,97.0,840.4,3,3
469,28.2,410.3,2,2
470,61.1,372.75,2,1
471,20.3,537.9,2,2
472,62.5,477.01,1,1
473,24.0,291.42,0,2
474,43.6,194.29,0,0
475,82.4,667.08,3,3
476,81.5,597.63,3,3
477,37.3,353.44,2,2
478,43.7,246.37,0,0
479,91.7,422.59,1,1
480,76.7,308.6,1,1
481,27.4,264.77,0,2
482,44.6,269.83,0,0
483,67.4,649.12,3,3
484,38.5,158.57,0,0
485,75.9,292.49,1,1
486,76.6,473.89,1,1
487,89.3,858.47,3,3
488,76.2,624.03,3,3
489,51.2,173.36,0,0
490,23.1,156.07,0,0
491,46.6,426.21,2,2
492,93.6,581.94,1,3
493,34.0,446.53,2,2
494,72.2,657.21,3,3
495,61.0,207.38,0,0
496,88.5,529.12,1,1
497,54.5,426.17,2,1
498,36.3,298.51,0,2
499,60.3,504.43,1,1
500,53.8,578.39,2,1
501,50.2,400.18,2,2
502,81.2,526.02,1,1
503,89.5,420.53,1,1
504,85.4,627.42,3,3
505,2.5,477.06,2,2
506,72.7,622.03,3,3
507,23.5,296.34,0,2
508,30.5,225.01,0,0
509,6.2,528.73,2,2
510,56.5,103.22,0,0
511,78.5,870.08,3,3
512,84.9,687.46,3,3
513,0.0,45.49,0,0
514,38.7,390.86,2,2
515,20.7,209.3,0,0
516,54.6,272.81,0,0
517,59.9,163.23,0,0
518,100.0,477.6,1,1
519,87.4,461.04,1,1
520,51.1,393.07,2,2
521,57.1,279.94,0,0
522,30.0,157.76,0,0
523,86.5,583.77,1,3
524,49.5,360.05,2,2
525,64.7,466.6,1,1
526,28.7,257.84,0,2
527,56.6,293.53,0,0
528,16.7,518.74,2,2
529,100.0,529.22,1,1
530,70.8,589.16,3,1
531,25.4,370.39,2,2
532,70.5,601.31,3,3
533,60.2,566.78,1,1
534,75.4,298.66,1,1
535,56.3,435.92,2,1
536,86.9,781.85,3,3
537,36.6,175.55,0,0
538,81.6,744.45,3,3
539,89.2,913.39,3,3
540,80.2,663.77,3,3
541,46.0,598.86,2,2
542,72.0,604.82,3,3
543,100.0,787.54,3,3
544,38.8,329.71,2,2
545,50.7,533.66,2,1
546,74.5,580.68,1,1
547,43.3,304.13,0,0
548,72.1,629.2,3,3
549,66.5,549.18,1,1
550,67.0,792.5,3,3
551,57.4,549.15,2,1
552,62.1,547.83,1,1
553,100.0,421.2,1,1
554,34.7,258.72,0,0
555,50.1,329.0,2,0
556,50.2,84.7,0,0
557,83.1,693.96,3,3
558,41.5,148.62,0,0
559,82.6,679.46,3,3
560,45.8,348.67,2,2
561,90.8,581.53,1,3
562,87.6,414.62,1,1
563,6.6,485.32,2,2
564,41.8,755.77,3,3
565,58.1,554.15,2,1
566,52.1,348.25,2,0
567,68.3,631.67,3,3
568,87.2,363.36,1,1
569,35.6,300.69,0,2
570,47.1,414.07,2,2
571,94.1,879.27,3,3
572,21.8,192.03,0,0
573,11.8,359.88,2,2
574,57.2,458.01,2,1
575,48.8,392.63,2,2
576,20.0,377.64,2,2
577,90.4,605.03,3,3
578,39.9,370.16,2,2
579,100.0,577.81,1,3
580,56.1,496.49,2,1
581,26.2,284.71,0,2
582,81.1,475.3,1,1
583,85.3,595.5,3,3
584,28.3,416.7,2,2
585,32.2,259.12,0,0
586,90.3,479.59,1,1
587,20.5,251.02,0,2
588,83.6,701.84,3,3
589,20.0,107.82,0,0
590,89.7,595.74,3,3
591,49.5,463.26,2,2
592,33.4,46.41,0,0
593,38.8,206.96,0,0
594,83.1,575.21,1,1
595,35.7,397.29,2,2
596,46.2,243.63,0,0
597,28.6,393.28,2,2
598,43.9,189.84,0,0
599,55.7,651.98,3,3
600,82.8,610.15,3,3
601,30.5,585.09,2,2
602,47.5,130.03,0,0
603,84.2,485.01,1,1
604,75.6,784.25,3,3
605,27.0,259.45,0,2
606,60.6,686.8,3,3
607,74.8,451.41,1,1
608,55.4,401.45,2,1
609,30.9,494.0,2,2
610,76.9,780.31,3,3
611,64.4,482.19,1,1
612,49.3,432.21,2,2
613,56.0,204.33,0,0
614,69.8,699.43,3,3
615,42.8,512.81,2,2
616,72.2,648.79,3,3
617,37.1,192.46,0,0
618,85.8,700.8,3,3
619,71.7,314.08,1,1
620,99.0,739.57,3,3
621,77.9,386.29,1,1
622,79.3,533.79,1,1
623,54.1,388.11,2,2
624,15.3,313.06,0,2
625,58.5,548.6,2,1
626,67.5,453.16,1,1
627,76.8,459.08,1,1
628,59.8,586.99,3,1
629,39.4,182.24,0,0
630,69.9,389.55,1,1
631,24.4,336.45,2,2
632,86.8,529.0,1,1
633,88.1,621.32,3,3
634,45.5,266.18,0,0
635,81.7,516.12,1,1
636,42.0,23.67,0,0
637,26.6,98.14,0,0
638,96.4,761.44,3,3
639,26.4,349.84,2,2
640,57.5,587.18,3,1
641,44.1,305.35,0,0
642,48.8,389.82,2,2
643,94.0,745.03,3,3
644,31.1,369.69,2,2
645,84.3,702.35,3,3
646,38.6,336.25,2,2
647,95.1,673.5,3,3
648,95.1,439.14,1,1
649,82.7,681.47,3,3
650,64.1,461.08,1,1
651,37.1,476.35,2,2
652,75.8,396.02,1,1
653,15.2,264.3,0,2
654,76.4,587.11,3,1
655,8.6,433.22,2,2
656,77.7,501.55,1,1
657,95.0,705.76,3,3
658,25.5,92.11,0,0
659,68.9,742.71,3,3
660,49.3,317.53,0,0
661,57.9,592.51,3,1
662,50.6,577.25,2,1
663,100.0,532.13,1,1
664,66.6,655.2,3,3
665,60.0,589.69,3,1
666,12.8,179.56,0,2
667,71.9,694.19,3,3
668,84.5,514.96,1,1
669,81.2,483.59,1,1
670,100.0,785.5,3,3
671,54.9,452.32,2,1
672,75.3,750.16,3,3
673,18.8,424.47,2,2
674,72.4,292.17,1,1
675,47.7,198.0,0,0
676,90.9,541.99,1,1
677,76.7,343.4,1,1
678,39.7,272.9,0,0
679,44.2,404.84,2,2
680,61.0,588.96,3,1
681,39.4,189.29,0,0
682,81.9,778.91,3,3
683,55.7,840.1,3,3
684,87.8,576.91,1,3
685,70.6,717.53,3,3
686,100.0,446.97,1,1
687,67.7,445.87,1,1
688,75.3,506.22,1,1
689,72.0,724.96,3,3
690,80.3,662.17,3,3
691,84.8,575.61,1,1
692,26.7,343.84,2,2
693,45.2,464.92,2,2
694,51.2,210.38,0,0
695,96.8,594.8,1,3
696,96.9,611.08,3,3
697,79.5,443.06,1,1
698,44.7,247.27,0,0
699,52.5,319.25,2,0
700,27.1,440.94,2,2
701,2.8,311.48,0,2
702,73.1,730.64,3,3
703,91.0,534.22,1,1
704,90.2,785.22,3,3
705,92.9,517.6,1,1
706,38.1,311.37,0,2
707,30.2,268.75,0,2
708,84.8,638.31,3,3
709,76.8,406.97,1,1
710,59.0,182.54,0,0
711,48.7,222.64,0,0
712,31.7,124.34,0,0
713,69.0,331.6,1,1
714,86.0,645.92,3,3
715,38.2,202.25,0,0
716,79.8,355.21,1,1
717,72.2,540.2,1,1
718,41.6,451.03,2,2
719,50.8,199.09,0,0
720,93.6,475.92,1,1
721,80.3,439.1,1,1
722,67.7,580.33,1,1
723,72.5,530.0,1,1
724,87.8,705.52,3,3
725,62.3,507.46,1,1
726,68.2,647.16,3,3
727,72.9,317.83,1,1
728,37.2,443.29,2,2
729,65.7,333.8,1,1
730,79.6,817.45,3,3
731,50.6,207.9,0,0
732,100.0,585.4,1,3
733,95.6,548.6,1,1
734,35.8,529.92,2,2
735,87.0,456.62,1,1
736,27.7,270.88,0,2
737,100.0,542.7,1,1
738,91.6,612.5,3,3
739,92.2,554.49,1,1
740,93.2,568.69,1,1
741,100.0,615.02,3,3
742,100.0,642.14,3,3
743,11.1,10.0,0,0
744,100.0,600.13,3,3
745,0.0,410.17,2,2
746,90.2,550.43,1,1
747,32.3,386.12,2,2
748,2.9,241.41,0,2
749,90.7,658.63,3,3
750,87.8,598.77,3,3
751,34.9,108.98,0,0
752,73.9,425.13,1,1
753,76.3,723.07,3,3
754,53.1,320.51,2,0
755,88.7,383.29,1,1
756,91.6,407.48,1,1
757,19.3,235.27,0,2
758,49.5,404.63,2,2
759,66.5,697.45,3,3
760,35.6,290.48,0,2
761,74.2,756.46,3,3
762,77.9,605.08,3,3
763,68.5,499.14,1,1
764,56.6,326.26,2,0
765,30.5,164.57,0,0
766,63.3,638.71,3,3
767,95.1,675.37,3,3
768,49.6,446.98,2,2
769,41.8,406.91,2,2
770,52.2,302.86,0,0
771,30.4,520.38,2,2
772,69.1,626.0,3,3
773,83.1,561.49,1,1
774,18.9,203.92,0,0
775,85.3,475.28,1,1
776,17.7,296.35,0,2
777,43.2,397.97,2,2
778,22.9,194.35,0,0
779,51.3,316.95,0,0
780,84.4,633.23,3,3
781,18.3,444.69,2,2
782,100.0,521.31,1,1
783,72.1,643.88,3,3
784,37.4,569.35,2,2
785,51.8,331.17,2,0
786,61.2,851.49,3,3
787,65.6,459.69,1,1
788,93.1,680.75,3,3
789,37.7,749.94,2,3
790,47.3,332.07,2,0
791,53.5,137.12,0,0
792,100.0,490.43,1,1
793,100.0,503.25,1,1
794,91.3,668.0,3,3
795,97.6,817.37,3,3
796,78.7,661.63,3,3
797,28.9,186.9,0,0
798,22.6,394.92,2,2
799,91.8,444.46,1,1
800,80.5,543.31,1,1
801,89.6,579.58,1,3
802,38.9,427.82,2,2
803,56.3,123.69,0,0
804,53.8,162.33,0,0
805,59.1,328.36,2,0
806,35.7,423.0,2,2
807,46.0,298.84,0,0
808,42.6,357.02,2,2
809,83.5,678.95,3,3
810,39.9,109.2,0,0
811,26.1,265.46,0,2
812,31.6,106.44,0,0
813,71.1,515.45,1,1
814,98.3,707.73,3,3
815,83.4,536.28,1,1
816,25.4,491.09,2,2
817,92.5,692.71,3,3
818,51.6,289.98,0,0
819,26.1,226.39,0,0
820,54.5,274.49,0,0
821,74.3,375.37,1,1
822,77.8,639.88,3,3
823,68.4,691.49,3,3
824,99.3,594.79,1,3
825,57.5,319.66,2,0
826,85.4,460.39,1,1
827,39.0,567.45,2,2
828,45.3,295.19,0,0
829,45.2,482.27,2,2
830,6.0,200.27,0,2
831,89.2,525.74,1,1
832,50.5,280.49,0,0
833,96.8,754.04,3,3
834,28.4,176.95,0,0
835,36.5,479.15,2,2
836,55.3,437.44,2,1
837,34.3,25.36,0,0
838,83.0,814.69,3,3
839,62.2,688.26,3,3
840,2.7,409.56,2,2
841,90.6,551.65,1,1
842,100.0,624.01,3,3
843,42.7,494.1,2,2
844,91.6,300.68,1,1
845,55.7,412.7,2,1
846,16.6,461.88,2,2
847,78.6,604.18,3,3
848,100.0,500.49,1,1
849,53.8,824.42,3,3
850,81.0,769.75,3,3
851,62.4,636.94,3,3
852,64.2,242.72,0,0
853,80.1,600.33,3,3
854,53.0,862.64,3,3
855,85.8,690.71,3,3
856,0.0,449.63,2,2
857,12.5,421.94,2,2
858,48.8,544.03,2,2
859,83.5,539.32,1,1
860,69.0,640.85,3,3
861,62.8,726.13,3,3
862,39.4,169.59,0,0
863,24.7,121.0,0,0
864,34.2,353.9,2,2
865,74.6,489.57,1,1
866,43.7,810.29,3,3
867,88.2,537.82,1,1
868,92.2,553.83,1,1
869,62.5,533.46,1,1
870,47.4,249.66,0,0
871,19.6,386.5,2,2
872,30.6,328.68,2,2
873,100.0,546.96,1,1
874,100.0,545.6,1,1
875,59.4,445.34,2,1
876,30.1,115.74,0,0
877,60.3,683.08,3,3
878,28.6,234.75,0,0
879,20.6,440.98,2,2
880,59.7,461.39,2,1
881,75.1,651.81,3,3
882,75.8,682.1,3,3
883,76.0,541.87,1,1
884,29.2,240.71,0,0
885,19.0,273.11,0,2
886,94.5,833.13,3,3
887,62.0,561.7,1,1
888,78.9,743.69,3,3
889,30.9,260.5,0,0
890,72.5,751.86,3,3
891,59.5,307.91,0,0
892,84.5,683.52,3,3
893,87.6,236.09,1,1
894,37.3,232.52,0,0
895,49.1,424.64,2,2
896,86.1,581.86,1,3
897,71.9,667.42,3,3
898,82.9,474.05,1,1
899,49.0,225.75,0,0
900,37.3,356.64,2,2
901,100.0,622.63,3,3
902,34.8,242.66,0,0
903,100.0,716.3,3,3
904,45.3,385.06,2,2
905,42.1,351.81,2,2
906,76.0,471.81,1,1
907,30.3,359.23,2,2
908,74.8,493.66,1,1
909,20.5,293.96,0,2
910,50.7,829.01,3,3
911,81.0,559.72,1,1
912,60.8,252.57,0,0
913,100.0,615.48,3,3
914,62.8,501.42,1,1
915,31.7,255.52,0,0
916,48.4,308.78,0,0
917,23.4,290.92,0,2
918,26.0,299.96,0,2
919,80.5,483.96,1,1
920,58.5,445.71,2,1
921,50.6,287.18,0,0
922,40.0,285.13,0,0
923,100.0,647.11,3,3
924,49.1,347.98,2,2
925,89.4,636.74,3,3
926,8.7,68.22,0,0
927,65.7,413.57,1,1
928,78.2,582.3,1,1
929,95.4,566.68,1,1
930,68.8,434.84,1,1
931,27.8,257.11,0,2
932,99.1,673.53,3,3
933,73.3,804.49,3,3
934,77.9,593.12,3,3
935,77.4,541.17,1,1
936,44.2,237.93,0,0
937,64.5,680.68,3,3
938,51.3,197.31,0,0
939,29.3,213.88,0,0
940,99.6,658.91,3,3
941,72.4,366.78,1,1
942,73.5,503.87,1,1
943,51.0,330.4,2,0
944,94.5,611.23,3,3
945,30.5,272.83,0,2
946,63.7,698.13,3,3
947,95.2,376.33,1,1
948,68.9,654.7,3,3
949,61.2,781.92,3,3
950,48.1,371.72,2,2
951,70.4,555.81,1,1
952,52.1,124.33,0,0
953,49.7,274.29,0,0
954,66.0,777.93,3,3
955,42.5,422.15,2,2
956,27.4,424.31,2,2
957,46.4,257.99,0,0
958,57.6,766.23,3,3
959,68.5,838.09,3,3
960,37.6,318.49,0,2
961,37.1,230.61,0,0
962,49.0,285.67,0,0
963,72.4,616.04,3,3
964,44.1,320.08,0,0
965,57.9,246.96,0,0
966,35.2,435.51,2,2
967,49.3,131.39,0,0
968,35.2,373.03,2,2
969,100.0,701.66,3,3
970,42.5,165.14,0,0
971,15.4,352.71,2,2
972,100.0,754.94,3,3
973,46.8,348.4,2,2
974,36.2,104.83,0,0
975,87.5,476.94,1,1
976,93.5,652.17,3,3
977,46.3,428.19,2,2
978,18.1,335.5,2,2
979,55.7,591.76,2,1
980,47.8,312.16,0,0
981,41.0,300.86,0,0
982,42.8,351.36,2,2
983,97.8,631.15,3,3
984,90.2,568.01,1,1
985,21.3,205.23,0,0
986,96.0,719.72,3,3
987,30.4,197.92,0,0
988,36.8,252.8,0,0
989,52.8,574.78,2,1
990,42.4,245.64,0,0
991,100.0,458.05,1,1
992,51.1,671.88,3,3
993,71.5,478.88,1,1
994,16.6,259.73,0,2
995,100.0,784.27,3,3
