account_id,industry,seats,tenure_months,health_score,contacted_support,churned
76,SaaS,19,20,33.9,1,1
77,Media,94,3,48.8,1,1
78,Retail,313,46,50.9,1,0
79,Retail,21,32,37.9,1,0
80,Finance,257,8,45.3,1,1
81,Finance,332,28,75.2,1,0
82,Finance,212,37,80.7,0,0
83,Finance,264,33,78.6,0,0
84,Finance,94,18,18.4,1,1
85,SaaS,61,43,65.7,0,1
86,Retail,209,43,13.3,1,1
87,Media,206,7,45.6,1,1
88,Retail,121,2,44.9,0,1
89,Health,233,5,54.6,1,0
90,Finance,192,5,76.3,0,1
91,Media,102,33,84.1,0,0
92,Health,151,5,90.1,0,0
93,Finance,221,1,15.9,1,1
94,Retail,91,10,40.3,1,1
95,Health,399,17,55.8,0,0
96,SaaS,42,35,76.2,0,0
97,SaaS,309,12,57.9,1,0
98,Health,42,3,29.0,1,1
99,Retail,210,9,80.2,0,0
100,Health,55,10,43.3,1,0
101,Health,201,4,20.5,1,1
102,SaaS,55,37,12.5,1,1
103,Media,246,20,69.9,1,0
104,Retail,61,17,63.3,0,0
105,Retail,102,24,12.8,1,1
106,SaaS,66,39,84.3,0,0
107,Health,346,19,56.0,1,0
108,SaaS,303,38,74.4,0,0
109,Health,230,6,66.7,0,0
110,Media,196,32,45.1,1,0
111,SaaS,345,27,43.5,1,1
112,Health,120,14,52.8,0,0
113,SaaS,371,28,32.4,0,1
114,Media,157,12,74.9,0,0
115,Media,30,6,34.3,0,1
116,Health,273,26,37.3,1,1
117,Retail,175,32,72.7,0,1
118,Retail,71,46,59.8,0,0
119,Media,43,41,22.8,1,1
120,SaaS,32,37,52.3,0,1
121,SaaS,384,17,54.9,0,1
122,Finance,135,29,80.5,0,0
123,Health,301,4,69.2,0,0
124,Health,200,41,66.5,1,0
125,Finance,261,6,78.2,0,0
126,Retail,177,12,18.1,1,1
127,Health,337,5,53.3,0,1
128,Finance,210,27,73.5,0,0
129,Retail,247,19,66.9,0,0
130,Media,25,32,35.8,0,1
131,SaaS,194,40,69.2,1,0
132,Media,7,33,43.9,0,1
133,Finance,354,26,66.4,0,0
134,Finance,183,20,13.4,1,0
135,Health,138,31,66.0,0,1
136,Finance,26,1,68.8,0,0
137,Retail,292,27,64.2,0,0
138,Health,187,47,19.1,1,1
139,Media,311,38,64.4,0,0
140,Media,383,1,86.0,0,1
141,Health,240,45,66.5,1,0
142,SaaS,154,9,89.0,0,0
143,Finance,139,35,49.2,1,1
144,Finance,217,9,77.3,1,0
145,SaaS,148,22,23.9,1,1
146,Finance,321,16,70.0,1,0
147,SaaS,243,4,47.8,1,0
148,Retail,125,35,68.4,1,0
149,Health,271,8,57.5,1,0
150,Retail,300,12,64.6,1,1
151,SaaS,298,44,41.2,1,0
152,Retail,269,11,97.1,0,0
153,Retail,48,17,36.7,1,1
154,Health,26,42,45.7,1,1
155,Health,237,47,25.9,1,1
156,SaaS,181,19,32.4,1,1
157,Media,225,33,76.0,0,0
158,SaaS,40,39,88.3,0,0
159,Health,96,39,85.4,0,0
160,Health,381,37,69.8,0,0
161,Media,293,38,67.6,0,0
162,Finance,156,43,45.7,1,1
163,Finance,326,14,42.9,0,1
164,Retail,286,34,68.9,0,0
165,Media,188,23,42.2,1,1
166,Health,327,10,59.5,0,0
167,Retail,68,26,71.2,0,0
168,Retail,256,22,39.7,1,0
169,Retail,365,42,63.3,0,0
170,Finance,78,21,58.3,1,1
171,Media,99,12,59.9,0,0
172,Retail,36,21,81.2,0,0
173,Media,230,39,83.1,0,0
174,Health,107,3,82.9,0,0
175,Health,213,20,70.4,0,0
176,Retail,165,3,66.1,0,0
177,Media,384,45,44.1,1,1
178,Media,8,13,89.8,1,0
179,Retail,12,21,51.9,1,0
180,SaaS,93,21,9.5,1,1
181,Retail,106,28,95.3,0,0
182,SaaS,364,33,29.6,1,1
183,Finance,330,27,54.1,1,0
184,Finance,192,19,58.7,0,0
185,Finance,247,8,8.3,1,1
186,Health,148,21,81.4,0,0
187,SaaS,70,24,58.2,1,1
188,Finance,123,32,68.1,0,1
189,Health,134,14,82.9,1,0
190,Health,228,27,67.9,0,0
191,Health,245,28,34.6,1,0
192,Health,47,17,32.6,1,1
193,Finance,70,38,31.1,1,1
194,Health,78,42,61.5,0,0
195,Media,386,36,48.6,1,1
196,SaaS,51,9,36.6,1,1
197,Finance,375,10,65.1,0,0
198,Retail,229,13,42.4,1,0
199,Retail,323,8,41.2,1,1
200,Finance,170,44,48.8,1,1
201,SaaS,170,13,64.9,1,1
202,Media,216,40,29.8,1,1
203,Media,17,4,26.3,0,1
204,Finance,378,18,22.2,1,1
205,SaaS,328,20,45.8,1,1
206,Media,29,25,20.8,1,1
207,Health,352,34,33.0,0,0
208,Media,332,41,65.0,0,0
209,Health,266,36,75.2,0,0
210,Retail,105,11,87.5,0,0
211,Finance,10,1,66.9,0,0
212,Health,121,47,82.6,0,0
213,SaaS,40,11,56.3,1,1
214,Retail,120,5,69.9,0,0
215,Finance,326,40,66.6,0,0
216,Media,107,19,92.7,0,0
217,SaaS,375,33,33.7,0,1
218,Media,310,47,52.0,1,1
219,Retail,361,19,62.8,0,0
220,Finance,85,6,29.4,1,0
221,Retail,4,38,51.2,1,1
222,Media,59,26,51.8,0,0
223,Retail,105,29,26.1,1,1
224,Retail,85,43,38.6,1,0
225,Media,157,22,68.6,0,0
226,Finance,90,43,79.9,0,0
227,Finance,391,39,49.5,0,1
228,Finance,363,29,57.6,1,0
229,Retail,212,25,30.5,1,1
230,Retail,54,30,39.5,0,1
231,SaaS,372,45,35.6,1,0
232,Retail,89,22,52.5,1,1
233,Retail,333,45,34.5,1,1
234,Retail,307,4,29.5,1,1
235,Retail,14,37,71.6,0,0
236,Finance,97,8,62.5,1,0
237,Retail,380,32,62.2,1,1
238,SaaS,225,21,38.2,1,0
239,Health,282,15,70.1,0,0
240,Media,156,33,67.9,0,0
241,Finance,346,10,57.3,1,0
242,Retail,361,15,92.4,0,0
243,Finance,26,2,38.2,1,1
244,Finance,322,44,75.9,0,0
245,Finance,280,30,56.1,1,0
246,Media,160,34,51.0,1,0
247,Media,364,15,68.5,0,1
248,Health,361,44,68.6,0,1
249,SaaS,75,36,63.1,0,1
250,Health,73,22,31.0,1,1
251,Health,121,24,84.5,0,0
252,SaaS,190,27,59.8,0,0
253,Retail,196,21,71.2,0,0
254,Media,163,24,44.4,0,1
255,SaaS,32,32,46.9,0,1
256,Retail,32,21,57.5,0,0
257,Health,364,38,32.7,1,1
258,Media,260,35,59.2,0,0
259,Finance,365,35,39.8,1,1
260,Retail,380,9,89.1,0,0
261,Health,224,12,79.2,0,1
262,SaaS,64,26,8.5,1,1
263,Health,308,35,40.0,1,1
264,Retail,391,5,25.8,1,1
265,Retail,233,30,78.7,0,1
266,Health,346,33,18.8,1,1
267,SaaS,334,40,90.0,0,0
268,Retail,362,32,83.8,0,0
269,SaaS,4,22,26.9,1,1
270,SaaS,59,17,60.4,0,1
271,Finance,211,34,22.0,1,1
272,Media,305,24,69.1,0,0
273,Finance,331,41,84.6,0,0
274,Finance,37,13,92.6,0,0
275,Health,65,10,54.1,0,1
276,Retail,48,18,72.3,0,0
277,Finance,373,27,56.2,1,0
278,Retail,93,12,53.4,1,0
279,Health,171,41,39.0,1,1
280,Retail,15,10,82.5,0,0
281,Finance,35,20,55.7,0,1
282,Finance,29,15,53.8,0,0
283,Finance,13,35,42.1,0,1
284,Retail,188,43,34.4,1,0
285,SaaS,334,10,16.4,1,1
286,SaaS,3,27,45.6,1,1
287,Health,204,31,52.9,1,0
288,Media,153,37,71.3,0,0
289,Finance,340,44,34.4,0,0
290,Finance,198,25,57.4,1,1
291,Media,334,17,61.4,1,0
292,Finance,308,7,66.0,1,0
293,SaaS,76,35,82.2,0,0
294,Retail,180,5,72.2,0,0
295,Health,14,13,87.9,0,0
296,Health,82,24,34.1,1,1
297,Media,328,13,52.3,0,0
298,SaaS,282,23,72.0,0,0
299,Media,296,42,62.6,0,0
300,Retail,325,22,58.5,0,0
301,SaaS,71,8,24.7,1,1
302,Health,97,3,68.4,0,1
303,Health,99,1,25.1,1,1
304,SaaS,228,33,55.6,1,1
305,Media,121,33,91.0,0,1
306,Finance,285,42,80.9,0,0
307,Media,28,20,39.6,1,1
308,SaaS,180,25,60.2,0,0
309,Media,205,27,58.7,0,0
310,Health,358,19,26.7,0,0
311,Retail,22,24,40.2,0,1
312,Media,73,46,12.6,1,1
313,SaaS,282,20,65.9,0,0
314,SaaS,141,3,91.3,0,0
315,Health,66,9,47.4,1,1
316,Retail,96,9,25.5,1,1
317,Retail,285,12,23.0,1,0
318,Health,296,5,74.3,1,0
319,SaaS,304,38,61.6,0,0
320,Retail,104,39,34.6,1,1
321,Health,374,7,37.2,1,0
322,SaaS,70,40,55.3,0,1
323,Retail,369,38,29.1,1,1
324,Retail,23,16,71.4,1,0
325,Health,179,42,57.2,1,0
326,Retail,218,37,36.3,1,1
327,SaaS,102,18,53.8,1,0
328,Health,180,5,59.8,1,0
329,SaaS,204,31,6.6,1,1
330,Media,145,15,83.3,0,0
331,Health,388,23,79.3,0,0
332,SaaS,387,20,55.3,1,1
333,Retail,230,12,41.3,1,0
334,Media,242,1,35.8,1,1
335,SaaS,205,39,82.3,0,1
336,Retail,201,35,67.5,0,0
337,Finance,117,20,17.9,1,0
338,SaaS,377,28,15.5,1,1
339,Health,368,30,54.4,0,0
340,Finance,112,11,24.4,0,0
341,Media,268,44,26.8,0,1
342,SaaS,391,38,90.5,1,0
343,Health,240,37,93.3,0,0
344,Retail,41,23,94.9,0,0
345,Retail,166,4,17.9,1,1
346,Media,236,2,45.6,1,1
347,Media,289,43,5.4,1,1
348,Finance,203,31,17.8,1,1
349,Media,380,7,56.6,0,0
350,Retail,11,1,38.2,1,1
351,Finance,46,44,32.1,1,0
352,Retail,229,24,75.6,0,0
353,Health,265,32,58.1,0,1
354,Health,392,36,71.7,0,0
355,Finance,192,6,15.9,0,1
356,SaaS,120,19,49.6,1,1
357,Health,289,10,61.1,0,1
358,Finance,254,36,79.6,1,0
359,Retail,73,36,44.5,1,0
360,SaaS,193,35,75.1,0,1
361,Health,372,21,51.3,0,0
362,Media,149,36,51.8,1,1
363,Finance,154,1,72.0,0,0
364,Finance,318,13,68.2,0,0
365,SaaS,101,35,55.9,0,1
366,Retail,99,8,81.9,0,1
367,Retail,273,25,63.9,0,0
368,SaaS,370,24,43.6,1,0
369,Media,226,11,74.6,0,0
370,Finance,88,29,41.7,1,1
371,Finance,251,6,69.0,0,0
372,Finance,3,43,44.1,0,1
373,Retail,366,17,68.2,0,0
374,Finance,55,44,50.3,1,1
375,SaaS,43,43,63.1,0,0
376,Finance,143,21,13.4,1,1
377,SaaS,16,7,76.2,0,0
378,Health,285,22,49.4,0,1
379,Finance,205,40,82.6,0,1
380,Media,72,11,75.8,0,0
381,Retail,343,38,89.5,0,0
382,Retail,166,43,73.8,0,0
383,Retail,147,40,75.5,0,0
384,Health,195,27,79.6,0,1
385,Health,270,34,64.5,0,1
386,Finance,244,40,30.9,1,1
387,Finance,32,2,62.2,0,1
388,Retail,245,7,15.7,1,1
389,Finance,143,27,86.0,0,1
390,SaaS,226,9,71.2,0,0
391,Finance,286,32,24.7,1,1
392,Media,261,35,83.1,0,0
393,Media,193,12,75.3,0,0
394,Health,202,21,13.2,1,1
395,SaaS,181,27,48.7,1,1
396,Health,396,33,83.7,0,0
397,Media,160,12,59.1,0,0
398,Media,371,38,18.8,1,1
399,Media,280,16,21.9,1,1
400,SaaS,216,13,57.9,1,0
401,Media,39,25,79.5,0,0
402,Finance,185,39,42.7,0,1
403,Retail,81,9,24.3,1,1
404,Health,94,25,32.4,1,0
405,Finance,322,18,69.8,0,0
406,Retail,259,16,83.7,0,0
407,Health,297,19,32.2,1,1
408,Health,162,33,22.8,1,1
409,Finance,208,11,72.3,0,1
410,Health,93,13,85.4,0,1
411,Health,399,30,47.5,0,0
412,Media,81,2,52.4,1,1
413,SaaS,352,6,27.1,0,1
414,Retail,188,9,17.4,1,1
415,Media,172,21,42.2,0,0
416,Retail,349,32,33.9,1,1
417,Retail,141,7,44.4,0,1
418,Finance,311,8,22.5,1,1
419,Health,308,40,90.8,1,0
420,Retail,305,6,56.5,0,0
421,SaaS,29,31,36.4,1,0
422,Finance,177,18,74.6,0,0
423,Media,72,20,43.9,1,0
424,Health,39,24,32.0,1,1
425,Media,227,25,82.2,0,0
426,Retail,342,13,52.3,0,1
427,SaaS,200,18,72.3,0,0
428,Retail,145,45,73.6,0,0
429,Retail,245,39,54.8,0,0
430,Retail,215,30,60.1,1,0
431,Finance,109,30,89.9,0,0
432,Retail,36,15,81.0,0,0
433,Finance,390,47,68.0,0,1
434,Finance,119,19,87.5,0,0
435,Retail,116,42,15.5,1,1
436,Finance,274,12,11.3,1,1
437,Media,338,15,72.6,0,0
438,SaaS,54,47,38.3,0,1
439,Retail,79,45,41.7,1,0
440,Finance,130,6,55.0,1,0
441,SaaS,338,34,29.5,1,1
442,Retail,54,38,47.5,1,0
443,Health,304,40,43.6,1,0
444,Health,234,4,52.4,1,0
445,Media,126,39,29.7,1,1
446,Health,63,34,21.7,1,1
447,Media,255,31,50.0,1,0
448,Retail,242,28,47.1,0,1
449,Finance,209,5,34.9,1,1
450,Finance,181,7,73.5,0,0
451,Retail,166,40,58.0,0,0
452,Retail,322,19,75.1,0,0
453,Retail,266,28,27.8,1,1
454,Retail,342,2,22.5,1,1
455,Health,177,44,42.0,1,1
456,Retail,57,34,70.0,0,0
457,SaaS,208,34,73.6,0,0
458,Finance,32,4,77.6,0,0
459,Retail,262,16,58.4,0,1
460,Finance,334,1,73.2,1,0
461,Retail,262,1,51.1,0,1
462,SaaS,190,29,59.5,0,0
463,Finance,303,17,56.1,1,0
464,Finance,74,45,46.5,1,1
465,Health,138,17,24.6,1,1
466,Retail,7,43,34.7,1,1
467,Health,8,4,75.5,0,0
468,Media,128,23,75.6,0,0
469,SaaS,81,27,59.0,0,0
470,Health,94,6,84.3,0,0
471,Retail,228,39,36.3,1,1
472,Finance,123,30,66.9,0,1
473,Finance,334,14,51.5,1,0
474,SaaS,277,14,66.7,0,0
475,Finance,294,34,55.0,1,1
476,SaaS,89,40,72.3,0,0
477,Finance,201,47,80.6,0,0
478,Health,114,11,59.0,0,1
479,Media,58,29,58.0,0,1
480,Finance,306,19,33.3,1,1
481,Retail,247,23,62.9,0,0
482,Health,396,6,65.2,0,1
483,Retail,335,33,20.6,1,1
484,Retail,212,18,43.3,0,0
485,Health,21,16,39.6,0,0
486,SaaS,370,17,55.6,1,0
487,SaaS,196,13,65.6,1,0
488,Finance,225,17,82.0,1,0
489,SaaS,122,16,88.1,0,0
490,Health,50,46,44.2,0,0
491,Finance,181,37,43.4,0,1
492,Retail,123,6,69.1,1,0
493,Media,41,21,28.6,1,1
494,SaaS,114,9,45.5,1,1
495,Health,218,44,73.6,0,0
496,Finance,265,16,23.0,1,1
497,Finance,130,29,13.5,1,1
498,Finance,355,46,32.1,0,1
499,Finance,211,20,47.5,0,1
500,Health,209,36,19.5,1,1
501,Finance,229,47,59.6,1,0
502,Media,320,35,19.2,1,1
503,Health,376,22,11.8,1,1
504,Media,230,10,69.5,0,0
505,Retail,397,6,82.5,1,0
506,Retail,278,36,89.5,0,0
507,SaaS,228,34,29.5,1,1
508,Media,301,11,42.7,1,0
509,Health,216,14,69.7,0,0
510,Retail,11,28,21.8,1,1
511,SaaS,317,6,57.8,0,0
512,Finance,332,26,71.7,0,0
513,Retail,303,45,20.9,1,1
514,SaaS,281,25,48.4,0,0
515,SaaS,179,13,70.2,1,0
516,SaaS,91,31,73.4,0,0
517,Health,186,47,56.0,1,0
518,Finance,348,18,31.2,1,1
519,Finance,225,33,22.3,1,1
520,SaaS,140,38,71.0,0,0
521,Media,287,46,97.4,0,0
522,Finance,261,34,57.7,0,0
523,Retail,211,2,64.0,1,0
524,SaaS,31,14,60.5,0,1
525,Health,341,43,66.6,0,0
526,SaaS,43,8,79.5,0,0
527,SaaS,367,23,56.2,0,0
528,Retail,251,33,76.7,0,0
529,Media,375,22,37.8,0,1
530,Retail,371,12,7.8,1,1
531,Retail,68,29,48.8,1,0
532,Retail,54,24,48.6,1,1
533,Retail,175,19,46.3,0,0
534,SaaS,159,11,41.8,1,1
535,Health,200,31,21.3,1,1
536,Health,273,24,52.8,0,1
537,Retail,170,4,91.5,1,0
538,Finance,140,39,68.5,0,0
539,Health,121,13,38.6,1,1
540,Media,51,37,76.5,0,0
541,SaaS,398,37,49.7,0,0
542,Health,36,5,55.7,0,0
543,Retail,251,12,45.8,1,0
544,Media,273,45,59.0,1,0
545,Finance,131,7,51.8,1,0
546,SaaS,390,38,77.5,0,0
547,Health,367,12,84.0,1,0
548,Media,50,47,7.8,1,1
549,Health,305,7,84.2,0,0
550,SaaS,345,19,23.7,0,1
551,SaaS,356,45,70.2,1,0
552,Retail,242,9,59.9,0,1
553,SaaS,197,16,4.6,1,1
554,SaaS,62,33,70.2,1,0
555,Media,129,45,59.3,1,0
556,Retail,50,12,16.6,1,0
557,Health,350,33,66.0,0,1
558,Media,78,43,15.4,1,0
559,Media,284,20,25.4,0,1
560,SaaS,197,46,72.1,1,0
561,SaaS,5,21,81.9,0,0
562,SaaS,7,17,45.2,0,1
563,SaaS,220,30,54.3,0,0
564,Retail,78,22,62.0,0,0
565,Retail,115,16,73.4,1,0
566,Retail,81,24,75.3,1,0
567,Health,212,39,49.2,1,0
568,Media,108,13,68.3,0,0
569,Health,55,32,45.0,1,0
570,SaaS,42,30,43.7,1,1
571,Finance,233,3,41.4,1,1
572,Retail,225,22,80.1,0,0
573,SaaS,169,38,44.2,0,0
574,SaaS,194,7,43.7,0,1
575,Finance,98,22,88.5,0,0
576,Finance,298,24,75.6,0,0
577,SaaS,241,46,62.7,0,0
578,Retail,91,40,55.8,1,0
579,SaaS,230,21,46.9,1,1
580,SaaS,319,41,71.9,0,0
581,Health,230,12,27.6,1,1
582,Health,26,36,29.5,1,1
583,Media,128,6,85.4,0,0
584,Finance,16,29,64.4,0,0
585,Retail,27,43,57.0,0,0
586,SaaS,4,18,56.5,0,0
587,Health,313,43,44.6,1,1
588,Retail,100,4,40.3,1,1
589,SaaS,373,9,35.1,1,1
590,Media,398,44,23.6,1,0
591,Retail,284,47,62.2,0,1
592,Health,185,5,46.1,0,0
593,Retail,172,27,71.1,0,1
594,Finance,265,6,51.0,0,1
595,Finance,339,45,32.5,1,1
596,Retail,34,44,89.4,0,0
597,Finance,218,22,69.0,0,0
598,Finance,4,21,57.8,0,1
599,SaaS,223,40,30.8,1,1
600,Finance,157,12,42.6,1,0
601,Media,161,39,39.4,1,0
602,SaaS,77,38,67.4,0,0
603,Finance,361,1,57.6,0,0
604,Retail,94,2,83.2,0,0
605,SaaS,372,15,57.4,1,0
606,Health,290,13,23.4,1,1
607,Finance,330,11,41.6,1,1
608,Health,118,31,65.1,1,0
609,Media,292,2,72.8,1,0
610,Media,242,10,40.2,1,1
611,Retail,326,7,13.5,1,1
612,Health,190,24,89.6,0,0
613,Health,80,25,45.5,1,1
614,SaaS,229,28,58.1,0,0
615,Finance,105,6,19.1,1,1
616,Retail,33,26,45.9,0,1
617,Finance,242,33,38.7,1,1
618,SaaS,243,45,67.1,1,0
619,Health,271,17,46.7,1,1
620,Media,41,37,47.3,1,1
621,Finance,69,22,53.7,0,0
622,Finance,30,16,69.4,0,0
623,Media,111,19,22.6,1,1
624,Media,257,30,46.8,0,1
625,SaaS,7,46,97.4,0,0
626,Retail,312,7,89.3,0,0
627,SaaS,347,11,37.7,1,0
628,Health,259,18,41.5,1,1
629,Finance,33,14,91.0,0,0
630,Media,354,32,41.7,1,0
631,SaaS,12,42,36.8,1,1
632,Retail,123,38,62.0,0,0
633,SaaS,348,32,52.2,0,0
634,SaaS,276,21,83.6,0,0
635,Retail,256,28,41.7,1,1
636,Media,268,2,76.7,0,0
637,Health,396,3,46.3,1,1
638,Finance,375,21,50.7,1,0
639,Retail,257,16,50.8,1,0
640,Retail,57,16,54.7,0,1
641,Media,389,31,37.3,0,1
642,Finance,159,44,32.7,1,1
643,Media,289,43,40.4,1,1
644,Health,3,46,73.1,0,0
645,Media,96,8,53.7,0,0
646,Finance,34,24,46.1,0,1
647,Health,79,32,66.0,0,0
648,Media,169,10,83.2,0,0
649,Finance,109,16,68.1,1,0
650,Media,247,30,62.3,0,1
651,Finance,187,25,46.4,1,1
652,Finance,232,3,76.4,0,0
653,Media,309,22,47.4,1,0
654,Finance,42,36,47.8,0,0
655,Retail,176,20,27.4,1,1
656,Finance,252,1,88.5,0,0
657,Health,226,6,12.3,1,1
658,SaaS,345,42,37.8,1,1
659,Media,73,14,89.3,0,0
660,Finance,376,42,70.1,0,1
661,SaaS,162,30,30.9,1,1
662,Health,41,22,51.1,1,0
663,Retail,256,3,11.3,1,1
664,Retail,231,5,36.1,1,0
665,Health,4,12,45.1,0,0
666,SaaS,285,21,49.0,0,1
667,Retail,87,34,30.8,1,1
668,SaaS,253,39,52.4,0,0
669,Retail,185,45,62.3,0,1
670,Media,357,23,26.9,1,1
671,Retail,200,30,58.2,0,1
672,Health,52,17,82.6,0,0
673,Finance,58,16,73.7,0,0
674,Retail,305,20,39.5,1,1
675,SaaS,288,22,73.7,0,0
676,Media,239,23,46.2,1,1
677,Media,8,31,58.3,1,1
678,Media,121,16,79.8,0,0
679,Media,127,46,32.9,1,1
680,Media,335,11,14.1,1,1
681,Retail,28,26,63.8,1,0
682,Media,152,46,57.9,0,1
683,Health,342,32,28.1,1,0
684,Retail,322,34,83.3,0,0
685,SaaS,399,35,39.0,1,0
686,Media,110,32,75.8,0,0
687,SaaS,181,11,57.3,0,0
688,Media,316,8,31.7,1,1
689,Media,88,9,45.8,1,1
690,Finance,229,26,67.2,0,0
691,Finance,225,1,70.7,0,0
692,Media,37,41,48.8,1,1
693,Finance,338,14,85.8,0,0
694,Media,96,9,81.8,0,0
695,Retail,354,14,82.5,0,0
696,SaaS,289,8,62.9,1,0
697,Finance,328,12,31.8,1,0
698,SaaS,15,4,68.9,0,0
699,Finance,11,42,29.2,1,1
700,SaaS,21,22,63.5,1,0
701,Retail,182,15,54.1,0,0
702,Health,322,33,57.1,0,0
703,Retail,296,32,90.5,0,0
704,Finance,55,33,60.5,0,0
705,Finance,128,5,79.2,0,0
706,Health,232,21,35.0,1,1
707,Media,334,45,37.9,1,1
708,Retail,205,22,10.3,1,1
709,Retail,344,30,64.6,1,0
710,Media,375,23,35.9,1,1
711,SaaS,91,45,42.3,0,1
712,Retail,116,16,75.5,0,0
713,Retail,369,32,60.0,0,0
714,SaaS,394,14,24.9,1,1
715,Health,62,45,80.2,0,0
716,Finance,18,33,32.0,1,0
717,SaaS,220,7,55.3,1,0
718,Media,336,41,46.6,0,1
719,Finance,116,41,73.3,0,0
720,SaaS,11,10,9.4,1,1
721,Retail,208,26,20.9,1,1
722,Finance,42,44,67.6,0,0
723,Media,44,44,20.1,1,1
724,Finance,131,29,74.7,1,0
725,Health,207,43,60.0,0,1
726,Retail,71,15,55.9,0,1
727,SaaS,121,39,41.6,0,0
728,Media,202,1,67.9,1,0
729,Retail,69,16,47.6,0,0
730,Health,158,21,50.6,1,1
731,SaaS,368,35,78.3,0,0
732,Media,262,46,39.9,1,1
733,Media,41,22,87.1,0,0
734,Health,204,27,44.8,1,0
735,SaaS,255,46,84.3,0,0
736,Health,366,46,20.9,1,1
737,Retail,378,35,66.2,0,0
738,Finance,153,6,53.3,1,1
739,Finance,226,27,86.1,0,0
740,Finance,380,17,92.1,0,0
741,Health,176,18,91.3,0,0
742,Media,136,10,62.6,1,0
743,Health,112,14,68.2,0,0
744,SaaS,373,13,32.3,1,1
745,SaaS,282,29,9.5,1,1
746,Media,80,30,15.4,1,1
747,Health,247,1,47.7,1,0
748,Finance,366,16,31.5,1,1
749,SaaS,234,23,51.9,1,1
750,Finance,88,35,18.0,1,1
751,Media,254,25,57.9,1,0
752,Media,3,24,59.5,1,1
753,SaaS,219,7,42.0,1,1
754,Media,246,7,34.3,1,1
755,Health,74,35,64.1,0,0
756,Media,130,5,44.0,1,1
757,Retail,214,3,33.7,1,1
758,Health,369,33,61.5,0,0
759,Finance,333,28,68.3,0,0
760,SaaS,13,20,77.5,0,0
761,Finance,339,47,12.6,1,1
762,SaaS,163,46,77.8,0,0
763,Finance,118,18,56.2,1,1
764,Retail,289,9,43.1,0,1
765,Health,69,7,54.4,1,0
766,Retail,356,6,29.4,1,1
767,SaaS,101,17,55.3,0,0
768,SaaS,115,31,76.0,0,0
769,SaaS,247,36,42.8,1,0
770,Media,313,29,52.2,1,0
771,Health,364,4,62.4,1,0
772,Retail,268,15,52.8,0,0
773,SaaS,278,43,68.6,0,0
774,Retail,370,9,18.9,1,1
775,Retail,181,43,45.5,0,1
776,Media,77,34,37.0,0,1
777,Retail,13,12,33.4,1,1
778,SaaS,314,27,68.3,0,0
779,Health,106,40,29.0,1,1
780,Finance,336,34,83.0,0,0
781,Retail,367,25,68.3,0,0
