customer_id,segment,signup_channel,engagement_score,tenure_months,referred_friend,ltv_usd
186,consumer,paid,13.3,4,0,87.62
187,consumer,partner,43.6,12,0,568.02
188,smb,organic,22.0,6,0,126.85
189,smb,organic,46.7,10,0,472.58
190,smb,partner,44.0,12,0,542.44
191,prosumer,paid,11.6,4,0,170.95
192,prosumer,partner,7.9,5,0,0.0
193,smb,organic,45.6,12,0,446.73
194,consumer,organic,29.7,4,0,185.89
195,consumer,paid,21.4,4,0,147.99
196,consumer,partner,58.3,13,0,687.97
197,prosumer,partner,56.5,25,0,1251.0
198,consumer,paid,59.0,14,0,732.85
199,consumer,organic,7.1,6,0,16.66
200,smb,organic,57.0,16,0,857.74
201,smb,paid,28.5,8,0,230.45
202,consumer,organic,60.4,18,0,994.28
203,consumer,organic,38.4,9,0,309.25
204,consumer,partner,51.2,16,0,781.35
205,consumer,paid,71.9,22,0,1412.67
206,prosumer,partner,67.1,16,0,1025.25
207,consumer,partner,32.4,13,0,375.02
208,smb,organic,84.8,23,1,1827.12
209,smb,organic,60.5,21,0,1229.47
210,prosumer,partner,66.5,18,0,1072.86
211,consumer,paid,70.8,16,0,1135.39
212,consumer,partner,80.8,17,1,1350.16
213,consumer,paid,59.4,16,0,828.67
214,consumer,partner,52.6,13,0,608.85
215,consumer,organic,65.8,14,0,837.93
216,consumer,paid,20.4,2,0,65.8
217,consumer,paid,63.1,26,0,1606.61
218,prosumer,paid,35.0,12,0,392.77
219,prosumer,partner,56.6,14,0,830.15
220,consumer,organic,66.2,17,0,1114.37
221,prosumer,partner,50.8,10,0,617.1
222,consumer,paid,96.1,27,0,2280.98
223,prosumer,partner,64.1,15,0,945.95
224,consumer,partner,56.7,22,0,1043.55
225,consumer,paid,29.9,8,0,323.42
226,consumer,paid,31.1,16,1,410.29
227,consumer,paid,49.2,26,1,1171.05
228,consumer,paid,65.1,15,0,909.75
229,consumer,partner,45.6,9,0,391.97
230,consumer,partner,56.9,13,0,654.96
231,consumer,organic,74.5,14,0,986.22
232,consumer,paid,38.6,14,0,560.87
233,consumer,paid,19.2,3,0,119.18
234,consumer,organic,18.1,5,0,168.84
235,consumer,paid,52.3,12,0,567.58
236,consumer,organic,38.6,12,0,430.36
237,consumer,paid,59.6,25,1,1500.12
238,consumer,paid,76.9,29,0,2080.79
239,consumer,paid,36.8,11,0,410.01
240,prosumer,organic,72.7,18,0,1263.16
241,consumer,organic,57.6,15,0,763.12
242,consumer,organic,37.4,10,0,395.07
243,consumer,organic,42.8,11,0,469.97
244,prosumer,organic,44.8,13,0,476.53
245,smb,partner,45.3,17,0,674.85
246,prosumer,paid,10.2,8,0,115.16
247,prosumer,partner,0.9,4,0,0.0
248,consumer,organic,14.1,9,0,0.0
249,consumer,organic,65.0,10,0,627.65
250,consumer,organic,10.0,9,0,66.09
251,consumer,paid,39.3,10,0,280.33
252,prosumer,organic,18.8,5,0,73.95
253,consumer,organic,65.9,19,0,1108.65
254,consumer,paid,57.0,14,0,813.82
255,consumer,partner,71.8,18,0,1238.12
256,consumer,organic,61.4,21,0,1195.65
257,consumer,organic,36.3,13,0,547.83
258,prosumer,organic,59.8,24,0,1273.3
259,consumer,partner,27.6,6,0,142.31
260,consumer,paid,63.3,18,0,1048.62
261,consumer,paid,34.6,10,0,328.69
262,consumer,partner,33.3,12,0,485.22
263,prosumer,partner,55.0,13,0,664.16
264,consumer,partner,59.6,14,1,876.77
265,prosumer,organic,26.2,8,0,119.41
266,consumer,paid,28.4,7,0,254.8
267,prosumer,partner,70.4,19,1,1317.03
268,smb,organic,61.1,14,0,735.69
269,consumer,partner,34.3,15,0,485.05
270,consumer,organic,47.5,16,0,733.85
271,consumer,organic,18.3,7,0,136.12
272,consumer,partner,46.6,11,0,535.41
273,consumer,partner,22.7,5,0,160.76
274,consumer,organic,37.5,9,0,334.08
275,consumer,paid,51.1,15,0,626.21
276,consumer,paid,20.0,6,0,93.25
277,prosumer,paid,49.2,12,0,545.88
278,consumer,organic,61.1,15,0,844.33
279,smb,partner,33.0,13,0,431.01
280,consumer,paid,28.4,15,1,416.99
281,prosumer,partner,90.3,34,0,2856.82
282,consumer,partner,18.3,11,0,211.14
283,smb,organic,11.4,8,0,58.91
284,consumer,paid,50.4,9,0,395.67
285,smb,paid,11.1,5,0,122.9
286,prosumer,paid,81.5,25,1,1976.56
287,prosumer,paid,45.0,9,0,454.31
288,consumer,partner,50.5,15,0,777.08
289,consumer,paid,10.1,2,0,47.28
290,consumer,organic,79.1,17,1,1254.93
291,prosumer,partner,91.6,25,1,2192.23
292,prosumer,organic,52.0,17,1,845.21
293,consumer,paid,21.1,6,0,193.29
294,smb,organic,15.4,3,0,73.27
295,consumer,organic,71.9,20,0,1433.9
296,consumer,organic,86.2,25,1,1987.34
297,consumer,organic,37.2,16,0,555.62
298,prosumer,organic,66.9,13,0,860.44
299,consumer,organic,62.4,16,1,889.04
300,consumer,partner,36.0,15,0,562.33
301,consumer,partner,36.0,9,0,422.08
302,prosumer,paid,35.8,12,0,372.91
303,consumer,organic,88.9,30,0,2474.45
304,prosumer,partner,54.1,9,1,491.7
305,consumer,organic,26.2,12,0,310.93
306,smb,organic,77.5,15,0,1032.24
307,prosumer,organic,65.5,16,0,894.79
308,consumer,paid,21.2,10,0,193.79
309,consumer,organic,34.3,8,0,222.47
310,consumer,organic,49.2,9,0,574.96
311,consumer,paid,31.8,13,0,459.69
312,prosumer,partner,32.3,13,0,396.94
313,consumer,paid,50.7,17,0,678.86
314,smb,organic,46.9,11,0,470.37
315,consumer,paid,60.4,22,1,1222.48
316,prosumer,paid,28.1,7,0,255.59
317,smb,organic,51.9,18,0,911.75
318,consumer,organic,47.8,12,0,521.72
319,consumer,paid,40.4,10,0,357.85
320,consumer,partner,37.8,14,0,491.45
321,consumer,organic,79.3,28,1,2138.52
322,consumer,organic,50.0,9,0,383.98
323,prosumer,partner,28.8,18,0,502.37
324,consumer,partner,43.7,9,0,329.28
325,prosumer,paid,23.7,8,0,264.0
326,smb,partner,67.6,23,0,1471.59
327,consumer,organic,61.7,19,0,1126.57
328,consumer,paid,11.1,5,0,192.71
329,consumer,paid,69.9,22,0,1386.43
330,smb,organic,29.6,12,0,278.75
331,prosumer,partner,69.8,22,0,1518.03
332,consumer,partner,44.1,13,0,617.04
333,prosumer,paid,72.6,13,0,829.84
334,prosumer,partner,53.1,14,0,728.35
335,smb,organic,28.8,8,0,271.16
336,prosumer,organic,53.4,11,0,534.16
337,consumer,paid,67.2,24,0,1533.78
338,consumer,paid,9.6,6,0,138.54
339,prosumer,organic,53.1,17,0,964.57
340,consumer,paid,67.9,23,1,1524.36
341,consumer,paid,29.3,7,0,231.36
342,consumer,partner,55.3,19,1,941.42
343,smb,organic,52.9,19,0,920.38
344,prosumer,organic,47.2,14,1,704.81
345,smb,organic,59.7,17,0,909.48
346,consumer,organic,79.7,22,0,1594.68
347,consumer,partner,72.3,16,1,1226.9
348,consumer,paid,70.1,17,1,1140.77
349,consumer,partner,48.6,14,0,672.54
350,prosumer,partner,59.0,14,0,828.33
351,consumer,paid,58.7,22,0,1131.95
352,smb,partner,21.7,11,0,181.5
353,prosumer,partner,73.1,14,1,986.29
354,prosumer,partner,28.5,12,0,395.08
355,smb,partner,33.6,7,0,237.69
356,consumer,paid,60.8,17,0,978.16
357,consumer,partner,37.5,12,1,449.89
358,consumer,paid,59.4,17,0,890.92
359,prosumer,partner,68.0,13,0,866.17
360,consumer,paid,2.9,3,0,0.0
361,smb,paid,44.0,12,0,541.92
362,prosumer,organic,74.1,27,0,1824.37
363,consumer,partner,56.7,17,0,956.29
364,prosumer,organic,21.2,6,0,199.93
365,smb,partner,10.5,10,0,151.32
366,consumer,paid,75.8,27,1,1886.55
367,consumer,partner,61.8,16,0,921.83
368,prosumer,partner,30.9,13,0,348.93
369,consumer,organic,45.4,19,0,722.32
370,smb,paid,37.7,16,0,701.03
371,consumer,partner,27.5,8,0,211.74
372,consumer,partner,62.3,19,0,1110.74
373,smb,paid,46.8,13,0,593.39
374,consumer,paid,37.7,13,0,417.61
375,consumer,organic,57.9,17,0,943.7
376,prosumer,organic,47.3,13,0,620.8
377,consumer,paid,69.5,25,0,1536.91
378,consumer,partner,38.5,8,0,323.6
379,prosumer,organic,58.9,14,0,781.53
380,consumer,paid,74.0,18,1,1178.64
381,consumer,paid,56.0,15,0,816.0
382,smb,organic,87.3,18,0,1534.95
383,smb,partner,55.2,20,0,981.92
384,consumer,paid,66.9,12,0,723.97
385,prosumer,partner,37.7,19,0,749.12
386,smb,organic,80.6,22,0,1560.6
387,prosumer,partner,64.9,28,0,1632.34
388,consumer,organic,21.4,6,0,87.01
389,consumer,partner,60.7,15,0,784.93
390,prosumer,partner,16.3,3,0,44.48
391,prosumer,paid,11.9,6,0,92.49
392,consumer,organic,43.2,14,0,504.53
393,prosumer,organic,55.1,17,0,836.48
394,smb,organic,54.0,8,0,404.84
395,prosumer,partner,57.6,26,0,1396.01
396,consumer,paid,49.8,17,0,921.2
397,consumer,organic,58.7,13,0,713.4
398,smb,organic,22.2,10,0,181.51
399,consumer,partner,37.9,19,0,624.69
400,smb,paid,64.0,19,0,1156.12
401,consumer,organic,11.4,4,0,116.86
402,prosumer,paid,11.6,4,0,0.0
403,consumer,partner,49.8,12,0,534.49
404,consumer,paid,73.1,19,0,1225.97
405,consumer,partner,76.9,23,1,1642.18
406,smb,paid,45.8,14,0,604.71
407,prosumer,organic,7.2,2,0,0.0
408,prosumer,partner,60.4,14,0,794.57
409,consumer,organic,9.4,3,0,112.37
410,consumer,partner,23.9,10,0,328.97
411,smb,partner,66.7,17,0,1015.83
412,prosumer,partner,78.8,29,0,2141.34
413,consumer,organic,47.8,15,0,693.63
414,consumer,organic,55.9,5,0,388.76
415,prosumer,partner,25.5,6,0,166.73
416,consumer,organic,97.6,27,0,2385.32
417,smb,paid,8.9,4,0,0.0
418,consumer,paid,31.9,11,0,451.19
419,consumer,partner,68.2,18,0,1189.79
420,consumer,paid,50.9,12,0,564.23
421,prosumer,paid,47.8,10,0,354.62
422,consumer,partner,49.8,16,0,794.53
423,smb,organic,70.9,25,1,1688.71
424,consumer,organic,14.8,6,0,176.24
425,prosumer,partner,67.8,24,0,1479.03
426,smb,organic,53.2,10,0,478.95
427,prosumer,partner,51.2,14,0,778.56
428,consumer,partner,59.7,22,0,1151.58
429,consumer,partner,38.7,5,0,172.43
430,consumer,paid,61.8,20,0,1208.82
431,consumer,partner,29.7,9,0,284.28
432,consumer,organic,28.1,6,0,199.8
433,consumer,partner,57.7,24,0,1253.69
434,prosumer,paid,24.6,12,0,304.73
435,prosumer,organic,53.2,10,0,459.0
436,prosumer,organic,79.0,21,1,1530.23
437,smb,organic,35.6,12,0,357.97
438,consumer,paid,42.9,11,0,515.88
439,consumer,organic,65.1,17,0,1061.89
440,consumer,partner,40.8,19,0,745.28
441,consumer,paid,60.5,17,0,946.96
442,consumer,organic,35.9,10,0,330.73
443,prosumer,organic,51.8,13,0,588.54
444,consumer,paid,96.3,22,0,1879.12
445,consumer,paid,42.9,19,0,720.5
446,consumer,organic,47.4,16,0,742.72
447,prosumer,paid,61.2,18,0,1082.68
448,smb,paid,82.7,30,1,2209.53
449,prosumer,partner,48.7,14,0,651.38
450,consumer,paid,37.8,10,0,306.27
451,consumer,partner,46.8,13,0,482.08
452,smb,organic,25.7,10,0,290.76
453,prosumer,organic,28.4,16,0,466.5
454,consumer,organic,87.9,26,1,2135.75
455,prosumer,organic,47.7,12,0,612.19
456,consumer,partner,28.2,11,0,285.75
457,consumer,partner,60.5,15,0,717.88
458,consumer,organic,30.3,8,0,180.5
459,prosumer,partner,66.6,22,0,1356.96
460,consumer,paid,32.5,10,0,368.1
461,consumer,organic,41.9,8,0,404.15
462,consumer,partner,45.9,15,0,654.67
463,smb,paid,69.0,22,0,1454.84
464,consumer,partner,79.5,24,0,1723.22
465,consumer,organic,67.2,22,0,1247.96
466,smb,paid,78.7,19,0,1390.79
467,smb,paid,72.4,24,0,1548.14
468,consumer,paid,36.6,9,0,344.02
469,consumer,paid,36.5,19,0,722.81
470,consumer,partner,36.2,19,0,660.82
471,prosumer,paid,44.2,10,0,452.29
472,consumer,paid,80.0,13,0,937.32
473,consumer,organic,41.2,11,0,343.18
474,consumer,organic,55.8,13,0,784.81
475,consumer,organic,30.9,12,0,326.21
476,consumer,organic,29.6,8,0,272.2
477,smb,partner,77.1,24,0,1660.59
478,consumer,partner,72.3,30,0,2072.78
479,consumer,organic,40.0,15,0,693.51
480,prosumer,paid,23.6,10,0,231.65
481,prosumer,organic,26.1,7,0,118.26
482,consumer,organic,51.3,13,0,661.95
483,consumer,paid,55.0,18,0,930.92
484,consumer,paid,23.7,11,0,236.88
485,consumer,partner,61.4,21,1,1247.19
486,consumer,partner,10.9,6,0,68.0
487,consumer,paid,55.8,16,0,800.11
488,consumer,partner,7.2,3,0,84.5
489,consumer,partner,83.2,27,0,2023.71
490,prosumer,partner,27.3,9,0,292.7
491,consumer,organic,30.5,10,0,265.48
492,consumer,partner,66.5,13,0,842.2
493,consumer,organic,69.2,18,0,1137.77
494,consumer,partner,62.8,20,0,1115.63
495,consumer,paid,51.6,10,0,581.74
496,consumer,partner,17.7,7,0,117.37
497,prosumer,paid,21.9,10,0,221.04
498,smb,paid,43.2,15,0,664.15
499,consumer,organic,53.2,6,1,323.6
500,prosumer,organic,32.0,9,0,178.53
501,consumer,partner,52.4,16,0,791.04
502,consumer,organic,40.2,12,0,419.14
503,consumer,organic,20.1,8,0,104.76
504,consumer,paid,60.0,22,0,1181.94
505,prosumer,organic,77.8,30,0,2050.38
506,consumer,organic,22.9,9,0,246.1
507,consumer,partner,28.7,10,0,307.28
508,smb,partner,24.4,5,0,163.35
509,consumer,partner,53.8,14,0,775.05
510,smb,partner,46.2,13,0,564.21
511,consumer,partner,56.4,18,0,952.26
512,consumer,paid,49.2,17,0,708.6
513,consumer,paid,64.1,17,0,978.42
514,smb,partner,44.6,9,0,427.52
515,prosumer,paid,52.7,10,0,612.34
516,smb,partner,76.4,18,0,1198.33
517,consumer,paid,53.7,16,0,771.02
518,consumer,paid,37.7,12,0,411.66
519,prosumer,partner,45.5,11,0,517.82
520,consumer,paid,54.3,18,0,941.26
521,prosumer,paid,44.6,15,0,645.22
522,consumer,organic,56.5,17,0,881.5
523,consumer,partner,81.6,23,1,1735.41
524,consumer,partner,85.8,23,0,1903.97
525,smb,organic,35.8,12,0,443.88
526,consumer,paid,42.2,11,0,367.31
527,consumer,organic,70.9,22,0,1371.28
528,consumer,organic,13.2,5,0,199.26
529,consumer,paid,53.2,22,0,1100.77
530,consumer,partner,56.6,11,0,656.28
531,consumer,paid,29.4,12,0,337.58
532,consumer,paid,52.5,17,0,776.13
533,consumer,paid,28.4,12,0,275.89
534,smb,partner,33.4,7,0,293.59
535,consumer,paid,44.9,16,1,660.48
536,prosumer,partner,65.2,16,0,1053.42
537,consumer,organic,37.9,12,0,461.4
538,consumer,paid,95.1,29,0,2439.51
539,consumer,organic,50.7,13,0,656.27
540,consumer,paid,73.9,15,0,977.74
541,consumer,organic,60.8,23,0,1218.0
542,consumer,paid,45.7,18,1,832.37
543,consumer,organic,84.4,15,1,1275.2
544,consumer,paid,16.9,2,0,22.96
545,consumer,organic,46.2,16,0,765.71
546,consumer,organic,24.7,4,0,142.76
547,consumer,paid,42.3,12,0,479.68
548,smb,organic,26.8,10,0,311.6
549,prosumer,partner,45.9,8,0,406.63
550,consumer,organic,26.9,12,0,317.44
551,prosumer,partner,67.8,18,0,969.31
552,consumer,partner,19.8,4,0,112.0
553,consumer,partner,25.6,9,0,256.05
554,consumer,partner,16.9,10,0,89.62
555,smb,paid,26.9,12,0,321.4
556,consumer,paid,65.1,14,1,968.68
557,smb,paid,43.6,12,0,451.59
558,consumer,paid,34.1,9,0,393.52
559,consumer,organic,33.3,12,0,394.69
560,consumer,paid,23.9,7,0,145.38
561,consumer,organic,32.5,12,0,409.83
562,consumer,paid,76.2,16,0,1047.64
563,prosumer,organic,44.6,15,0,603.72
564,smb,organic,56.1,14,1,670.71
565,consumer,partner,36.9,12,0,365.34
566,smb,organic,77.0,21,0,1515.3
567,consumer,organic,79.7,22,0,1572.77
568,prosumer,organic,66.5,18,0,1049.03
569,consumer,partner,47.3,19,0,815.35
570,consumer,paid,24.5,14,0,239.97
571,consumer,paid,30.4,7,0,109.49
572,smb,organic,88.9,20,1,1658.54
573,prosumer,paid,70.7,25,1,1709.55
574,consumer,paid,60.0,16,0,837.95
575,consumer,paid,48.5,10,0,422.19
576,consumer,partner,51.0,20,1,1020.98
577,consumer,organic,40.3,10,0,390.14
578,consumer,organic,62.2,23,0,1242.94
579,consumer,paid,23.4,6,0,288.24
580,consumer,partner,62.9,19,0,1015.59
581,consumer,organic,28.3,8,0,184.46
582,consumer,paid,27.7,8,0,209.82
583,consumer,partner,68.2,24,0,1622.61
584,consumer,organic,62.7,17,0,915.27
585,prosumer,organic,64.3,16,0,851.21
586,prosumer,paid,53.0,7,0,388.63
587,prosumer,organic,30.5,8,0,182.69
588,consumer,partner,55.6,22,0,1207.21
589,prosumer,organic,33.7,11,0,403.83
590,prosumer,partner,33.0,3,0,146.27
591,prosumer,organic,35.5,6,0,144.58
592,consumer,paid,30.3,11,0,323.11
593,consumer,partner,49.6,21,0,893.76
594,consumer,paid,34.4,4,0,133.0
595,consumer,organic,39.9,9,0,395.29
596,prosumer,paid,23.8,11,0,234.5
597,consumer,organic,37.3,7,0,281.47
598,consumer,partner,42.4,14,0,499.94
599,smb,paid,38.3,7,0,322.91
600,consumer,organic,85.6,26,0,2023.16
601,smb,paid,42.7,21,0,803.83
602,consumer,organic,24.7,8,0,197.94
603,prosumer,organic,57.7,19,0,962.39
604,consumer,organic,70.4,16,0,1064.88
605,consumer,partner,59.8,16,0,859.68
606,prosumer,organic,54.0,16,0,848.91
607,consumer,partner,65.6,18,0,1100.68
608,smb,partner,36.7,11,0,387.39
609,consumer,organic,62.3,13,0,680.78
610,smb,paid,53.9,11,0,569.56
611,smb,partner,41.8,15,0,626.71
612,prosumer,paid,76.0,22,1,1685.23
613,consumer,paid,61.9,19,0,1115.88
614,consumer,organic,59.6,17,0,864.39
615,consumer,partner,59.6,16,0,847.82
616,smb,organic,59.0,13,0,751.76
617,consumer,organic,5.8,2,0,109.84
618,consumer,paid,78.6,27,0,2039.17
619,prosumer,paid,37.1,14,0,454.97
620,smb,organic,83.0,26,1,2069.29
621,consumer,paid,51.6,21,0,1021.8
622,consumer,organic,68.6,30,0,1812.24
623,consumer,paid,31.7,5,0,182.24
624,smb,paid,32.4,14,0,466.78
625,prosumer,organic,55.6,18,0,862.62
626,smb,partner,60.3,15,0,914.71
627,consumer,partner,47.1,12,0,469.58
628,consumer,organic,89.4,15,1,1206.88
629,prosumer,partner,15.6,1,0,83.63
630,consumer,organic,62.6,11,0,597.25
631,consumer,partner,46.0,12,0,500.89
632,consumer,paid,36.2,9,1,286.33
633,consumer,partner,74.1,21,0,1530.25
634,consumer,partner,72.0,12,0,750.21
635,prosumer,partner,23.0,5,0,204.54
636,consumer,organic,11.0,6,0,105.42
637,prosumer,paid,33.8,12,1,451.22
638,prosumer,partner,45.2,15,0,632.71
639,consumer,paid,27.9,4,0,0.0
640,consumer,paid,41.5,14,0,492.1
641,prosumer,organic,70.4,18,0,1149.8
642,consumer,paid,56.5,15,0,790.71
643,consumer,paid,85.3,30,0,2167.92
644,consumer,organic,59.7,16,0,817.15
645,prosumer,organic,29.8,8,0,175.07
646,smb,partner,45.3,12,0,575.28
647,consumer,paid,88.6,30,0,2407.31
648,prosumer,organic,50.9,14,0,624.56
649,smb,paid,79.6,21,0,1620.22
650,smb,partner,13.8,3,0,70.65
651,prosumer,paid,45.4,20,0,885.04
