rep_id,region,tenure_months,q1_sales_k,coached,q2_sales_k
243,LATAM,13,66.7,0,77.0
244,APAC,19,60.3,0,55.1
245,NA,13,40.9,1,46.3
246,LATAM,38,60.1,0,42.3
247,LATAM,20,49.3,0,58.1
248,LATAM,39,56.3,0,46.0
249,APAC,24,48.8,0,65.9
250,NA,54,41.1,1,51.5
251,LATAM,28,46.8,1,37.0
252,EMEA,32,48.0,0,34.7
253,APAC,14,58.4,0,54.8
254,APAC,24,42.1,0,21.8
255,LATAM,8,66.9,0,52.9
256,LATAM,19,47.6,0,52.6
257,LATAM,44,34.0,1,44.5
258,NA,35,51.2,0,41.6
259,NA,28,37.2,1,62.5
260,EMEA,21,69.9,0,64.4
261,NA,3,-7.1,1,8.3
262,APAC,42,52.6,0,61.1
263,APAC,35,65.6,0,74.1
264,LATAM,21,44.8,1,33.5
265,APAC,43,57.8,0,54.7
266,EMEA,56,50.1,0,53.5
267,EMEA,5,60.7,0,67.6
268,NA,30,65.7,0,66.0
269,NA,23,55.2,0,62.4
270,NA,42,43.0,0,35.7
271,APAC,27,55.5,0,67.2
272,NA,25,55.2,1,30.0
273,APAC,17,55.0,0,41.1
274,EMEA,5,82.5,0,87.7
275,APAC,10,61.1,0,71.8
276,NA,21,42.2,1,39.8
277,APAC,55,65.0,0,58.3
278,NA,35,52.3,0,51.4
279,LATAM,51,25.1,1,51.7
280,NA,44,62.5,0,54.4
281,EMEA,21,51.5,0,42.6
282,APAC,56,56.2,0,63.6
283,LATAM,3,52.9,0,53.0
284,NA,2,74.5,0,58.5
285,EMEA,43,94.0,0,80.7
286,NA,34,64.6,0,52.0
287,APAC,32,53.0,0,36.0
288,APAC,19,49.9,0,37.3
289,APAC,18,15.9,1,56.8
290,EMEA,21,69.9,0,51.6
291,NA,46,60.5,0,43.8
292,EMEA,52,38.4,0,49.8
293,APAC,35,52.9,0,39.8
294,NA,40,24.8,1,48.9
295,NA,52,79.0,0,75.7
296,APAC,19,19.5,1,56.1
297,APAC,53,48.0,0,50.0
298,NA,35,29.2,1,34.5
299,NA,53,57.7,0,27.4
300,NA,14,75.4,0,60.3
301,LATAM,30,43.8,0,32.9
302,LATAM,35,64.0,0,66.0
303,APAC,30,28.1,1,9.5
304,APAC,43,63.7,0,53.7
305,APAC,58,27.4,1,31.0
306,NA,23,37.1,1,56.2
307,NA,12,38.9,0,50.9
308,EMEA,21,59.1,0,78.9
309,EMEA,10,72.0,0,51.6
310,APAC,52,85.7,0,64.4
311,EMEA,47,44.1,0,34.9
312,NA,29,45.6,0,71.6
313,APAC,34,32.6,1,55.6
314,LATAM,5,26.7,1,39.1
315,APAC,37,50.3,0,61.3
316,EMEA,51,60.3,0,55.6
317,NA,34,84.3,0,65.3
318,LATAM,36,33.7,1,59.9
319,EMEA,43,78.0,0,65.8
320,APAC,53,39.5,0,37.6
321,NA,38,33.5,1,32.8
322,NA,10,64.3,0,61.6
323,NA,10,68.0,0,68.4
324,LATAM,34,69.8,0,69.6
325,LATAM,57,61.6,0,73.0
326,EMEA,53,47.3,1,50.3
327,NA,26,64.3,0,78.2
328,NA,20,60.6,0,47.3
329,APAC,55,17.8,1,22.6
330,EMEA,18,48.1,1,28.7
331,NA,18,34.5,0,48.7
332,EMEA,32,45.6,0,62.1
333,LATAM,15,65.7,0,59.8
334,NA,43,36.8,1,50.6
335,APAC,2,70.4,0,66.5
336,EMEA,11,52.7,0,28.9
337,EMEA,38,53.2,0,44.1
338,LATAM,19,63.6,0,55.6
339,NA,16,32.9,1,38.3
340,NA,25,53.9,0,61.8
341,NA,10,66.8,0,70.8
342,NA,17,45.4,0,47.9
343,NA,52,62.7,0,50.3
344,EMEA,57,55.6,0,46.7
345,APAC,39,61.4,0,44.9
346,NA,20,58.7,0,47.1
347,APAC,42,43.8,0,62.8
348,APAC,59,31.6,1,33.8
349,LATAM,47,45.9,1,24.8
350,LATAM,28,53.6,0,67.8
351,EMEA,6,38.8,1,18.5
352,APAC,58,29.7,1,35.5
353,EMEA,27,54.6,0,34.1
354,APAC,43,51.8,1,47.6
355,NA,48,75.3,0,87.1
356,EMEA,59,61.9,0,50.3
357,LATAM,10,87.0,0,106.5
358,EMEA,25,46.2,0,56.8
359,APAC,48,63.4,0,80.7
360,LATAM,32,55.2,0,44.4
361,APAC,48,57.7,0,66.6
362,LATAM,51,62.6,0,68.1
363,LATAM,10,79.1,0,58.2
364,APAC,22,51.2,1,60.2
365,APAC,4,38.7,1,27.3
366,APAC,53,38.6,1,43.6
367,EMEA,15,67.9,0,58.9
368,APAC,30,49.0,0,44.4
369,APAC,46,58.6,0,66.5
370,APAC,38,69.9,0,62.4
371,LATAM,40,65.8,0,47.0
372,NA,2,59.9,0,53.6
373,EMEA,22,40.3,1,48.6
374,EMEA,59,70.9,0,57.1
375,LATAM,52,76.8,0,45.9
376,APAC,27,63.4,0,46.3
377,LATAM,9,36.7,0,33.1
378,LATAM,11,27.1,0,49.8
379,EMEA,54,74.2,0,55.3
380,LATAM,14,30.9,1,11.9
381,LATAM,23,33.5,1,32.0
382,LATAM,46,60.7,0,63.9
383,APAC,38,60.2,0,61.0
384,LATAM,32,31.9,1,35.4
385,NA,50,67.0,0,72.3
386,EMEA,17,16.2,1,13.1
387,LATAM,19,60.9,0,47.6
388,NA,31,39.2,1,15.4
389,LATAM,39,58.7,0,48.0
390,EMEA,40,75.2,0,55.5
391,APAC,49,66.6,0,60.3
392,NA,13,60.1,0,47.9
393,LATAM,59,57.3,0,45.9
394,EMEA,6,65.6,0,59.1
395,APAC,12,72.2,0,50.6
396,LATAM,53,47.5,0,64.2
397,NA,26,30.9,1,24.0
398,APAC,29,53.6,0,35.7
399,LATAM,17,51.1,0,52.9
400,LATAM,59,39.5,1,54.8
401,APAC,42,54.6,0,55.4
402,NA,2,22.4,1,32.4
403,EMEA,3,35.8,1,34.0
404,EMEA,28,47.9,0,56.5
405,LATAM,5,40.2,0,80.9
406,APAC,59,34.6,1,52.6
407,LATAM,16,59.1,0,41.8
408,APAC,51,27.6,1,36.2
409,NA,39,53.5,0,27.9
410,EMEA,7,30.3,1,26.3
411,APAC,46,45.8,0,47.6
412,NA,10,66.8,0,82.5
413,LATAM,27,34.4,1,38.6
414,EMEA,58,56.3,0,56.6
415,EMEA,20,34.5,1,49.7
416,EMEA,31,51.3,0,56.5
417,APAC,27,40.4,1,51.2
418,NA,7,42.8,0,28.0
419,EMEA,44,38.1,1,66.9
420,APAC,57,61.7,0,77.3
421,APAC,2,55.9,0,30.2
422,NA,27,41.5,0,20.7
423,EMEA,35,15.0,1,24.7
424,NA,12,19.8,1,31.3
425,APAC,17,50.7,1,47.0
426,APAC,16,38.3,1,64.4
427,NA,55,73.6,0,49.4
428,LATAM,51,54.4,0,59.5
429,EMEA,37,36.8,1,48.3
430,EMEA,53,54.8,0,63.6
431,EMEA,51,58.4,0,85.1
432,EMEA,15,53.5,0,33.9
433,NA,25,52.1,0,58.5
434,APAC,25,74.3,0,65.6
435,APAC,52,39.1,0,63.1
436,APAC,24,72.8,0,56.8
437,LATAM,31,66.5,0,64.8
438,LATAM,34,77.5,0,75.7
439,APAC,9,52.8,0,55.1
440,LATAM,58,15.2,1,27.4
441,EMEA,21,45.8,0,41.0
442,NA,18,75.5,0,68.9
443,LATAM,24,52.0,0,51.6
444,NA,54,53.4,0,30.1
445,LATAM,48,43.1,0,25.4
446,EMEA,59,42.6,1,36.3
447,NA,22,45.1,0,40.5
448,NA,12,29.8,0,20.3
449,EMEA,27,78.5,0,55.1
450,NA,40,58.5,0,72.1
451,EMEA,56,83.2,0,62.2
452,NA,35,49.8,0,61.9
453,EMEA,41,46.9,0,68.4
454,LATAM,6,60.0,0,67.7
455,EMEA,3,57.6,1,57.8
456,EMEA,16,32.2,1,23.8
457,LATAM,12,56.4,0,44.2
458,NA,4,32.6,0,18.5
459,NA,43,2.3,1,27.2
460,APAC,54,87.5,0,52.3
461,APAC,15,46.6,0,47.5
462,LATAM,50,29.9,1,26.1
463,EMEA,44,45.9,0,58.8
464,LATAM,53,57.0,0,44.9
465,LATAM,53,53.0,0,35.4
466,EMEA,38,47.3,0,73.3
467,EMEA,20,39.7,1,46.0
468,APAC,57,73.0,0,63.3
469,LATAM,4,38.8,0,45.6
470,EMEA,31,53.2,0,31.7
471,EMEA,35,84.8,0,66.0
472,LATAM,38,36.2,1,33.7
473,LATAM,13,76.8,0,76.4
474,LATAM,6,25.3,1,29.9
475,LATAM,46,32.6,0,17.9
476,EMEA,17,61.8,0,44.0
477,EMEA,24,47.1,1,35.0
478,LATAM,50,71.6,0,72.5
479,EMEA,44,42.6,0,46.5
480,NA,41,70.8,0,44.1
481,NA,8,34.3,1,43.3
482,NA,10,56.9,0,54.1
483,APAC,28,62.4,0,67.3
484,LATAM,48,59.3,0,55.8
485,LATAM,30,59.5,0,64.3
486,APAC,39,52.5,0,37.5
487,NA,3,85.1,0,77.0
488,EMEA,49,95.1,0,74.4
489,APAC,26,42.3,1,37.0
490,EMEA,47,66.6,0,65.7
491,LATAM,7,69.3,0,60.1
492,APAC,29,57.9,0,52.7
493,EMEA,28,69.3,0,50.1
494,NA,47,83.5,0,71.8
495,LATAM,6,10.4,1,21.5
496,APAC,4,46.2,0,38.0
497,LATAM,15,69.9,0,81.8
498,APAC,3,52.7,0,62.3
499,LATAM,26,38.6,1,44.7
500,EMEA,9,46.6,0,39.0
501,LATAM,48,47.2,0,38.2
502,APAC,51,55.1,0,67.3
503,APAC,41,37.1,1,30.9
504,NA,49,59.3,0,46.4
505,LATAM,6,87.1,0,57.3
506,NA,31,61.4,0,50.5
507,APAC,44,51.8,1,50.6
508,APAC,24,43.9,1,28.5
509,LATAM,45,41.0,0,18.4
510,LATAM,38,58.9,0,6.4
511,LATAM,22,33.7,0,26.4
512,NA,30,68.8,0,33.0
513,NA,54,72.6,0,56.0
514,NA,42,72.3,0,48.6
515,LATAM,39,56.7,0,59.0
516,APAC,54,49.7,0,68.6
517,EMEA,25,42.3,1,61.7
518,LATAM,2,46.1,1,39.5
519,APAC,59,53.0,0,84.8
520,LATAM,28,52.4,0,51.8
521,APAC,58,25.7,1,20.1
522,APAC,26,62.5,0,58.0
523,LATAM,43,47.8,1,59.2
524,EMEA,22,77.8,0,94.9
525,NA,50,53.1,0,50.3
526,NA,23,53.4,0,56.5
527,LATAM,56,52.3,0,14.6
528,APAC,10,62.1,1,62.0
529,NA,49,83.4,0,71.5
530,LATAM,54,42.6,1,40.7
531,LATAM,34,38.3,1,42.8
532,EMEA,48,39.5,1,48.0
533,NA,37,51.4,1,64.9
534,EMEA,51,40.4,1,39.5
535,NA,5,39.8,1,73.2
536,APAC,17,47.2,0,48.0
537,EMEA,20,54.1,0,47.1
538,LATAM,33,31.7,1,58.9
539,NA,23,69.1,0,55.2
540,LATAM,9,40.0,1,55.3
541,APAC,58,7.4,1,35.5
542,LATAM,54,57.6,0,65.9
543,LATAM,46,36.2,0,61.6
544,LATAM,36,72.3,0,49.0
545,APAC,6,53.9,0,74.0
546,LATAM,53,59.9,0,64.0
547,APAC,24,46.2,0,43.7
548,APAC,33,44.7,0,49.4
549,APAC,39,55.9,0,66.9
550,EMEA,5,83.5,0,58.8
551,NA,22,35.4,1,30.7
552,EMEA,21,37.8,0,58.9
553,LATAM,38,23.5,1,41.0
554,APAC,49,54.6,0,46.6
555,LATAM,13,31.9,1,49.7
556,LATAM,22,68.4,0,77.5
557,NA,28,43.7,0,69.5
558,NA,54,63.6,0,71.2
559,NA,15,56.6,0,66.6
560,APAC,28,26.4,1,40.0
561,APAC,26,24.2,1,21.7
562,LATAM,20,67.3,0,64.6
563,LATAM,2,57.5,0,70.2
564,APAC,20,39.5,0,23.9
565,APAC,12,80.2,0,79.4
566,APAC,20,50.6,1,71.4
567,LATAM,9,69.5,0,60.4
568,LATAM,5,43.1,0,55.2
569,APAC,45,11.5,1,17.3
570,LATAM,51,40.4,0,48.2
571,LATAM,24,56.4,0,58.6
572,APAC,11,34.8,1,16.1
573,APAC,10,46.3,0,43.6
574,NA,31,67.6,0,63.4
575,EMEA,16,66.4,0,59.6
576,NA,38,71.2,0,43.4
577,LATAM,6,18.3,1,16.2
578,EMEA,29,44.7,0,52.7
579,LATAM,25,64.5,0,61.2
580,EMEA,2,70.7,0,76.0
581,EMEA,40,66.1,0,43.7
582,NA,57,48.9,0,57.2
583,LATAM,19,70.9,0,42.8
584,LATAM,47,35.6,1,37.4
585,NA,9,41.5,1,47.0
586,LATAM,15,42.8,1,36.0
587,EMEA,55,66.0,0,31.8
588,NA,14,44.8,0,42.6
589,EMEA,25,52.9,0,44.9
590,LATAM,10,61.4,0,45.1
591,LATAM,58,55.9,0,49.5
592,EMEA,53,44.0,1,35.2
593,APAC,16,22.5,1,46.9
594,NA,37,79.7,0,48.3
595,APAC,30,33.3,1,30.9
596,EMEA,54,72.6,0,43.1
597,LATAM,19,46.0,0,34.0
598,APAC,20,64.7,0,82.3
599,NA,28,53.5,0,53.0
600,NA,14,60.5,0,72.2
601,APAC,15,45.5,1,51.4
602,LATAM,23,55.5,0,36.4
603,APAC,40,30.6,1,30.7
604,APAC,16,35.9,1,40.1
605,NA,49,42.5,0,46.2
606,LATAM,28,62.5,0,69.1
607,LATAM,36,64.7,0,37.0
608,EMEA,43,48.9,1,56.6
609,APAC,34,46.5,0,59.4
610,EMEA,41,62.7,0,70.9
611,APAC,40,45.9,0,21.6
612,NA,35,59.6,0,45.3
613,APAC,39,27.5,1,20.8
614,NA,2,40.2,0,52.0
615,APAC,35,53.2,0,33.0
616,APAC,8,25.7,1,36.2
617,EMEA,59,48.9,1,57.9
618,EMEA,30,63.7,0,58.9
619,NA,37,45.7,0,56.7
620,LATAM,43,35.2,0,8.5
621,NA,9,43.0,0,36.4
622,NA,32,41.0,0,34.1
623,EMEA,47,41.3,1,36.2
624,LATAM,32,34.5,1,35.2
625,EMEA,39,74.0,0,72.4
626,APAC,49,66.3,0,64.4
627,EMEA,40,64.2,0,54.3
628,LATAM,7,49.0,0,71.5
629,LATAM,33,46.3,0,37.9
630,LATAM,32,50.0,0,31.0
631,EMEA,24,31.9,1,27.9
632,EMEA,33,60.1,0,53.4
633,LATAM,45,18.0,1,26.6
634,NA,41,25.3,1,34.9
635,NA,21,70.1,0,80.3
636,APAC,58,72.2,0,47.0
637,LATAM,25,28.1,1,49.8
638,NA,17,32.8,1,37.3
639,APAC,32,33.0,1,76.1
640,NA,5,68.9,0,51.9
641,APAC,5,38.2,0,49.2
642,APAC,57,45.8,0,70.0
643,LATAM,23,77.2,0,33.6
644,APAC,59,38.2,1,31.9
645,APAC,56,53.6,0,42.7
646,APAC,54,28.0,1,18.9
647,NA,45,49.0,0,61.7
648,NA,50,40.1,0,29.7
649,LATAM,14,76.8,0,67.7
650,EMEA,34,60.1,0,59.7
651,NA,7,42.6,1,39.1
652,NA,17,68.6,0,62.0
653,APAC,58,51.7,0,50.3
654,NA,27,56.2,0,66.3
655,NA,7,39.1,1,57.4
656,APAC,43,47.4,0,29.6
657,APAC,24,59.2,0,40.8
658,APAC,29,55.8,0,45.1
659,APAC,12,69.3,0,66.1
660,EMEA,44,35.9,1,47.4
661,EMEA,23,43.5,0,59.8
662,EMEA,13,33.1,0,32.1
663,NA,31,50.0,0,57.3
664,EMEA,20,72.4,0,61.9
665,EMEA,39,51.5,0,61.5
666,EMEA,59,67.8,0,66.4
667,APAC,54,58.0,0,60.4
668,LATAM,3,50.7,0,34.5
669,APAC,6,65.7,0,62.8
670,LATAM,18,48.9,0,69.5
671,APAC,54,28.0,0,47.2
672,APAC,36,59.5,0,58.3
673,NA,33,74.6,0,54.1
674,APAC,14,32.9,1,45.7
675,NA,13,30.4,1,35.1
676,NA,20,41.0,1,67.0
677,APAC,37,62.6,0,58.9
678,NA,45,55.1,0,54.0
679,EMEA,19,65.8,0,62.5
680,NA,22,90.9,0,74.3
681,LATAM,52,74.8,0,69.1
682,LATAM,40,35.4,0,40.2
683,LATAM,17,40.9,1,30.1
684,NA,4,72.2,0,66.6
685,APAC,2,40.6,1,36.1
686,LATAM,12,56.9,0,55.7
687,APAC,27,41.5,1,52.0
688,NA,42,49.7,0,51.5
689,NA,54,50.8,1,47.1
690,LATAM,16,54.6,0,51.6
691,LATAM,27,2.9,1,20.6
692,APAC,52,49.1,0,33.8
693,APAC,54,45.9,0,63.6
694,APAC,16,74.1,0,55.1
695,LATAM,27,60.0,0,47.9
696,EMEA,18,45.6,0,30.6
697,EMEA,10,72.7,0,79.9
698,NA,53,84.3,0,61.3
699,APAC,38,64.5,0,51.1
700,NA,58,60.8,0,55.4
701,NA,59,63.4,0,47.1
702,NA,29,40.8,1,44.2
703,LATAM,50,27.2,0,41.5
704,EMEA,32,53.5,0,64.4
705,NA,51,37.6,1,23.7
706,LATAM,31,65.1,0,51.9
707,EMEA,4,45.3,1,26.5
708,APAC,39,46.4,0,59.9
709,EMEA,20,53.8,0,55.3
710,APAC,22,26.8,1,40.5
711,NA,24,47.6,0,42.8
712,EMEA,33,26.7,0,35.3
713,APAC,17,62.7,0,66.0
714,LATAM,15,73.1,0,50.5
715,APAC,22,43.1,0,60.2
716,EMEA,54,43.5,1,67.6
717,NA,5,43.9,0,53.5
718,LATAM,28,59.9,0,73.8
719,APAC,47,55.2,0,37.3
720,LATAM,53,49.0,0,53.2
721,LATAM,30,18.8,1,8.5
722,LATAM,9,70.4,0,52.9
723,APAC,12,64.5,0,73.9
724,APAC,51,42.0,0,58.7
725,APAC,52,39.5,0,47.6
726,NA,53,41.2,0,34.7
727,APAC,57,63.8,0,42.1
728,APAC,17,6.4,1,29.6
729,LATAM,13,63.2,0,54.1
730,LATAM,52,49.3,0,59.0
731,LATAM,31,16.2,1,39.3
732,LATAM,18,-6.3,1,22.4
733,APAC,50,33.3,1,55.9
734,NA,9,57.1,0,63.8
735,LATAM,54,72.3,0,73.7
736,EMEA,35,74.8,0,82.5
737,EMEA,27,48.5,0,52.7
738,NA,2,35.9,1,12.4
739,NA,23,32.0,1,51.3
740,EMEA,13,27.3,1,38.3
741,LATAM,9,47.5,0,46.3
742,NA,9,50.6,1,46.1
743,LATAM,15,70.6,0,47.9
744,LATAM,32,40.5,0,41.5
745,APAC,36,30.4,1,28.0
746,APAC,53,21.9,1,21.9
747,EMEA,18,27.7,1,20.1
748,LATAM,19,40.3,1,55.8
749,EMEA,59,52.1,0,53.2
750,APAC,2,53.0,1,36.6
751,LATAM,45,19.1,1,24.1
752,LATAM,31,44.7,0,50.6
753,NA,21,17.5,1,35.2
754,LATAM,42,61.0,0,27.5
755,EMEA,32,63.1,0,56.5
756,NA,37,50.6,0,56.0
757,EMEA,32,5.2,1,32.8
758,NA,46,67.4,0,80.3
759,LATAM,42,61.2,0,44.4
760,LATAM,39,67.7,0,78.1
761,APAC,51,62.4,0,75.0
762,EMEA,28,66.9,0,60.0
763,LATAM,17,43.5,0,43.9
