auction_id,period,arm,profit_per_auction
82,post,fixed_rule,6.66
83,pre,fixed_rule,7.26
84,pre,fixed_rule,12.92
85,pre,learned_bidder,14.1
86,pre,fixed_rule,8.29
87,pre,learned_bidder,15.51
88,post,learned_bidder,-0.58
89,pre,learned_bidder,7.43
90,post,fixed_rule,0.69
91,pre,learned_bidder,18.34
92,post,learned_bidder,6.24
93,pre,fixed_rule,-4.03
94,pre,learned_bidder,12.32
95,post,learned_bidder,4.3
96,pre,fixed_rule,-0.73
97,pre,learned_bidder,8.06
98,pre,fixed_rule,10.33
99,pre,learned_bidder,16.42
100,pre,learned_bidder,8.96
101,pre,learned_bidder,16.84
102,pre,learned_bidder,13.53
103,post,learned_bidder,2.94
104,pre,fixed_rule,6.37
105,post,learned_bidder,9.63
106,pre,fixed_rule,4.48
107,pre,fixed_rule,13.81
108,post,fixed_rule,6.45
109,pre,learned_bidder,9.77
110,post,learned_bidder,6.52
111,post,fixed_rule,11.87
112,post,learned_bidder,7.25
113,post,fixed_rule,2.57
114,pre,learned_bidder,11.23
115,pre,learned_bidder,11.47
116,pre,fixed_rule,0.57
117,pre,fixed_rule,4.45
118,pre,learned_bidder,11.21
119,pre,learned_bidder,16.94
120,post,fixed_rule,1.94
121,pre,fixed_rule,6.67
122,pre,fixed_rule,10.99
123,pre,fixed_rule,7.19
124,post,learned_bidder,0.4
125,pre,fixed_rule,10.33
126,post,fixed_rule,3.63
127,pre,fixed_rule,4.97
128,post,fixed_rule,2.09
129,pre,fixed_rule,0.28
130,pre,fixed_rule,-0.38
131,post,fixed_rule,6.91
132,post,learned_bidder,-3.98
133,pre,learned_bidder,14.46
134,pre,learned_bidder,6.32
135,pre,fixed_rule,6.0
136,pre,fixed_rule,8.92
137,post,fixed_rule,8.03
138,pre,fixed_rule,5.82
139,pre,learned_bidder,13.87
140,post,fixed_rule,9.24
141,pre,fixed_rule,6.2
142,pre,fixed_rule,-2.36
143,pre,fixed_rule,2.69
144,post,learned_bidder,2.33
145,pre,fixed_rule,9.72
146,post,fixed_rule,8.31
147,pre,fixed_rule,5.35
148,pre,learned_bidder,7.38
149,pre,learned_bidder,17.63
150,pre,learned_bidder,14.1
151,pre,fixed_rule,11.83
152,pre,learned_bidder,12.73
153,pre,learned_bidder,15.54
154,post,fixed_rule,1.17
155,post,fixed_rule,3.49
156,pre,learned_bidder,18.01
157,post,fixed_rule,3.0
158,pre,learned_bidder,15.06
159,pre,fixed_rule,6.94
160,pre,learned_bidder,14.74
161,pre,fixed_rule,11.51
162,post,learned_bidder,-1.5
163,pre,fixed_rule,4.77
164,post,fixed_rule,4.35
165,pre,learned_bidder,10.43
166,pre,fixed_rule,2.62
167,post,fixed_rule,10.52
168,pre,fixed_rule,4.22
169,pre,fixed_rule,10.64
170,pre,fixed_rule,6.14
171,pre,learned_bidder,12.45
172,pre,learned_bidder,15.89
173,post,learned_bidder,4.72
174,pre,learned_bidder,15.99
175,pre,learned_bidder,10.78
176,pre,learned_bidder,11.01
177,post,learned_bidder,5.24
178,post,fixed_rule,10.06
179,post,fixed_rule,1.83
180,post,fixed_rule,4.53
181,pre,learned_bidder,9.18
182,pre,learned_bidder,12.61
183,pre,fixed_rule,6.46
184,pre,learned_bidder,3.06
185,post,fixed_rule,9.21
186,pre,fixed_rule,9.64
187,post,learned_bidder,3.17
188,pre,fixed_rule,4.92
189,post,fixed_rule,-3.24
190,post,learned_bidder,3.8
191,pre,fixed_rule,-0.74
192,pre,learned_bidder,13.05
193,pre,fixed_rule,3.77
194,pre,fixed_rule,-0.8
195,pre,fixed_rule,8.44
196,pre,learned_bidder,9.22
197,pre,fixed_rule,6.22
198,pre,fixed_rule,7.66
199,post,learned_bidder,5.87
200,pre,fixed_rule,8.05
201,pre,learned_bidder,17.09
202,post,learned_bidder,3.81
203,post,learned_bidder,0.26
204,pre,fixed_rule,6.78
205,pre,learned_bidder,13.6
206,pre,learned_bidder,15.82
207,pre,learned_bidder,10.88
208,pre,fixed_rule,14.6
209,pre,learned_bidder,12.25
210,post,learned_bidder,2.0
211,post,fixed_rule,3.85
212,pre,fixed_rule,4.51
213,pre,learned_bidder,11.16
214,pre,learned_bidder,12.62
215,pre,fixed_rule,-0.42
216,pre,fixed_rule,6.07
217,pre,learned_bidder,11.57
218,post,learned_bidder,6.89
219,pre,learned_bidder,18.09
220,pre,fixed_rule,12.86
221,pre,fixed_rule,8.0
222,pre,learned_bidder,8.68
223,pre,learned_bidder,7.04
224,pre,learned_bidder,14.17
225,pre,fixed_rule,8.56
226,pre,learned_bidder,13.54
227,post,learned_bidder,4.7
228,post,fixed_rule,-3.64
229,post,learned_bidder,1.33
230,pre,fixed_rule,11.45
231,post,fixed_rule,6.38
232,pre,fixed_rule,11.49
233,pre,fixed_rule,10.7
234,pre,fixed_rule,3.05
235,post,learned_bidder,2.93
236,post,learned_bidder,2.22
237,pre,fixed_rule,4.26
238,post,fixed_rule,6.72
239,pre,fixed_rule,8.88
240,pre,learned_bidder,19.06
241,pre,fixed_rule,10.2
242,pre,learned_bidder,14.72
243,pre,fixed_rule,0.12
244,pre,fixed_rule,3.81
245,pre,fixed_rule,6.46
246,pre,fixed_rule,4.69
247,pre,fixed_rule,3.34
248,post,fixed_rule,6.17
249,post,fixed_rule,2.3
250,pre,fixed_rule,3.72
251,pre,fixed_rule,10.61
252,post,learned_bidder,3.79
253,pre,fixed_rule,9.11
254,pre,fixed_rule,2.3
255,pre,learned_bidder,10.4
256,pre,fixed_rule,5.87
257,post,fixed_rule,6.63
258,pre,learned_bidder,8.71
259,pre,fixed_rule,6.95
260,pre,fixed_rule,5.79
261,pre,learned_bidder,5.97
262,pre,fixed_rule,4.49
263,pre,fixed_rule,11.33
264,pre,fixed_rule,16.86
265,post,fixed_rule,4.59
266,pre,fixed_rule,10.87
267,pre,learned_bidder,17.95
268,post,fixed_rule,0.03
269,pre,fixed_rule,2.54
270,pre,learned_bidder,10.98
271,pre,learned_bidder,8.63
272,post,learned_bidder,2.36
273,post,fixed_rule,3.33
274,post,fixed_rule,11.29
275,pre,learned_bidder,15.96
276,pre,fixed_rule,15.16
277,pre,fixed_rule,11.55
278,pre,fixed_rule,5.34
279,pre,fixed_rule,4.17
280,post,learned_bidder,-2.82
281,pre,fixed_rule,6.83
282,pre,fixed_rule,8.23
283,post,learned_bidder,16.16
284,pre,learned_bidder,6.37
285,pre,fixed_rule,7.07
286,post,fixed_rule,3.05
287,pre,fixed_rule,8.66
288,post,learned_bidder,-3.38
289,pre,fixed_rule,0.86
290,pre,fixed_rule,9.1
291,pre,learned_bidder,15.24
292,post,fixed_rule,2.65
293,pre,learned_bidder,12.4
294,pre,learned_bidder,17.98
295,pre,fixed_rule,11.37
296,pre,fixed_rule,5.17
297,pre,learned_bidder,4.97
298,pre,learned_bidder,10.39
299,post,fixed_rule,5.11
300,pre,fixed_rule,6.23
301,pre,learned_bidder,7.7
302,post,fixed_rule,5.38
303,pre,learned_bidder,7.34
304,pre,learned_bidder,12.02
305,post,fixed_rule,7.74
306,pre,learned_bidder,17.21
307,post,fixed_rule,6.06
308,post,learned_bidder,2.78
309,pre,learned_bidder,11.97
310,pre,fixed_rule,5.64
311,pre,fixed_rule,15.68
312,pre,learned_bidder,11.81
313,post,fixed_rule,9.76
314,pre,fixed_rule,4.82
315,pre,fixed_rule,7.43
316,pre,fixed_rule,12.26
317,pre,learned_bidder,14.86
318,post,learned_bidder,6.07
319,pre,learned_bidder,12.83
320,pre,fixed_rule,9.0
321,post,learned_bidder,6.9
322,pre,fixed_rule,0.97
323,pre,learned_bidder,9.95
324,pre,learned_bidder,3.27
325,post,learned_bidder,5.66
326,post,learned_bidder,-0.49
327,post,learned_bidder,5.1
328,pre,fixed_rule,4.43
329,pre,fixed_rule,7.08
330,pre,learned_bidder,15.57
331,pre,fixed_rule,6.82
332,pre,learned_bidder,7.54
333,post,learned_bidder,8.97
334,pre,fixed_rule,7.77
335,post,fixed_rule,-4.09
336,pre,fixed_rule,6.19
337,post,fixed_rule,16.49
338,pre,learned_bidder,2.78
339,post,learned_bidder,0.73
340,post,fixed_rule,8.13
341,pre,learned_bidder,10.74
342,pre,learned_bidder,9.54
343,pre,fixed_rule,3.31
344,pre,fixed_rule,11.44
345,pre,learned_bidder,11.74
346,pre,fixed_rule,4.92
347,post,fixed_rule,5.09
348,pre,fixed_rule,8.03
349,pre,learned_bidder,17.71
350,post,fixed_rule,-4.19
351,post,learned_bidder,3.03
352,pre,fixed_rule,7.3
353,pre,learned_bidder,14.62
354,post,fixed_rule,9.55
355,pre,fixed_rule,10.69
356,pre,learned_bidder,14.71
357,pre,fixed_rule,3.88
358,pre,fixed_rule,5.81
359,post,learned_bidder,4.46
360,post,fixed_rule,6.63
361,post,learned_bidder,3.21
362,pre,fixed_rule,7.5
363,post,learned_bidder,6.07
364,post,learned_bidder,2.67
365,pre,learned_bidder,10.69
366,pre,fixed_rule,1.58
367,pre,fixed_rule,12.14
368,pre,learned_bidder,11.11
369,pre,fixed_rule,-3.21
370,post,learned_bidder,-2.9
371,pre,fixed_rule,7.94
372,pre,fixed_rule,2.12
373,pre,learned_bidder,16.67
374,pre,fixed_rule,4.41
375,post,fixed_rule,4.08
376,post,learned_bidder,2.32
377,post,fixed_rule,1.2
378,pre,learned_bidder,14.33
379,pre,fixed_rule,7.15
380,pre,fixed_rule,11.4
381,pre,fixed_rule,14.52
382,post,fixed_rule,5.44
383,pre,fixed_rule,6.87
384,pre,fixed_rule,11.4
385,post,fixed_rule,-1.4
386,pre,fixed_rule,4.57
387,post,fixed_rule,5.56
388,post,fixed_rule,2.79
389,pre,fixed_rule,5.43
390,pre,learned_bidder,16.16
391,post,fixed_rule,7.63
392,post,fixed_rule,0.59
393,pre,fixed_rule,8.26
394,pre,learned_bidder,12.02
395,post,learned_bidder,1.85
396,post,learned_bidder,5.69
397,pre,fixed_rule,8.68
398,pre,fixed_rule,8.36
399,pre,fixed_rule,14.44
400,pre,fixed_rule,6.02
401,pre,learned_bidder,11.9
402,pre,fixed_rule,9.91
403,pre,learned_bidder,21.36
404,pre,learned_bidder,6.2
405,post,learned_bidder,11.26
406,pre,fixed_rule,5.87
407,pre,fixed_rule,8.01
408,post,fixed_rule,1.06
409,pre,learned_bidder,17.19
410,pre,fixed_rule,10.17
411,post,fixed_rule,-5.72
412,post,learned_bidder,6.2
413,pre,learned_bidder,8.45
414,pre,fixed_rule,10.26
415,post,fixed_rule,3.28
416,pre,learned_bidder,10.0
417,post,fixed_rule,7.24
418,pre,learned_bidder,7.29
419,pre,fixed_rule,6.91
420,pre,learned_bidder,10.53
421,pre,fixed_rule,3.08
422,pre,learned_bidder,15.65
423,post,fixed_rule,7.85
424,pre,fixed_rule,8.96
425,pre,fixed_rule,11.61
426,pre,learned_bidder,11.04
427,post,fixed_rule,5.97
428,post,learned_bidder,12.3
429,pre,fixed_rule,9.66
430,post,fixed_rule,0.45
431,pre,learned_bidder,7.71
432,post,fixed_rule,4.23
433,pre,fixed_rule,5.53
434,post,learned_bidder,2.96
435,post,fixed_rule,4.38
436,pre,learned_bidder,5.47
437,pre,fixed_rule,7.83
438,pre,fixed_rule,8.46
439,pre,fixed_rule,3.01
440,pre,fixed_rule,2.06
441,pre,fixed_rule,3.22
442,pre,fixed_rule,9.14
443,post,learned_bidder,-0.76
444,post,learned_bidder,3.18
445,post,fixed_rule,7.86
446,pre,learned_bidder,5.94
447,post,learned_bidder,1.61
448,pre,fixed_rule,7.03
449,pre,fixed_rule,8.47
450,pre,learned_bidder,18.23
451,pre,fixed_rule,6.01
452,pre,fixed_rule,5.1
453,pre,learned_bidder,10.36
454,pre,learned_bidder,14.09
455,pre,learned_bidder,8.35
456,pre,learned_bidder,13.75
457,pre,fixed_rule,5.03
458,pre,fixed_rule,2.75
459,pre,learned_bidder,15.07
460,pre,fixed_rule,9.95
461,pre,learned_bidder,10.85
462,post,fixed_rule,-0.76
463,post,fixed_rule,7.75
464,pre,fixed_rule,8.38
465,pre,learned_bidder,12.78
466,post,fixed_rule,5.36
467,pre,learned_bidder,6.63
468,post,fixed_rule,-1.19
469,pre,fixed_rule,10.65
470,pre,fixed_rule,8.52
471,pre,fixed_rule,11.22
472,pre,fixed_rule,6.78
473,post,learned_bidder,8.51
474,pre,learned_bidder,12.07
475,post,learned_bidder,2.2
476,post,learned_bidder,3.94
477,pre,learned_bidder,9.85
478,pre,learned_bidder,14.27
479,post,learned_bidder,2.92
480,pre,fixed_rule,2.93
481,pre,fixed_rule,1.72
482,pre,learned_bidder,20.43
483,pre,learned_bidder,14.54
484,post,fixed_rule,5.44
485,post,learned_bidder,5.69
486,pre,learned_bidder,23.12
487,post,learned_bidder,6.75
488,pre,learned_bidder,14.02
489,pre,learned_bidder,9.12
490,pre,learned_bidder,15.11
491,pre,learned_bidder,11.63
492,pre,learned_bidder,9.01
493,pre,fixed_rule,9.31
494,pre,fixed_rule,12.18
495,post,fixed_rule,6.3
496,pre,learned_bidder,23.95
497,pre,fixed_rule,5.33
498,pre,fixed_rule,6.22
499,post,learned_bidder,0.7
500,pre,learned_bidder,17.44
501,post,learned_bidder,7.4
502,post,fixed_rule,-2.11
503,post,learned_bidder,15.17
504,post,learned_bidder,13.52
505,pre,fixed_rule,6.26
506,post,fixed_rule,-2.93
507,pre,fixed_rule,3.13
508,post,fixed_rule,5.98
509,pre,learned_bidder,9.72
510,pre,learned_bidder,18.64
511,pre,fixed_rule,8.88
512,post,fixed_rule,5.97
513,post,learned_bidder,-5.92
514,post,fixed_rule,-0.75
515,pre,fixed_rule,5.28
516,pre,fixed_rule,6.25
517,post,learned_bidder,8.54
518,pre,fixed_rule,9.78
519,pre,learned_bidder,11.73
520,post,fixed_rule,7.3
521,pre,fixed_rule,5.84
522,pre,learned_bidder,13.16
523,post,learned_bidder,-0.61
524,pre,learned_bidder,14.68
525,pre,learned_bidder,15.15
526,pre,fixed_rule,2.49
527,post,fixed_rule,8.53
528,pre,fixed_rule,1.03
529,pre,learned_bidder,18.82
530,pre,fixed_rule,7.44
531,post,learned_bidder,-1.42
532,pre,fixed_rule,8.8
533,post,fixed_rule,3.97
534,pre,fixed_rule,8.14
535,post,fixed_rule,0.63
536,post,learned_bidder,6.33
537,post,fixed_rule,10.26
538,post,learned_bidder,9.49
539,pre,fixed_rule,8.15
540,post,learned_bidder,4.8
541,pre,learned_bidder,12.21
542,pre,fixed_rule,5.72
543,pre,learned_bidder,12.21
544,post,fixed_rule,-0.23
545,pre,fixed_rule,9.92
546,post,learned_bidder,1.99
547,pre,learned_bidder,16.81
548,pre,fixed_rule,9.44
549,pre,fixed_rule,1.81
550,pre,learned_bidder,11.98
551,pre,fixed_rule,13.81
552,pre,learned_bidder,14.25
553,pre,learned_bidder,17.42
554,pre,fixed_rule,10.29
555,post,fixed_rule,13.4
556,pre,fixed_rule,10.34
557,pre,learned_bidder,17.92
558,post,learned_bidder,5.2
559,pre,learned_bidder,9.19
560,post,fixed_rule,3.55
561,pre,fixed_rule,11.63
562,post,fixed_rule,3.63
563,pre,fixed_rule,4.91
564,pre,learned_bidder,8.34
565,pre,fixed_rule,8.1
566,pre,learned_bidder,17.3
567,pre,learned_bidder,15.84
568,pre,fixed_rule,8.58
569,pre,fixed_rule,0.49
570,pre,fixed_rule,12.61
571,pre,fixed_rule,-3.24
572,post,learned_bidder,-0.75
573,post,fixed_rule,-0.96
574,post,learned_bidder,7.6
575,post,learned_bidder,4.83
576,pre,learned_bidder,11.52
577,pre,fixed_rule,3.15
578,post,fixed_rule,3.15
579,post,learned_bidder,0.59
580,post,learned_bidder,0.92
581,pre,fixed_rule,9.04
582,pre,fixed_rule,7.12
583,post,learned_bidder,6.93
584,pre,learned_bidder,12.12
585,pre,learned_bidder,12.5
586,pre,learned_bidder,18.45
587,post,fixed_rule,4.67
588,post,fixed_rule,6.09
589,pre,learned_bidder,14.69
590,pre,fixed_rule,8.68
591,post,fixed_rule,1.26
592,post,fixed_rule,5.86
593,post,learned_bidder,2.83
594,pre,fixed_rule,11.0
595,post,learned_bidder,-0.35
596,pre,fixed_rule,5.2
597,pre,fixed_rule,3.31
598,pre,learned_bidder,12.44
599,pre,learned_bidder,8.38
600,pre,learned_bidder,14.11
601,post,learned_bidder,0.19
602,pre,learned_bidder,10.84
603,pre,learned_bidder,16.07
604,pre,learned_bidder,11.0
605,pre,fixed_rule,10.7
606,pre,fixed_rule,11.7
607,pre,learned_bidder,11.92
608,post,learned_bidder,-2.64
609,post,learned_bidder,3.3
610,pre,fixed_rule,1.26
611,pre,learned_bidder,10.55
612,pre,learned_bidder,12.69
613,pre,learned_bidder,8.41
614,pre,fixed_rule,7.76
615,pre,fixed_rule,9.22
616,post,fixed_rule,14.49
617,pre,learned_bidder,22.25
618,pre,fixed_rule,7.22
619,post,fixed_rule,7.34
620,pre,learned_bidder,11.6
621,pre,learned_bidder,13.99
622,pre,fixed_rule,6.65
623,pre,fixed_rule,12.83
624,pre,learned_bidder,6.46
625,pre,fixed_rule,4.75
626,pre,learned_bidder,14.86
627,pre,fixed_rule,8.49
628,post,learned_bidder,-3.67
629,pre,learned_bidder,11.68
630,pre,learned_bidder,14.58
631,post,fixed_rule,3.17
632,post,fixed_rule,4.09
633,pre,learned_bidder,11.41
634,pre,fixed_rule,5.62
635,pre,fixed_rule,0.43
636,pre,fixed_rule,4.78
637,pre,fixed_rule,4.23
638,pre,learned_bidder,10.79
639,post,fixed_rule,3.67
640,post,fixed_rule,2.22
641,pre,learned_bidder,7.06
642,pre,learned_bidder,14.25
643,pre,fixed_rule,0.44
644,post,fixed_rule,9.73
645,post,learned_bidder,2.31
646,pre,learned_bidder,21.79
647,pre,learned_bidder,12.68
648,post,fixed_rule,1.13
649,post,fixed_rule,4.61
650,pre,learned_bidder,11.19
651,pre,learned_bidder,11.66
652,post,fixed_rule,-4.16
653,post,fixed_rule,5.82
654,pre,learned_bidder,15.81
655,pre,fixed_rule,2.68
656,post,fixed_rule,-2.66
657,pre,fixed_rule,3.45
658,pre,fixed_rule,5.92
659,pre,learned_bidder,4.89
660,pre,learned_bidder,12.43
661,pre,learned_bidder,12.17
662,pre,learned_bidder,7.35
663,post,fixed_rule,7.07
664,pre,fixed_rule,4.73
665,pre,learned_bidder,17.62
666,pre,learned_bidder,15.78
667,post,fixed_rule,1.37
668,post,fixed_rule,6.61
669,pre,fixed_rule,4.69
670,pre,fixed_rule,2.22
671,post,fixed_rule,5.31
672,post,learned_bidder,2.59
673,pre,fixed_rule,4.13
674,pre,learned_bidder,11.81
675,post,fixed_rule,5.62
676,post,fixed_rule,8.49
677,pre,fixed_rule,5.71
678,pre,learned_bidder,16.99
679,pre,fixed_rule,7.32
680,pre,learned_bidder,21.49
681,post,fixed_rule,4.82
682,post,learned_bidder,5.18
683,pre,learned_bidder,1.84
684,post,fixed_rule,5.32
685,pre,learned_bidder,5.54
686,pre,fixed_rule,9.52
687,pre,learned_bidder,11.71
688,pre,learned_bidder,15.65
689,pre,fixed_rule,8.02
690,pre,fixed_rule,8.39
691,post,fixed_rule,1.45
692,post,learned_bidder,3.25
693,pre,fixed_rule,9.28
694,pre,learned_bidder,11.72
695,pre,learned_bidder,11.82
696,post,fixed_rule,11.95
697,pre,fixed_rule,14.97
698,pre,fixed_rule,3.44
699,pre,learned_bidder,8.34
700,post,fixed_rule,9.88
701,post,fixed_rule,7.84
702,pre,fixed_rule,1.38
703,pre,learned_bidder,13.04
704,post,learned_bidder,1.46
705,post,fixed_rule,1.96
706,pre,fixed_rule,6.54
707,pre,learned_bidder,18.48
708,pre,learned_bidder,18.1
709,post,fixed_rule,5.24
710,pre,learned_bidder,13.27
711,pre,learned_bidder,17.14
712,post,fixed_rule,3.92
713,post,learned_bidder,6.92
714,post,fixed_rule,4.76
715,pre,fixed_rule,4.87
716,pre,learned_bidder,14.09
717,pre,learned_bidder,12.64
718,post,learned_bidder,7.94
719,pre,fixed_rule,6.79
720,pre,fixed_rule,6.99
721,post,learned_bidder,3.67
722,post,learned_bidder,1.95
723,post,learned_bidder,6.78
724,pre,fixed_rule,3.77
725,post,learned_bidder,8.56
726,post,fixed_rule,1.87
727,post,learned_bidder,5.4
728,pre,learned_bidder,22.71
729,pre,learned_bidder,10.49
730,pre,learned_bidder,13.29
731,pre,fixed_rule,6.53
732,pre,learned_bidder,12.12
733,pre,fixed_rule,6.32
734,pre,learned_bidder,10.76
735,pre,learned_bidder,15.31
736,pre,learned_bidder,1.93
737,pre,fixed_rule,6.88
738,post,fixed_rule,5.53
739,pre,learned_bidder,13.07
740,pre,learned_bidder,20.49
741,pre,learned_bidder,12.61
742,post,learned_bidder,3.71
743,pre,fixed_rule,11.12
744,pre,learned_bidder,2.41
745,pre,fixed_rule,2.05
746,post,fixed_rule,7.34
747,pre,fixed_rule,9.63
748,post,learned_bidder,4.0
749,post,fixed_rule,1.46
750,pre,fixed_rule,2.33
751,post,fixed_rule,4.43
752,post,fixed_rule,6.42
753,pre,learned_bidder,18.19
754,pre,fixed_rule,1.05
755,pre,fixed_rule,9.36
756,post,fixed_rule,0.05
757,pre,fixed_rule,13.24
758,post,fixed_rule,-2.73
759,pre,fixed_rule,3.79
760,pre,fixed_rule,1.53
761,post,fixed_rule,2.4
762,pre,fixed_rule,10.56
763,pre,fixed_rule,6.06
764,pre,fixed_rule,-1.32
765,pre,fixed_rule,1.24
766,pre,learned_bidder,15.1
767,pre,fixed_rule,6.02
768,pre,learned_bidder,11.67
769,pre,learned_bidder,8.64
770,pre,fixed_rule,7.29
771,pre,learned_bidder,11.05
772,post,learned_bidder,1.76
773,pre,learned_bidder,11.8
774,pre,fixed_rule,9.39
775,pre,learned_bidder,8.49
776,pre,fixed_rule,12.23
777,post,fixed_rule,0.27
778,pre,fixed_rule,13.33
779,post,learned_bidder,4.1
780,post,learned_bidder,13.16
781,pre,fixed_rule,2.47
782,pre,learned_bidder,13.29
783,pre,fixed_rule,4.78
784,pre,learned_bidder,11.65
785,post,learned_bidder,6.18
786,pre,fixed_rule,15.05
787,pre,learned_bidder,13.8
788,post,fixed_rule,1.82
789,pre,learned_bidder,10.71
790,pre,fixed_rule,5.83
791,pre,fixed_rule,8.33
792,pre,fixed_rule,9.57
793,post,fixed_rule,6.82
794,post,fixed_rule,2.41
795,pre,fixed_rule,4.61
796,post,learned_bidder,3.01
797,pre,learned_bidder,12.94
798,post,learned_bidder,1.52
799,pre,fixed_rule,1.05
800,pre,fixed_rule,8.32
801,pre,learned_bidder,10.58
802,pre,fixed_rule,7.08
803,post,learned_bidder,1.65
804,pre,fixed_rule,5.67
805,pre,learned_bidder,7.59
806,post,fixed_rule,3.82
807,pre,learned_bidder,9.87
808,post,learned_bidder,0.19
809,post,fixed_rule,13.75
810,pre,fixed_rule,4.23
811,post,fixed_rule,-0.08
812,pre,learned_bidder,12.35
813,pre,fixed_rule,5.1
814,pre,learned_bidder,14.69
815,pre,learned_bidder,16.94
816,post,learned_bidder,-0.12
817,pre,fixed_rule,14.47
818,pre,fixed_rule,7.29
819,pre,learned_bidder,9.57
820,pre,learned_bidder,15.37
821,post,fixed_rule,7.8
822,pre,learned_bidder,7.27
823,post,learned_bidder,1.29
824,pre,learned_bidder,12.8
825,pre,fixed_rule,5.88
826,post,fixed_rule,11.43
827,post,learned_bidder,9.01
828,pre,fixed_rule,11.36
829,pre,learned_bidder,9.51
830,post,learned_bidder,-2.18
831,pre,learned_bidder,10.62
832,pre,fixed_rule,6.44
833,pre,fixed_rule,1.04
834,pre,fixed_rule,6.2
835,pre,fixed_rule,3.61
836,post,learned_bidder,7.6
837,pre,fixed_rule,15.26
838,pre,learned_bidder,5.89
839,pre,learned_bidder,14.04
840,pre,learned_bidder,14.09
841,pre,learned_bidder,15.44
842,pre,learned_bidder,9.56
843,pre,learned_bidder,10.13
844,pre,fixed_rule,10.27
845,pre,fixed_rule,3.85
846,pre,fixed_rule,6.46
847,post,learned_bidder,8.65
848,pre,learned_bidder,21.07
849,post,fixed_rule,6.6
850,post,learned_bidder,7.8
851,pre,fixed_rule,14.54
852,post,fixed_rule,4.44
853,pre,fixed_rule,5.74
854,post,learned_bidder,0.44
855,pre,fixed_rule,8.62
856,post,fixed_rule,10.51
857,pre,fixed_rule,4.82
858,post,learned_bidder,2.47
859,post,learned_bidder,5.29
860,pre,learned_bidder,9.46
861,pre,fixed_rule,6.97
862,pre,learned_bidder,16.83
863,pre,fixed_rule,8.44
864,post,fixed_rule,2.11
865,post,fixed_rule,8.46
866,pre,fixed_rule,1.6
867,post,learned_bidder,-2.44
868,pre,learned_bidder,12.58
869,post,learned_bidder,11.29
870,post,learned_bidder,-2.11
871,pre,fixed_rule,8.15
872,pre,learned_bidder,8.5
873,post,learned_bidder,6.52
874,pre,learned_bidder,8.52
875,pre,learned_bidder,13.89
876,pre,fixed_rule,8.36
877,post,learned_bidder,0.61
878,pre,fixed_rule,11.17
879,pre,fixed_rule,13.08
880,pre,fixed_rule,8.8
881,pre,learned_bidder,16.78
882,pre,fixed_rule,4.84
883,pre,fixed_rule,4.54
884,pre,learned_bidder,15.06
885,pre,fixed_rule,9.74
886,post,learned_bidder,0.63
887,post,fixed_rule,6.62
