user_id,signup_source,plan,setup_actions_first_hour,completed_checklist,retained_30d
139,paid,pro,11,1,1
140,organic,free,8,1,0
141,paid,free,9,1,1
142,paid,free,3,0,0
143,referral,pro,5,0,0
144,paid,free,5,1,1
145,paid,free,3,0,0
146,organic,free,5,0,0
147,organic,free,12,1,1
148,paid,free,4,0,0
149,organic,free,2,0,0
150,organic,free,9,1,0
151,referral,free,6,1,0
152,referral,pro,4,1,1
153,organic,pro,6,0,1
154,paid,free,4,0,0
155,organic,free,2,0,0
156,paid,free,5,1,0
157,organic,pro,5,1,1
158,paid,free,3,0,0
159,paid,free,8,1,1
160,paid,pro,10,1,1
161,organic,free,4,0,0
162,referral,free,5,0,0
163,organic,free,8,0,1
164,organic,free,9,1,1
165,paid,free,7,1,1
166,organic,free,5,0,0
167,referral,free,7,1,0
168,referral,pro,6,1,1
169,organic,free,6,1,0
170,referral,free,5,0,0
171,organic,free,5,0,0
172,paid,pro,5,0,1
173,organic,free,2,1,0
174,referral,free,8,1,1
175,organic,pro,7,1,1
176,organic,free,6,0,1
177,organic,free,7,1,1
178,referral,pro,8,0,1
179,referral,free,4,0,0
180,paid,free,7,0,0
181,referral,free,11,1,1
182,referral,pro,3,0,0
183,paid,pro,6,1,0
184,organic,free,4,0,0
185,paid,free,2,0,0
186,paid,free,4,0,0
187,organic,free,9,1,1
188,organic,free,6,0,1
189,paid,free,4,0,0
190,organic,free,3,1,0
191,referral,free,2,0,0
192,organic,free,3,0,0
193,organic,free,2,0,0
194,referral,free,5,0,0
195,organic,free,11,1,0
196,organic,free,5,0,0
197,paid,free,2,0,0
198,referral,free,4,0,1
199,organic,free,7,0,0
200,organic,free,5,1,0
201,paid,pro,5,1,1
202,referral,free,3,0,0
203,paid,free,5,0,0
204,organic,pro,7,1,1
205,organic,free,8,0,1
206,organic,free,3,0,0
207,organic,free,4,0,0
208,paid,free,2,0,0
209,organic,free,10,1,0
210,paid,free,6,0,0
211,paid,free,6,0,0
212,paid,free,4,0,0
213,organic,free,3,0,0
214,referral,pro,10,1,0
215,paid,free,2,0,0
216,paid,free,5,0,1
217,organic,free,6,0,0
218,organic,free,4,0,0
219,referral,pro,5,0,0
220,organic,free,6,0,0
221,organic,free,3,0,0
222,paid,free,7,1,1
223,paid,free,5,0,1
224,referral,free,6,0,0
225,organic,free,6,0,0
226,referral,free,6,1,1
227,organic,free,7,1,1
228,paid,free,3,0,0
229,paid,pro,8,1,1
230,organic,free,2,0,0
231,organic,free,5,1,1
232,organic,pro,8,1,0
233,referral,free,9,1,1
234,paid,free,5,1,0
235,referral,pro,5,1,1
236,referral,pro,7,0,1
237,paid,free,6,1,1
238,paid,free,10,1,1
239,organic,pro,8,0,1
240,organic,free,6,0,1
241,referral,free,7,0,1
242,paid,free,2,0,1
243,organic,free,6,1,0
244,paid,pro,7,1,1
245,paid,pro,6,0,1
246,referral,free,6,1,1
247,paid,free,5,0,1
248,organic,free,6,1,0
249,organic,free,11,0,1
250,organic,free,7,1,1
251,paid,free,9,1,1
252,referral,free,4,0,0
253,paid,free,9,1,1
254,organic,free,7,0,1
255,organic,free,6,0,0
256,paid,pro,8,1,1
257,referral,free,5,0,1
258,organic,free,6,0,1
259,organic,free,9,1,1
260,paid,free,6,1,1
261,organic,free,9,1,1
262,referral,free,2,0,0
263,organic,free,5,0,0
264,organic,free,5,0,0
265,referral,free,10,0,1
266,organic,free,9,1,1
267,organic,free,4,0,0
268,organic,free,4,0,0
269,organic,free,9,0,1
270,organic,free,6,1,1
271,organic,pro,5,0,0
272,organic,free,12,1,1
273,organic,free,1,0,0
274,paid,free,4,0,0
275,paid,free,7,1,1
276,organic,free,7,1,1
277,organic,pro,8,0,0
278,paid,free,7,1,1
279,referral,free,6,0,0
280,referral,free,6,1,0
281,organic,free,4,0,0
282,organic,pro,7,0,1
283,organic,pro,6,1,1
284,organic,free,7,1,0
285,paid,free,4,0,0
286,organic,free,6,0,1
287,organic,free,4,0,1
288,organic,free,12,1,1
289,paid,pro,7,0,1
290,organic,free,10,1,1
291,referral,free,13,1,1
292,organic,free,9,0,1
293,referral,free,5,0,0
294,organic,free,6,0,0
295,referral,free,8,1,0
296,referral,free,2,0,0
297,referral,pro,5,0,0
298,referral,free,5,0,0
299,paid,free,2,0,0
300,paid,free,1,0,0
301,paid,free,9,1,1
302,organic,free,4,0,1
303,paid,pro,8,1,1
304,paid,free,7,1,1
305,referral,free,3,0,0
306,paid,free,4,0,0
307,organic,free,2,0,1
308,paid,pro,1,0,1
309,organic,free,3,0,1
310,organic,free,7,0,0
311,paid,pro,4,0,1
312,organic,free,9,0,0
313,organic,free,8,1,1
314,organic,free,9,1,1
315,organic,free,2,0,0
316,organic,free,4,0,0
317,organic,pro,7,1,0
318,paid,free,5,1,0
319,organic,free,3,0,0
320,referral,pro,7,0,0
321,referral,free,5,1,0
322,paid,free,7,0,0
323,organic,free,3,0,0
324,paid,free,2,0,0
325,referral,free,8,1,1
326,paid,free,4,0,1
327,referral,free,7,0,0
328,paid,free,5,0,0
329,paid,free,5,1,0
330,organic,free,7,1,0
331,paid,free,6,0,0
332,organic,free,8,1,1
333,paid,free,4,0,1
334,referral,free,8,0,1
335,organic,free,12,1,1
336,paid,free,12,1,1
337,organic,free,7,1,1
338,paid,free,5,0,0
339,organic,free,8,1,0
340,referral,free,3,0,1
341,organic,free,6,1,0
342,referral,pro,5,0,0
343,referral,free,8,1,1
344,paid,pro,3,0,0
345,paid,pro,9,1,1
346,paid,free,7,1,0
347,referral,free,5,0,0
348,organic,free,4,0,0
349,paid,pro,7,0,1
350,organic,free,6,1,1
351,paid,pro,7,0,0
352,organic,free,3,0,0
353,paid,free,4,0,0
354,paid,free,6,0,1
355,paid,free,3,0,0
356,paid,free,7,1,0
357,paid,pro,9,1,1
358,paid,free,7,0,1
359,paid,pro,4,0,0
360,paid,pro,3,1,0
361,referral,free,4,1,1
362,organic,free,6,1,0
363,organic,free,12,1,1
364,organic,free,6,0,0
365,paid,pro,7,1,1
366,organic,pro,7,1,0
367,paid,pro,4,1,1
368,paid,free,6,0,1
369,organic,free,6,1,0
370,referral,free,6,1,1
371,paid,pro,7,0,1
372,organic,free,10,1,1
373,organic,free,1,0,0
374,organic,free,4,0,0
375,organic,free,5,1,0
376,organic,free,6,0,0
377,referral,free,13,1,1
378,organic,pro,7,0,1
379,organic,free,7,1,1
380,paid,free,6,1,1
381,paid,free,6,0,0
382,referral,free,4,0,0
383,paid,free,3,0,1
384,paid,free,9,0,1
385,organic,free,6,0,0
386,referral,free,6,1,0
387,paid,free,5,1,0
388,referral,free,7,0,1
389,organic,free,10,1,1
390,referral,free,7,1,0
391,paid,free,5,1,0
392,organic,free,7,0,0
393,paid,free,4,0,1
394,paid,free,10,1,1
395,organic,free,3,0,0
396,paid,free,5,1,0
397,referral,free,6,1,0
398,organic,free,9,1,1
399,paid,free,5,0,1
400,organic,free,5,0,0
401,organic,free,9,0,1
402,referral,free,6,1,0
403,paid,free,7,0,0
404,organic,free,4,0,1
405,referral,pro,11,1,1
406,referral,free,9,1,1
407,organic,free,4,0,0
408,referral,free,5,1,0
409,organic,free,6,1,1
410,referral,free,5,0,0
411,paid,free,8,1,1
412,paid,free,4,0,0
413,organic,pro,3,0,0
414,referral,pro,7,0,0
415,organic,free,4,1,1
416,organic,pro,6,0,1
417,organic,pro,5,0,1
418,paid,free,6,1,1
419,organic,free,8,1,0
420,referral,free,4,0,0
421,paid,free,7,1,1
422,organic,free,6,1,1
423,organic,free,7,1,0
424,organic,free,9,1,1
425,paid,free,7,1,1
426,referral,free,7,1,0
427,organic,free,3,0,0
428,referral,pro,10,1,1
429,organic,pro,5,0,0
430,referral,free,5,1,0
431,referral,free,5,1,0
432,paid,pro,7,1,1
433,paid,free,9,1,1
434,referral,pro,6,0,1
435,organic,free,6,0,1
436,organic,free,7,0,0
437,organic,free,3,0,0
438,paid,free,4,0,1
439,paid,free,2,0,0
440,paid,free,6,1,1
441,referral,pro,7,1,0
442,organic,free,5,1,1
443,paid,free,14,1,1
444,organic,free,6,0,0
445,organic,free,3,0,1
446,paid,free,5,0,0
447,referral,free,12,1,1
448,paid,free,7,1,1
449,organic,pro,8,1,1
450,paid,free,5,1,0
451,organic,free,10,1,1
452,referral,pro,3,0,0
453,paid,free,3,0,1
454,organic,free,3,0,0
455,organic,free,4,0,0
456,organic,pro,7,1,1
457,referral,free,6,1,1
458,paid,free,4,1,1
459,paid,free,7,1,1
460,paid,free,1,0,0
461,paid,pro,7,0,1
462,organic,free,8,1,1
463,referral,free,9,1,1
464,organic,free,3,0,1
465,paid,pro,4,0,0
466,paid,free,6,1,0
467,paid,free,3,0,0
468,referral,free,6,1,0
469,organic,free,4,0,0
470,paid,free,9,1,0
471,organic,free,5,0,0
472,paid,free,3,0,1
473,organic,free,5,0,0
474,organic,free,7,1,0
475,organic,free,7,0,1
476,organic,free,11,1,0
477,organic,free,12,1,1
478,paid,free,3,1,0
479,paid,pro,2,0,0
480,organic,free,6,0,1
481,organic,pro,9,1,1
482,organic,free,4,1,1
483,paid,free,2,0,0
484,organic,pro,11,1,1
485,organic,free,7,1,1
486,organic,free,15,1,1
487,paid,free,10,1,1
488,organic,free,9,1,1
489,paid,pro,4,0,0
490,paid,free,8,1,0
491,paid,free,10,1,1
492,paid,free,5,1,1
493,paid,free,6,1,1
494,organic,pro,7,0,0
495,paid,free,9,1,1
496,paid,pro,2,0,0
497,organic,free,6,0,0
498,paid,free,7,1,1
499,organic,free,8,1,0
500,paid,free,10,1,0
501,paid,free,4,0,1
502,referral,free,3,1,0
503,referral,free,3,0,0
504,paid,pro,12,1,1
505,paid,free,9,0,1
506,paid,free,7,1,1
507,organic,free,9,1,0
508,referral,free,7,1,1
509,paid,pro,5,0,1
510,organic,free,9,1,1
511,organic,free,7,1,1
512,referral,free,6,0,1
513,organic,free,9,1,1
514,organic,free,6,0,0
515,organic,free,6,1,1
516,organic,free,5,1,0
517,organic,free,9,1,0
518,paid,free,3,1,0
519,organic,free,4,0,0
520,referral,free,9,1,0
521,referral,free,7,1,1
522,organic,free,3,0,0
523,organic,pro,7,1,1
524,paid,free,3,0,1
525,organic,free,7,0,0
526,organic,free,8,0,1
527,referral,free,5,0,0
528,referral,free,8,1,0
529,paid,free,8,1,1
530,organic,free,7,0,0
531,paid,free,5,0,0
532,paid,free,11,1,1
533,organic,free,7,0,1
534,paid,free,5,0,1
535,organic,free,5,0,1
536,organic,pro,8,0,0
537,paid,free,6,1,0
538,organic,free,8,1,1
539,organic,pro,5,0,1
540,referral,free,8,1,1
541,referral,free,9,0,1
542,paid,free,3,0,1
543,referral,free,5,1,0
544,referral,free,7,1,1
545,organic,free,8,1,1
546,organic,free,9,0,1
547,organic,pro,5,1,1
548,organic,free,7,1,1
549,paid,free,6,1,1
550,organic,free,5,0,0
551,paid,free,8,1,1
552,organic,free,10,1,1
553,organic,free,4,0,0
554,referral,free,5,0,0
555,organic,pro,7,1,0
556,organic,free,2,0,0
557,organic,free,7,1,0
558,paid,free,7,0,1
559,paid,free,5,0,0
560,paid,free,3,0,0
561,organic,free,6,1,0
562,organic,free,4,0,0
563,referral,free,4,0,1
564,paid,pro,9,1,1
565,paid,free,4,0,0
566,paid,free,2,0,0
567,paid,free,3,0,0
568,organic,free,5,0,0
569,organic,pro,6,0,1
570,paid,free,7,0,0
571,organic,free,3,1,0
572,referral,pro,7,0,1
573,paid,free,6,0,0
574,paid,free,10,1,1
575,referral,free,8,1,1
576,paid,free,1,0,0
577,referral,free,4,0,0
578,paid,pro,7,1,0
579,referral,free,2,0,0
580,organic,free,8,1,1
581,paid,free,9,0,1
582,paid,free,4,0,0
583,organic,free,12,1,1
584,organic,free,4,0,0
585,referral,free,7,0,1
586,paid,free,4,1,0
587,organic,free,10,1,1
588,organic,free,8,1,1
589,organic,free,3,0,0
590,organic,free,10,1,1
591,referral,free,3,0,0
592,organic,pro,8,1,0
593,organic,free,5,0,0
594,paid,free,1,0,0
595,organic,free,10,1,1
596,organic,free,6,0,1
597,paid,pro,7,1,1
598,paid,free,5,1,0
599,referral,free,9,1,1
600,paid,free,8,1,1
601,paid,free,5,0,0
602,paid,pro,6,1,0
603,referral,pro,9,0,1
604,paid,free,10,1,1
605,referral,free,8,0,0
606,paid,free,7,0,0
607,referral,free,7,1,1
608,organic,pro,7,1,0
609,paid,free,3,0,0
610,organic,pro,12,1,1
611,paid,free,7,1,1
612,paid,free,8,0,0
613,referral,free,3,1,0
614,referral,free,4,0,1
615,organic,free,10,1,1
616,paid,free,5,0,1
617,paid,free,9,1,1
618,organic,free,10,1,1
619,organic,free,9,1,1
620,organic,pro,9,1,1
621,paid,free,9,1,0
622,paid,free,6,0,0
623,referral,free,6,0,0
624,paid,free,10,1,0
625,referral,pro,8,1,1
626,organic,free,5,0,1
627,paid,free,4,0,0
628,organic,free,6,0,1
629,paid,free,6,0,0
630,referral,free,4,0,0
631,referral,free,3,1,0
632,referral,free,4,0,0
633,organic,pro,7,1,1
634,organic,free,6,0,1
635,organic,free,8,1,1
636,organic,free,6,1,0
637,paid,free,7,1,1
638,paid,free,9,0,1
639,paid,free,4,0,0
640,referral,free,7,1,0
641,paid,free,3,0,0
642,referral,free,1,0,0
643,organic,free,6,0,1
644,organic,free,5,1,1
645,paid,free,6,0,0
646,referral,pro,5,0,0
647,organic,free,4,0,1
648,paid,free,8,1,1
649,paid,free,9,1,0
650,organic,free,4,0,0
651,organic,free,4,1,0
652,referral,free,7,1,0
653,paid,free,6,1,0
654,organic,free,4,0,1
655,referral,free,7,1,0
656,organic,free,4,0,1
657,referral,free,5,0,1
658,organic,free,8,1,1
659,paid,pro,6,1,1
660,organic,free,3,0,0
661,organic,pro,5,1,1
662,referral,free,10,1,1
663,organic,free,10,1,1
664,organic,free,7,0,0
665,organic,free,6,0,0
666,paid,free,14,1,1
667,referral,free,6,0,1
668,referral,free,3,0,0
669,organic,free,13,1,1
670,organic,pro,6,0,1
671,organic,free,9,1,1
672,paid,pro,7,1,1
673,referral,free,6,0,1
674,paid,free,6,1,1
675,paid,free,5,0,0
676,organic,free,6,1,0
677,referral,free,9,0,1
678,paid,free,5,0,0
679,organic,free,7,1,1
680,organic,free,13,1,1
681,organic,pro,5,0,0
682,organic,free,4,0,0
683,organic,free,5,0,1
684,paid,free,5,0,0
685,paid,free,8,1,1
686,organic,free,4,0,0
687,organic,free,6,0,1
688,referral,free,7,0,0
689,paid,free,5,0,0
690,paid,free,6,0,1
691,organic,free,5,0,0
692,referral,free,8,0,0
693,organic,pro,6,1,1
694,organic,free,4,0,0
695,referral,free,4,0,0
696,paid,pro,11,1,1
697,paid,free,11,1,0
698,paid,free,6,1,1
699,paid,free,6,0,0
700,organic,free,3,0,1
701,organic,free,6,1,0
702,organic,free,3,1,0
703,organic,free,6,0,0
704,referral,free,10,1,1
705,organic,free,9,1,0
706,paid,pro,8,1,1
707,paid,free,7,0,1
708,paid,free,6,1,1
709,organic,free,5,0,1
710,paid,free,9,1,0
711,referral,free,10,1,1
712,paid,free,8,1,1
713,referral,free,7,1,1
714,referral,free,6,1,0
715,paid,free,2,0,0
716,organic,free,2,0,0
717,paid,free,5,0,0
718,organic,free,4,0,1
719,paid,free,4,0,0
720,referral,free,5,1,0
721,paid,free,7,1,1
722,organic,free,5,0,0
723,organic,free,8,0,1
724,referral,pro,12,1,1
725,organic,free,7,0,0
726,organic,free,10,1,1
727,organic,pro,6,0,1
728,organic,free,8,1,1
729,paid,free,2,0,0
730,paid,free,6,0,0
731,organic,pro,8,0,1
732,organic,free,10,1,1
733,organic,free,6,0,0
734,organic,pro,7,1,0
735,organic,free,7,0,1
736,paid,pro,3,0,0
737,organic,free,8,1,1
738,organic,pro,6,0,1
739,organic,free,10,1,1
740,organic,free,9,1,0
741,organic,pro,3,1,0
742,organic,free,5,0,0
743,referral,free,9,1,0
744,organic,free,7,1,1
745,paid,pro,2,0,0
746,paid,free,3,0,0
747,organic,pro,4,0,0
748,organic,free,5,1,0
749,paid,free,6,1,1
750,referral,free,5,1,0
751,organic,pro,5,0,0
752,organic,free,9,1,1
753,organic,free,10,1,1
754,paid,free,10,1,1
755,paid,pro,4,0,0
756,organic,free,0,0,0
757,organic,free,8,1,1
758,referral,free,5,0,0
759,organic,free,9,1,0
760,paid,free,7,0,1
761,paid,pro,10,1,1
762,organic,free,3,0,0
763,organic,free,9,1,1
764,organic,free,6,0,1
765,referral,free,6,0,0
766,organic,free,2,1,0
767,organic,free,8,0,0
768,organic,free,6,0,0
769,organic,free,5,1,0
770,paid,free,5,0,0
771,organic,free,7,1,0
772,paid,free,6,1,0
773,paid,free,4,1,0
774,referral,free,5,0,1
775,organic,free,4,0,0
776,referral,free,3,0,0
777,paid,free,7,0,1
778,organic,free,7,0,0
779,paid,free,6,1,1
780,referral,free,3,0,0
781,organic,free,6,0,1
782,referral,free,2,1,0
783,paid,free,9,1,1
784,paid,free,9,1,0
785,referral,free,3,0,0
786,organic,free,4,0,0
787,referral,free,3,1,0
788,organic,free,2,0,0
789,paid,free,5,1,1
790,paid,free,7,1,0
791,organic,free,12,1,0
792,organic,free,7,0,0
793,organic,free,4,0,0
794,organic,free,10,0,1
795,organic,free,7,1,1
796,organic,free,6,1,0
797,organic,pro,3,0,0
798,organic,free,7,1,1
799,paid,free,5,0,1
800,paid,free,4,0,1
801,paid,pro,6,1,1
802,organic,free,6,0,0
803,referral,free,5,0,0
804,paid,free,4,0,0
805,organic,free,6,0,0
806,organic,free,4,1,0
807,paid,pro,12,1,1
808,organic,pro,5,1,0
809,paid,pro,10,1,1
810,referral,free,9,0,1
811,organic,free,5,0,0
812,organic,free,9,1,1
813,referral,free,3,0,0
814,paid,free,4,0,1
815,organic,free,2,0,0
816,referral,free,6,1,0
817,referral,pro,7,0,0
818,paid,pro,8,0,1
819,paid,free,5,0,1
820,organic,free,5,0,1
821,organic,free,5,0,0
822,paid,free,7,1,1
823,organic,free,5,0,0
824,paid,free,4,0,0
825,referral,free,8,1,0
826,organic,pro,4,0,0
827,paid,pro,4,0,0
828,organic,free,3,0,0
829,referral,free,2,0,0
830,organic,free,7,1,0
831,paid,free,5,1,0
832,paid,free,8,0,0
833,organic,free,6,0,0
834,paid,free,4,0,0
835,paid,free,9,1,1
836,paid,free,9,1,1
837,paid,pro,10,1,1
838,referral,free,3,0,0
839,organic,free,6,0,0
840,paid,pro,9,1,1
841,organic,free,4,1,0
842,paid,free,7,1,0
843,paid,pro,8,0,1
844,organic,free,8,1,1
845,organic,free,10,1,1
846,referral,free,3,0,0
847,organic,free,7,0,0
848,paid,free,7,1,1
849,organic,free,4,0,0
850,referral,free,6,1,1
851,organic,free,2,1,0
852,organic,pro,8,1,1
853,referral,free,4,0,0
854,referral,free,3,0,0
855,organic,pro,6,1,1
856,paid,free,7,1,0
857,paid,free,5,0,1
858,referral,free,7,1,1
859,organic,free,6,1,0
860,paid,free,7,0,1
861,paid,free,7,0,0
862,paid,pro,3,0,0
863,paid,free,5,0,0
864,paid,free,4,0,0
865,organic,free,3,0,0
866,referral,pro,7,1,1
867,referral,free,8,0,1
868,paid,free,9,1,1
869,organic,free,8,1,1
870,organic,free,6,0,0
871,paid,pro,9,1,1
872,organic,free,9,0,1
873,referral,free,9,0,0
874,organic,free,3,1,0
875,paid,free,8,1,1
876,referral,free,7,1,1
877,organic,free,6,1,1
878,organic,free,6,0,1
879,paid,free,7,1,0
880,paid,free,3,0,0
881,organic,free,7,0,0
882,paid,free,5,1,0
883,referral,free,10,1,1
884,paid,pro,5,0,0
885,organic,pro,7,1,0
886,organic,pro,4,0,1
887,organic,free,9,1,0
888,organic,free,6,0,1
889,organic,pro,5,1,1
890,paid,free,3,1,0
891,organic,free,4,0,0
892,referral,pro,6,0,0
893,organic,free,5,0,1
894,organic,free,6,1,1
895,paid,free,10,0,1
896,referral,free,10,1,1
897,organic,free,4,0,0
898,organic,free,6,1,1
899,organic,free,5,0,0
900,paid,free,4,0,0
901,paid,free,6,0,1
902,organic,free,3,0,0
903,organic,free,7,0,0
904,paid,pro,7,0,1
905,referral,free,6,1,0
906,paid,pro,2,0,0
907,paid,free,6,0,0
908,organic,free,5,0,0
909,organic,free,8,1,1
910,organic,free,6,1,0
911,paid,free,6,0,0
912,referral,free,5,1,1
913,referral,free,9,1,0
914,referral,pro,7,0,1
915,referral,free,4,0,0
916,referral,pro,6,0,0
917,organic,free,4,0,0
918,organic,pro,8,1,1
919,organic,free,9,1,1
920,paid,free,6,1,1
921,organic,free,9,1,1
922,referral,pro,7,0,1
923,paid,free,2,0,0
924,paid,free,10,1,1
925,organic,pro,7,0,0
926,organic,free,6,0,0
927,organic,free,9,0,1
928,referral,free,6,0,1
929,paid,free,6,0,0
930,paid,free,6,1,0
931,organic,free,4,0,1
932,organic,free,8,0,1
933,organic,free,6,0,1
934,paid,free,7,1,0
935,paid,pro,6,0,0
936,organic,free,7,0,1
937,referral,free,7,0,0
938,organic,free,5,1,0
939,referral,free,3,0,0
940,organic,free,5,0,0
941,organic,free,4,0,0
942,referral,free,5,0,0
943,organic,free,3,0,0
944,organic,pro,7,1,1
945,organic,free,5,0,0
946,organic,free,6,1,0
947,paid,free,2,1,0
948,referral,free,8,0,0
949,referral,free,4,0,0
950,organic,pro,5,1,1
951,paid,free,4,1,0
952,organic,free,3,0,1
953,organic,free,7,1,1
954,organic,free,6,1,1
955,referral,pro,4,1,0
956,referral,free,4,0,0
957,paid,free,4,0,0
958,paid,free,1,0,1
959,paid,pro,10,1,0
960,paid,pro,11,1,1
961,paid,free,5,1,0
962,organic,free,4,1,0
963,organic,free,7,0,1
964,organic,free,2,0,1
965,referral,free,3,0,0
966,paid,free,7,1,1
967,referral,free,7,1,0
968,organic,free,7,1,0
969,paid,free,8,0,1
970,organic,free,11,1,1
971,organic,free,5,0,0
972,organic,free,5,0,1
973,organic,pro,7,1,0
974,referral,pro,9,1,1
975,organic,free,6,0,1
976,paid,free,2,0,0
977,paid,free,5,0,1
978,organic,free,4,0,0
979,paid,free,7,0,0
980,organic,pro,3,0,0
981,referral,free,6,1,0
982,referral,free,8,1,1
983,paid,free,4,0,0
984,paid,free,4,0,0
985,organic,free,3,0,0
986,referral,free,4,0,1
987,organic,pro,6,0,0
988,organic,free,5,1,0
989,organic,free,5,1,0
990,paid,free,7,0,1
991,paid,free,7,1,1
992,paid,free,4,0,0
993,paid,free,8,1,1
994,organic,free,5,1,0
995,referral,pro,4,0,0
996,organic,free,7,0,0
997,paid,pro,6,1,1
998,organic,free,7,1,0
999,referral,pro,5,0,1
1000,organic,free,5,1,0
1001,organic,free,10,1,1
1002,paid,free,4,0,0
1003,organic,free,8,1,1
1004,organic,free,9,1,1
1005,paid,free,7,1,0
1006,organic,free,4,0,1
1007,referral,free,5,1,0
1008,organic,free,4,0,1
1009,paid,free,3,0,0
1010,paid,free,10,0,1
1011,paid,free,5,1,1
1012,paid,free,4,0,1
1013,paid,pro,7,0,0
1014,referral,free,8,1,1
1015,organic,free,6,0,0
1016,organic,free,5,1,0
1017,paid,free,7,1,0
1018,referral,free,2,0,0
1019,organic,free,5,0,1
1020,organic,free,8,1,0
1021,referral,pro,8,1,1
1022,paid,free,6,0,0
1023,referral,free,10,1,1
1024,paid,free,10,1,1
1025,paid,free,4,0,0
1026,organic,free,5,0,1
1027,referral,free,5,1,0
1028,organic,free,8,1,1
1029,paid,free,7,1,1
1030,organic,free,2,0,0
1031,paid,free,5,0,0
1032,paid,free,5,0,1
1033,paid,free,12,1,1
1034,referral,free,3,0,1
1035,organic,free,9,1,1
1036,paid,free,8,0,0
1037,organic,pro,6,1,1
1038,organic,free,6,1,1
1039,organic,free,10,0,0
1040,organic,pro,8,1,1
1041,organic,pro,6,0,1
1042,paid,free,6,0,1
1043,paid,free,4,1,0
1044,paid,free,8,0,1
1045,organic,pro,5,0,1
1046,organic,free,7,0,0
1047,organic,free,4,0,0
1048,paid,free,10,1,1
1049,referral,pro,8,1,1
1050,organic,free,8,0,1
1051,paid,free,4,1,0
1052,organic,pro,8,1,1
1053,organic,free,4,0,0
