query_id,team,query_type,bytes_scanned_gb,table_count,scheduled_hour,migrated,runtime_sec
203,finance,adhoc,2.22,2,19,1,9.84
204,platform,dashboard,4.09,3,1,0,16.71
205,product,dashboard,0.21,4,0,1,1.41
206,ml,etl,1.91,8,11,1,21.32
207,growth,dashboard,0.8,5,13,1,5.14
208,product,dashboard,0.53,3,5,1,2.46
209,growth,dashboard,0.77,4,6,1,3.53
210,finance,adhoc,1.39,1,2,1,4.44
211,finance,etl,5.52,2,19,1,23.11
212,product,adhoc,0.47,8,12,0,6.25
213,product,etl,2.08,7,18,1,12.32
214,growth,adhoc,1.18,4,10,1,8.42
215,growth,dashboard,1.4,4,5,1,9.05
216,finance,dashboard,6.07,4,10,1,31.4
217,growth,dashboard,3.64,3,0,1,14.88
218,product,adhoc,8.77,5,9,1,36.54
219,product,dashboard,1.7,3,18,1,11.06
220,platform,dashboard,0.94,4,7,1,4.69
221,ml,etl,1.57,4,23,0,9.72
222,finance,adhoc,2.63,6,0,1,11.83
223,ml,dashboard,2.45,3,6,1,11.47
224,platform,adhoc,0.61,6,14,1,6.23
225,growth,adhoc,2.22,3,7,0,11.93
226,platform,etl,2.59,7,21,1,12.02
227,finance,adhoc,32.11,3,1,1,71.64
228,product,dashboard,15.87,4,11,0,74.26
229,product,dashboard,0.79,5,7,1,6.45
230,platform,dashboard,1.47,3,7,1,8.35
231,platform,adhoc,0.4,8,1,1,5.01
232,platform,adhoc,1.05,2,7,1,9.61
233,finance,adhoc,2.85,3,1,1,11.73
234,ml,adhoc,7.59,4,6,0,37.4
235,product,dashboard,0.9,2,20,1,4.25
236,platform,dashboard,0.98,1,10,1,4.59
237,platform,dashboard,0.19,3,6,1,1.34
238,growth,dashboard,1.68,2,1,1,7.7
239,finance,adhoc,0.63,5,7,1,3.71
240,platform,ml_features,1.12,3,5,1,4.98
241,ml,dashboard,0.77,3,10,1,5.0
242,platform,adhoc,1.82,3,22,1,7.49
243,finance,dashboard,0.29,4,1,1,1.77
244,growth,adhoc,0.4,2,10,1,1.98
245,product,dashboard,20.95,3,11,0,71.04
246,finance,adhoc,0.49,7,1,1,2.99
247,platform,dashboard,0.6,9,6,1,4.82
248,product,dashboard,15.19,8,0,0,74.65
249,finance,adhoc,49.18,5,17,0,174.79
250,finance,dashboard,0.56,4,23,1,2.83
251,ml,adhoc,1.34,6,1,0,8.68
252,product,dashboard,2.93,7,18,0,18.44
253,growth,ml_features,13.48,5,12,1,48.87
254,product,dashboard,0.68,5,6,1,4.76
255,finance,adhoc,1.54,2,15,1,5.83
256,finance,etl,4.74,2,7,0,14.63
257,product,adhoc,3.25,2,23,0,18.22
258,growth,dashboard,1.33,7,18,1,7.32
259,finance,adhoc,1.74,5,6,0,14.08
260,finance,dashboard,0.44,6,15,1,2.69
261,finance,adhoc,1.55,3,22,1,5.63
262,product,dashboard,1.5,4,15,0,7.55
263,product,etl,2.6,5,15,1,11.04
264,growth,etl,1.09,5,8,1,8.49
265,finance,dashboard,3.38,5,15,0,28.1
266,platform,dashboard,6.13,5,20,0,19.95
267,ml,dashboard,2.39,5,1,1,17.31
268,growth,adhoc,2.97,2,16,0,11.47
269,growth,dashboard,2.14,5,5,1,22.3
270,ml,adhoc,2.01,5,17,1,11.87
271,growth,adhoc,0.91,1,12,1,4.25
272,ml,ml_features,2.85,4,4,1,14.47
273,platform,dashboard,1.81,3,23,1,6.56
274,growth,dashboard,20.14,4,7,0,51.4
275,growth,dashboard,11.37,8,19,0,51.31
276,ml,adhoc,3.08,5,8,0,16.07
277,growth,dashboard,0.87,1,3,1,2.27
278,product,dashboard,0.59,6,7,1,3.02
279,growth,dashboard,7.47,2,23,1,41.87
280,product,adhoc,2.69,3,4,1,11.43
281,platform,ml_features,3.41,2,19,0,7.88
282,product,dashboard,0.3,4,16,1,2.3
283,growth,dashboard,5.59,1,10,0,27.46
284,product,dashboard,3.32,7,15,0,23.01
285,product,dashboard,0.59,7,13,1,5.96
286,growth,ml_features,1.2,2,13,1,6.17
287,platform,adhoc,2.69,5,17,1,20.33
288,product,adhoc,2.13,1,14,1,10.14
289,growth,etl,1.46,3,1,1,7.01
290,ml,adhoc,1.8,3,23,1,8.87
291,finance,dashboard,1.53,4,23,1,8.96
292,growth,adhoc,2.38,6,1,0,14.68
293,growth,dashboard,10.16,4,0,0,33.95
294,finance,dashboard,0.12,7,16,1,1.89
295,finance,ml_features,1.55,4,20,1,6.26
296,finance,dashboard,2.45,3,19,1,8.51
297,platform,adhoc,2.79,4,14,1,9.42
298,product,dashboard,1.34,5,10,0,8.89
299,growth,dashboard,0.29,5,21,1,1.72
300,product,adhoc,2.89,6,7,0,16.1
301,product,etl,13.46,3,21,0,39.74
302,product,adhoc,0.37,5,13,1,4.41
303,ml,dashboard,5.21,4,13,0,24.44
304,finance,dashboard,1.4,1,18,1,6.15
305,growth,adhoc,1.88,5,13,0,12.41
306,growth,adhoc,0.63,1,20,1,3.25
307,finance,etl,1.39,4,20,1,9.38
308,finance,adhoc,8.42,7,15,1,53.46
309,growth,etl,3.82,2,8,1,16.49
310,product,etl,13.54,5,15,1,64.15
311,ml,dashboard,7.35,3,23,1,21.92
312,platform,adhoc,3.26,3,21,1,11.55
313,product,adhoc,13.71,6,20,0,34.15
314,product,ml_features,3.26,2,12,1,14.34
315,product,dashboard,5.01,3,23,0,24.77
316,finance,adhoc,1.45,6,8,1,7.6
317,finance,dashboard,2.17,2,17,1,12.22
318,finance,adhoc,0.94,3,4,1,7.53
319,growth,etl,5.98,5,7,0,28.41
320,product,etl,0.55,3,3,1,3.43
321,finance,dashboard,4.76,5,8,1,21.58
322,growth,dashboard,1.63,3,8,1,6.1
323,growth,etl,7.3,2,5,1,23.88
324,platform,adhoc,4.6,2,0,0,14.08
325,growth,etl,14.92,1,8,0,58.52
326,finance,dashboard,4.5,3,15,1,27.31
327,growth,etl,0.36,2,20,1,1.91
328,growth,adhoc,1.87,2,21,1,12.32
329,platform,dashboard,0.55,3,8,1,2.81
330,growth,dashboard,1.14,6,15,1,10.04
331,finance,adhoc,10.62,3,1,1,34.57
332,ml,dashboard,4.06,5,23,1,20.48
333,finance,etl,0.93,8,7,1,4.42
334,product,adhoc,0.66,6,22,1,3.67
335,product,adhoc,2.09,7,10,0,15.85
336,growth,dashboard,0.53,4,14,1,4.62
337,finance,ml_features,0.96,3,12,1,5.89
338,finance,adhoc,2.84,3,3,1,16.87
339,growth,etl,7.18,4,7,1,25.58
340,growth,etl,3.93,1,4,1,11.12
341,product,adhoc,0.16,2,16,1,1.91
342,growth,ml_features,2.81,3,8,1,8.13
343,growth,adhoc,2.18,5,20,0,9.76
344,product,adhoc,3.17,4,4,1,13.95
345,finance,dashboard,11.92,5,12,0,56.43
346,product,dashboard,0.21,2,9,1,1.56
347,growth,adhoc,1.05,4,1,1,5.6
348,product,dashboard,3.86,5,23,0,33.02
349,platform,adhoc,0.35,4,14,1,2.47
350,product,ml_features,10.21,6,23,1,46.59
351,platform,dashboard,3.02,6,1,1,15.32
352,finance,dashboard,5.11,2,18,1,12.37
353,growth,adhoc,1.07,2,18,1,4.45
354,finance,dashboard,4.93,5,14,1,15.17
355,finance,etl,6.52,6,3,1,21.99
356,platform,adhoc,2.6,7,20,1,13.45
357,finance,adhoc,2.61,8,12,1,22.65
358,finance,adhoc,2.71,8,23,1,21.58
359,platform,adhoc,0.78,5,1,0,9.12
360,growth,dashboard,1.71,3,20,1,7.9
361,product,dashboard,1.7,4,7,1,8.23
362,finance,dashboard,3.07,3,15,1,10.81
363,ml,etl,6.05,4,11,0,24.82
364,growth,dashboard,0.63,7,11,1,6.28
365,product,dashboard,1.76,3,1,0,13.95
366,product,dashboard,10.27,3,8,0,54.63
367,ml,dashboard,0.89,3,0,1,3.8
368,ml,dashboard,0.82,5,10,0,4.64
369,platform,etl,2.52,2,21,1,6.42
370,growth,dashboard,5.1,6,3,0,24.93
371,finance,adhoc,2.04,4,1,0,16.87
372,platform,dashboard,8.69,5,6,0,33.15
373,product,adhoc,5.17,1,8,1,14.96
374,platform,dashboard,5.08,3,18,0,24.27
375,platform,adhoc,3.7,6,3,0,18.06
376,finance,ml_features,26.06,3,15,0,105.86
377,growth,dashboard,1.61,8,3,0,5.73
378,finance,ml_features,0.22,3,7,1,1.05
379,product,dashboard,11.76,3,8,0,39.16
380,finance,adhoc,1.22,1,12,1,6.71
381,growth,adhoc,2.27,5,3,0,10.43
382,product,dashboard,8.5,3,8,1,31.78
383,growth,dashboard,0.35,2,7,1,1.61
384,finance,dashboard,0.51,6,5,1,4.08
385,finance,adhoc,0.35,4,13,1,2.82
386,product,dashboard,0.84,5,2,1,4.99
387,growth,etl,3.27,4,23,1,17.42
388,product,dashboard,3.58,5,12,0,25.06
389,platform,etl,2.73,4,21,1,10.59
390,product,dashboard,0.43,4,15,1,2.53
391,ml,adhoc,0.16,4,16,1,1.88
392,growth,dashboard,2.14,4,0,1,16.19
393,growth,dashboard,1.2,3,20,1,7.69
394,growth,dashboard,3.34,4,0,1,19.37
395,product,adhoc,4.36,2,5,1,12.53
396,growth,dashboard,2.34,2,4,1,9.17
397,ml,adhoc,4.65,4,20,1,17.94
398,product,ml_features,2.59,4,18,1,13.21
399,platform,dashboard,3.61,3,7,1,11.99
400,finance,dashboard,0.93,2,17,1,5.81
401,product,dashboard,1.65,1,5,1,7.31
402,finance,dashboard,2.5,3,10,0,11.35
403,product,adhoc,4.97,5,11,0,23.96
404,platform,adhoc,1.31,3,23,1,6.52
405,growth,dashboard,3.57,4,1,0,16.65
406,platform,dashboard,1.5,3,12,1,7.31
407,product,adhoc,1.77,5,12,1,10.48
408,product,dashboard,5.02,2,15,1,16.1
409,growth,adhoc,0.22,3,9,1,1.96
410,growth,ml_features,0.48,5,12,1,3.3
411,growth,dashboard,0.39,4,1,1,2.11
412,product,adhoc,0.15,4,22,1,1.18
413,growth,etl,0.95,8,21,0,9.0
414,ml,adhoc,4.59,2,3,0,18.46
415,ml,etl,1.47,3,4,0,6.36
416,growth,etl,2.5,2,1,1,11.19
417,product,adhoc,6.67,2,15,1,28.91
418,growth,adhoc,8.68,2,13,0,41.88
419,finance,adhoc,1.87,4,14,1,13.34
420,growth,adhoc,8.93,5,15,1,41.82
421,platform,adhoc,2.23,3,11,0,16.73
422,platform,dashboard,0.8,3,20,1,3.53
423,growth,etl,1.05,7,5,1,5.51
424,growth,dashboard,0.4,5,11,1,3.9
425,finance,dashboard,0.76,6,6,1,5.23
426,product,dashboard,1.36,6,4,1,7.38
427,growth,dashboard,4.87,4,7,0,21.79
428,platform,adhoc,13.37,6,8,0,54.02
429,ml,dashboard,0.44,3,0,1,2.34
430,finance,adhoc,3.1,2,18,0,11.87
431,platform,adhoc,0.64,8,1,1,3.76
432,product,dashboard,3.39,6,6,0,17.45
433,product,dashboard,1.74,4,8,1,5.67
434,platform,adhoc,0.27,3,20,1,0.95
435,finance,adhoc,5.59,4,14,1,18.47
436,product,dashboard,1.04,3,2,1,6.85
437,growth,dashboard,1.12,6,13,1,12.84
438,product,dashboard,0.62,5,10,1,4.85
439,growth,dashboard,0.98,6,6,1,5.56
440,growth,dashboard,3.22,7,17,1,27.58
441,finance,ml_features,1.64,5,1,1,6.44
442,finance,dashboard,2.89,6,8,1,15.72
443,growth,dashboard,3.0,4,19,1,14.41
444,growth,etl,8.61,3,15,0,38.32
445,platform,adhoc,1.38,3,3,1,4.08
446,product,dashboard,0.4,3,23,1,2.99
447,finance,adhoc,6.51,4,18,1,27.26
448,platform,ml_features,1.4,5,1,0,6.75
449,platform,dashboard,6.86,4,21,0,20.06
450,growth,dashboard,3.07,3,0,1,14.84
451,product,etl,1.74,7,11,1,13.45
452,finance,etl,2.96,6,14,0,22.59
453,product,ml_features,17.22,4,6,1,52.51
454,product,dashboard,19.78,3,22,0,62.85
455,growth,ml_features,2.17,4,18,1,10.38
456,product,dashboard,2.4,4,11,1,14.29
457,finance,adhoc,6.58,1,11,1,26.42
458,product,etl,0.79,6,11,1,5.45
459,growth,dashboard,2.9,5,10,0,13.39
460,platform,dashboard,1.96,4,5,0,9.31
461,product,adhoc,2.84,7,15,1,12.84
462,growth,etl,0.81,3,8,1,3.52
463,platform,dashboard,0.35,5,18,1,2.26
464,growth,etl,0.21,3,0,1,1.23
465,product,dashboard,0.59,3,4,1,3.37
466,product,dashboard,1.22,3,12,1,6.85
467,growth,dashboard,1.46,4,6,0,6.76
468,growth,etl,16.96,1,19,0,49.33
469,growth,dashboard,6.8,3,15,0,34.68
470,product,adhoc,0.7,1,18,1,4.39
471,product,dashboard,2.95,8,18,0,31.03
472,growth,etl,1.29,2,10,1,12.77
473,growth,etl,1.47,4,2,1,10.45
474,platform,dashboard,2.47,2,10,1,12.22
475,growth,dashboard,3.98,2,5,1,11.91
476,finance,dashboard,1.39,2,16,1,6.85
477,product,dashboard,6.49,3,22,1,25.44
478,growth,etl,0.57,3,22,1,2.75
479,ml,adhoc,2.03,6,17,1,12.13
480,growth,dashboard,35.07,5,17,0,178.58
481,platform,adhoc,2.57,4,23,0,12.09
482,finance,adhoc,9.74,4,11,1,47.99
483,growth,dashboard,2.23,4,0,1,9.8
484,finance,dashboard,3.81,3,21,1,9.31
485,ml,dashboard,1.89,2,13,0,6.41
486,product,adhoc,1.67,3,23,0,9.12
487,growth,dashboard,0.85,4,19,1,4.46
488,ml,adhoc,3.23,3,17,1,16.91
489,growth,dashboard,0.79,4,9,1,5.61
490,growth,adhoc,4.19,3,21,1,17.61
491,growth,dashboard,6.64,2,21,0,24.93
492,platform,adhoc,3.01,4,22,0,20.01
493,growth,dashboard,1.47,8,12,0,12.94
494,growth,dashboard,3.32,4,13,1,18.84
495,ml,dashboard,1.43,3,16,1,7.18
496,product,adhoc,5.64,4,7,1,17.07
497,finance,etl,0.27,6,3,1,3.34
498,product,dashboard,1.39,6,17,1,11.72
499,growth,adhoc,0.23,3,10,1,1.84
500,finance,adhoc,0.39,5,3,1,2.36
501,finance,adhoc,9.03,5,22,1,42.19
502,product,adhoc,5.39,3,8,0,19.78
503,platform,dashboard,0.91,2,14,1,6.24
504,finance,adhoc,0.39,4,9,1,4.18
505,growth,etl,0.08,3,9,1,0.69
506,finance,etl,1.11,2,20,1,7.48
507,platform,dashboard,28.86,1,19,0,77.62
508,platform,adhoc,3.25,7,10,1,13.37
509,platform,dashboard,1.09,6,12,1,9.54
510,ml,adhoc,3.36,5,14,1,18.57
511,platform,dashboard,0.36,5,2,1,2.87
512,ml,dashboard,1.45,5,20,1,5.77
513,product,adhoc,2.25,3,13,0,11.56
514,growth,etl,1.83,5,3,1,13.01
515,product,dashboard,4.81,5,16,1,27.81
516,growth,adhoc,2.94,4,16,1,23.28
517,growth,adhoc,4.2,5,14,1,19.68
518,finance,ml_features,0.94,6,16,1,12.36
519,finance,adhoc,5.41,2,20,1,34.5
520,product,dashboard,12.08,3,13,0,65.79
521,finance,dashboard,0.69,4,2,1,3.97
522,growth,adhoc,0.76,6,21,1,5.22
523,ml,dashboard,8.75,3,10,1,49.47
524,product,etl,1.63,5,12,1,10.97
525,growth,etl,9.43,6,6,1,36.5
526,growth,ml_features,1.24,3,3,1,4.59
527,growth,dashboard,9.98,3,22,1,20.27
528,ml,adhoc,2.33,5,16,0,14.09
529,growth,adhoc,2.68,1,10,0,8.03
530,ml,dashboard,11.26,5,10,1,51.25
531,growth,dashboard,1.35,6,8,1,11.27
532,platform,dashboard,0.72,4,23,1,3.89
533,growth,dashboard,1.23,3,6,1,4.65
534,finance,ml_features,3.31,5,19,1,13.54
535,finance,etl,0.36,4,0,1,1.79
536,finance,dashboard,4.06,2,3,1,23.41
537,ml,adhoc,1.11,3,5,1,4.58
538,product,dashboard,7.12,2,8,1,15.77
539,growth,dashboard,0.14,6,11,1,2.57
540,platform,dashboard,0.85,3,3,1,4.1
541,growth,adhoc,0.32,5,8,1,1.7
542,ml,adhoc,0.81,3,21,1,4.14
543,finance,etl,2.64,6,5,1,12.71
544,growth,etl,1.65,2,0,1,8.0
545,growth,dashboard,1.52,2,3,1,6.37
546,growth,adhoc,1.69,3,9,1,5.51
547,ml,dashboard,2.52,5,21,1,11.67
548,finance,dashboard,0.66,4,4,1,4.59
549,growth,adhoc,4.38,4,14,1,19.64
550,platform,dashboard,4.17,5,10,1,27.45
551,growth,dashboard,3.08,5,15,1,22.4
552,growth,dashboard,3.71,3,19,1,20.2
553,product,dashboard,2.79,2,1,1,8.58
554,growth,ml_features,18.89,9,0,0,74.04
555,platform,dashboard,1.83,3,20,1,8.3
556,product,adhoc,1.44,2,6,1,4.03
557,growth,ml_features,0.88,4,10,1,4.38
558,finance,adhoc,0.65,9,20,1,5.28
559,growth,dashboard,0.51,5,21,1,1.86
560,product,etl,0.76,5,7,1,2.81
561,product,dashboard,1.86,4,22,1,10.09
562,platform,dashboard,2.91,4,7,1,8.66
563,finance,adhoc,2.13,4,14,1,23.85
564,platform,dashboard,0.87,4,6,0,3.92
565,growth,etl,5.42,6,7,0,20.61
566,ml,dashboard,4.54,3,16,1,15.3
567,growth,adhoc,1.69,2,20,1,7.19
568,platform,adhoc,0.98,5,21,1,5.18
569,finance,ml_features,3.68,6,14,0,26.04
570,growth,dashboard,2.48,3,9,1,12.2
571,finance,dashboard,0.41,5,11,1,3.99
572,ml,ml_features,1.87,2,23,1,7.43
573,platform,adhoc,2.69,5,2,1,11.69
574,product,dashboard,0.75,6,3,1,4.87
575,finance,dashboard,2.48,5,17,1,8.96
576,product,etl,0.41,4,20,1,1.85
577,growth,adhoc,8.76,4,7,1,50.47
578,product,adhoc,7.95,4,8,1,19.45
579,growth,etl,1.53,3,6,1,8.79
580,platform,dashboard,3.0,5,4,1,7.74
581,product,dashboard,0.14,2,11,1,0.71
582,finance,adhoc,0.56,2,16,1,2.83
583,product,etl,1.46,2,11,1,8.65
584,finance,dashboard,0.62,4,6,1,3.34
585,growth,adhoc,4.42,4,11,0,26.94
586,growth,dashboard,18.12,5,3,0,61.58
587,growth,dashboard,0.55,5,10,1,3.89
588,growth,etl,0.8,7,11,1,6.34
589,product,dashboard,2.61,6,11,1,20.5
590,product,dashboard,11.85,3,4,0,67.08
591,finance,etl,0.52,5,6,1,2.42
592,ml,dashboard,2.65,4,12,1,13.96
593,platform,dashboard,14.93,3,20,1,44.06
