session_id,customer_ltv_score,arm,propensity,revenue_per_session
153,68.1,aggressive_discount,0.6259,40.3
154,59.5,aggressive_discount,0.5318,53.48
155,38.0,aggressive_discount,0.3015,15.38
156,76.8,standard_price,0.2878,64.29
157,52.7,standard_price,0.5445,50.34
158,84.4,aggressive_discount,0.777,74.75
159,22.3,standard_price,0.8244,2.57
160,100.0,aggressive_discount,0.8754,102.59
161,44.9,standard_price,0.6294,31.63
162,24.8,standard_price,0.8075,12.34
163,27.2,standard_price,0.7902,15.37
164,67.2,standard_price,0.3837,53.56
165,66.6,aggressive_discount,0.6099,53.84
166,64.8,aggressive_discount,0.5905,56.79
167,60.7,standard_price,0.4547,47.58
168,26.0,standard_price,0.799,20.49
169,45.7,aggressive_discount,0.3791,37.62
170,2.3,standard_price,0.9203,0.0
171,31.1,standard_price,0.7596,21.37
172,62.0,aggressive_discount,0.5597,46.81
173,11.1,aggressive_discount,0.114,0.0
174,96.2,standard_price,0.1444,105.15
175,74.0,aggressive_discount,0.6857,68.06
176,25.8,standard_price,0.8004,14.07
177,63.3,aggressive_discount,0.5741,57.23
178,59.9,aggressive_discount,0.5363,50.2
179,46.0,standard_price,0.6177,27.99
180,60.6,standard_price,0.4559,50.26
181,43.5,standard_price,0.6439,31.4
182,48.5,aggressive_discount,0.4091,30.2
183,59.9,standard_price,0.4637,62.67
184,58.6,standard_price,0.4783,33.75
185,55.8,standard_price,0.5097,50.62
186,56.3,standard_price,0.5041,37.63
187,68.8,standard_price,0.3668,62.56
188,65.3,standard_price,0.4041,59.07
189,25.9,standard_price,0.7997,10.59
190,34.5,standard_price,0.7306,29.02
191,79.0,aggressive_discount,0.732,62.27
192,81.0,aggressive_discount,0.7493,64.94
193,61.0,standard_price,0.4514,44.38
194,44.4,aggressive_discount,0.3654,33.05
195,66.3,standard_price,0.3933,50.71
196,63.6,aggressive_discount,0.5774,55.8
197,19.0,standard_price,0.8449,4.64
198,51.3,standard_price,0.5601,43.42
199,22.0,standard_price,0.8264,15.81
200,40.8,standard_price,0.6713,36.83
201,50.6,standard_price,0.5678,32.29
202,84.4,aggressive_discount,0.777,80.31
203,7.7,standard_price,0.9006,0.0
204,42.9,standard_price,0.6501,30.54
205,63.6,aggressive_discount,0.5774,51.85
206,63.3,aggressive_discount,0.5741,40.09
207,67.0,aggressive_discount,0.6142,51.97
208,30.1,standard_price,0.7677,10.72
209,47.4,aggressive_discount,0.3972,40.5
210,40.7,aggressive_discount,0.3277,19.45
211,76.2,aggressive_discount,0.7066,68.92
212,47.2,standard_price,0.6049,23.85
213,50.4,aggressive_discount,0.43,35.92
214,53.8,aggressive_discount,0.4678,42.36
215,23.8,standard_price,0.8144,1.1
216,60.4,standard_price,0.4581,49.94
217,27.9,standard_price,0.7849,8.03
218,53.7,standard_price,0.5333,50.07
219,35.5,standard_price,0.7216,31.29
220,74.0,aggressive_discount,0.6857,78.4
221,50.8,aggressive_discount,0.4344,35.73
222,88.6,aggressive_discount,0.808,81.72
223,5.3,standard_price,0.9098,0.0
224,77.4,aggressive_discount,0.7177,66.81
225,67.2,standard_price,0.3837,63.63
226,55.9,standard_price,0.5086,44.29
227,94.1,aggressive_discount,0.8435,98.36
228,21.4,standard_price,0.8302,13.28
229,54.3,aggressive_discount,0.4734,40.06
230,74.9,aggressive_discount,0.6943,78.27
231,62.1,standard_price,0.4392,47.39
232,42.4,standard_price,0.6552,36.15
233,63.0,aggressive_discount,0.5708,47.48
234,41.7,standard_price,0.6623,29.07
235,43.2,aggressive_discount,0.353,31.84
236,36.8,standard_price,0.7097,43.42
237,71.1,standard_price,0.3431,59.86
238,56.2,standard_price,0.5052,53.0
239,100.0,standard_price,0.1246,88.61
240,66.9,aggressive_discount,0.6131,58.48
241,20.3,standard_price,0.8371,13.91
242,66.1,aggressive_discount,0.6046,59.43
243,28.2,standard_price,0.7826,11.79
244,44.5,aggressive_discount,0.3664,17.02
245,52.8,standard_price,0.5434,24.29
246,28.2,standard_price,0.7826,29.74
247,39.9,standard_price,0.6802,25.69
248,36.5,standard_price,0.7125,29.08
249,52.8,standard_price,0.5434,27.47
250,48.5,standard_price,0.5909,30.55
251,47.9,aggressive_discount,0.4026,42.13
252,84.1,standard_price,0.2254,72.44
253,60.8,aggressive_discount,0.5464,52.87
254,58.7,standard_price,0.4771,44.91
255,71.9,aggressive_discount,0.665,57.69
256,87.2,aggressive_discount,0.798,73.75
257,78.0,aggressive_discount,0.7231,71.32
258,28.9,standard_price,0.7772,27.51
259,60.6,aggressive_discount,0.5441,48.5
260,65.5,aggressive_discount,0.5981,42.91
261,69.3,standard_price,0.3616,55.14
262,47.2,standard_price,0.6049,42.19
263,51.4,standard_price,0.559,38.9
264,32.3,standard_price,0.7496,16.46
265,42.6,aggressive_discount,0.3468,15.87
266,26.7,standard_price,0.7939,0.0
267,75.5,aggressive_discount,0.7,55.58
268,39.6,standard_price,0.6831,30.63
269,31.3,standard_price,0.758,22.75
270,55.9,standard_price,0.5086,40.62
271,52.1,standard_price,0.5512,40.73
272,36.3,aggressive_discount,0.2857,13.7
273,57.5,standard_price,0.4906,57.07
274,37.5,standard_price,0.7032,16.8
275,60.2,standard_price,0.4603,54.51
276,49.5,standard_price,0.5799,34.31
277,54.3,standard_price,0.5266,49.8
278,42.4,aggressive_discount,0.3448,35.01
279,36.6,standard_price,0.7116,15.42
280,55.1,aggressive_discount,0.4824,27.4
281,18.6,standard_price,0.8472,0.0
282,77.7,aggressive_discount,0.7204,72.71
283,40.9,standard_price,0.6703,24.72
284,91.5,standard_price,0.1726,86.84
285,63.4,standard_price,0.4248,47.65
286,48.1,standard_price,0.5952,23.42
287,37.9,aggressive_discount,0.3006,15.76
288,60.4,aggressive_discount,0.5419,52.58
289,59.3,standard_price,0.4704,57.41
290,58.6,aggressive_discount,0.5217,44.73
291,66.8,aggressive_discount,0.6121,52.33
292,52.4,aggressive_discount,0.4521,36.22
293,72.9,standard_price,0.3251,60.81
294,34.7,standard_price,0.7288,34.89
295,45.9,standard_price,0.6188,36.63
296,62.4,standard_price,0.4359,63.7
297,34.4,aggressive_discount,0.2685,15.87
298,50.9,standard_price,0.5645,44.28
299,80.7,aggressive_discount,0.7468,68.32
300,52.1,standard_price,0.5512,45.66
301,40.6,aggressive_discount,0.3267,36.96
302,72.6,aggressive_discount,0.6719,67.45
303,27.3,standard_price,0.7894,0.26
304,43.4,aggressive_discount,0.355,23.06
305,71.3,aggressive_discount,0.6589,56.4
306,34.6,aggressive_discount,0.2703,20.42
307,55.2,standard_price,0.5165,28.54
308,48.6,standard_price,0.5898,53.04
309,81.3,aggressive_discount,0.7518,64.23
310,21.6,aggressive_discount,0.1711,0.0
311,39.2,standard_price,0.687,40.97
312,43.5,standard_price,0.6439,33.48
313,57.5,standard_price,0.4906,40.81
314,61.0,standard_price,0.4514,55.7
315,58.5,aggressive_discount,0.5206,50.39
316,78.4,aggressive_discount,0.7267,66.99
317,63.4,aggressive_discount,0.5752,56.27
318,24.4,standard_price,0.8103,17.15
319,21.1,standard_price,0.8321,21.48
320,39.3,aggressive_discount,0.314,23.01
321,39.5,standard_price,0.6841,35.81
322,41.3,standard_price,0.6663,33.75
323,71.0,aggressive_discount,0.6559,58.43
324,37.4,aggressive_discount,0.2959,28.35
325,72.2,aggressive_discount,0.668,67.62
326,73.0,aggressive_discount,0.6759,64.77
327,50.6,standard_price,0.5678,44.31
328,39.6,aggressive_discount,0.3169,35.33
329,75.8,standard_price,0.2971,80.68
330,33.1,standard_price,0.7428,0.0
331,59.6,standard_price,0.467,54.59
332,55.5,standard_price,0.5131,45.99
333,75.9,aggressive_discount,0.7038,72.36
334,57.2,standard_price,0.494,39.2
335,50.4,aggressive_discount,0.43,39.16
336,71.1,aggressive_discount,0.6569,67.11
337,42.4,standard_price,0.6552,41.55
338,61.2,aggressive_discount,0.5508,54.17
339,52.7,standard_price,0.5445,28.15
340,50.7,standard_price,0.5667,42.65
341,20.4,aggressive_discount,0.1636,9.38
342,49.9,standard_price,0.5755,27.39
343,29.8,standard_price,0.7701,13.01
344,60.6,aggressive_discount,0.5441,52.25
345,97.4,standard_price,0.1379,105.82
346,45.5,standard_price,0.623,49.69
347,68.3,standard_price,0.372,63.99
348,70.2,standard_price,0.3523,60.11
349,27.0,standard_price,0.7917,3.87
350,64.2,aggressive_discount,0.5839,43.61
351,43.7,standard_price,0.6419,36.91
352,41.2,standard_price,0.6673,26.72
353,66.4,standard_price,0.3922,50.79
354,38.9,standard_price,0.6899,28.3
355,39.8,standard_price,0.6811,32.42
356,65.2,standard_price,0.4052,51.07
357,75.8,aggressive_discount,0.7029,62.75
358,51.3,standard_price,0.5601,39.85
359,63.3,aggressive_discount,0.5741,45.89
360,21.6,aggressive_discount,0.1711,0.0
361,48.0,standard_price,0.5963,54.03
362,58.9,aggressive_discount,0.5251,39.31
363,33.1,standard_price,0.7428,13.08
364,62.9,standard_price,0.4303,45.51
365,55.6,aggressive_discount,0.488,45.5
366,55.7,standard_price,0.5109,49.79
367,73.7,aggressive_discount,0.6828,71.21
368,75.3,standard_price,0.3019,65.61
369,25.7,standard_price,0.8012,11.74
370,36.9,aggressive_discount,0.2912,13.79
371,60.8,standard_price,0.4536,44.32
372,44.0,aggressive_discount,0.3612,42.32
373,89.8,aggressive_discount,0.8162,78.46
374,72.1,aggressive_discount,0.667,59.36
375,33.6,standard_price,0.7385,24.86
376,34.9,standard_price,0.727,33.16
377,24.7,standard_price,0.8082,16.59
378,57.4,aggressive_discount,0.5082,37.29
379,37.9,aggressive_discount,0.3006,31.34
380,36.5,standard_price,0.7125,15.61
381,24.7,standard_price,0.8082,14.28
382,67.8,standard_price,0.3773,58.29
383,35.1,standard_price,0.7252,16.03
384,31.9,standard_price,0.753,8.48
385,12.3,standard_price,0.8804,0.0
386,58.1,aggressive_discount,0.5161,55.61
387,54.6,standard_price,0.5232,34.87
388,64.6,standard_price,0.4117,54.04
389,78.7,aggressive_discount,0.7294,71.59
390,54.1,standard_price,0.5288,40.73
391,43.1,standard_price,0.6481,28.5
392,17.9,aggressive_discount,0.1487,0.0
393,52.2,standard_price,0.5501,43.31
394,57.1,aggressive_discount,0.5049,57.46
395,55.1,standard_price,0.5176,58.99
396,11.1,standard_price,0.886,0.0
397,74.7,standard_price,0.3076,72.36
398,62.4,standard_price,0.4359,61.24
399,42.2,standard_price,0.6572,33.17
400,44.3,standard_price,0.6356,42.21
401,11.6,standard_price,0.8837,0.0
402,56.5,standard_price,0.5019,51.91
403,43.1,standard_price,0.6481,33.77
404,27.4,standard_price,0.7887,13.58
405,89.5,aggressive_discount,0.8142,77.49
406,80.9,aggressive_discount,0.7485,66.92
407,64.5,aggressive_discount,0.5872,44.0
408,49.6,aggressive_discount,0.4212,30.99
409,25.2,standard_price,0.8047,4.84
410,49.6,standard_price,0.5788,35.79
411,59.4,aggressive_discount,0.5307,55.82
412,47.8,aggressive_discount,0.4016,29.0
413,49.3,aggressive_discount,0.4179,43.09
414,53.7,aggressive_discount,0.4667,41.64
415,27.1,aggressive_discount,0.2091,7.32
416,66.4,aggressive_discount,0.6078,65.62
417,70.1,aggressive_discount,0.6467,69.29
418,41.4,standard_price,0.6653,10.71
419,36.1,standard_price,0.7162,22.02
420,92.4,aggressive_discount,0.8331,81.97
421,72.8,aggressive_discount,0.6739,50.24
422,3.6,standard_price,0.9159,0.0
423,48.0,aggressive_discount,0.4037,43.7
424,29.6,aggressive_discount,0.2283,24.44
425,31.8,standard_price,0.7538,12.34
426,36.2,standard_price,0.7152,34.17
427,50.9,aggressive_discount,0.4355,37.63
428,47.4,standard_price,0.6028,42.39
429,24.1,aggressive_discount,0.1876,6.27
430,28.3,standard_price,0.7819,10.7
431,8.8,standard_price,0.896,0.0
432,48.2,standard_price,0.5941,34.02
433,55.4,standard_price,0.5142,43.46
434,67.2,standard_price,0.3837,47.97
435,69.6,aggressive_discount,0.6415,66.19
436,52.0,standard_price,0.5523,45.16
437,41.9,standard_price,0.6603,20.89
438,92.8,aggressive_discount,0.8356,94.43
439,31.5,standard_price,0.7563,6.62
440,22.9,aggressive_discount,0.1795,24.23
441,40.8,aggressive_discount,0.3287,17.63
442,53.9,standard_price,0.5311,42.89
443,77.0,aggressive_discount,0.714,55.58
444,40.5,standard_price,0.6743,29.35
445,17.6,standard_price,0.853,12.59
446,64.7,standard_price,0.4106,61.28
447,41.0,standard_price,0.6693,42.88
448,28.6,aggressive_discount,0.2205,8.84
449,31.7,standard_price,0.7546,7.56
450,52.6,aggressive_discount,0.4544,38.62
451,14.6,standard_price,0.8691,0.47
452,79.5,aggressive_discount,0.7364,65.6
453,46.6,standard_price,0.6114,45.11
454,50.9,standard_price,0.5645,35.31
455,70.9,aggressive_discount,0.6549,59.78
456,35.0,standard_price,0.7261,26.87
457,51.2,standard_price,0.5612,44.3
458,48.2,standard_price,0.5941,38.96
459,59.5,aggressive_discount,0.5318,60.13
460,98.8,aggressive_discount,0.8694,90.47
461,28.0,standard_price,0.7841,18.98
462,48.6,aggressive_discount,0.4102,46.54
463,92.3,aggressive_discount,0.8325,84.8
464,31.9,aggressive_discount,0.247,30.75
465,82.2,aggressive_discount,0.7593,70.31
466,51.5,standard_price,0.5579,35.58
467,70.6,aggressive_discount,0.6518,65.08
468,61.2,standard_price,0.4492,52.29
469,56.3,standard_price,0.5041,58.81
470,32.2,standard_price,0.7504,18.32
471,47.0,aggressive_discount,0.3929,30.34
472,63.7,aggressive_discount,0.5785,61.18
473,42.3,standard_price,0.6562,44.9
474,28.3,aggressive_discount,0.2181,0.96
475,30.4,standard_price,0.7653,33.66
476,78.3,aggressive_discount,0.7258,66.13
477,81.9,aggressive_discount,0.7569,67.97
478,35.6,aggressive_discount,0.2793,35.21
479,49.6,standard_price,0.5788,45.8
480,74.8,aggressive_discount,0.6934,70.24
481,55.8,aggressive_discount,0.4903,41.16
482,51.3,standard_price,0.5601,47.25
483,62.3,aggressive_discount,0.563,48.12
484,27.8,standard_price,0.7857,12.36
485,36.3,aggressive_discount,0.2857,19.63
486,65.3,standard_price,0.4041,53.97
487,54.0,standard_price,0.53,43.53
488,59.2,aggressive_discount,0.5285,42.23
489,51.8,standard_price,0.5545,56.24
490,24.2,standard_price,0.8117,9.02
491,58.5,standard_price,0.4794,56.96
492,76.0,aggressive_discount,0.7047,70.64
493,60.3,standard_price,0.4592,49.45
494,64.7,aggressive_discount,0.5894,56.88
495,31.2,aggressive_discount,0.2412,9.92
496,45.0,standard_price,0.6283,33.5
497,40.9,aggressive_discount,0.3297,24.6
498,39.9,standard_price,0.6802,23.33
499,37.6,aggressive_discount,0.2978,15.28
500,61.9,standard_price,0.4414,49.25
501,61.1,standard_price,0.4503,56.82
502,66.9,aggressive_discount,0.6131,64.82
503,86.1,standard_price,0.2101,84.95
504,53.5,standard_price,0.5356,52.51
505,59.4,aggressive_discount,0.5307,57.77
506,53.6,aggressive_discount,0.4656,33.81
507,17.8,standard_price,0.8518,4.24
508,28.8,standard_price,0.778,19.07
509,59.4,standard_price,0.4693,53.24
510,41.3,standard_price,0.6663,26.02
511,49.0,standard_price,0.5854,46.16
512,21.5,standard_price,0.8296,6.82
513,55.8,aggressive_discount,0.4903,49.72
514,44.1,aggressive_discount,0.3623,17.12
515,53.8,aggressive_discount,0.4678,31.88
516,53.9,standard_price,0.5311,61.82
517,17.5,standard_price,0.8535,0.0
518,72.1,aggressive_discount,0.667,54.52
519,24.7,standard_price,0.8082,12.38
520,44.0,standard_price,0.6388,41.89
521,40.8,standard_price,0.6713,16.65
522,70.7,aggressive_discount,0.6528,64.82
523,52.2,standard_price,0.5501,31.75
524,69.3,aggressive_discount,0.6384,49.37
525,54.1,aggressive_discount,0.4712,36.39
526,49.6,standard_price,0.5788,39.33
527,33.9,standard_price,0.7358,24.53
528,40.6,aggressive_discount,0.3267,20.43
529,50.8,aggressive_discount,0.4344,42.14
530,55.2,standard_price,0.5165,52.55
531,37.2,standard_price,0.706,41.42
532,78.2,standard_price,0.2751,74.58
533,56.1,aggressive_discount,0.4936,43.51
534,27.9,aggressive_discount,0.2151,11.2
535,79.8,standard_price,0.261,71.72
536,16.4,aggressive_discount,0.1404,0.0
537,58.0,standard_price,0.485,54.81
538,39.2,standard_price,0.687,28.38
539,81.5,aggressive_discount,0.7535,66.0
540,66.8,aggressive_discount,0.6121,70.65
541,26.8,standard_price,0.7931,15.45
542,70.2,aggressive_discount,0.6477,53.52
543,9.7,standard_price,0.8922,0.0
544,66.8,aggressive_discount,0.6121,59.72
545,49.2,aggressive_discount,0.4168,27.14
546,31.9,standard_price,0.753,26.84
547,69.7,aggressive_discount,0.6426,52.45
548,65.6,aggressive_discount,0.5992,50.2
549,53.9,standard_price,0.5311,38.14
550,55.8,aggressive_discount,0.4903,47.23
551,58.2,aggressive_discount,0.5172,36.35
552,43.0,standard_price,0.6491,24.99
553,61.3,aggressive_discount,0.5519,32.82
554,12.8,standard_price,0.878,2.95
555,0.0,standard_price,0.9276,0.0
556,59.4,standard_price,0.4693,36.32
557,57.8,standard_price,0.4873,51.77
558,36.7,standard_price,0.7106,26.98
559,28.5,standard_price,0.7803,16.88
560,76.5,aggressive_discount,0.7094,68.21
561,39.8,aggressive_discount,0.3189,23.53
562,38.0,aggressive_discount,0.3015,18.39
563,30.7,standard_price,0.7629,15.83
564,66.0,aggressive_discount,0.6035,62.04
565,5.8,standard_price,0.908,0.0
566,46.2,standard_price,0.6156,37.41
567,35.7,standard_price,0.7198,31.18
568,47.1,aggressive_discount,0.394,30.98
569,63.4,aggressive_discount,0.5752,59.76
570,40.3,aggressive_discount,0.3238,27.07
571,44.5,aggressive_discount,0.3664,15.46
572,12.6,standard_price,0.879,1.47
573,39.0,aggressive_discount,0.3111,19.89
574,28.9,standard_price,0.7772,34.58
575,54.6,standard_price,0.5232,46.78
576,45.3,aggressive_discount,0.3748,32.39
577,41.2,aggressive_discount,0.3327,23.67
578,53.1,standard_price,0.54,59.54
579,32.0,aggressive_discount,0.2479,24.02
580,27.3,standard_price,0.7894,15.97
581,0.0,standard_price,0.9276,0.0
582,48.5,standard_price,0.5909,34.15
583,49.8,aggressive_discount,0.4234,38.48
584,48.7,standard_price,0.5887,35.68
585,38.2,standard_price,0.6966,32.86
586,70.7,aggressive_discount,0.6528,58.81
587,34.9,standard_price,0.727,29.11
588,85.5,aggressive_discount,0.7854,78.07
589,44.0,standard_price,0.6388,25.29
590,33.3,standard_price,0.7411,20.43
591,41.8,standard_price,0.6613,40.32
592,48.2,aggressive_discount,0.4059,39.01
593,57.3,aggressive_discount,0.5071,51.95
594,87.2,aggressive_discount,0.798,66.49
595,52.4,aggressive_discount,0.4521,38.81
596,63.9,aggressive_discount,0.5807,71.22
597,68.0,standard_price,0.3752,69.78
598,58.4,aggressive_discount,0.5195,52.69
599,88.1,aggressive_discount,0.8045,80.32
600,43.0,standard_price,0.6491,40.79
601,37.2,aggressive_discount,0.294,24.78
602,25.3,standard_price,0.804,20.43
603,44.2,aggressive_discount,0.3633,40.18
604,7.6,standard_price,0.901,0.0
605,62.1,aggressive_discount,0.5608,66.2
606,35.7,aggressive_discount,0.2802,18.13
607,62.6,standard_price,0.4336,65.8
608,56.8,aggressive_discount,0.5015,51.54
609,25.7,standard_price,0.8012,13.69
610,91.7,aggressive_discount,0.8287,76.24
611,34.3,standard_price,0.7323,24.52
612,32.7,aggressive_discount,0.2538,22.39
613,41.4,standard_price,0.6653,18.86
614,59.2,aggressive_discount,0.5285,51.78
615,28.2,aggressive_discount,0.2174,7.31
616,65.8,standard_price,0.3987,52.8
617,52.4,standard_price,0.5479,45.56
618,46.0,standard_price,0.6177,38.76
619,28.8,standard_price,0.778,8.19
620,51.7,standard_price,0.5556,55.79
621,44.3,standard_price,0.6356,26.79
622,9.1,standard_price,0.8948,0.0
623,55.9,aggressive_discount,0.4914,29.75
624,30.9,standard_price,0.7612,7.72
625,43.3,standard_price,0.646,38.29
626,32.0,standard_price,0.7521,20.3
627,42.5,standard_price,0.6542,25.71
628,40.3,standard_price,0.6762,25.16
629,41.9,standard_price,0.6603,20.03
630,40.4,standard_price,0.6752,17.2
631,35.9,aggressive_discount,0.282,18.81
632,69.6,standard_price,0.3585,65.78
633,58.3,standard_price,0.4816,58.72
634,60.1,aggressive_discount,0.5385,47.8
635,75.6,aggressive_discount,0.701,64.7
636,38.5,standard_price,0.6937,31.2
637,58.0,standard_price,0.485,34.53
638,38.4,aggressive_discount,0.3053,14.89
639,32.3,standard_price,0.7496,19.63
640,75.4,aggressive_discount,0.6991,68.36
641,32.0,standard_price,0.7521,10.86
642,98.7,aggressive_discount,0.8689,91.23
643,96.8,aggressive_discount,0.8589,78.56
644,6.0,standard_price,0.9072,0.0
645,67.6,aggressive_discount,0.6206,57.36
646,32.4,aggressive_discount,0.2512,26.46
647,60.7,standard_price,0.4547,65.0
648,53.1,standard_price,0.54,44.04
649,0.0,standard_price,0.9276,0.0
650,51.6,standard_price,0.5568,46.77
651,75.8,aggressive_discount,0.7029,71.96
652,54.4,aggressive_discount,0.4745,47.39
653,87.3,aggressive_discount,0.7987,75.27
654,35.1,aggressive_discount,0.2748,27.71
655,87.6,aggressive_discount,0.8009,75.83
656,49.3,standard_price,0.5821,22.23
657,23.4,aggressive_discount,0.1829,6.98
