session_id,user_engagement_score,arm,propensity,clicked
81,28.3,variant_a,0.7819,0
82,52.5,variant_b,0.4533,1
83,39.2,variant_a,0.687,0
84,34.5,variant_a,0.7306,0
85,49.4,variant_a,0.581,0
86,12.5,variant_a,0.8795,0
87,48.0,variant_a,0.5963,0
88,59.1,variant_b,0.5273,0
89,74.7,variant_b,0.6924,0
90,26.4,variant_a,0.7961,0
91,41.3,variant_b,0.3337,0
92,8.8,variant_a,0.896,0
93,76.4,variant_a,0.2915,0
94,45.8,variant_a,0.6199,1
95,54.3,variant_a,0.5266,0
96,19.2,variant_a,0.8437,0
97,44.5,variant_b,0.3664,0
98,37.3,variant_a,0.7051,0
99,25.1,variant_b,0.1946,0
100,25.8,variant_a,0.8004,0
101,30.3,variant_a,0.7661,0
102,31.8,variant_a,0.7538,1
103,14.0,variant_a,0.8721,0
104,75.5,variant_a,0.3,1
105,48.4,variant_a,0.5919,1
106,51.2,variant_b,0.4388,1
107,50.9,variant_a,0.5645,0
108,43.4,variant_b,0.355,0
109,46.3,variant_a,0.6146,0
110,58.5,variant_b,0.5206,1
111,42.1,variant_a,0.6582,0
112,72.8,variant_b,0.6739,0
113,43.1,variant_b,0.3519,0
114,70.4,variant_a,0.3502,1
115,29.3,variant_a,0.7741,0
116,53.1,variant_b,0.46,1
117,61.1,variant_b,0.5497,0
118,73.6,variant_b,0.6818,1
119,74.1,variant_b,0.6866,1
120,28.2,variant_a,0.7826,0
121,34.6,variant_b,0.2703,0
122,78.5,variant_b,0.7276,0
123,40.1,variant_a,0.6782,0
124,17.6,variant_a,0.853,0
125,69.6,variant_a,0.3585,1
126,59.4,variant_a,0.4693,1
127,23.8,variant_a,0.8144,0
128,36.0,variant_a,0.7171,0
129,72.9,variant_b,0.6749,1
130,38.8,variant_a,0.6908,0
131,36.6,variant_a,0.7116,0
132,39.5,variant_b,0.3159,0
133,73.3,variant_a,0.3211,0
134,14.8,variant_a,0.8681,0
135,53.9,variant_a,0.5311,1
136,48.5,variant_a,0.5909,0
137,55.2,variant_a,0.5165,0
138,60.3,variant_b,0.5408,0
139,46.6,variant_a,0.6114,0
140,57.4,variant_b,0.5082,0
141,54.6,variant_a,0.5232,0
142,73.8,variant_b,0.6837,1
143,1.9,variant_a,0.9216,0
144,43.7,variant_b,0.3581,1
145,48.6,variant_a,0.5898,1
146,20.8,variant_a,0.834,0
147,74.3,variant_b,0.6886,1
148,57.9,variant_a,0.4861,1
149,14.8,variant_b,0.1319,1
150,42.8,variant_a,0.6511,1
151,61.9,variant_b,0.5586,1
152,50.5,variant_b,0.4311,0
153,34.1,variant_a,0.7341,0
154,60.5,variant_b,0.543,0
155,55.0,variant_a,0.5187,0
156,31.1,variant_a,0.7596,1
157,44.7,variant_a,0.6315,1
158,74.6,variant_a,0.3085,1
159,72.4,variant_b,0.67,1
160,30.7,variant_a,0.7629,0
161,37.1,variant_a,0.7069,0
162,76.9,variant_a,0.2869,1
163,61.0,variant_a,0.4514,1
164,50.6,variant_a,0.5678,0
165,43.6,variant_a,0.6429,0
166,53.5,variant_a,0.5356,0
167,67.7,variant_b,0.6216,0
168,4.2,variant_a,0.9138,0
169,66.6,variant_a,0.3901,1
170,32.0,variant_b,0.2479,0
171,24.3,variant_a,0.811,0
172,37.0,variant_a,0.7079,0
173,28.6,variant_a,0.7795,0
174,30.2,variant_b,0.2331,0
175,50.8,variant_a,0.5656,1
176,41.5,variant_a,0.6643,0
177,69.2,variant_a,0.3626,1
178,19.8,variant_a,0.8401,0
179,65.4,variant_b,0.597,1
180,26.4,variant_a,0.7961,0
181,53.2,variant_b,0.4611,0
182,43.5,variant_b,0.3561,1
183,68.5,variant_b,0.6301,1
184,25.3,variant_a,0.804,0
185,51.7,variant_b,0.4444,1
186,80.7,variant_b,0.7468,1
187,75.2,variant_a,0.3028,1
188,45.1,variant_b,0.3727,1
189,65.4,variant_b,0.597,0
190,71.7,variant_a,0.337,0
191,60.7,variant_b,0.5453,0
192,74.3,variant_b,0.6886,1
193,70.4,variant_b,0.6498,1
194,6.8,variant_a,0.9041,0
195,63.5,variant_b,0.5763,0
196,100.0,variant_b,0.8754,1
197,43.8,variant_a,0.6408,1
198,45.1,variant_b,0.3727,0
199,52.1,variant_b,0.4488,1
200,35.5,variant_a,0.7216,1
201,44.7,variant_a,0.6315,0
202,49.1,variant_a,0.5843,0
203,90.6,variant_b,0.8216,1
204,46.3,variant_a,0.6146,0
205,62.3,variant_b,0.563,0
206,47.2,variant_a,0.6049,0
207,32.7,variant_a,0.7462,0
208,38.0,variant_a,0.6985,1
209,28.9,variant_a,0.7772,0
210,78.1,variant_a,0.276,1
211,46.2,variant_a,0.6156,1
212,22.2,variant_a,0.8251,1
213,50.6,variant_a,0.5678,0
214,91.7,variant_b,0.8287,1
215,56.2,variant_a,0.5052,1
216,50.2,variant_b,0.4278,1
217,56.5,variant_b,0.4981,0
218,43.1,variant_a,0.6481,0
219,30.4,variant_a,0.7653,0
220,76.8,variant_b,0.7122,1
221,0.0,variant_a,0.9276,0
222,40.2,variant_a,0.6772,0
223,32.9,variant_a,0.7445,1
224,46.5,variant_b,0.3876,1
225,36.0,variant_a,0.7171,0
226,73.1,variant_b,0.6769,1
227,81.8,variant_b,0.756,1
228,53.7,variant_a,0.5333,0
229,25.5,variant_b,0.1974,0
230,36.0,variant_a,0.7171,0
231,43.5,variant_a,0.6439,0
232,32.7,variant_a,0.7462,0
233,25.8,variant_a,0.8004,0
234,85.3,variant_a,0.2161,1
235,69.2,variant_b,0.6374,1
236,31.2,variant_a,0.7588,0
237,33.0,variant_a,0.7436,0
238,51.7,variant_b,0.4444,0
239,37.1,variant_a,0.7069,1
240,61.9,variant_b,0.5586,1
241,66.2,variant_b,0.6056,1
242,51.3,variant_b,0.4399,0
243,32.0,variant_a,0.7521,0
244,44.2,variant_b,0.3633,0
245,17.7,variant_a,0.8524,0
246,43.0,variant_a,0.6491,0
247,86.2,variant_b,0.7907,1
248,39.2,variant_a,0.687,1
249,63.8,variant_a,0.4204,0
250,74.3,variant_b,0.6886,1
251,82.3,variant_b,0.7601,1
252,23.8,variant_a,0.8144,0
253,46.2,variant_a,0.6156,0
254,39.0,variant_b,0.3111,1
255,77.3,variant_b,0.7168,1
256,71.9,variant_b,0.665,1
257,29.1,variant_a,0.7757,0
258,39.2,variant_a,0.687,1
259,57.3,variant_a,0.4929,1
260,91.2,variant_b,0.8255,1
261,42.9,variant_b,0.3499,0
262,74.6,variant_b,0.6915,1
263,33.5,variant_a,0.7393,0
264,25.7,variant_a,0.8012,0
265,66.5,variant_a,0.3911,1
266,34.6,variant_a,0.7297,0
267,19.0,variant_a,0.8449,0
268,75.1,variant_b,0.6962,1
269,62.2,variant_a,0.4381,0
270,24.5,variant_b,0.1904,0
271,67.2,variant_a,0.3837,0
272,58.7,variant_a,0.4771,0
273,61.2,variant_a,0.4492,1
274,28.8,variant_a,0.778,0
275,41.7,variant_a,0.6623,0
276,7.4,variant_a,0.9018,0
277,7.4,variant_a,0.9018,0
278,66.1,variant_a,0.3954,1
279,40.6,variant_a,0.6733,0
280,54.1,variant_b,0.4712,1
281,45.5,variant_b,0.377,0
282,39.4,variant_b,0.315,0
283,39.7,variant_a,0.6821,1
284,59.7,variant_a,0.4659,0
285,45.1,variant_a,0.6273,0
286,19.1,variant_a,0.8443,0
287,72.3,variant_b,0.669,0
288,77.7,variant_b,0.7204,1
289,65.2,variant_b,0.5948,1
290,79.5,variant_a,0.2636,0
291,53.7,variant_b,0.4667,0
292,50.4,variant_a,0.57,1
293,72.6,variant_b,0.6719,1
294,60.8,variant_a,0.4536,1
295,26.2,variant_a,0.7975,0
296,46.5,variant_b,0.3876,1
297,51.8,variant_b,0.4455,0
298,93.7,variant_a,0.1589,1
299,50.9,variant_b,0.4355,1
300,34.6,variant_a,0.7297,0
301,28.3,variant_b,0.2181,0
302,46.7,variant_a,0.6103,0
303,37.0,variant_a,0.7079,0
304,47.5,variant_a,0.6017,0
305,29.7,variant_b,0.2291,0
306,17.5,variant_a,0.8535,0
307,44.1,variant_a,0.6377,0
308,56.7,variant_b,0.5004,0
309,52.1,variant_b,0.4488,0
310,19.3,variant_a,0.8431,0
311,43.6,variant_b,0.3571,0
312,65.5,variant_b,0.5981,0
313,55.4,variant_a,0.5142,1
314,36.9,variant_b,0.2912,1
315,40.4,variant_a,0.6752,0
316,40.5,variant_a,0.6743,0
317,53.8,variant_a,0.5322,1
318,42.1,variant_a,0.6582,1
319,58.6,variant_b,0.5217,1
320,52.9,variant_a,0.5423,1
321,52.6,variant_b,0.4544,0
322,65.2,variant_b,0.5948,1
323,66.4,variant_a,0.3922,1
324,41.6,variant_a,0.6633,0
325,43.8,variant_a,0.6408,0
326,67.9,variant_a,0.3762,1
327,43.6,variant_b,0.3571,0
328,25.0,variant_b,0.1939,0
329,38.1,variant_a,0.6975,0
330,28.5,variant_b,0.2197,0
331,48.9,variant_b,0.4135,0
332,51.6,variant_a,0.5568,1
333,76.1,variant_a,0.2943,1
334,58.0,variant_a,0.485,0
335,61.6,variant_b,0.5553,1
336,79.2,variant_b,0.7338,1
337,64.6,variant_a,0.4117,1
338,32.2,variant_b,0.2496,1
339,48.0,variant_b,0.4037,0
340,36.6,variant_b,0.2884,0
341,45.7,variant_a,0.6209,1
342,73.1,variant_a,0.3231,1
343,100.0,variant_b,0.8754,1
344,65.8,variant_a,0.3987,0
345,54.5,variant_a,0.5244,1
346,35.2,variant_a,0.7243,1
347,55.0,variant_a,0.5187,0
348,80.6,variant_b,0.7459,1
349,34.2,variant_a,0.7332,0
350,58.1,variant_a,0.4839,1
351,66.1,variant_b,0.6046,1
352,68.7,variant_b,0.6322,0
353,97.1,variant_b,0.8605,1
354,50.0,variant_b,0.4256,0
355,54.8,variant_a,0.521,0
356,29.2,variant_a,0.7749,0
357,40.5,variant_a,0.6743,0
358,31.4,variant_a,0.7571,0
359,51.7,variant_a,0.5556,1
360,58.6,variant_a,0.4783,1
361,63.4,variant_b,0.5752,1
362,65.4,variant_a,0.403,1
363,39.8,variant_a,0.6811,0
364,29.8,variant_a,0.7701,1
365,29.8,variant_a,0.7701,0
366,44.0,variant_b,0.3612,1
367,41.0,variant_b,0.3307,1
368,26.2,variant_a,0.7975,0
369,57.7,variant_a,0.4884,0
370,27.9,variant_a,0.7849,0
371,47.3,variant_a,0.6038,0
372,37.9,variant_a,0.6994,0
373,56.5,variant_a,0.5019,1
374,59.5,variant_b,0.5318,0
375,31.7,variant_a,0.7546,0
376,58.1,variant_b,0.5161,1
377,89.5,variant_a,0.1858,1
378,58.9,variant_a,0.4749,1
379,28.6,variant_a,0.7795,0
380,93.4,variant_b,0.8393,1
381,31.2,variant_a,0.7588,1
382,64.2,variant_a,0.4161,1
383,28.7,variant_a,0.7788,0
384,64.6,variant_b,0.5883,1
385,47.0,variant_a,0.6071,0
386,60.3,variant_b,0.5408,0
387,54.5,variant_a,0.5244,0
388,20.4,variant_a,0.8364,0
389,18.0,variant_a,0.8507,0
390,33.2,variant_a,0.7419,0
391,67.3,variant_b,0.6174,0
392,56.2,variant_b,0.4948,1
393,73.9,variant_b,0.6847,1
394,74.2,variant_a,0.3124,1
395,83.9,variant_b,0.773,1
396,31.1,variant_a,0.7596,1
397,26.9,variant_b,0.2076,0
398,28.0,variant_a,0.7841,0
399,76.8,variant_a,0.2878,1
400,41.8,variant_b,0.3387,0
401,56.0,variant_a,0.5075,0
402,88.2,variant_b,0.8052,1
403,42.4,variant_a,0.6552,1
404,37.8,variant_a,0.7004,0
405,31.3,variant_a,0.758,0
406,69.3,variant_a,0.3616,1
407,70.5,variant_b,0.6508,0
408,52.0,variant_a,0.5523,0
409,42.7,variant_a,0.6521,0
410,47.8,variant_a,0.5984,0
411,57.7,variant_a,0.4884,1
412,71.3,variant_b,0.6589,1
413,30.4,variant_a,0.7653,0
414,34.9,variant_a,0.727,0
415,67.8,variant_b,0.6227,1
416,66.8,variant_b,0.6121,1
417,50.9,variant_b,0.4355,0
418,47.3,variant_a,0.6038,1
419,69.9,variant_a,0.3554,1
420,52.7,variant_b,0.4555,0
421,16.0,variant_a,0.8618,0
422,29.0,variant_a,0.7764,0
423,64.2,variant_a,0.4161,1
424,46.8,variant_a,0.6092,0
425,58.4,variant_b,0.5195,1
426,15.8,variant_a,0.8628,0
427,72.6,variant_b,0.6719,1
428,54.9,variant_b,0.4801,0
429,46.1,variant_a,0.6167,1
430,51.6,variant_a,0.5568,1
431,43.6,variant_b,0.3571,0
432,45.4,variant_a,0.6241,1
433,4.7,variant_a,0.912,0
434,29.6,variant_a,0.7717,0
435,71.4,variant_b,0.6599,1
436,45.6,variant_a,0.622,1
437,32.2,variant_a,0.7504,0
438,59.6,variant_b,0.533,1
439,79.6,variant_b,0.7373,1
440,49.4,variant_b,0.419,1
441,66.4,variant_a,0.3922,1
442,37.2,variant_a,0.706,0
443,14.3,variant_a,0.8706,1
444,81.0,variant_b,0.7493,1
445,35.3,variant_b,0.2766,0
446,66.0,variant_a,0.3965,0
447,70.8,variant_b,0.6538,1
448,83.4,variant_b,0.7691,1
449,39.6,variant_b,0.3169,0
450,72.1,variant_a,0.333,1
451,31.5,variant_a,0.7563,0
452,21.5,variant_a,0.8296,0
453,18.0,variant_a,0.8507,0
454,54.5,variant_b,0.4756,0
455,20.9,variant_a,0.8333,0
456,100.0,variant_b,0.8754,1
457,71.9,variant_b,0.665,1
458,71.4,variant_b,0.6599,1
459,57.6,variant_a,0.4895,0
460,68.9,variant_b,0.6343,1
461,41.7,variant_b,0.3377,0
462,29.5,variant_a,0.7725,0
463,33.8,variant_b,0.2633,0
464,62.6,variant_a,0.4336,1
465,52.1,variant_a,0.5512,0
466,58.4,variant_a,0.4805,0
467,23.6,variant_a,0.8158,0
468,66.7,variant_a,0.389,1
469,75.7,variant_a,0.2981,1
470,58.3,variant_b,0.5184,0
471,4.9,variant_a,0.9113,0
472,39.3,variant_b,0.314,0
473,50.0,variant_b,0.4256,1
474,72.0,variant_a,0.334,1
475,54.3,variant_a,0.5266,1
476,66.3,variant_b,0.6067,1
477,31.1,variant_a,0.7596,1
478,36.6,variant_a,0.7116,0
479,36.6,variant_b,0.2884,0
480,77.6,variant_a,0.2805,1
481,15.1,variant_a,0.8665,0
482,41.9,variant_b,0.3397,0
483,13.6,variant_a,0.8741,0
484,82.9,variant_a,0.235,1
485,65.0,variant_b,0.5927,1
486,34.1,variant_b,0.2659,0
487,64.7,variant_b,0.5894,0
488,64.5,variant_a,0.4128,0
489,45.3,variant_a,0.6252,0
490,56.7,variant_a,0.4996,1
491,46.0,variant_b,0.3823,1
492,46.1,variant_a,0.6167,0
493,15.5,variant_a,0.8644,0
494,31.3,variant_a,0.758,0
495,64.1,variant_a,0.4171,1
496,53.2,variant_b,0.4611,0
497,93.4,variant_b,0.8393,1
498,76.0,variant_b,0.7047,1
499,59.1,variant_a,0.4727,1
500,10.5,variant_b,0.1113,0
501,36.8,variant_b,0.2903,0
502,53.5,variant_b,0.4644,1
503,88.8,variant_b,0.8094,1
504,59.0,variant_b,0.5262,1
505,20.2,variant_a,0.8377,0
506,67.2,variant_b,0.6163,1
507,70.8,variant_b,0.6538,0
508,75.1,variant_a,0.3038,0
509,79.3,variant_b,0.7347,1
510,32.4,variant_a,0.7488,0
511,49.4,variant_a,0.581,0
512,60.1,variant_b,0.5385,0
513,68.3,variant_b,0.628,1
514,37.9,variant_a,0.6994,0
515,70.0,variant_b,0.6457,0
516,67.3,variant_a,0.3826,0
517,4.6,variant_a,0.9124,0
518,63.2,variant_a,0.427,1
519,55.6,variant_a,0.512,0
520,37.9,variant_b,0.3006,0
521,41.4,variant_a,0.6653,0
522,59.8,variant_b,0.5352,1
523,84.2,variant_b,0.7754,1
524,60.9,variant_a,0.4525,0
525,19.1,variant_a,0.8443,0
526,41.4,variant_b,0.3347,1
527,51.0,variant_b,0.4366,0
528,0.6,variant_a,0.9257,0
529,50.2,variant_a,0.5722,1
530,35.8,variant_a,0.7189,0
531,40.3,variant_b,0.3238,0
532,25.4,variant_a,0.8033,0
533,56.5,variant_b,0.4981,1
534,27.5,variant_a,0.7879,0
535,26.7,variant_a,0.7939,0
536,50.9,variant_a,0.5645,0
537,65.6,variant_a,0.4008,1
538,37.7,variant_b,0.2987,0
539,41.8,variant_b,0.3387,0
540,64.4,variant_a,0.4139,1
541,58.2,variant_a,0.4828,0
542,50.8,variant_a,0.5656,0
543,71.1,variant_a,0.3431,1
544,65.9,variant_a,0.3976,0
545,28.3,variant_a,0.7819,0
546,27.2,variant_a,0.7902,0
547,85.1,variant_b,0.7824,1
548,33.2,variant_b,0.2581,0
549,10.4,variant_b,0.1109,0
550,41.2,variant_a,0.6673,0
551,50.5,variant_b,0.4311,0
552,65.7,variant_a,0.3998,1
553,86.8,variant_b,0.7951,1
554,47.5,variant_a,0.6017,0
555,7.8,variant_b,0.0998,0
556,35.1,variant_a,0.7252,1
557,60.4,variant_b,0.5419,1
558,77.9,variant_a,0.2778,1
559,43.8,variant_a,0.6408,0
560,31.1,variant_a,0.7596,0
561,40.1,variant_a,0.6782,0
562,19.7,variant_a,0.8407,0
563,26.1,variant_b,0.2017,0
564,94.9,variant_a,0.1518,1
565,82.1,variant_b,0.7585,1
566,36.6,variant_b,0.2884,0
567,24.2,variant_a,0.8117,0
568,65.9,variant_b,0.6024,1
569,63.0,variant_a,0.4292,0
570,59.3,variant_b,0.5296,0
571,10.5,variant_b,0.1113,0
572,47.2,variant_a,0.6049,0
573,32.0,variant_b,0.2479,0
574,71.3,variant_b,0.6589,0
575,0.0,variant_a,0.9276,0
576,65.3,variant_a,0.4041,1
577,36.5,variant_a,0.7125,0
578,67.7,variant_a,0.3784,1
579,39.0,variant_a,0.6889,0
580,73.1,variant_a,0.3231,1
581,42.9,variant_a,0.6501,0
582,36.2,variant_a,0.7152,0
583,38.7,variant_a,0.6918,1
584,78.0,variant_b,0.7231,1
585,33.1,variant_a,0.7428,0
586,55.5,variant_a,0.5131,0
587,66.6,variant_a,0.3901,1
588,27.4,variant_b,0.2113,0
589,50.9,variant_a,0.5645,0
590,44.3,variant_a,0.6356,0
591,79.9,variant_b,0.7399,1
592,37.3,variant_a,0.7051,0
593,59.2,variant_a,0.4715,1
594,26.1,variant_a,0.7983,0
595,20.1,variant_a,0.8383,1
596,61.4,variant_b,0.553,1
597,65.2,variant_b,0.5948,0
598,63.6,variant_b,0.5774,0
599,0.0,variant_a,0.9276,0
600,81.3,variant_b,0.7518,1
601,58.4,variant_b,0.5195,1
602,57.2,variant_a,0.494,1
603,94.6,variant_b,0.8464,1
604,67.7,variant_b,0.6216,1
605,53.3,variant_b,0.4622,1
606,28.7,variant_a,0.7788,0
607,47.3,variant_a,0.6038,0
608,68.5,variant_a,0.3699,0
609,8.1,variant_a,0.8989,0
610,56.8,variant_b,0.5015,1
611,39.6,variant_a,0.6831,1
612,36.0,variant_a,0.7171,0
613,70.3,variant_a,0.3513,1
614,46.6,variant_b,0.3886,0
615,19.0,variant_a,0.8449,0
616,31.6,variant_a,0.7555,0
617,59.5,variant_b,0.5318,0
618,63.1,variant_b,0.5719,1
619,12.8,variant_a,0.878,0
620,32.0,variant_a,0.7521,0
621,56.0,variant_a,0.5075,0
622,77.1,variant_b,0.7149,1
623,61.8,variant_a,0.4425,0
624,36.2,variant_a,0.7152,0
625,64.4,variant_b,0.5861,0
626,31.4,variant_a,0.7571,0
627,55.5,variant_b,0.4869,0
628,47.4,variant_a,0.6028,0
629,72.7,variant_b,0.6729,0
630,76.6,variant_b,0.7103,0
631,80.7,variant_b,0.7468,0
632,55.0,variant_b,0.4813,0
633,49.8,variant_b,0.4234,1
634,57.8,variant_a,0.4873,1
635,97.1,variant_b,0.8605,1
636,53.5,variant_b,0.4644,1
637,57.4,variant_a,0.4918,0
638,51.4,variant_a,0.559,1
639,29.6,variant_a,0.7717,0
640,68.2,variant_a,0.3731,1
641,63.9,variant_b,0.5807,0
642,53.9,variant_b,0.4689,0
643,39.7,variant_b,0.3179,0
644,43.1,variant_b,0.3519,0
645,41.6,variant_a,0.6633,0
646,19.2,variant_a,0.8437,0
647,40.8,variant_a,0.6713,1
648,72.4,variant_a,0.33,1
649,61.3,variant_b,0.5519,0
650,43.8,variant_a,0.6408,1
651,66.0,variant_a,0.3965,0
652,45.2,variant_a,0.6262,0
653,38.2,variant_a,0.6966,0
654,51.5,variant_b,0.4421,1
655,57.3,variant_b,0.5071,1
656,87.6,variant_b,0.8009,1
657,52.8,variant_b,0.4566,1
658,51.5,variant_a,0.5579,1
659,62.4,variant_b,0.5641,1
660,23.9,variant_a,0.8137,1
661,77.5,variant_a,0.2814,0
662,86.5,variant_a,0.2071,1
663,47.7,variant_b,0.4005,0
664,39.8,variant_a,0.6811,0
665,54.1,variant_a,0.5288,0
666,57.9,variant_a,0.4861,0
667,36.2,variant_b,0.2848,0
668,18.3,variant_a,0.849,0
669,49.0,variant_a,0.5854,0
670,37.1,variant_a,0.7069,1
671,79.3,variant_a,0.2653,1
672,47.9,variant_a,0.5974,0
673,50.6,variant_a,0.5678,0
674,52.9,variant_a,0.5423,1
675,28.8,variant_b,0.222,0
676,32.1,variant_a,0.7513,0
677,89.1,variant_b,0.8115,1
678,77.9,variant_b,0.7222,1
679,26.5,variant_a,0.7954,0
680,57.3,variant_a,0.4929,1
681,44.3,variant_a,0.6356,1
682,66.2,variant_b,0.6056,0
683,69.9,variant_b,0.6446,1
684,41.3,variant_b,0.3337,0
685,70.2,variant_b,0.6477,1
686,40.0,variant_a,0.6792,0
687,57.9,variant_a,0.4861,1
688,83.2,variant_b,0.7675,1
689,62.8,variant_a,0.4314,1
690,54.7,variant_a,0.5221,0
691,79.8,variant_b,0.739,1
692,38.4,variant_a,0.6947,0
693,63.0,variant_a,0.4292,1
694,45.8,variant_a,0.6199,0
695,18.6,variant_b,0.1528,0
696,48.2,variant_a,0.5941,0
697,58.5,variant_b,0.5206,0
698,9.4,variant_b,0.1065,0
699,10.6,variant_a,0.8883,0
700,47.0,variant_b,0.3929,1
701,50.1,variant_a,0.5733,0
702,47.2,variant_b,0.3951,1
703,83.8,variant_a,0.2278,1
704,100.0,variant_b,0.8754,1
705,44.5,variant_b,0.3664,0
706,55.7,variant_a,0.5109,0
707,37.6,variant_b,0.2978,0
708,72.5,variant_a,0.329,0
709,9.6,variant_a,0.8926,0
710,73.0,variant_b,0.6759,1
711,13.2,variant_a,0.8761,0
712,56.9,variant_a,0.4974,0
713,59.0,variant_a,0.4738,0
714,29.4,variant_a,0.7733,1
715,53.7,variant_a,0.5333,1
716,80.3,variant_b,0.7434,0
717,48.7,variant_a,0.5887,1
718,55.2,variant_a,0.5165,1
719,26.1,variant_a,0.7983,0
720,42.6,variant_a,0.6532,0
721,17.9,variant_a,0.8513,0
722,79.0,variant_b,0.732,1
723,44.8,variant_a,0.6304,0
724,70.8,variant_b,0.6538,1
725,69.5,variant_b,0.6405,0
726,42.5,variant_a,0.6542,0
727,62.0,variant_b,0.5597,1
728,71.7,variant_b,0.663,0
729,77.3,variant_b,0.7168,0
730,0.0,variant_a,0.9276,0
731,80.6,variant_a,0.2541,1
732,78.1,variant_b,0.724,1
733,55.2,variant_a,0.5165,1
734,47.3,variant_b,0.3962,0
735,53.2,variant_b,0.4611,1
736,67.4,variant_a,0.3815,1
737,11.2,variant_a,0.8855,0
738,86.3,variant_a,0.2086,1
739,25.6,variant_a,0.8019,0
740,97.3,variant_b,0.8616,1
741,59.2,variant_a,0.4715,0
742,72.8,variant_a,0.3261,0
743,56.9,variant_a,0.4974,1
744,41.1,variant_a,0.6683,0
745,23.4,variant_a,0.8171,0
746,37.0,variant_b,0.2921,0
747,69.0,variant_a,0.3647,1
748,42.4,variant_a,0.6552,0
749,49.3,variant_b,0.4179,0
750,47.7,variant_a,0.5995,0
751,33.6,variant_b,0.2615,0
752,40.0,variant_a,0.6792,0
753,79.7,variant_b,0.7382,1
754,79.6,variant_a,0.2627,0
755,100.0,variant_b,0.8754,1
756,32.5,variant_a,0.7479,0
757,28.3,variant_a,0.7819,0
758,53.4,variant_b,0.4633,1
759,20.9,variant_a,0.8333,0
760,57.5,variant_b,0.5094,0
761,84.3,variant_b,0.7762,0
762,58.2,variant_a,0.4828,1
763,43.8,variant_a,0.6408,0
764,12.3,variant_a,0.8804,0
765,49.8,variant_b,0.4234,0
766,29.2,variant_a,0.7749,1
767,58.1,variant_a,0.4839,0
768,54.3,variant_b,0.4734,1
769,5.9,variant_b,0.0924,0
770,22.4,variant_a,0.8238,0
771,30.5,variant_b,0.2355,0
772,55.0,variant_a,0.5187,0
773,66.5,variant_b,0.6089,1
774,24.3,variant_a,0.811,0
775,38.2,variant_b,0.3034,0
776,59.1,variant_b,0.5273,1
777,17.2,variant_b,0.1448,0
778,30.9,variant_b,0.2388,0
779,34.4,variant_a,0.7315,1
