ticket_id,urgency_score,complexity_score,cluster_run1,cluster_run2
704,48.7,63.2,2,3
705,45.3,0.0,1,1
706,79.8,93.6,0,0
707,66.3,15.1,1,1
708,55.7,63.9,0,3
709,46.2,47.4,2,2
710,47.1,31.7,1,1
711,73.9,70.3,3,3
712,58.4,63.7,0,3
713,11.4,36.7,2,2
714,93.3,66.2,3,0
715,29.8,16.4,1,1
716,47.0,14.7,1,1
717,64.0,0.1,1,1
718,52.4,23.5,1,1
719,66.8,100.0,0,0
720,21.5,43.4,2,2
721,82.5,98.9,0,0
722,47.3,36.4,1,1
723,54.4,78.3,0,3
724,100.0,96.1,3,0
725,25.2,55.5,2,2
726,70.2,69.1,3,3
727,32.0,46.1,2,2
728,70.9,84.0,0,0
729,39.1,27.5,1,1
730,36.9,16.3,1,1
731,49.4,23.3,1,1
732,86.0,62.1,3,3
733,33.9,0.1,1,1
734,83.3,100.0,0,0
735,40.4,39.7,2,2
736,27.0,21.0,2,1
737,84.2,57.9,3,3
738,21.6,56.3,2,2
739,43.6,53.3,2,2
740,73.0,53.6,3,3
741,41.4,37.9,2,2
742,58.0,2.1,1,1
743,63.6,100.0,0,0
744,81.1,84.5,0,0
745,49.4,26.5,1,1
746,71.2,71.9,0,3
747,20.7,28.4,2,2
748,59.2,68.9,0,3
749,64.0,65.1,0,3
750,52.7,50.6,1,3
751,54.2,68.0,0,3
752,84.7,59.3,3,3
753,80.2,71.8,3,0
754,80.3,67.1,3,3
755,40.0,16.5,1,1
756,21.9,55.0,2,2
757,33.7,19.3,1,1
758,74.2,89.5,0,0
759,41.3,18.3,1,1
760,32.9,22.4,1,1
761,51.5,41.8,1,1
762,46.1,100.0,0,0
763,27.2,0.4,1,1
764,55.8,37.7,1,1
765,66.4,56.8,3,3
766,42.8,31.2,1,1
767,67.6,86.6,0,0
768,77.2,73.1,3,0
769,26.1,36.4,2,2
770,77.5,66.7,3,3
771,87.8,77.6,3,0
772,58.8,84.5,0,0
773,79.6,86.1,0,0
774,4.7,33.9,2,2
775,51.8,18.1,1,1
776,51.8,50.5,1,3
777,47.1,78.7,0,3
778,86.5,55.0,3,3
779,43.4,36.1,1,1
780,100.0,90.0,3,0
781,55.0,25.1,1,1
782,86.9,60.1,3,3
783,60.9,84.6,0,0
784,16.6,18.0,2,1
785,67.5,75.1,0,0
786,36.3,18.2,1,1
787,73.3,85.9,0,0
788,48.3,28.1,1,1
789,73.4,78.5,0,0
790,48.2,58.8,2,3
791,36.7,56.2,2,2
792,91.3,66.6,3,0
793,68.4,63.1,3,3
794,73.0,85.8,0,0
795,22.8,38.0,2,2
796,83.4,100.0,0,0
797,86.1,88.3,0,0
798,34.8,22.2,1,1
799,57.9,95.9,0,0
800,47.0,60.3,2,2
801,95.3,72.9,3,0
802,29.6,23.9,2,1
803,55.4,67.4,0,3
804,100.0,96.3,3,0
805,57.0,59.1,0,3
806,58.2,51.6,1,3
807,77.5,100.0,0,0
808,84.4,89.1,0,0
809,39.4,47.9,2,2
810,74.4,46.5,3,3
811,44.6,33.7,1,1
812,47.0,9.1,1,1
813,60.2,29.4,1,1
814,49.5,100.0,0,0
815,44.4,71.9,2,2
816,50.4,37.8,1,1
817,30.5,52.2,2,2
818,60.0,47.2,1,3
819,37.8,44.3,2,2
820,67.2,36.6,1,3
821,56.2,58.5,2,3
822,70.6,92.6,0,0
823,5.5,51.1,2,2
824,62.4,80.0,0,0
825,52.2,100.0,0,0
826,41.7,52.4,2,2
827,83.0,54.3,3,3
828,97.7,96.1,0,0
829,84.1,46.1,3,3
830,37.3,21.8,1,1
831,69.8,46.1,3,3
832,43.9,33.8,1,1
833,67.5,73.4,0,3
834,82.1,45.3,3,3
835,64.9,63.9,3,3
836,74.8,63.1,3,3
837,68.6,85.1,0,0
838,100.0,80.4,3,0
839,71.5,87.8,0,0
840,35.7,27.6,1,1
841,12.4,28.1,2,2
842,39.1,9.1,1,1
843,71.6,58.9,3,3
844,91.0,100.0,0,0
845,100.0,84.8,3,0
846,100.0,57.1,3,0
847,48.8,51.3,2,2
848,54.7,35.5,1,1
849,58.5,74.1,0,3
850,55.7,100.0,0,0
851,84.9,90.3,0,0
852,60.8,94.5,0,0
853,27.1,37.4,2,2
854,77.2,77.6,0,0
855,46.9,21.3,1,1
856,62.4,91.9,0,0
857,88.1,98.4,0,0
858,88.7,100.0,0,0
859,100.0,88.3,3,0
860,79.9,59.8,3,3
861,85.8,73.3,3,0
862,21.5,40.6,2,2
863,34.6,29.6,2,1
864,80.3,59.0,3,3
865,74.3,92.5,0,0
866,74.0,69.2,3,3
867,23.3,37.9,2,2
868,47.5,67.1,2,3
869,21.8,29.8,2,2
870,58.5,13.1,1,1
871,61.4,15.9,1,1
872,92.5,89.6,3,0
873,80.1,77.8,3,0
874,54.1,100.0,0,0
875,70.5,62.4,3,3
876,48.7,38.2,1,1
877,49.3,4.1,1,1
878,25.6,27.8,2,2
879,25.8,53.2,2,2
880,72.2,85.4,0,0
881,84.0,89.5,0,0
882,81.5,78.5,3,0
883,27.6,36.0,2,2
884,50.7,46.6,1,2
885,86.2,80.7,3,0
886,45.5,16.5,1,1
887,75.5,85.8,0,0
888,66.4,89.0,0,0
889,37.3,19.0,1,1
890,72.9,23.2,1,3
891,64.3,92.8,0,0
892,74.6,92.8,0,0
893,63.1,75.5,0,3
894,51.8,51.1,1,3
895,83.5,71.7,3,0
896,64.8,83.8,0,0
897,47.2,10.8,1,1
898,60.3,13.5,1,1
899,87.4,67.1,3,0
900,64.8,79.2,0,0
901,27.3,47.4,2,2
902,69.2,79.5,0,0
903,100.0,67.3,3,0
904,69.9,97.6,0,0
905,42.4,37.4,1,2
906,37.7,49.6,2,2
907,49.5,53.7,2,3
908,1.9,39.8,2,2
909,100.0,57.7,3,0
910,46.1,48.2,2,2
911,96.4,61.6,3,0
912,43.2,35.5,1,1
913,22.3,3.5,1,1
914,37.2,53.0,2,2
915,85.4,83.8,3,0
916,30.8,46.1,2,2
917,48.5,44.7,1,2
918,78.8,67.5,3,3
919,38.2,5.0,1,1
920,69.0,55.5,3,3
921,60.4,30.5,1,1
922,82.3,100.0,0,0
923,31.7,23.8,2,1
924,28.0,8.9,1,1
925,52.7,100.0,0,0
926,56.6,71.6,0,3
927,51.8,40.7,1,1
928,81.4,95.6,0,0
929,56.6,32.5,1,1
930,18.1,22.6,2,1
931,49.4,51.0,2,2
932,60.6,86.0,0,0
933,80.8,73.5,3,0
934,68.3,73.6,0,3
935,14.6,34.9,2,2
936,36.3,29.5,1,1
937,80.1,100.0,0,0
938,57.4,17.1,1,1
939,84.1,72.7,3,0
940,43.4,47.7,2,2
941,36.5,27.5,1,1
942,14.4,36.3,2,2
943,76.7,67.9,3,3
944,68.7,36.8,1,3
945,43.4,39.4,1,2
946,69.0,43.2,1,3
947,68.6,60.2,3,3
948,61.7,97.2,0,0
949,51.4,44.1,1,3
950,98.1,100.0,0,0
951,17.9,37.9,2,2
952,44.4,70.2,2,2
953,54.4,61.3,0,3
954,44.6,52.6,2,2
955,32.1,34.5,2,2
956,91.4,75.3,3,0
957,37.7,58.0,2,2
958,68.0,15.1,1,1
959,44.9,36.3,1,1
960,31.5,61.4,2,2
961,87.5,71.5,3,0
962,87.4,65.0,3,0
963,47.9,39.7,1,1
964,80.0,85.1,0,0
965,75.2,85.6,0,0
966,54.8,12.6,1,1
967,100.0,77.5,3,0
968,72.2,81.4,0,0
969,38.2,18.9,1,1
970,44.9,26.0,1,1
971,24.2,74.8,2,2
972,41.9,60.1,2,2
973,48.1,34.5,1,1
974,85.8,74.8,3,0
975,50.6,3.2,1,1
976,42.5,17.3,1,1
977,77.3,55.5,3,3
978,31.9,56.7,2,2
979,49.6,15.2,1,1
980,59.8,84.9,0,0
981,65.1,97.5,0,0
982,29.3,28.0,2,1
983,19.6,59.8,2,2
984,100.0,75.3,3,0
985,43.8,23.0,1,1
986,51.3,24.4,1,1
987,61.9,100.0,0,0
988,56.8,44.3,1,3
989,46.4,37.1,1,1
990,77.9,91.0,0,0
991,96.3,92.5,3,0
992,100.0,81.1,3,0
993,63.9,10.7,1,1
994,62.7,81.7,0,0
995,64.4,65.3,3,3
