account_id,plan,active_days_per_week,features_used,seat_count,naive_cluster,honest_cluster
366,team,5.4,12.0,77.0,0,1
367,starter,2.0,3.0,73.0,0,0
368,starter,5.7,10.0,255.0,1,2
369,business,7.0,11.0,43.0,0,1
370,starter,0.8,5.0,4.0,3,0
371,team,1.7,5.0,5.0,3,0
372,starter,2.2,2.0,107.0,0,0
373,starter,4.7,11.0,34.0,3,1
374,starter,4.0,11.0,8.0,3,1
375,starter,1.0,2.0,19.0,3,0
376,team,6.3,11.0,17.0,3,1
377,starter,1.3,1.0,99.0,0,0
378,starter,5.8,9.0,79.0,0,1
379,business,0.8,4.0,8.0,3,0
380,team,5.7,12.0,46.0,0,1
381,business,0.9,2.0,83.0,0,0
382,starter,0.7,8.0,14.0,3,0
383,starter,5.3,11.0,26.0,3,1
384,team,1.7,5.0,8.0,3,0
385,starter,3.1,4.0,50.0,0,0
386,business,0.0,2.0,5.0,3,0
387,starter,5.7,13.0,21.0,3,1
388,starter,6.9,13.0,28.0,3,1
389,starter,6.6,11.0,21.0,3,1
390,team,4.8,12.0,53.0,0,1
391,team,4.5,17.0,34.0,3,1
392,starter,4.7,9.0,61.0,0,1
393,team,5.5,11.0,103.0,0,1
394,starter,5.4,12.0,105.0,0,1
395,business,2.0,3.0,432.0,1,2
396,starter,2.2,1.0,14.0,3,0
397,team,4.1,10.0,121.0,2,1
398,business,0.4,3.0,11.0,3,0
399,starter,3.9,10.0,16.0,3,1
400,starter,3.8,11.0,15.0,3,1
401,starter,1.5,7.0,47.0,0,0
402,business,5.5,12.0,16.0,3,1
403,starter,4.2,2.0,15.0,3,0
404,team,5.7,13.0,24.0,3,1
405,team,1.6,4.0,22.0,3,0
406,starter,6.7,9.0,281.0,1,2
407,starter,4.4,10.0,30.0,3,1
408,team,5.5,9.0,21.0,3,1
409,starter,2.6,4.0,26.0,3,0
410,starter,6.0,13.0,13.0,3,1
411,starter,5.6,11.0,12.0,3,1
412,business,4.8,14.0,33.0,3,1
413,team,3.9,10.0,59.0,0,1
414,starter,1.4,2.0,15.0,3,0
415,business,1.0,3.0,14.0,3,0
416,team,5.9,11.0,87.0,0,1
417,starter,5.1,15.0,5.0,3,1
418,starter,2.2,1.0,6.0,3,0
419,starter,3.5,12.0,30.0,3,1
420,team,2.6,3.0,228.0,2,2
421,starter,4.3,14.0,20.0,3,1
422,starter,3.6,8.0,170.0,2,1
423,starter,0.2,0.0,22.0,3,0
424,starter,4.6,15.0,3.0,3,1
425,team,2.8,6.0,142.0,2,0
426,starter,5.9,13.0,76.0,0,1
427,team,0.4,3.0,13.0,3,0
428,team,1.7,5.0,15.0,3,0
429,business,5.1,11.0,129.0,2,1
430,starter,3.6,9.0,32.0,3,1
431,team,4.2,11.0,99.0,0,1
432,starter,0.0,2.0,61.0,0,0
433,team,4.3,9.0,23.0,3,1
434,team,2.5,10.0,23.0,3,1
435,starter,4.4,10.0,79.0,0,1
436,starter,0.6,4.0,269.0,1,2
437,starter,0.8,5.0,33.0,3,0
438,starter,4.4,14.0,7.0,3,1
439,team,6.4,13.0,42.0,0,1
440,starter,1.2,1.0,6.0,3,0
441,team,5.4,12.0,31.0,3,1
442,starter,2.4,5.0,38.0,3,0
443,starter,2.5,4.0,16.0,3,0
444,starter,5.9,9.0,16.0,3,1
445,business,1.0,0.0,14.0,3,0
446,business,0.5,3.0,41.0,3,0
447,starter,4.4,9.0,58.0,0,1
448,starter,4.7,13.0,29.0,3,1
449,team,5.2,8.0,20.0,3,1
450,starter,5.1,12.0,5.0,3,1
451,starter,2.7,2.0,3.0,3,0
452,team,5.1,8.0,22.0,3,1
453,team,7.0,10.0,70.0,0,1
454,starter,6.3,11.0,4.0,3,1
455,starter,4.7,13.0,38.0,3,1
456,team,2.5,5.0,32.0,3,0
457,business,2.3,14.0,71.0,0,1
458,starter,3.0,5.0,69.0,0,0
459,starter,5.6,10.0,32.0,3,1
460,starter,2.0,2.0,148.0,2,0
461,team,0.0,3.0,31.0,3,0
462,starter,7.0,10.0,7.0,3,1
463,business,4.9,7.0,23.0,3,1
464,team,1.5,0.0,26.0,3,0
465,team,6.4,13.0,93.0,0,1
466,starter,1.4,3.0,31.0,3,0
467,starter,4.3,15.0,40.0,3,1
468,business,5.9,10.0,9.0,3,1
469,starter,0.6,5.0,17.0,3,0
470,starter,6.0,11.0,54.0,0,1
471,team,1.7,4.0,4.0,3,0
472,starter,2.8,3.0,54.0,0,0
473,team,4.0,13.0,60.0,0,1
474,starter,6.5,12.0,16.0,3,1
475,business,5.5,10.0,51.0,0,1
476,starter,7.0,11.0,78.0,0,1
477,starter,4.5,11.0,74.0,0,1
478,starter,7.0,11.0,96.0,0,1
479,starter,2.3,4.0,12.0,3,0
480,starter,2.4,2.0,16.0,3,0
481,starter,0.9,2.0,8.0,3,0
482,team,2.2,3.0,3.0,3,0
483,business,2.3,0.0,53.0,0,0
484,starter,4.4,12.0,43.0,0,1
485,team,0.4,4.0,6.0,3,0
486,team,0.8,0.0,52.0,0,0
487,starter,3.1,1.0,43.0,0,0
488,starter,5.4,11.0,20.0,3,1
489,team,6.2,6.0,1.0,3,1
490,starter,5.5,12.0,24.0,3,1
491,team,1.7,5.0,16.0,3,0
492,business,1.8,4.0,65.0,0,0
493,business,4.8,13.0,27.0,3,1
494,starter,2.8,3.0,12.0,3,0
495,team,5.4,13.0,63.0,0,1
496,team,1.8,5.0,62.0,0,0
497,team,3.8,11.0,124.0,2,1
498,starter,1.9,3.0,66.0,0,0
499,starter,0.9,0.0,5.0,3,0
500,starter,1.1,0.0,19.0,3,0
501,team,2.7,5.0,43.0,0,0
502,team,4.1,13.0,6.0,3,1
503,starter,5.0,9.0,11.0,3,1
504,starter,2.2,0.0,8.0,3,0
505,business,6.4,7.0,48.0,0,1
506,business,1.1,6.0,7.0,3,0
507,team,1.9,4.0,82.0,0,0
508,starter,5.5,15.0,55.0,0,1
509,team,0.4,6.0,96.0,0,0
510,starter,0.0,7.0,23.0,3,0
511,team,3.2,13.0,62.0,0,1
512,starter,5.8,10.0,10.0,3,1
513,starter,1.7,2.0,11.0,3,0
514,team,3.8,13.0,44.0,0,1
515,starter,4.5,8.0,34.0,3,1
516,starter,1.2,4.0,54.0,0,0
517,starter,1.2,2.0,43.0,0,0
518,business,5.2,14.0,43.0,0,1
519,starter,3.9,2.0,2.0,3,0
520,starter,4.4,9.0,180.0,2,1
521,starter,1.7,5.0,10.0,3,0
522,team,4.4,4.0,93.0,0,0
523,team,1.0,5.0,8.0,3,0
524,starter,0.7,4.0,60.0,0,0
525,starter,5.0,10.0,86.0,0,1
526,starter,4.6,12.0,19.0,3,1
527,starter,2.0,2.0,16.0,3,0
528,starter,5.4,12.0,8.0,3,1
529,business,0.7,3.0,14.0,3,0
530,starter,3.6,5.0,20.0,3,0
531,starter,0.4,1.0,11.0,3,0
532,team,2.0,2.0,7.0,3,0
533,starter,3.8,7.0,2.0,3,1
534,team,4.5,12.0,16.0,3,1
535,team,6.6,11.0,32.0,3,1
536,starter,3.0,1.0,139.0,2,0
537,team,1.9,2.0,8.0,3,0
538,starter,0.0,4.0,5.0,3,0
539,business,6.7,8.0,27.0,3,1
540,team,1.7,3.0,23.0,3,0
541,starter,4.6,10.0,149.0,2,1
542,team,6.5,7.0,91.0,0,1
543,business,4.5,11.0,40.0,3,1
544,starter,6.3,14.0,42.0,0,1
545,team,4.6,10.0,30.0,3,1
546,starter,2.1,3.0,48.0,0,0
547,business,0.5,4.0,98.0,0,0
548,team,1.2,2.0,1.0,3,0
549,business,0.7,0.0,16.0,3,0
550,starter,0.9,3.0,62.0,0,0
551,starter,1.8,2.0,7.0,3,0
552,team,5.0,10.0,5.0,3,1
553,team,1.8,6.0,48.0,0,0
554,starter,2.9,3.0,7.0,3,0
555,starter,1.5,1.0,12.0,3,0
556,starter,0.0,1.0,33.0,3,0
557,starter,4.9,15.0,130.0,2,1
558,starter,1.7,5.0,6.0,3,0
559,starter,2.6,0.0,59.0,0,0
560,starter,2.7,4.0,23.0,3,0
561,starter,2.6,2.0,10.0,3,0
562,team,1.4,2.0,37.0,3,0
563,starter,2.3,5.0,14.0,3,0
564,team,0.1,5.0,19.0,3,0
565,business,2.9,1.0,243.0,1,2
566,team,5.6,11.0,46.0,0,1
567,team,2.1,4.0,33.0,3,0
568,business,4.8,11.0,102.0,0,1
569,business,1.7,4.0,3.0,3,0
570,starter,0.9,1.0,126.0,2,0
571,starter,5.8,14.0,46.0,0,1
572,business,0.2,6.0,28.0,3,0
573,starter,6.2,10.0,12.0,3,1
574,starter,5.8,8.0,80.0,0,1
575,starter,7.0,10.0,18.0,3,1
576,starter,1.6,5.0,11.0,3,0
577,team,5.1,11.0,6.0,3,1
578,starter,5.4,11.0,115.0,2,1
579,business,5.2,11.0,13.0,3,1
580,team,1.5,0.0,14.0,3,0
581,starter,4.1,11.0,46.0,0,1
582,team,4.1,11.0,56.0,0,1
583,starter,1.0,2.0,135.0,2,0
584,business,1.3,5.0,13.0,3,0
585,team,0.4,2.0,6.0,3,0
586,business,4.0,10.0,19.0,3,1
587,starter,4.9,13.0,11.0,3,1
588,starter,6.0,12.0,13.0,3,1
589,starter,5.0,11.0,10.0,3,1
590,starter,5.9,12.0,45.0,0,1
591,team,6.2,12.0,81.0,0,1
592,starter,6.0,12.0,56.0,0,1
593,starter,4.8,9.0,3.0,3,1
594,starter,4.8,13.0,4.0,3,1
595,team,0.0,7.0,77.0,0,0
596,team,4.5,12.0,6.0,3,1
597,team,2.1,2.0,63.0,0,0
598,team,4.1,14.0,11.0,3,1
599,business,6.6,12.0,20.0,3,1
600,team,3.1,1.0,377.0,1,2
601,business,4.8,11.0,57.0,0,1
602,starter,6.1,10.0,19.0,3,1
603,team,0.2,5.0,205.0,2,0
604,starter,0.5,0.0,15.0,3,0
605,team,1.2,6.0,12.0,3,0
606,starter,1.6,2.0,42.0,0,0
607,team,1.4,4.0,115.0,2,0
608,starter,0.7,2.0,51.0,0,0
609,starter,7.0,12.0,194.0,2,1
610,team,1.9,6.0,104.0,0,0
611,starter,5.5,12.0,126.0,2,1
612,starter,5.9,8.0,41.0,3,1
613,starter,5.4,10.0,21.0,3,1
614,team,1.4,3.0,11.0,3,0
615,business,1.0,7.0,22.0,3,0
616,team,3.5,10.0,16.0,3,1
617,business,3.1,2.0,18.0,3,0
618,business,0.7,1.0,4.0,3,0
619,business,3.5,11.0,4.0,3,1
620,business,4.4,12.0,541.0,4,2
621,team,0.0,1.0,141.0,2,0
622,starter,3.6,6.0,28.0,3,0
623,starter,5.6,14.0,86.0,0,1
624,team,3.0,5.0,58.0,0,0
625,team,6.7,12.0,28.0,3,1
626,starter,2.2,8.0,7.0,3,0
627,team,5.8,9.0,105.0,0,1
628,team,0.9,2.0,44.0,0,0
629,starter,5.1,16.0,9.0,3,1
630,team,1.0,0.0,51.0,0,0
631,starter,5.2,12.0,24.0,3,1
632,starter,4.5,11.0,330.0,1,2
633,team,2.9,1.0,2.0,3,0
634,team,2.4,1.0,42.0,0,0
635,team,5.1,11.0,11.0,3,1
636,starter,3.5,12.0,30.0,3,1
637,team,2.3,4.0,3.0,3,0
638,team,6.1,12.0,38.0,3,1
639,business,1.5,3.0,20.0,3,0
640,starter,3.9,11.0,5.0,3,1
641,starter,2.0,4.0,37.0,3,0
642,starter,6.3,10.0,35.0,3,1
643,starter,3.2,8.0,9.0,3,1
644,starter,5.8,13.0,98.0,0,1
645,starter,0.0,0.0,19.0,3,0
646,team,5.3,12.0,31.0,3,1
647,starter,7.0,14.0,104.0,0,1
648,starter,1.7,0.0,5.0,3,0
649,team,2.1,0.0,27.0,3,0
650,business,4.9,9.0,66.0,0,1
651,starter,5.2,12.0,6.0,3,1
652,starter,4.0,1.0,150.0,2,0
653,team,6.6,13.0,62.0,0,1
654,starter,1.3,4.0,9.0,3,0
655,starter,1.2,1.0,126.0,2,0
656,starter,5.2,13.0,21.0,3,1
657,business,3.8,0.0,13.0,3,0
658,starter,1.8,2.0,8.0,3,0
659,starter,2.7,3.0,47.0,0,0
660,starter,1.2,6.0,21.0,3,0
661,starter,0.3,5.0,32.0,3,0
662,business,2.9,6.0,34.0,3,0
663,business,1.5,0.0,18.0,3,0
664,team,0.8,10.0,24.0,3,0
665,team,0.9,1.0,19.0,3,0
666,team,0.9,4.0,47.0,0,0
667,starter,4.6,14.0,45.0,0,1
668,business,3.6,12.0,10.0,3,1
669,starter,2.8,6.0,14.0,3,0
670,starter,5.6,8.0,10.0,3,1
671,team,6.2,8.0,35.0,3,1
672,starter,1.2,2.0,109.0,2,0
673,starter,2.0,2.0,23.0,3,0
674,starter,5.4,11.0,166.0,2,1
675,team,2.8,2.0,4.0,3,0
676,starter,6.0,8.0,36.0,3,1
677,team,2.0,3.0,79.0,0,0
678,team,4.5,8.0,10.0,3,1
679,starter,4.0,9.0,23.0,3,1
